#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "由于对方曾遭我国击败，目前仍对我国相当反感。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_1 "作为交换条件，我们同意中止目前与{player[2].country_name}保有的一切协议。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_2 "作为交换条件，我们同意中止与{player[2].country_name}现存的一切协议，希望贵国满意。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_3 "作为交换条件，我们同意废除与{player[2].country_name}现存的一切协议，这还算通情达理。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_4 "作为交换条件，我们愿意撕毁一切与{player[2].country_name}签署的协议。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_0 "要求贵国结束与{player[2].country_name}拥有的一切协议，我国对贵国的敬重将显著提升。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_1 "基于双方的目标与意向一致，贵国若是终止与{player[2].country_name}一切协议，更有益于双方的友好。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_2 "我们恳求贵国中止一切与{player[2].country_name}签订的协议。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_3 "贵国竟然与{player[2].country_name}签有协议，实在令人瞧不起，即刻丢掉你们之间的协议吧。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_4 "马上中止你们和{player[2].country_name}的一切协议。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_0 "作为交换条件，请贵国结束与{player[2].country_name}签有的一切协议，我国十分乐见贵国实践这项要求。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_1 "作为交换条件，请身为友邦的贵国，能即刻废除一切与{player[2].country_name}签订的协议。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_2 "作为交换条件，我们恳求贵国中止与{player[2].country_name}的一切协议。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_3 "作为交换条件，为了你们的未来着想，最好是终止与{player[2].country_name}保有的一切协议。"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_4 "作为交换条件，废弃一切与{player[2].country_name}签有的协议吧，保有那些协议，对你没什么好处。"

DIP_DETAILS_OFFER_STOP_RESEARCH_0 "我们宣誓放弃{advance[0].name}的研究。"
DIP_DETAILS_OFFER_STOP_RESEARCH_1 "为保有双方友好关系，我国同意停止对{advance[0].name}所进行的研究。"
DIP_DETAILS_OFFER_STOP_RESEARCH_2 "我们即刻停止研究{advance[0].name}。"
DIP_DETAILS_OFFER_STOP_RESEARCH_3 "我们同意停止研究{advance[0].name}。"
DIP_DETAILS_OFFER_STOP_RESEARCH_4 "我们将停止研究{advance[0].name}。"
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_0 "作为交换条件，我们将停止研究{advance[0].name}。"
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_1 "作为交换条件，我们将结束{advance[0].name}的研究。"
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_2 "作为交换条件，我们承诺即刻结束{advance[0].name}的研究！请接受我们的诚意。"
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_3 "作为交换条件，我们将中止{advance[0].name}研究上的一切努力。"
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_4 "作为交换条件，我们将停止研究{advance[0].name}。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_0 "我们郑重地请求贵国停止在{advance[0].name}上的研究，那不是个明智的抉择。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_1 "基于关心的立场，请贵国停止在{advance[0].name}上的研究。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_2 "恳求贵国中止在{advance[0].name}上的研究。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_3 "即刻中止你们在{advance[0].name}的研究吧，这项目标的决定太过轻率。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_4 "马上停止你们在{advance[0].name}上的研究。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_0 "此外，请贵国停止在{advance[0].name}上的研究。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_1 "此外，请贵国停止在{advance[0].name}上的研究，不然我们会怀疑自己，为何曾经那么敬重贵国。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_2 "此外，乞求贵国停止在{advance[0].name}上的研究。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_3 "此外，请你们停止在{advance[0].name}上的研究吧，不要不知分寸。"
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_4 "此外，马上停止你们在{advance[0].name}上的研究。"

DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_0 "为了世界和平，我国将会裁减{value[0].value}%的核武数量。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_1 "对于备受尊敬的贵国而言，我国愿意裁减{value[0].value}%的核武数量。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_2 "我国愿意裁减{value[0].value}%的核武数量，希望贵国能满意。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_3 "我国同意裁减{value[0].value}%的核武数量，我们了解，诸如你们这些小国一直对我军感到十分畏惧。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_4 "我国同意裁减{value[0].value}%的核武数量。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_0 "此外，我国将会裁减{value[0].value}%的核武数量。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_1 "此外，我国誓言裁减{value[0].value}%的核武数量。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_2 "此外，我国允诺裁减{value[0].value}%的核武数量"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_3 "此外，我国将会裁减{value[0].value}%的核武数量。为了国防安全，未来不再考虑裁减核武。"
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_4 "此外，我国将会削减{value[0].value}%的核武数量。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_0 "为了世界和平，请裁减贵国{value[0].value}%的核武数量，别让我们的孩子在世界末日的恐惧中成长。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_1 "站在友邦立场，请贵国裁减{value[0].value}%的核武数量。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_2 "我们卑微地乞求贵国裁减{value[0].value}%的核武数量，希望为贵国造成麻烦。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_3 "快把你们的核武数量裁减到{value[0].value}%。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_4 "裁减你们的核武数量到{value[0].value}%吧。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_0 "此外，能否请贵国裁减核武数量至{value[0].value}%"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_1 "此外，请贵国依照两国友好的交情，将核武数量裁减至{value[0].value}%"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_2 "此外，郑重地请求贵国裁减核武数量至{value[0].value}%，我国人民一直生活在恐惧中。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_3 "此外，我国坚持你们必须裁减{value[0].value}%的核武数量，别不知好歹。"
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_4 "此外，将你们{value[0].value}%的核武除役，希望你们能合作点。"

DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_0 "身为地球的一份子，我国愿意裁减{value[0].value}%的生化武器。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_1 "基于友好立场，我国同意裁减{value[0].value}%的生化武器。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_2 "为了得到贵国的赞扬，我国愿意裁减{value[0].value}%的生化武器。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_3 "为了减轻你们的害怕程度，我国将会裁减{value[0].value}%的生化武器。"DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_4 "我国将会裁减{value[0].value}%的生化武器，相信这么做，能治疗你们的恐惧症。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_0 "此外，我国愿意裁减{value[0].value}%的生化武器。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_1 "此外，我国乐意裁减{value[0].value}%的生化武器。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_2 "此外，我国愿以裁减{value[0].value}%的生化武器为使命。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_3 "此外，我国将裁减{value[0].value}%的生化武器，你们该感到满足。"
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_4 "此外，我国将缩减{value[0].value}%的生化武器。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_0 "我国正式请求贵国，请裁减{value[0].value}%的生化武器。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_1 "站在友邦的立场，请贵国裁减{value[0].value}%的生化武器。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_2 "我们卑微地乞求贵国，请裁减{value[0].value}%的生化武器。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_3 "我国坚持你们得裁减生化武器数量至{value[0].value}%。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_4 "裁减你们的生化武器数量至{value[0].value}%。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_0 "此外，我国乐意见到贵国裁减{value[0].value}%的生化武器。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_1 "此外，我国乐意见到贵国裁减{value[0].value}%的生化武器。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_2 "此外，我们乞求贵国裁减{value[0].value}%的生化武器，请减少我们的恐惧。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_3 "此外，我国坚持你们得裁减生化武器数量至{value[0].value}%。"
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_4 "此外，裁减你们的生化武器数量至{value[0].value}%，不得再议。"

DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_0 "为了追求和平，我国愿意裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_1 "为了巩固邦谊，我国愿意裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_2 "我们愿意裁减{value[0].value}%的奈米微菌武器，希望未曾让贵国为此操心。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_3 "我们将裁减{value[0].value}%的奈米微菌武器，如果能让你们这类小国舒服点。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_4 "我们将裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_0 "此外，为了追求和平，我国愿意裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_1 "此外，为了世界和平，我国愿意裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_2 "此外，我国承诺裁减{value[0].value}%的奈米微菌武器，希望贵国能满意。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_3 "此外，我们将裁减{value[0].value}%的奈米微菌武器，作为各国的模范。"
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_4 "此外，。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_0 "我们请求贵国裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_1 "基于友好立场，请贵国裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_2 "希望贵国能展现出泱泱大国的仁慈，裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_3 "我们认为，你们最好将奈米微菌武器裁减至{value[0].value}%"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_4 "马上裁减你们的奈米微菌武器至{value[0].value}%，话不说二遍。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_0 "此外，为了追求和平与安全，请贵国裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_1 "此外，基于友好立场，请贵国裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_2 "此外，乞求仁慈的贵国，裁减{value[0].value}%的奈米微菌武器。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_3 "此外，我们坚持你们得裁减{value[0].value}%的奈米微菌武器，别不知分寸。"
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_4 "此外，马上裁减你们的奈米微菌武器至{value[0].value}%，给我表现好一点。"

DIP_DETAILS_OFFER_GIVE_ADVANCE_0 "提供贵国有关{advance[0].name}的知识，礼轻情意重。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_1 "身为友好国家，我国愿提供有关{advance[0].name}的知识给贵国。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_2 "奉上有关{advance[0].name}的知识。希望能取悦贵国。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_3 "慷慨地施舍你们有关{advance[0].name}的知识吧。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_4 "施舍你们有关{advance[0].name}的知识吧。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_0 "此外，我国将赠送贵国有关{advance[0].name}的知识。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_1 "此外，我国将分享有关{advance[0].name}的知识予贵国，希望能一同进步。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_2 "此外，我们将奉上有关{advance[0].name}的知识，表示我们对贵国的尊敬。"DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_3 "此外，我国将透露有关{advance[0].name}的知识给你们，这项知识超出你们好几代。"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_4 "此外，我国将施舍有关{advance[0].name}的秘密给你们。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_0 "我想贵国不会是那种小气巴拉的国家，请分享有关{advance[0].name}的知识给我国。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_1 "身为友邦，应不吝惜于帮助彼此。能否分享有关{advance[0].name}的知识给我国？"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_2 "能不能够分享有关{advance[0].name}的知识给我国？请让我们有追随贵国的机会。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_3 "知趣的话，请交出有关{advance[0].name}的知识，我们会善待你们的。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_4 "立刻交出有关{advance[0].name}的知识，诸如你们这类小国，不佩藏有这种知识。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_0 "此外，请分享有关{advance[0].name}的知识给我国。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_1 "此外，身为友邦，请分享贵国有关{advance[0].name}的知识给我国。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_2 "此外，希望诸如贵国如此的大国，能够无私的赠送有关{advance[0].name}的知识给我们。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_3 "此外，请立刻交出有关{advance[0].name}的知识。"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_4 "此外，我们坚持你们得交出有关{advance[0].name}的知识，你们既无力从事这类研究，也不佩藏有这类知识。"

DIP_DETAILS_OFFER_GIVE_GOLD_0 "我国愿意提供{gold[0].value}黄金给贵国，分享我国的繁荣。"
DIP_DETAILS_OFFER_GIVE_GOLD_1 "我国愿意资助{gold[0].value}黄金给贵国，展现我们的友谊。"
DIP_DETAILS_OFFER_GIVE_GOLD_2 "我国乐意献上{gold[0].value}黄金给贵国。"
DIP_DETAILS_OFFER_GIVE_GOLD_3 "我国决定分出{gold[0].value}黄金给你们。"
DIP_DETAILS_OFFER_GIVE_GOLD_4 "我国决定慷慨地分出{gold[0].value}黄金给你们。"
DIP_DETAILS_OFFER_GIVE_GOLD_EX_0 "此外，我国愿意赠送{gold[0].value}黄金给贵国。"
DIP_DETAILS_OFFER_GIVE_GOLD_EX_1 "此外，有难同当，有福同享，我国愿意资助{gold[0].value}黄金给贵国。"
DIP_DETAILS_OFFER_GIVE_GOLD_EX_2 "此外，我们谦卑地献上{gold[0].value}黄金给贵国，希望贵国满意。"DIP_DETAILS_OFFER_GIVE_GOLD_EX_3 "此外，我国决定捐出{gold[0].value}黄金给你们。"
DIP_DETAILS_OFFER_GIVE_GOLD_EX_4 "此外，我国将捐出{gold[0].value}黄金给你们。"
DIP_DETAILS_REQUEST_GIVE_GOLD_0 "如同贵国那样富裕又慷慨的大国，能否提供{gold[0].value}黄金给我国？当我们度过经济上的寒冬"
DIP_DETAILS_REQUEST_GIVE_GOLD_1 "能否提供{gold[0].value}黄金给我国？这同时也考验着我们之间的交情。"
DIP_DETAILS_REQUEST_GIVE_GOLD_2 "乞求贵国能仁慈地赠送{gold[0].value}黄金给我们。"
DIP_DETAILS_REQUEST_GIVE_GOLD_3 "交出{gold[0].value}黄金给我国吧。"
DIP_DETAILS_REQUEST_GIVE_GOLD_4 "交出{gold[0].value}黄金给我国吧。要不你会尝到拒绝的代价，别试探我们的耐心。"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_0 "此外，请送出{gold[0].value}黄金给我国，以加强双边关系。"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_1 "此外，请送出{gold[0].value}黄金给我国，做为友情的展现。"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_2 "此外，乞求贵国捐赠{gold[0].value}黄金给我们，让我们的小孩不再挨饿。"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_3 "此外，请交出{gold[0].value}黄金给我国，虽然和你们谈判，让人感到不值。"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_4 "此外，交出{gold[0].value}黄金给我国，证明你的诚意。"

DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_0 "我国愿意每回合拨出{gold[0].value}黄金给贵国，以资助贵国发展。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_1 "基于友邦关系，我国愿意每回合拨出{gold[0].value}黄金给贵国。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_2 "我们愿意每回合奉上{gold[0].value}黄金给贵国，希望能得到贵国称许。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_3 "我国将会每回合赠送{gold[0].value}黄金给你们。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_4 "我国将会每回合转让{gold[0].value}黄金给你们。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_0 "此外，我国愿意每回合拨出{gold[0].value}黄金给贵国，以资助贵国发展。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_1 "此外，我国愿意每回合拨出{gold[0].value}黄金给贵国。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_2 "此外，我们愿意每回合奉上{gold[0].value}黄金给贵国，希望能满足贵国所需。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_3 "此外，我国将会每回合分出{gold[0].value}黄金给你们，我想这够你们用了。"
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_4 "此外，我国将会每回合分出{gold[0].value}黄金给你们，你们其实不佩接受这样的礼物。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_0 "我国请求贵国每回合拨出{gold[0].value}黄金给我国，我们将会更为敬重贵国。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_1 "基于共富共荣的友好关系，请求贵国每回合拨出{gold[0].value}黄金给我国。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_2 "我们卑下地乞求贵国，能否每回合拨出{gold[0].value}黄金给我国？"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_3 "每回合交出{gold[0].value}黄金给我国，也许我国还能容忍你们的存在。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_4 "每回合给我交出{gold[0].value}黄金！"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_0 "此外，请求贵国每回合拨出{gold[0].value}黄金给我国，我们会感激与铭记贵国的恩情。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_1 "此外，请求贵国每回合拨出{gold[0].value}黄金给我国，以保友谊长存。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_2 "此外，我们不得不乞求贵国每回合捐赠{gold[0].value}黄金给我们"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_3 "此外，你们最好每回合交出{gold[0].value}黄金给我国，才能免于亡国的可能。"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_4 "此外，每回合交出{gold[0].value}黄金给我国，我国会留意你们的表现的。"

DIP_DETAILS_OFFER_REDUCE_POLLUTION_0 "为了环境清洁，我国愿意将污染程度减低于{value[0].value}以下。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_1 "为了追求更好的生活环境我国愿意将污染程度减低于{value[0].value}以下。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_2 "我们誓言将污染程度减低于{value[0].value}以下。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_3 "我国愿意将污染程度保持在{value[0].value}以下。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_4 "我国愿意将污染程度保持在{value[0].value}以下，你们应该感到满足了。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_0 "此外，我国愿意将污染程度减低于{value[0].value}以下。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_1 "此外，我国愿意将污染程度减低于{value[0].value}以下，共同维护环境清洁。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_2 "此外，我们愿意将污染程度减低于{value[0].value}以下，以符合贵国期望。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_3 "此外，我国会将污染程度减低于{value[0].value}以下。"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_4 "此外，我国会将污染程度减低于{value[0].value}以下，你能得到的好处就这么多了。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_0 "请贵国能也致力于世界环保工作，降低贵国污染程度于{value[0].value}以下。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_1 "站在友邦的立场，请贵国降低污染程度于{value[0].value}以下。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_2 "恳请贵国降低污染程度于{value[0].value}以下，这攸关着人类的未来。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_3 "强烈劝告你们，降低污染程度于{value[0].value}以下，你们脏乱的习惯，严重地耗费了地球资源。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_4 "降低你们的污染程度于{value[0].value}以下，我国巳无法忍受你们这种轻忽环保的行为。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_0 "此外，请贵国降低污染程度于{value[0].value}以下，保持地球良好生活环境。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_1 "此外，站在友邦的立场，请贵国降低污染程度于{value[0].value}以下。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_2 "此外，恳请贵国降低污染程度于{value[0].value}以下，子孙后代会感谢贵国的。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_3 "此外，我国坚持你们得降低污染程度于{value[0].value}以下，否则你们不会有好下场的。"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_4 "此外，降低你们的污染程度于{value[0].value}以下。"

DIP_DETAILS_OFFER_MAP_0 "我国愿意提供贵国地图，让贵国分享我国探索的成果。"
DIP_DETAILS_OFFER_MAP_1 "基于友邦关系，我国愿意提供贵国地图。"
DIP_DETAILS_OFFER_MAP_2 "我们愿意奉上地图，希望贵国能感到满足。"
DIP_DETAILS_OFFER_MAP_3 "我国将揭示地图给你们，让你们见识到我国的伟大。"
DIP_DETAILS_OFFER_MAP_4 "我国将提供你们地图，以教导你们如何探索地图。"
DIP_DETAILS_OFFER_MAP_EX_0 "此外，我国愿意提供贵国地图，让贵国了解我国疆界到何处。"
DIP_DETAILS_OFFER_MAP_EX_1 "此外，基于友邦关系，我国愿意提供贵国地图。"
DIP_DETAILS_OFFER_MAP_EX_2 "此外，我们愿意奉上地图。"
DIP_DETAILS_OFFER_MAP_EX_3 "此外，我国特许你们有权利来参观我国地图，也许对你们有用。"
DIP_DETAILS_OFFER_MAP_EX_4 "此外，我国同意提供你们地图。"
DIP_DETAILS_REQUEST_MAP_0 "能否分享地图给我国？让我们一同享有你们的探险成就。"
DIP_DETAILS_REQUEST_MAP_1 "基于友邦关系，能否分享地图给我国？"
DIP_DETAILS_REQUEST_MAP_2 "能否给予我国鉴赏贵国广大地图的机会？"
DIP_DETAILS_REQUEST_MAP_3 "交出你们的地图，让我国了解你们的能耐。"
DIP_DETAILS_REQUEST_MAP_4 "交出地图吧，让我看看你们国家有多小。"
DIP_DETAILS_REQUEST_MAP_EX_0 "此外，请将贵国地图送给我国。"
DIP_DETAILS_REQUEST_MAP_EX_1 "此外，请贵国地图给予我国，以分享贵国的成就。"
DIP_DETAILS_REQUEST_MAP_EX_2 "此外，乞求贵国将地图给予我国，让我们知道世界有多大。"
DIP_DETAILS_REQUEST_MAP_EX_3 "此外，交出你们的地图，让我们了解你们的能耐。"
DIP_DETAILS_REQUEST_MAP_EX_4 "此外，交出你们的地图，不得怠慢。"

DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_0 "我国并无打破承诺的意图，我们将会遵守军事同盟协议，并出兵{player[2].country_name}。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_1 "我国将会遵守军事同盟协议，出兵{player[2].country_name}与贵国同一阵线。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_2 "我们将会遵照军事同盟协议，出兵{player[2].country_name}。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_3 "我国将会履行军事同盟协议，出兵{player[2].country_name}。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_4 "我国即刻履行军事同盟协议，出兵{player[2].country_name}，决不食言。"
