BUTTON_GREAT_LIBRARY "大图书馆" 
#TITLE_DIPLOMACY_MESSAGE_SYS "外交对谈方式"
#TUT557_DIPLOMACY_MESSAGE_SYS "移动部队到外国部队旁边去。"

TITLE_GREETINGS "你好"
TUT558_GREETINGS "初次见到其它文明时，都会先说几句问候语，一个附有卷轴图标的小方框会出现在画面左边。" 

TITLE_OPEN_GREETINGS "开启外交讯息"
TUT559_OPEN_GREETINGS "用鼠标点击卷轴图标会自动开启外交讯息。在开启该讯息后，选择<c:180,0,0>接受<e>表示你的友善。"

TITLE_COVER_YOUR_BACK "防人之心不可无"
TUT560_COVER_YOUR_BACK "留意些，虽然目前是友善关系，难保未来不会出现变化。"

TITLE_NO_STACKED_BATTLE "单一部队作战"
TUT560A_NO_STACKED_BATTLE "只有军团间的作战才会出现战斗窗口，下次你可以试试用军团攻击敌人。"

TITLE_3_GOAL_2 "目标二：组成一个军团"
TUT561_3_GOAL_2 "将多种部队合给成一个军团，在战场上是很有威力的。[city.1.name]出现<c:180,0,0>战士<e>和<c:180,0,0>弓箭手<e> 。点击此讯息左下的<c:0,180,0>眼球<e>，画面会移成以这些部队为中心。"

TITLE_MAKING_ARMY "组成一个军团"
TUT562_MAKING_ARMY "将战士和弓箭手移到同一方格。先<c:180,0,0>左键<e>-点选，再按 <c:180,0,0>左键<e>移动部队。当战士和弓箭手叠在一块时，上面只会呈现其中一个兵种，但色盾的数字会变多了个2在里面。"

TITLE_KEEP_MOVING "继续移在一块"
TUT563_KEEP_MOVING "继续把战士和弓箭手移到同一方格。"

TITLE_LOCK_DISPLAY "军团的部队卷标显示方式"
TUT564_LOCK_DISPLAY "用鼠标<c:180,0,0>左键<e>点选<c:180,0,0>两个或多个单位在一块的地方<e>。在下方的部队卷标中，如果只有一个部队为<c:180,0,0>红线<e>所围绕，就代表目前只有这一个部队被选择到，尚未锁定成一个军团。"

TITLE_LOCK_STACK "从部队卷标锁定军团"
TUT565_LOCK_STACK "当有<c:0,0,180>二个或多个<e>以上的单位在同一个区域之中，亦即<c:0,180,0>盾牌<e>上看到多个部队的数目。点选这群部队后再用鼠标点击<c:0,180,0>锁定<e>按钮，就可以将所有部队锁定成单一行动的军团了。" 

TITLE_STACK_HERALD "军团的色盾"
TUT566_STACK_HERALD "当多个部队锁定成一支军团时。只会见到军团中最顶端的部队，事实上所有部队都是在一块。一个军团最多可以并入九个部队。"

TITLE_MOVE_STACK "军团移动"
TUT567_MOVE_STACK "用鼠标<c:180,0,0>左键<e>选择军团。再用鼠标<c:180,0,0>左键<e>选择目的地。如果单位不能再移动了，按下键盘的<c:180,0,0>N<e>键做结束。"

TITLE_ATTACK_NEIGHBOUR "目标三：攻击邻国"
TUT568_ATTACK_NEIGHBOUR "攻击在[city.1.name]附近的敌人战士。按下鼠标<c:180,0,0>左键<e>来选取你的军队，再用<c:180,0,0>左键<e>选择攻击对象。如果军队不能再移动了，记得按下键盘的<c:180,0,0>N<e>键做结束。"

#TITLE_FORTIFICATION "建筑防御工事"
#TUT569_FORTIFICATION "当敌军四周出现矮墙围绕时，表示他筑有防御工事，拥有较高的防护能力，较能抵挡外来攻击。"

#TITLE_ATTACK "攻击"
#TUT570_ATTACK "按下鼠标<c:180,0,0>左键<e>点选你的军队，而后再用<c:180,0,0>左键<e>攻击敌军。"

TITLE_BATTLE_VIEW "战场窗口"
TUT571_BATTLE_VIEW "从窗口中可以检视军团的作战情形，画面中的地形反映着战场地理位置。我军位于画面的左方，敌军则是在右方。"

TITLE_DEFENSIVE_BONUS "防守加分"
TUT572_DEFENSIVE_BONUS "守方的防守加分会出现在画面的右上方。当防守的一方，处在城市、防御工事、或是山脉或丘陵等地形中，就会获得提高防备的防守加分值。"

TITLE_MIXED_FORCES "混合军团"
TUT573_MIXED_FORCES "最佳混合军团，就是军队中掺杂有防御力高的战士、攻击力高的武士及远距攻击能力的弓箭手。" 

TITLE_CLOSE_BATTLE_VIEW "关闭战场窗口"
TUT574_CLOSE_BATTLE_VIEW "按下窗口右上角的X按钮，关闭战场窗口。"

TITLE_MAKE_PEACE "试着寻求和平之道"
TUT575_MAKE_PEACE "我们巳经历练过战争，尝试透过外交途径来结束这场战争吧！"

TITLE_OPEN_DIPLOMACY "开启外交画面"
TUT576_OPEN_DIPLOMACY "按下屏幕右边<c:180,0,0>画面<e>面板。再按下<c:0,180,0>外交<e>按钮，即可打开外交画面。" 

#TITLE_THE_DIPLOMACY_SCREEN "外交画面"
#TUT577_THE_DIPLOMACY_SCREEN "透过外交画面从事各类外交行动。"

TITLE_3_GOAL_3 "目标三：和平协议" 
TUT578_3_GOAL_3 "在外交名单中<c:180,0,0>选择国家<e>之后，而后再按下派遣使节按钮。"

TITLE_UNIT_DESELECTED "取消选取"
TUT579_UNIT_DESELECTED "用鼠标右键可以解除部队或城市的选取状态。<c:0,180,0>绿色<e>方框表示被选取的部队还有行动能力；被<c:180,0,0>红色<e>方框表示移动终了。而城市被选取时，则永远都是<c:18,0,0>红色<e>的方框围绕。"

TITLE_PSEUDO_GREETINGS "欢迎你"
TUT580_PSEUDO_GREETINGS "我们非常欢迎你，并祝福你永远快乐！"

TITLE_SEND_EMISSARY "签署和平协议"
TUT581_SEND_EMISSARY "在外交名单中选取<c:180,0,0>国家<e>之后，再按下派遣使节按钮。"

TITLE_GREET_EMISSARY "外国使节来访"
TUT582_GREET_EMISSARY "外国特使巳到达，外国元首的讯息会出现在图片上方。请点选下一步。"

TITLE_MAKE_REQUEST "提出要求"
TUT583_MAKE_REQUEST "在外交要求选单中，请点选提议建立协议按钮。"

TITLE_PEACE_TREATY "建立和平协议"
TUT584_PEACE_TREATY "可以提议三种协议，请点选其中的和平协议。"

TITLE_CEASE_BUTTON "停止交战"
TUT584A_CEASE_BUTTON "按下<c:180,0,0>送出<e>按钮。本次送出的文件内容呈现在按钮上方."

TITLE_RESPONSE "响应"
TUT585_RESPONSE "外国特使表示，其元首不接受我国提出的和平协议要求，按下<c:180,0,0>不是<e>按钮关闭外交窗口。"

TITLE_3_GOAL_3_ACCOMPLISHED "目标三巳完成，取得外交经验"
TUT586_3_GOAL_3_ACCOMPLISHED "恭喜你！接着进入教学等级等级四。"

TITLE_LEVEL_4 "等级四：贸易与黄金"
TUT587_LEVEL_4 "接下来要学着如何通过特产贸易增加黄金收入，帝国的科技预算金额也将因此增加。"

TITLE_GOODS "特产"
TUT588_GOODS "贸易能带来金钱收入，地图上的鳄鱼、海獭、珍珠、胡椒都是可以用来贸易的特产。"

TITLE_4_GOAL_1 "目标一：取得专卖权"
TUT589_4_GOAL_1 "贸易的建立来自于城市对特产的专卖权，取得越多的专卖权，便能为城市带来更多黄金收入，一个城市最多可以拥有四项特产的专卖权。"

TITLE_LOOK_FOR_CITIES "城市与当地物产的关系"
TUT590_LOOK_FOR_CITIES "地图上出现两座新城市，分别为[city.1.name]和[city.2.name]，两地都拥有海獭特产。请按下教学讯息中的<c:0,180,0>眼球<e>按钮，按下后画面会切换到[city.1.name]。"

TITLE_MOVE_TO_GOOD_1 "调动[city.1.name]的工人到产地工作"
TUT591_MOVE_TO_GOOD_1 "以鼠标<c:180,0,0>左键<e>点选[city.1.name]，再点击<c:0,180,0>右键<e>展开工作窗口，在工作窗口中，以<c:180,0,0>左键<e>点选一位工人，再用<c:180,0,0>左键<e>将他移到海獭产地上工作。"

TITLE_MOVE_TO_GOOD_2 "调动[city.2.name]的工人到产地工作"
TUT592_MOVE_TO_GOOD_2 "再将[city.2.name]的一位工人调派到海獭产地工作，两座城市将收集<c:180,0,0>同个特产<>。"

TITLE_CARAVANS "商队"
TUT595_CARAVANS "为了从事贸易活动，必须拥有商队负责城市间的货物往来。当你拥有贸易科技后，便可以在城市生产商队，不过商队的移动方式不同于一般部队，商队只能在贸易路线上往来。"

TITLE_FREE_CARAVAN "直接得到一个商队"
TUT596_FREE_CARAVAN "教学模式中，你将直接拥有一个商队，不同于其它部队，商队并不会在地图上显示。至于有多少商队可以动用，数量会显示在贸易窗口中的骆驼图片旁"

TITLE_CREATE_MONOPOLY "开始经营专卖权"
TUT593_CREATE_MONOPOLY "由于国内不只一个地方生产海獭，因此你可以在[city.1.name]经营海獭专卖。请先点选屏幕右边的  <c:180,0,0>画面<e>面板，接着按下<c:0,180,0>贸易<e>按钮。" 

TITLE_THE_TRADE_SCREEN "贸易窗口"
TUT594_THE_TRADE_SCREEN "可以透过贸易窗口操控国内外贸易事务，请按下<c:180,0,0>送出<e>按钮。"

TITLE_SELECT_BEAVER "选取海獭"
TUT595_SELECT_BEAVER "从窗口中可以看出帝国的贸易物产。选取海獭接着按下<c:0,180,0>下一步<e>。"

TITLE_PICK_DESTINATION "选择目的城市"
TUT596_PICK_DESTINATION "在利润电子表格中，选择将海獭运往[city.2.name]的话能得到最大利润，按下 <c:180,0,0>送出<e>按钮建立[city.2.name]到[city.1.name]的贸易路线。" 

TITLE_4_GOAL_1_ACCOMPLISHED"目标一完成了，建立贸易路线"
TUT597_4_GOAL_1_ACCOMPLISHED "恭喜你！你巳建立贸易路线，将可获得[gold.amount]黄金。城市间的<c:0,0,200>蓝线<e>就是特产贸易路线。<c:180,0,0>警告<e>：外敌可以在贸易路线上进行抢夺。"

TITLE_LEVEL_5 "等级五：城市管理"
TUT598_LEVEL_5 "帝国正在成长中，为了加速帝国的成长，你可以学着如何管理各个城市，把每个城市的资源都发挥到极致。"

TITLE_5_GOAL_1 "目标一：调整城市的科技预算设定"
TUT599_5_GOAL_1 "游戏中有许多策略可以应用，其中一项就是致力于科技发展，这可以让你在科技上凌驾其它文明。"

TITLE_MAX_TAB "最大化卷标"
TUT600_MAX_TAB "以鼠标<c:180,0,0>左键<e>点选城市，后再选择最大化卷标。<c:180,0,0>生产最大化<e>下的各项资源按钮，能使城市工人随着按钮类别，自动排列出该项资源的最大产出。"

TITLE_MAXIMIZE_SCIENCE "科技资源最大化"
TUT601_MAXIMIZE_SCIENCE "先以<c:180,0,0>左键<e>点选城市，再按下<c:0,180,0>右键<e>带出工作窗口，接着按下生产最大化中的科技按钮，工人将自动移到最有力于科技发展的工作区块上。" 

TITLE_5_GOAL_1_ACCOMPLISHED "目标一完成了，了解如何调整城市科技设定"
TUT602_5_GOAL_1_ACCOMPLISHED "科技巳设成最大产值，整个城市的优先任务是帮助国家的科技发展。"

TITLE_SPECIALISTS "专业人士"
TUT603_SPECIALISTS "除了调整工人的工作区域外，城市内还有其它方式的调整，可以用来强化特定资源的生产，强化快乐度、黄金、科技及物资的产出。"

TITLE_SPECIALIST_WARNING "专业人士的人口条件"
TUT604_SPECIALIST_WARNING "<c:180,0,0>注意<e>：城市人口至少要达到<c:180,0,0> 8 <e>以上，才能开始雇用专业人士。"

TITLE_LABOR_TAB "劳工卷标"
TUT605_LABOR_TAB "以左键点选[city.1.name]或是按下教学讯息的<c:0,180,0>眼球<e>，接着点选<c:180,0,0>劳工<e>卷标，工人与奴隶会出现在左边的面板上，而你雇用的专业人士则会出现在右边。"

TITLE_ENTERTAINER "演艺人员"
TUT606_ENTERTAINER "以鼠标点选演艺人员的<c:0,180,0>右箭头<e>，可增加一名演艺人员，提高城市快乐度一点。"

TITLE_SCIENTIST "科学家"
TUT607_SCIENTIST "以鼠标点选科学家的<c:0,180,0>右箭头<e>，可增加一名科学家，提高城市的科技贡献十点。"

TITLE_BUILD_QUEUE "建设排程"
TUT608_BUILD_QUEUE "除了雇用专业人士之外，微调城市的方法还有建设排程。亦即排定一个物品生产的清单，你的城市将会依序执行命令。这些设定就是建设排程。"

TITLE_5_GOAL_2 "目标二：安排建设排程"
TUT609_5_GOAL_2 "教学等级等级一时，我们曾试着生产战士、谷仓、开拓队。现在可以把这顺序安排在新建城市的建设排程中，或着在你现在的城市里，安排城市未来的建设排程。"

TITLE_QUEUE_HELP "安排建设排程"
TUT610_QUEUE_HELP "选择城市，移到<c:0,180,0>物资<e>卷标，再按下<c:180,0,0>建设排程<e>按钮，即可开始安排建设排程。"

TITLE_ADD_ITEMS_TO_QUEUE "修改建设排程"
TUT610A_ADD_ITEMS_TO_QUEUE "可生产的物品会列在左边。建设排程则会列在右边。从左边名单选择欲生产的物品，再按下<c:180,0,0>新增箭头<e>就可将物品加入建设排程中。"

TITLE_5_GOAL_2_ACCOMPLISHED "目标二完成了，学会建设排程安排"
TUT611_5_GOAL_2_ACCOMPLISHED "每座城市都可以开始安排建设排程。当建设排程完成第一项物品后，会自动开始制造下一个物品。"

TITLE_5_GOAL_3 "目标三：操作城市总览"
TUT612_5_GOAL_3 "用鼠标点选<c:180,0,0>画面<e>按钮，面板展开后再点选<c:180,0,0>城市<e>按钮，在此你也可以下达建筑指令。"

TITLE_CITY_STATUS "城市总览" 
TUT613_CITY_STATUS "这里会列出所有城市的相关信息。可以由此看到目前各个城市正在生产何种物品，以及生产所需的回合数等信息。"

TITLE_ORDER_2_CITIES "同时让两个城市进行建造"
TUT615_ORDER_2_CITIES "在城市总览中，选择一个城市后，按住<c:180,0,0> Ctrl <e>键不放，再点选第二个城市，当两个城市都被选择时，接着选取物品，再按<c:0,180,0>建造<e>进行生产。"

TITLE_CITIES_NOT_BUILDING "城市没有进行建造"
TUT615A_CITIES_NOT_BUILDING "尚未命令城市进行任何建造，你可以从城市的物资卷标或城市总览的画面中，分别处理每个城市的物品建造。"

TITLE_5_GOAL_3_ACCOMPLISHED "目标三完成，学会透过城市总览进行建造"
TUT616_5_GOAL_3_ACCOMPLISHED "你所选择的两个城市正在制造相同的物品。你也可以利用城市总览设计每个城市的建设排程。"

TITLE_DEFENDING_CITIES "捍卫城市"
TUT617_DEFENDING_CITIES "将部队放在城市内部有助于城市防御。另外，防御工事的兴建，将有助于部队防御值的提升。"

TITLE_5_GOAL_4 "目标四：部队兴建防御工事"
TUT618_5_GOAL_4 "部队防御工事的兴建需要两回合的时间，防御工事给予部队额外的防御能力，使敌人更不易击倒他。选择部队之后，再按下<c:180,0,0>F<e>键，或着是点选部队卷标的砖墙图标，便能开始兴建防御工事。"

TITLE_FORTIFY_IN_FIELD "防御工事"
TUT619_FORTIFY_IN_FIELD "当部队花费两回合的时间，完成防御工事时，部队四周会围起矮墙。可以让驻扎在城市或战略要地的部队筑起防御工事，加强防卫能力。"

TITLE_LEVEL_5_COMPLETE "目标五完成了！"
TUT620_LEVEL_5_COMPLETE "恭喜你！你已经学会了解如何设定专业人士、建设排程、以及各项城市工作的细节。"

TITLE_LEVEL_6 "目标六：扩张与胜利"
TUT621_LEVEL_6 "在了解如何管理城市之后，开始藉由征服或是扩大开垦，拓展帝国疆界，取得最终的胜利。"

TITLE_VICTORY_CONDITIONS "胜利条件"
TUT622_VICTORY_CONDITIONS "有三种方法可以取得胜利：(1)征服所有国家，(2)先合成出外星人生命，或是(3)到公元3000年时拥有最高的分数。"

TITLE_DIFFERENT_STRATEGIES "各式各样的策略"
TUT623_DIFFERENT_STRATEGIES "游戏的进行，可以采取不同的策略。你可以穷兵赎武，也可以只求和平与科技成长，一切都由你决定。"

TITLE_EXPLORE_THE_WORLD "探索世界"
TUT624_EXPLORE_THE_WORLD "无论采用何种策略求胜，都需要去探索世界。其中有个好方法是，派遣船只搭载部队到世界各地进行探险。"

TITLE_FREE_BOAT "直接得到一条船！"
TUT625_FREE_BOAT "滨海城市[city.1.name]直接获得三桅战船和弓骑。请按下教学讯息中的<c:0,180,0>眼球<e>按钮，将画面带到弓骑身上。"
 
TUT626_FREE_BOAT_AND_CITY "除了获得滨海城市[city.1.name]，还获得一艘三桅战船，请点选教学讯息中的<c:0,180,0>眼球<e>按钮。"

TITLE_LOADING_UNITS "部队登舰"
TUT627_LOADING_UNITS "以鼠标<c:180,0,0>左键<e>选择部队，再按<c:180,0,0>左键<e>点在船舰上，即可让部队登入舰内。"

TITLE_MOVING_THE_BOAT "舰队航行"
TUT628A_MOVING_THE_BOAT "先以鼠标<c:180,0,0>左键<e>点选三桅战船，再按<c:180,0,0>左键<e>决定航行的目的地。"

TITLE_6_GOAL_1 "目标一：部队登陆"
TUT628_6_GOAL_1 "按下<c:180,0,0>N<e>键结束该回合。<c:180,0,0>将三桅战船航行于到岸边<e>，以<c:180,0,0>左键<e>点选船舰之后，再点选部队卷标内的<c:180,0,0>木箱图标<e>按钮，接着点击于船舰旁的陆地，部队即完成登陆动作。"

TITLE_6_GOAL_1_ACCOMPLISHED "目标一完成了！部队登陆成功！"
TUT629_6_GOAL_1_ACCOMPLISHED "你现在巳学会登舰与登陆动作。让我们扬起船帆，航向大洋！"

TITLE_END_OF_TUTORIAL "不错唷！完成教学课程了"
TUT631_END_OF_TUTORIAL "恭喜你！当你看到这个讯息，表示你巳结束教学课程，现在你可以结束游戏，或着从一般模式玩起。谢谢你的参与！"

#TITLE_SPECIAL_UNITS "特殊部队"
#TUT630_SPECIAL_UNITS "除了探索和战斗，还有一种部队可以透过其它方式削弱敌国，例如奴隶贩子。"

TITLE_DUMBASS_SORT_BUTTONS "类别按钮"
TUT631_DUMBASS_SORT_BUTTONS "你可以在建造物品选项中，点击类别按钮，可以由此区别部队、城市设施、世界奇观等物品类别。例如你只打算生产部队，点击类别按钮后，你只会见到部队类别供你选择而巳。"

TITLE_ALERT_SAVE "自动储存"
TUT632_ALERT_SAVE "教学模式中的每个等级，会在过关后储存进度，等级三到等级六过关时，屏幕左边会出现数字，你可以点选对应于教学等级的数字，回顾先前的教学课程。"

TUT632_ALERT_SAVE_NEW "教学模式在每个等级完成后，会自动储存游戏进度。藉由点选画面左边的对应数字，回到你想要重玩的教学等级。如果要重玩等级一的话，重新开始教学模式即可。"

TITLE_LEVEL_2 "等级二"
TUT633_LEVEL_2 "你要重玩教学模式等级二吗？等级二是资源管理、公共建设、全国性设定等课程。"

TITLE_LEVEL_3 "等级三"
TUT634_LEVEL_3 "你要重玩教学模式等级三吗？等级三是外交与战斗的课程。"

TITLE_LEVEL_4 "等级四"
TUT635_LEVEL_4 "你要重玩教学模式等级四吗？等级四是贸易与黄金的课程。"

TITLE_LEVEL_5 "等级五"
TUT636_LEVEL_5 "你要重玩教学模式等级五吗？等级五教导城市管理、专业人士设定、防御工事兴建等。"

TITLE_LEVEL_6 "等级六"
TUT637_LEVEL_6 "你要重玩教学模式等级六吗？等级六教导运输部队的搭载与卸载。"

TITLE_ALERT_QUEUE "建设排程教学提示"
TUT638_ALERT_QUEUE "在安排建设排程的时候，按下建造按钮，即可回到建造清单。"

TITLE_RIGHT_CLICK "请使用鼠标左键！"
TUT639_RIGHT_CLICK "教学模式是以鼠标<c:0,180,0>左键<e>使用者的角度设计，要继续教学模式的话，请先回到选项将鼠标设定改为<c:0,180,0>左键<e>决定模式，否则就只能结束教学模式。"




