# Control Panel
STATUSBAR_END_TURN_BUTTON	"完成一切动作时，请按结束回合钮"
TOOLTIP_SCIADV_MAIN_CHGRESEARCH_BUTTON	"改变研究项目"
STATUSBAR_SCIADV_MAIN_NOWRESEARCHING_BUTTON	"显示进行中的研究项目。"
TOOLTIP_SCIADV_MAIN_NOWRESEARCHING_BUTTON	"当前研究项目"
STATUSBAR_SCIADV_MAIN_DISCINTURNS_BUTTON	"距离研究完成所需的回合数目。"
TOOLTIP_SCIADV_MAIN_DISCINTURNS_BUTTON	"研究所需回合"
STATUSBAR_SCIADV_INTEL_CLOSE_BUTTON	"按此钮以离开科技官窗口。"
TOOLTIP_SCIADV_INTEL_CLOSE_BUTTON	"关闭"

#	Science Intel Tab
STATUSBAR_SCIADV_INTEL_SORTNAME_BUTTON	"以名称将排列顺序。"
TOOLTIP_SCIADV_INTEL_SORTNAME_BUTTON	"依名称排序"
STATUSBAR_SCIADV_INTEL_SORTYOUR_BUTTON	"以科技发现与否排列顺序。"
TOOLTIP_SCIADV_INTEL_SORTYOUR_BUTTON	"依我国发明排序"
STATUSBAR_SCIADV_INTEL_SORTTHEM_BUTTON	"以其它国家发现与否排列顺序"
TOOLTIP_SCIADV_INTEL_SORTTHEM_BUTTON	"依外国发明排序"

# Trade Manager
#
#	Trade Advice Window
STATUSBAR_TRADEMAN_ADV_CRVNS_AVAIL_DISPLAY	"显示目前可运用的商队总数。"
TOOLTIP_TRADEMAN_ADV_CRVNS_AVAIL_DISPLAY		"闲置商队数目"
STATUSBAR_TRADEMAN_ADV_CRVNS_INUSE_DISPLAY	"显示目前通商中的商队总数。"
TOOLTIP_TRADEMAN_ADV_CRVNS_INUSE_DISPLAY		"行动商队数目"
STATUSBAR_TRADEMAN_ADV_TOTAL_PROFIT_DISPLAY	"显示商队贸易的利润总额。"
TOOLTIP_TRADEMAN_ADV_TOTAL_PROFIT_DISPLAY		"利润"
STATUSBAR_TRADEMAN_ADV_TOTAL_ROUTES_DISPLAY	"显示巳建立的贸易路线数量。"
TOOLTIP_TRADEMAN_ADV_TOTAL_ROUTES_DISPLAY		"贸易路线数量"

#	Trade - Open Market Window
STATUSBAR_TRADEMAN_OPEN_SORTBY_YOURCITY_BUTTON	"以生产城市的名称排序。"
TOOLTIP_TRADEMAN_OPEN_SORTBY_YOURCITY_BUTTON	"依城市排序"
STATUSBAR_TRADEMAN_OPEN_SORTBY_HASGOOD_BUTTON	"以货物名称排序。"
TOOLTIP_TRADEMAN_OPEN_SORTBY_HASGOOD_BUTTON	"依货物排序"
STATUSBAR_TRADEMAN_OPEN_SORTBY_THISCITY_BUTTON	"以到货城市的名称排序。"
TOOLTIP_TRADEMAN_OPEN_SORTBY_THISCITY_BUTTON	"依终点排序"
STATUSBAR_TRADEMAN_OPEN_SORTBY_COST_BUTTON	"以货品的利润金额排序。"
TOOLTIP_TRADEMAN_OPEN_SORTBY_COST_BUTTON		"依利润排序"
STATUSBAR_TRADEMAN_OPEN_SORTBY_CRVN_BUTTON	"以贸易路线动用商队数目排列顺序。"
TOOLTIP_TRADEMAN_OPEN_SORTBY_CRVN_BUTTON		"依商队数目排序"
STATUSBAR_TRADEMAN_OPEN_SHOWADV_BUTTON		"显示或隐藏贸易顾问窗口。"
TOOLTIP_TRADEMAN_OPEN_SHOWADV_BUTTON		"显示/隐藏贸易顾问"
STATUSBAR_TRADEMAN_OPEN_GOTO_TRADESUMM_BUTTON	"检视目前各贸易路线相关信息。"
TOOLTIP_TRADEMAN_OPEN_GOTO_TRADESUMM_BUTTON	"贸易总览"
STATUSBAR_TRADEMAN_OPEN_GOTO_MARKET_BUTTON	"检视自由市场中，可交易的贸易项目。"
TOOLTIP_TRADEMAN_OPEN_GOTO_MARKET_BUTTON		"自由市场"
STATUSBAR_TRADEMAN_OPEN_BREAK_ROUTE_BUTTON	"按此钮以取消部分贸易路线。"
TOOLTIP_TRADEMAN_OPEN_BREAK_ROUTE_BUTTON		"取消贸易路线"
STATUSBAR_TRADEMAN_OPEN_CREATE_ROUTE_BUTTON	"按此钮以建立新的贸易路线。"
TOOLTIP_TRADEMAN_OPEN_CREATE_ROUTE_BUTTON		"建立贸易路线"
STATUSBAR_TRADEMAN_OPEN_CLOSE_BUTTON		"按此钮以结束贸易画面。"
TOOLTIP_TRADEMAN_OPEN_CLOSE_BUTTON			"关闭"
STATUSBAR_TRADEMAN_OPEN_PIRACY_DISPLAY		"显示正遭盗匪洗劫的贸易路线。"
TOOLTIP_TRADEMAN_OPEN_PIRACY_DISPLAY		"抢劫中"

# City Management Screen
#
# 	Statistics Window
STATUSBAR_CITYMAN_STATS_CITYLAYOUT_DISPLAY	"显示城市及市郊的外貌"
TOOLTIP_CITYMAN_STATS_CITYLAYOUT_DISPLAY	"城市外观"
STATUSBAR_CITYMAN_STATS_GROWTHRATE_DISPLAY	"显示目前城市成长率。"
TOOLTIP_CITYMAN_STATS_GROWTHRATE_DISPLAY	"城市成长率"
STATUSBAR_CITYMAN_STATS_HAPPY_DISPLAY		"显示目前城市幸福度。"
TOOLTIP_CITYMAN_STATS_HAPPY_DISPLAY		"幸福度"
STATUSBAR_CITYMAN_STATS_TOTALFOOD_DISPLAY	"显示城市的粮食产量。"
TOOLTIP_CITYMAN_STATS_TOTALFOOD_DISPLAY		"粮食产量"
STATUSBAR_CITYMAN_STATS_TOTALPROD_DISPLAY	"显示城市的生产力。"
TOOLTIP_CITYMAN_STATS_TOTALPROD_DISPLAY		"生产力"
STATUSBAR_CITYMAN_STATS_TOTALCOMM_DISPLAY	"显示城市商业活动的获益收入。"
TOOLTIP_CITYMAN_STATS_TOTALCOMM_DISPLAY		"商业收益"
STATUSBAR_CITYMAN_STATS_TOTALSCI_DISPLAY	"显示城市的科学研究贡献。"
TOOLTIP_CITYMAN_STATS_TOTALSCI_DISPLAY		"科学研究贡献"
STATUSBAR_CITYMAN_STATS_EFFICIENCY_BUTTON	"显示城市的科学生产效率。"
TOOLTIP_CITYMAN_STATS_EFFICIENCY_BUTTON		"生产效率"
STATUSBAR_CITYMAN_STATS_MAXRSRC_DISPLAY		"按此钮以显示各项资源的最大化产量。"
TOOLTIP_CITYMAN_STATS_MAXRSRC_DISPLAY		"最大化产量"
STATUSBAR_CITYMAN_STATS_MAXFOOD_DISPLAY		"显示粮食最大化时的产量。"
TOOLTIP_CITYMAN_STATS_MAXFOOD_DISPLAY		"粮食最大化"
STATUSBAR_CITYMAN_STATS_FARMBONUS_DISPLAY	"显示农田所增加的额外产量。"
TOOLTIP_CITYMAN_STATS_FARMBONUS_DISPLAY		"农田加分"
STATUSBAR_CITYMAN_STATS_MAXPROD_DISPLAY		"显示生产力最大化时的产量。"
TOOLTIP_CITYMAN_STATS_MAXPROD_DISPLAY		"生产力最大化"
STATUSBAR_CITYMAN_STATS_MINEBONUS_DISPLAY	"显示矿场所增加的额外产量。"
TOOLTIP_CITYMAN_STATS_MINEBONUS_DISPLAY		"矿场加分"
STATUSBAR_CITYMAN_STATS_MAXCOMM_DISPLAY		"显示商业最大化时的产量。"
TOOLTIP_CITYMAN_STATS_MAXCOMM_DISPLAY		"商业最大化"
STATUSBAR_CITYMAN_STATS_POSTBONUS_DISPLAY	"显示交易所带来的额外商业获益。"
TOOLTIP_CITYMAN_STATS_POSTBONUS_DISPLAY		"交易所加分"
STATUSBAR_CITYMAN_STATS_OUTPUT_BUTTON		"点选此处可显示目前城市的输出情况。"
TOOLTIP_CITYMAN_STATS_OUTPUT_BUTTON		"目前输出情况"
STATUSBAR_CITYMAN_STATS_PENALTY_DISPLAY       	"显示降低城市幸福度的因素。"
TOOLTIP_CITYMAN_STATS_PENALTY_DISPLAY       	"负面因素"
STATUSBAR_CITYMAN_STATS_HAPPY_DISPLAY       	"列出让市民感到愉快的因素。"
TOOLTIP_CITYMAN_STATS_HAPPY_DISPLAY       	"快乐因素"
STATUSBAR_CITYMAN_STATS_BONUS_DISPLAY       	"列出增加人民幸福度的主要因素。"
TOOLTIP_CITYMAN_STATS_BONUS_DISPLAY       	"快乐因素"
STATUSBAR_CITYMAN_STATS_POLLUTER_DISPLAY       	"显示制造城市污染的元凶。"
TOOLTIP_CITYMAN_STATS_POLLUTER_DISPLAY       	"污染源"
STATUSBAR_CITYMAN_STATS_POLLUTION_DISPLAY       "列出制造城市污染的项目。"
TOOLTIP_CITYMAN_STATS_POLLUTION_DISPLAY       	"污染项目"
STATUSBAR_CITYMAN_STATS_CLEANERS_DISPLAY       	"列出减少城市污染的项目。"
TOOLTIP_CITYMAN_STATS_CLEANERS_DISPLAY       	"环保项目"
STATUSBAR_CITYMAN_STATS_CRIMERATE		"显示城市目前的犯罪率。"
TOOLTIP_CITYMAN_STATS_CRIMERATE			"犯罪率"

# 	Main City Management Window
STATUSBAR_CITYMAN_MAIN_PREVCITY_BUTTON		"回到上个城市画面。"
TOOLTIP_CITYMAN_MAIN_PREVCITY_BUTTON		"上个城市"
STATUSBAR_CITYMAN_MAIN_CURRCITY_DISPLAY		"目前所检视的城市。"
TOOLTIP_CITYMAN_MAIN_CURRCITY_DISPLAY		"检视城市"
STATUSBAR_CITYMAN_MAIN_NEXTCITY_BUTTON		"移往下个城市画面。"
TOOLTIP_CITYMAN_MAIN_NEXTCITY_BUTTON		"下个城市"
STATUSBAR_CITYMAN_MAIN_BUILDQUEUE_DISPLAY		"显示城市正在进行建造的物品。"
TOOLTIP_CITYMAN_MAIN_BUILDQUEUE_DISPLAY		"建造物品"
STATUSBAR_CITYMAN_MAIN_CURRITEM_DISPLAY		"显示建造中物品的信息。"
TOOLTIP_CITYMAN_MAIN_CURRITEM_DISPLAY		"建造信息"
STATUSBAR_CITYMAN_MAIN_UNITSAVAIL_BUTTON		"显示所有可建造的部队。"	
TOOLTIP_CITYMAN_MAIN_UNITSAVAIL_BUTTON		"部队"
STATUSBAR_CITYMAN_MAIN_IMPAVAIL_BUTTON		"显示所有可建造的城市设施。"	
TOOLTIP_CITYMAN_MAIN_IMPAVAIL_BUTTON		"城市设施"
STATUSBAR_CITYMAN_MAIN_WONDERSAVAIL_BUTTON	"显示所有可建造的世界奇观。"	
TOOLTIP_CITYMAN_MAIN_WONDERSAVAIL_BUTTON		"世界奇观"
STATUSBAR_CITYMAN_MAIN_ITEMSAVAIL_BUTTON		"列出可供建造的物品。"	
TOOLTIP_CITYMAN_MAIN_ITEMSAVAIL_BUTTON		"建造物品"
STATUSBAR_CITYMAN_MAIN_ADD_BUTTON			"选取左栏欲建造的物品，按此钮此钮以加入建造排程中。"
TOOLTIP_CITYMAN_MAIN_ADD_BUTTON			"加入排程"
STATUSBAR_CITYMAN_MAIN_MOVEUP_BUTTON		"选取右栏物品，按此钮此钮以提高物品在排程中的顺序。"
TOOLTIP_CITYMAN_MAIN_MOVEUP_BUTTON			"提升"
STATUSBAR_CITYMAN_MAIN_MOVEDN_BUTTON		"选取右栏物品，按此钮此钮以降低物品在排程中的顺序。"
TOOLTIP_CITYMAN_MAIN_MOVEDN_BUTTON			"降低"
STATUSBAR_CITYMAN_MAIN_REM_BUTTON			"选取右栏欲删除的物品，按此钮此钮以退出建造排程中。"
TOOLTIP_CITYMAN_MAIN_REM_BUTTON			"退出排程"
STATUSBAR_CITYMAN_MAIN_QUEUELIST_BUTTON		"排定物品依序建造的清单。"
TOOLTIP_CITYMAN_MAIN_QUEUELIST_BUTTON		"建造排程"
STATUSBAR_CITYMAN_MAIN_RUSHBUY_BUTTON		"按此钮此键以用金钱快速完成建造项目。"
TOOLTIP_CITYMAN_MAIN_RUSHBUY_BUTTON			"快速购买"
STATUSBAR_CITYMAN_MAIN_RUSHCOST_DISPLAY		"显示该项物品快速购买的费用。"
TOOLTIP_CITYMAN_MAIN_RUSHCOST_DISPLAY		"快买成本"
STATUSBAR_CITYMAN_MAIN_TOTALGOLD_DISPLAY		"显示国库黄金总量。"
TOOLTIP_CITYMAN_MAIN_TOTALGOLD_DISPLAY		"黄金数目"
STATUSBAR_CITYMAN_MAIN_CLOSEQUEUE_BUTTON		"点选以关闭建造排程画面。"
TOOLTIP_CITYMAN_MAIN_CLOSEQUEUE_BUTTON		"关闭建造排程"
STATUSBAR_CITYMAN_MAIN_SHOWSTATSWIN_BUTTON	"按此钮以决定显示或隐藏统计窗口。"
TOOLTIP_CITYMAN_MAIN_SHOWSTATSWIN_BUTTON		"显示/隐藏统计"
STATUSBAR_CITYMAN_MAIN_EXIT_BUTTON			"按此钮以结束市政官窗口。"
TOOLTIP_CITYMAN_MAIN_EXIT_BUTTON			"关闭"
STATUSBAR_CITYMAN_MAIN_SHOWINV_BUTTON		"按此钮以显示城市巳有建物的清单。"
TOOLTIP_CITYMAN_MAIN_SHOWINV_BUTTON			"建物清单"
STATUSBAR_CITYMAN_MAIN_GOTONATL_BUTTON		"按此钮以开启国家总览。"
TOOLTIP_CITYMAN_MAIN_GOTONATL_BUTTON		"国家总览"
STATUSBAR_CITYMAN_MAIN_DISBANDCITY_BUTTON		"按此钮以将选取的城市废弃。"
TOOLTIP_CITYMAN_MAIN_DISBANDCITY_BUTTON		"废弃城市"
STATUSBAR_CITYMAN_MAIN_GOVOFF_BUTTON		"解除市长职位及任务，改成玩家亲自管理。"
TOOLTIP_CITYMAN_MAIN_GOVOFF_BUTTON			"解雇市长"
STATUSBAR_CITYMAN_MAIN_GOVON_BUTTON			"按此钮以委托市长管理。"
TOOLTIP_CITYMAN_MAIN_GOVON_BUTTON			"任命市长"
STATUSBAR_CITYMAN_MAIN_GOVPRIORITY_MENU		"确立城市建设的优先目标。"
TOOLTIP_CITYMAN_MAIN_GOVPRIORITY_MENU		"设立优先目标"
STATUSBAR_CITYMAN_MAIN_SMHAPP_DISPLAY		"显示市民的幸福度。"
TOOLTIP_CITYMAN_MAIN_SMHAPP_DISPLAY			"幸福度"
STATUSBAR_CITYMAN_MAIN_TOTALENTR_BUTTON		"此城的剧院可容纳{xx}名艺人。"
TOOLTIP_CITYMAN_MAIN_TOTALENTR_BUTTON		"艺人总数"
STATUSBAR_CITYMAN_MAIN_INCRENTR_BUTTON		"按此钮增加艺人配置。"
TOOLTIP_CITYMAN_MAIN_INCRENTR_BUTTON		"增加艺人"
STATUSBAR_CITYMAN_MAIN_DECRENTR_BUTTON		"按此钮减少艺人配置。"
TOOLTIP_CITYMAN_MAIN_DECRENTR_BUTTON		"减少艺人"
STATUSBAR_CITYMAN_MAIN_SMFOOD_DISPLAY		"显示城市的粮食数量。"
TOOLTIP_CITYMAN_MAIN_SMFOOD_DISPLAY			"粮食数目"
STATUSBAR_CITYMAN_MAIN_TOTALFARM_BUTTON		"城市的农园可容纳{xx}农夫。"
TOOLTIP_CITYMAN_MAIN_TOTALFARM_BUTTON		"农夫人数"
STATUSBAR_CITYMAN_MAIN_INCRFARM_BUTTON		"按此钮以增加农夫配置。"
TOOLTIP_CITYMAN_MAIN_INCRFARM_BUTTON		"增加农夫"
STATUSBAR_CITYMAN_MAIN_DECRFARM_BUTTON		"按此钮以减少农夫配置。"
TOOLTIP_CITYMAN_MAIN_DECRFARM_BUTTON		"减少农夫"
STATUSBAR_CITYMAN_MAIN_SMPROD_DISPLAY		"显示城市生产力。"
TOOLTIP_CITYMAN_MAIN_SMPROD_DISPLAY			"生产力"
STATUSBAR_CITYMAN_MAIN_TOTALLABR_BUTTON		"此城的工厂可容纳{xx}名劳工。"
TOOLTIP_CITYMAN_MAIN_TOTALLABR_BUTTON		"劳工数目"
STATUSBAR_CITYMAN_MAIN_INCRLABR_BUTTON		"按此钮以增加劳工配置。"
TOOLTIP_CITYMAN_MAIN_INCRLABR_BUTTON		"增加劳工"
STATUSBAR_CITYMAN_MAIN_DECRLABR_BUTTON		"按此钮以减少劳工配置。"
TOOLTIP_CITYMAN_MAIN_DECRLABR_BUTTON		"减少劳工"
STATUSBAR_CITYMAN_MAIN_SMCOMM_DISPLAY		"显示城市商业活动收益。"
TOOLTIP_CITYMAN_MAIN_SMCOMM_DISPLAY			"商业收益"
STATUSBAR_CITYMAN_MAIN_TOTALMRCH_BUTTON		"此城的市场可容纳{xx}名商人。"
TOOLTIP_CITYMAN_MAIN_TOTALMRCH_BUTTON		"商人数目"
STATUSBAR_CITYMAN_MAIN_INCRMRCH_BUTTON		"按此钮以增加商人配置。"
TOOLTIP_CITYMAN_MAIN_INCRMRCH_BUTTON		"增加商人"
STATUSBAR_CITYMAN_MAIN_DECRMRCH_BUTTON		"按此钮以减少商人配置。"
TOOLTIP_CITYMAN_MAIN_DECRMRCH_BUTTON		"减少商人"
STATUSBAR_CITYMAN_MAIN_SMSCI_DISPLAY		"显示城市的科技贡献"
TOOLTIP_CITYMAN_MAIN_SMSCI_DISPLAY			"科技贡献"
STATUSBAR_CITYMAN_MAIN_TOTALSCI_BUTTON		"此城的学院可容纳{xx}名科学家。"
TOOLTIP_CITYMAN_MAIN_TOTALSCI_BUTTON		"科学家人数"
STATUSBAR_CITYMAN_MAIN_INCRSCI_BUTTON		"按此钮以增加城市科学家人数。"
TOOLTIP_CITYMAN_MAIN_INCRSCI_BUTTON			"增加科学家"
STATUSBAR_CITYMAN_MAIN_DECRSCI_BUTTON		"按此钮以减少城市科学家人数。"
STATUSBAR_CITYMAN_MAIN_TOTALWORKERS_DISPLAY	"显示城市工人数目。"
TOOLTIP_CITYMAN_MAIN_TOTALWORKERS_DISPLAY		"工人数目"
STATUSBAR_CITYMAN_MAIN_TOTALSLAVES_DISPLAY	"显示城市奴隶数目。"
TOOLTIP_CITYMAN_MAIN_TOTALSLAVES_DISPLAY		"奴隶数目"
STATUSBAR_CITYMAN_MAIN_CITYPOP_DISPLAY		"显示城市污染数量。"
TOOLTIP_CITYMAN_MAIN_CITYPOP_DISPLAY		"污染数量"
STATUSBAR_CITYMAN_MAIN_GOTOQUEUE_BUTTON		"按此钮以安排城市建造排程。"
TOOLTIP_CITYMAN_MAIN_GOTOQUEUE_BUTTON		"建造排程"
STATUSBAR_CITYMAN_MAIN_GOTOGL_BUTTON		"检索大图书馆。"
TOOLTIP_CITYMAN_MAIN_GOTOGL_BUTTON		"大图书馆"
STATUSBAR_CITYMAN_MAIN_INSERT_BUTTON		"将建造排程插入选取城市的建造排程中。"
TOOLTIP_CITYMAN_MAIN_INSERT_BUTTON		"插入建造排程"
STATUSBAR_CITYMAN_MAIN_APPEND_BUTTON		"将建造排程添加于选取城市的建造排程之后。"
TOOLTIP_CITYMAN_MAIN_APPEND_BUTTON		"增加建造排程"
STATUSBAR_CITYMAN_MAIN_OVERWRITE_BUTTON		"更换成选取中的建造排程。"
TOOLTIP_CITYMAN_MAIN_OVERWRITE_BUTTON		"更换建造排程"

#	National Summary Window
STATUSBAR_CITYMAN_NATL_SUMM_SORTCITY_BUTTON	"以城市名称排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTCITY_BUTTON	"依城市名排序"
STATUSBAR_CITYMAN_NATL_SUMM_FIREGOV_BUTTON	"解除市长管理职务与委办政策。"
TOOLTIP_CITYMAN_NATL_SUMM_FIREGOV_BUTTON	"解雇市长"
STATUSBAR_CITYMAN_NATL_SUMM_SORTBILD_BUTTON	"以建造完成与否排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTBILD_BUTTON	"依建造完成排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTTIME_BUTTON	"以建造完成所需回合排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTTIME_BUTTON	"依建造剩余回合排序"
STATUSBAR_CITYMAN_NATL_SUMM_RUSHBUY_BUTTON	"快速购买选取的物品。"
TOOLTIP_CITYMAN_NATL_SUMM_RUSHBUY_BUTTON	"快速购买"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPOP_BUTTON	"以城市人口数量排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTPOP_BUTTON	"依城市人口排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTHAPP_BUTTON	"以人民幸福度排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTHAPP_BUTTON	"依幸福度排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPROD_BUTTON	"以生产力排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTPROD_BUTTON	"依生产力排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTFOOD_BUTTON	"以粮食产量排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTFOOD_BUTTON	"依粮食产量排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTGOLD_BUTTON	"以商业活动获益排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTGOLD_BUTTON	"依金钱收入排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTSCI_BUTTON	"以城市科学贡献排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTSCI_BUTTON	"依科学贡献排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPOLL_BUTTON	"以城市污染程度排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTPOLL_BUTTON	"依污染程度排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTCRIME_BUTTON	"以城市犯罪程度排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTCRIME_BUTTON	"依犯罪率排序"
STATUSBAR_CITYMAN_NATL_SUMM_EXIT_BUTTON       	"按此钮以结束国政官窗口。"
TOOLTIP_CITYMAN_NATL_SUMM_EXIT_BUTTON       	"关闭"
STATUSBAR_CITYMAN_NATL_SUMM_SORTMAYOR_BUTTON	"以委托市长管理与否排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTMAYOR_BUTTON	"依市长托管排序"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPRIOR_BUTTON	"以市政优先政策排列顺序。"
TOOLTIP_CITYMAN_NATL_SUMM_SORTPRIOR_BUTTON	"依市政目标排序"

#	National Summary Advice Window
STATUSBAR_CITYMAN_NATL_ADV_ADVREC_DISPLAY		"显示国政顾问咨询事项。"
TOOLTIP_CITYMAN_NATL_ADV_ADVREC_DISPLAY		"国政咨询"
STATUSBAR_CITYMAN_NATL_ADV_TOTALCITIES_DISPLAY	"显示帝国统辖城市总数。"
TOOLTIP_CITYMAN_NATL_ADV_TOTALCITIES_DISPLAY	"城市数目"
STATUSBAR_CITYMAN_NATL_ADV_TOTALGOLD_DISPLAY	"显示国库黄金数额。"
TOOLTIP_CITYMAN_NATL_ADV_TOTALGOLD_DISPLAY	"黄金数目"
STATUSBAR_CITYMAN_NATL_ADV_ADDQUEUE_BUTTON	"按此钮以安排建造排程。"
TOOLTIP_CITYMAN_NATL_ADV_ADDQUEUE_BUTTON		"排定建造排程"
STATUSBAR_CITYMAN_NATL_ADV_LOADQ_BUTTON		"按此钮以读取建造排程存盘。"
TOOLTIP_CITYMAN_NATL_ADV_LOADQ_BUTTON		"读取排程"

#	Load Queue Window
STATUSBAR_CITYMAN_LOADQ_AVAILQ_BUTTON		"列出建造排程的存盘。"
TOOLTIP_CITYMAN_LOADQ_AVAILQ_BUTTON			"排程档案"
STATUSBAR_CITYMAN_LOADQ_QLIST_DISPLAY		"双击以抽离现有排程。"
TOOLTIP_CITYMAN_LOADQ_QLIST_DISPLAY			"现有排程"
STATUSBAR_CITYMAN_LOADQ_CANCEL_BUTTON		"取消排程存盘的读取。"
TOOLTIP_CITYMAN_LOADQ_CANCEL_BUTTON			"取消读取"
STATUSBAR_CITYMAN_LOADQ_LOAD_BUTTON			"按此钮以读取建造排程存盘。"
TOOLTIP_CITYMAN_LOADQ_LOAD_BUTTON			"读取排程"

# Unit Management Screen
#
#	Military Advice Window
STATUSBAR_UNITMAN_MILADV_ADVREC_DISPLAY		"显示军事顾问提供的情报。"
TOOLTIP_UNITMAN_MILADV_ADVREC_DISPLAY		"军事顾问"
STATUSBAR_UNITMAN_MILADV_AERIAL_BUTTON		"显示帝国空军部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_AERIAL_BUTTON		"空军部队"
STATUSBAR_UNITMAN_MILADV_DEFENSE_BUTTON     "显示帝国卫戍部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_DEFENSE_BUTTON		"卫戍部队"
STATUSBAR_UNITMAN_MILADV_FLANKING_BUTTON		"显示帝国侧卫部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_FLANKING_BUTTON		"侧卫部队"
STATUSBAR_UNITMAN_MILADV_NAVAL_BUTTON		"显示帝国海军部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_NAVAL_BUTTON			"海军部队"
STATUSBAR_UNITMAN_MILADV_OFFENSE_BUTTON		"显示帝国攻击部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_OFFENSE_BUTTON		"攻击部队"
STATUSBAR_UNITMAN_MILADV_RANGED_BUTTON		"显示帝国长程部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_RANGED_BUTTON		"射击部队"
STATUSBAR_UNITMAN_MILADV_SPECIAL_BUTTON		"显示帝国特种部队总数，及其在全军占有的比重。"
TOOLTIP_UNITMAN_MILADV_SPECIAL_BUTTON		"特种部队"
STATUSBAR_UNITMAN_MILADV_MILUPKEEP_BUTTON		"显示维持军队的经费成本。"
TOOLTIP_UNITMAN_MILADV_MILUPKEEP_BUTTON		"军事维持费用"

#	Main Unit Mgmt. Window
STATUSBAR_UNITMAN_MAIN_STATE_PEACE_BUTTON       "调整军队为和平状态。"
TOOLTIP_UNITMAN_MAIN_STATE_PEACE_BUTTON		"和平状态"
STATUSBAR_UNITMAN_MAIN_STATE_ALERT_BUTTON       "调整军队为警戒状态。"
TOOLTIP_UNITMAN_MAIN_STATE_ALERT_BUTTON		"警戒状态"
STATUSBAR_UNITMAN_MAIN_STATE_WAR_BUTTON     "调整军队为作战状态。"
TOOLTIP_UNITMAN_MAIN_STATE_WAR_BUTTON		"作战状态"
STATUSBAR_UNITMAN_MAIN_STATE_DISPLAY		"显示当前的军备状态。"
TOOLTIP_UNITMAN_MAIN_STATE_DISPLAY			"目前军备状态"
STATUSBAR_UNITMAN_MAIN_TOTAL_UNITS_DISPLAY	"显示目前部队总数。"
TOOLTIP_UNITMAN_MAIN_TOTAL_UNITS_DISPLAY		"部队数量"
STATUSBAR_UNITMAN_MAIN_SHOWADV_BUTTON		"显示或隐藏军事顾问画面。"
TOOLTIP_UNITMAN_MAIN_SHOWADV_BUTTON			"显示/隐藏军事顾问"
STATUSBAR_UNITMAN_MAIN_DISBAND_BUTTON		"解散被选取的部队。"
TOOLTIP_UNITMAN_MAIN_DISBAND_BUTTON			"解散部队"
STATUSBAR_UNITMAN_MAIN_CLOSE_BUTTON			"结束部队官窗口。"
TOOLTIP_UNITMAN_MAIN_CLOSE_BUTTON			"关闭"

#	Units Tab
STATUSBAR_UNITMAN_STATS_TAB_SORTBY_NAME_BUTTON		"以部队名称排列顺序。"
TOOLTIP_UNITMAN_STATS_TAB_SORTBY_NAME_BUTTON		"依名称排序"
STATUSBAR_UNITMAN_STATS_TAB_SORTBY_NUMBER_BUTTON	"以部队各自编号排列顺序。"
TOOLTIP_UNITMAN_STATS_TAB_SORTBY_NUMBER_BUTTON		"依编号排序"
STATUSBAR_UNITMAN_STATS_TAB_SORTBY_TYPE_BUTTON		"以部队军种排列顺序。"
TOOLTIP_UNITMAN_STATS_TAB_SORTBY_TYPE_BUTTON		"依军种排序"
STATUSBAR_UNITMAN_STATS_TAB_SORTBY_COST_BUTTON		"以部队经费成本排列顺序。"
TOOLTIP_UNITMAN_STATS_TAB_SORTBY_COST_BUTTON		"依成本排序"
STATUSBAR_UNITMAN_STATS_TAB_SORTBY_STATS_BUTTON		"以部队属性排列顺序。"
