#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Main string file (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the main strings.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved build list sequence strings to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Added str_ldl_OptimizeSpecialists string - April 7th 2005 Martin Gühmann 
# - Added str_ldl_DD_OPTIMIZE_SLIDERS for sliders optimization button. 
#   - April 9th 2005 Martin Gühmann
# - Moved Great Libary title string from add_str.txt. - April 9th 2005 Martin Gühmann
# - Added battleview window strings for attack building bonuses, and modified
#   new combat names. - 07-Mar-2009 Maq
# - Added new strings for redesigned City Window. - 28-Mar-2009 Maq
# - Added strings for political map - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW
#----------------------------------------------------------------------------

##Those darn hard-coded strings 03-09-99
str_ldl_Already_Offer	"已提供特产，要变更吗？"
str_ldl_CITY_QUEUE	"城市程序"
str_ldl_CITY_SCIENCE	"城市科技"
str_ldl_City_Size	"城市规模"
str_ldl_CITY_STATUS	"城市状态"
str_ldl_City_Style	"城市风格"
str_ldl_CITY_VIEW	"城市视野"
str_ldl_CIV	"文明"
str_ldl_Civ_Name	"文明名称"
str_ldl_CIV_STATUS	"文明状态"
str_ldl_Civilization	"文明帝国"
str_ldl_Civilization_COLON	"文明帝国:"
str_ldl_Civilization_Message	"文明帝国讯息"
str_ldl_CIVILIZATION_STATUS	"文明帝国状态"
str_ldl_CIVILIZATIONS_COLON	"文明帝国:"
str_ldl_Civs	"文明"
str_ldl_Cloak	"隐匿"
str_ldl_Command_All	"命令所有部队"
str_ldl_CONCEPTS	"概念"
str_ldl_Conduct_Hit	"引导攻击。成本为500单位的黄金"
str_ldl_Connecting_To_Lobby	"联机至大厅..."
str_ldl_Connection_Type_COLON	"联机方式："
str_ldl_Continent	"大陆的"
str_ldl_CONTINUE	"继续"
str_ldl_CONTINUE_GAME	"继续游戏"
str_ldl_CONTINUE_NEGOTIATIONS	"继续协商？"
str_ldl_Convert_City	"转换城市。成本为100单位的黄金"
str_ldl_Cost	"成本"
str_ldl_Could_not_join_lobby	"无法进入大厅。"
str_ldl_Create_Game	"开一个新游戏"
str_ldl_Create_New_Setup	"建立一个新设定"
str_ldl_Create_Park	"创造公园"
str_ldl_Create_Profile	"创造描述档"
str_ldl_Create_Rift	"创造河洲"
str_ldl_Creating_Game	"创造游戏中..."
str_ldl_CREDITS	"制作人员"
str_ldl_CRIME	"犯罪率"
str_ldl_Custom	"自订"
str_ldl_CUSTOM_RULES	"自订规则..."
str_ldl_CUSTOMIZE	"自订"
str_ldl_Cut_and_Paste	"剪下与贴上"
str_ldl_Defenders	"防御者"
str_ldl_Defuse_Bomb	"拆除炸弹"
str_ldl_Deity	"大神"
str_ldl_Delete_Profile	"删除描述档"
str_ldl_Delete_Setup	"删除设定"
str_ldl_Descend	"降落"
str_ldl_Difficulty	"困难度"
str_ldl_Difficulty_Level	"技术等级"
str_ldl_DIPLOMACY	"外交"
str_ldl_DIPLOMACY_STATUS	"外交状态"
str_ldl_Disaster	"疾病灾害"
str_ldl_DISBAND	"解散"
str_ldl_Diverse	"多类型的"
str_ldl_Domestic	"国内的"
str_ldl_Doughnut_World	"甜甜圈型"
str_ldl_Dry	"干燥的"
str_ldl_Dynamic_Join	"『动态加入』"
str_ldl_Dynamic_Joining_On	"『动态加入』模式开启"
str_ldl_Earth_World	"地球"
str_ldl_East_and_West_edges_of_the_map_connect	"地图的东西边相连接。"
str_ldl_EAST_WEST	"EAST_WEST"
str_ldl_East_West_and_North_South_edges	"地图的东西边与南北边分别相连接。"
str_ldl_EATEN	"吃"
str_ldl_ECO_PACT	"环保协议"
str_ldl_Edit_Profile	"编辑描述档"
str_ldl_Elite	"精锐的"
str_ldl_EMBASSY	"大使"
str_ldl_Emperor	"帝王"
str_ldl_ENACT	"激活"
str_ldl_Enact_Government	"激活新政府"
str_ldl_ENEMY	"敌人"
str_ldl_Enemy_Intrusion	"敌人入侵"
str_ldl_Enter_Password_COLON	"输入密码："
str_ldl_ENTERTAINERS	"演艺人员"
str_ldl_Entrench	"防御工事"
str_ldl_Entrench_Bonus_COLON	"防御工事加点："
str_ldl_Environment	"自订地图"
str_ldl_Environmentalism	"环境学"
str_ldl_Establish_Embassy	"建立大使馆"
str_ldl_Exchange_City	"交易城市"
str_ldl_exchange_maps	"你可以与他国交换未在自己地图上出现的陆地部分"
str_ldl_Excluded_Improvements_COLON_	"除了以下增强设施： "
str_ldl_Excluded_Units_COLON_	"除了以下部队："
str_ldl_Excluded_Wonders_COLON_	"除了以下世界奇观："
str_ldl_Exclusions	"禁忌"
str_ldl_Details	"细节"
str_ldl_Expel_Unit	"驱除部队"
str_ldl_Experience_Level_COLON	"经验等级："
str_ldl_Export	"出口"
str_ldl_Female	"女性"
str_ldl_Few_Goods	"较少货物"
str_ldl_File_Injunction	"强制执行。成本为300单位的黄金"
str_ldl_Fog_Of_War_Off	"战争迷雾关闭"
str_ldl_Folder_COLON	"资料夹："
str_ldl_Food_	"食物 "
str_ldl_Food_COLON	"食物："
str_ldl_Food_Eaten	"食用的食物"
str_ldl_Food_Lost_to_Crime	"因犯罪率所损失的食物"
str_ldl_Food_Stored_Last_Turn	"上回合所储存下来的食物"
str_ldl_Food_Stored_Next_Turn	"下回合所储存下来的食物"
str_ldl_FOOD_TO_GROW	"成长用的食物量"
str_ldl_For	"为了"
str_ldl_FOR_BUILDING	"为了建造"
str_ldl_FOR_COLON	"为了："
str_ldl_For_Public_Works	"为了公共建设"
str_ldl_Fort_Bonus_COLON	"碉堡额外加点："
str_ldl_Fortify	"防御工事"
str_ldl_Free_Slave	"解放奴隶。成本为50单位的黄金"
str_ldl_From	"从"
str_ldl_FROM_COLON	"从："
str_ldl_Game_COLON	"游戏："
str_ldl_GAME_DETAILS	"游戏详细资料..."
str_ldl_Game_Folders	"游戏资料夹"
str_ldl_Game_Name_COLON	"游戏名称："
str_ldl_GAME_OPTIONS	"游戏选项"
str_ldl_GAME_PLAY	"开始游戏"
str_ldl_GAME_SETUP	"游戏设定"
str_ldl_Game_Style_COLON	"游戏型态："
str_ldl_GAMEPLAY	"游戏开始"
str_ldl_GAMEPLAY_OPTIONS	"游戏开始"
str_ldl_Games_COLON	"游戏："
str_ldl_GENERAL	"一般"
str_ldl_Genocide	"嗜血"
str_ldl_Get_Good	"获得货物"
str_ldl_Gift_Map	"赠与地图"
str_ldl_GIVE	"给予"
str_ldl_Gold	"黄金"
str_ldl_Gold_COLON	"黄金："
str_ldl_Gold_COLON_	"黄金："
str_ldl_GOLD_LOST_TO_CRIME	"因犯罪率所损失的黄金"
str_ldl_Gold_Paid	"付出的黄金"
str_ldl_GOOD	"货物"
str_ldl_Goods	"货物"
str_ldl_Goods_COLON	"货物："
str_ldl_Goods_For_Sale	"用来贩卖的货物"
str_ldl_GOV_nBONUS	"政府\n额外加点"
str_ldl_GOVERMENTS	"政府"
str_ldl_GOVERN	"政府"
str_ldl_Government	"政府"
str_ldl_GOVERNMENTS	"政府"
str_ldl_GRAPHICS	"画面"
str_ldl_GRAPHICS_OPTIONS	"画面"
str_ldl_Great_Library	"大图书馆"
str_ldl_Group_All	"群组"
str_ldl_Growth		"成长"
str_ldl_GROWTH_COLON	"成长："
str_ldl_Handicapping_On	"『平衡』模式开启"
str_ldl_HAPP	"快乐"
str_ldl_Happiness	"快乐度"
str_ldl_Happy	"快乐"
str_ldl_HASH_MARK	"#"
str_ldl_Health	"健康"
str_ldl_Hear_Gossip	"窃听"
str_ldl_Help	"说明"
str_ldl_HIGH_SCORE	"高分"
str_ldl_HIGH_SCORES	"高分"
str_ldl_HISTORICAL	"历史"
str_ldl_Homogeneous	"单一"
str_ldl_Host_changed_game_setup	"注意！主机计算机改变游戏设定了"
str_ldl_HOT_KEY	"热键"
str_ldl_How_much_for_good	"这货物你打算出价多少？"
str_ldl_How_much_gold	"你要求多少钱？"
str_ldl_Impatient	"没有耐心的"
str_ldl_IMPROVE	"增加"
str_ldl_Improvements	"增强设施"
str_ldl_Incite_Revolution	"煽动革命。成本不定"
str_ldl_Indifferent	"冷淡的"
str_ldl_Infect_City	"对城市施行生化攻击。成本为1000单位的黄金"
str_ldl_Info	"信息"
str_ldl_INFORMATION	"排名"
str_ldl_Injured	"受伤的"
str_ldl_INSTANT_START	"立即开始游戏"
str_ldl_Intelligence	"智能"
str_ldl_INVENTORY	"物品栏"
str_ldl_Invulnerable_Trade	"海盗"
str_ldl_Invulnerable_Trade_Off	"关闭海盗行为"
str_ldl_Island	"岛屿的"
str_ldl_Join_City	"建造城市"
str_ldl_Join_Game	"加入游戏"
str_ldl_Joining_Game	"加入游戏之中..."
str_ldl_Joining_Lobby	"加入大厅中..."
str_ldl_KEYBOARD	"键盘"
str_ldl_KEYBOARD_MAPPING	"键盘指令"
str_ldl_Kick	"剔除"
str_ldl_kicked_you_out	"抱歉，主机玩家已经将你强制断线"
str_ldl_King	"国王"
str_ldl_Knowledge	"知识"
str_ldl_Knowledge_Bar	"知识棒"
str_ldl_KNOWN	"已知的"
str_ldl_Known_Only_To_You	"只有你知道的"
str_ldl_Known_To_You_And_Others	"你与别人都知道的"
str_ldl_LABORERS	"劳工"
str_ldl_Land	"陆地"
str_ldl_Land_Grabber	"陆上抢夺者"
str_ldl_Large_64_x_128	"大型"
str_ldl_Last_Sale_Price_COLON	"上次的售价："
str_ldl_Launch	"发射"
str_ldl_LEADER_NAME	"领袖名字"
str_ldl_Leader_Name_COLON	"领袖名字："
str_ldl_LEAVE_OUR_LANDS	"停止侵略行动"
str_ldl_Leaving_Lobby	"离开大厅中..."
str_ldl_Legal	"合法的"
str_ldl_LIBRARY	"图书馆"
str_ldl_Line_Of_Sight	"战争迷雾"
str_ldl_LOAD_GAME	"读取进度"
str_ldl_Load_Game_Setup	"读取游戏设定"
str_ldl_Load_Map	"读取地图"
str_ldl_Load_Queue	"加载程序"
str_ldl_Load_Saved_Game	"读取进度"
str_ldl_Load_Scenario	"读取关卡"
str_ldl_LOAD_SETUP	"读取设定"
str_ldl_LOAD_TEMPLATE	"读取样板"
str_ldl_Lobby	"大厅"
str_ldl_Lobby_Name	"大厅名称"
str_ldl_Lobby_Name_COLON	"大厅名称："
str_ldl_Local_Area_Network_IPX	    "这个是为了给只有IPX通讯协议\n局域网络的玩家所使用。"
str_ldl_Local_Area_Network_TCPIP	"这个是为了给只有TCP/IP通讯协议 \n局域网络的玩家所使用 \n(这也是目前最被广泛使用的联机方式)。"
str_ldl_Location_COLON	"位置："
str_ldl_Lock	"锁定"
str_ldl_MACRO	"宏"
str_ldl_MAIN_CHAT	"主交谈画面"
str_ldl_MAINT	"维护"
str_ldl_MAKE_A_DEMAND	"提出要求"
str_ldl_Male	"   男性"
str_ldl_Many_Goods	"很多货物"
str_ldl_Map	"地图"
str_ldl_MAP_CAPS_SIZE	"世界规模"
str_ldl_Map_COLON	"地图："
str_ldl_MAP_EDITOR	"地图编辑器"
str_ldl_Map_Folders	"地图资料夹"
str_ldl_Map_Shape	"世界形状"
str_ldl_Map_Size	"地图规模"
str_ldl_MAP_TYPE	"自订地图"
str_ldl_MAPS	"地图"
str_ldl_MAX	"最大化"
str_ldl_MAX_FOOD	"食物量最大化"
str_ldl_Max_Goods	"货物存量最大化"
str_ldl_Max_Growth	"成长量最大化"
str_ldl_Max_Happiness	"快乐度最大化"
str_ldl_MAX_HAPPY	"最大快乐"
str_ldl_MAX_PROD	"物资存量最大化"
str_ldl_Max_Production	"最大物资"
str_ldl_MAX_SCI	"科技程度最大化"
str_ldl_MAXIMIZE_CITY	"城市最大化"
str_ldl_Medium_48_x_96	"一般"
str_ldl_Military	"军事"
str_ldl_MILITARY_COLON	"军事："
str_ldl_Military_Readiness	"军备状态"
str_ldl_MILITARY_SUPPORT_COST_COLON	"军事\n维护成本："
str_ldl_Move	"移动"
str_ldl_Movement_COLON	"移动："
str_ldl_Movement_Cost_COLON	"移动成本:"
str_ldl_MP	"MP"
str_ldl_MULTIPLAYER	"多人联机"
str_ldl_MUSIC	"音乐"
str_ldl_Music_Volume	"音乐音量"
str_ldl_Mute	"静音"
str_ldl_Name	"名称"
str_ldl_Navy	"海军"
str_ldl_Neutral	"中立的"
str_ldl_Never_Mind	"取消"
str_ldl_NEW_GAME	"新游戏"
str_ldl_NEXT_ADVANCE	"下一个科技"
str_ldl_NEXT_POP	"下一个人口"
str_ldl_NEXT_POP_IN	"新人口加入"
str_ldl_No	"不是"
str_ldl_Nothing_Building	"没有可建造的"
str_ldl_Number_of_Opponents	"对手的数目"
str_ldl_Ocean	"海洋"
str_ldl_Offer	"提供"
str_ldl_OFFER_A_GIFT	"提供礼物"
str_ldl_OFFER_AN_EXCHANGE	"提供交易"
str_ldl_Offer_Good	"提供货物"

###	rsh012599 - DO NOT CHANGE THIS TO "关闭"...there is already an 'str_ldl_Close'
###				- if you see a ui screen that says 'Ok' where it should be 'Close' tell Ryan
str_ldl_Ok	"是的"
###
###

str_ldl_On_Alert	"警戒"
str_ldl_Only_Known_By_Others	"我所不知道的"
str_ldl_Open_Offers	"提供服务开启"
str_ldl_OPTIONS	"选项"
str_ldl_ORDER	"次序"
str_ldl_ORDERS	"次序"
str_ldl_PAID	"付出"
str_ldl_Pairah	"牧师"
str_ldl_Paradrop	"跳伞"
str_ldl_PARANTHESIS_Team	"（团体）"
str_ldl_PARATHESIS_Private	"（私人）"
str_ldl_password	"你需要使用密码保护吗？"
str_ldl_Password_required_to_join	"需要密码才能进入。"
str_ldl_PEACE	"平时   警戒   战时"
str_ldl_Peace_Maker	"和平制造机"
str_ldl_Peace_Movement	"战争所带来的不满"
str_ldl_PER_nTURN	"每一回合"
str_ldl_Per_Turn	"每一回合"
str_ldl_Percent	"比例"
str_ldl_Personality	"个性"
str_ldl_Pillage	"掠夺"
str_ldl_Ping	"响应"
str_ldl_Pirate	"海盗"
str_ldl_Plant_Nanovirus	"布置微生物病毒"
str_ldl_Plant_Nuke	"布置核武。成本为500单位的黄金"
str_ldl_Player	"玩家"
str_ldl_Player_Info_COLON	"玩家信息："
str_ldl_Player_Name	"玩家姓名"
str_ldl_Player_Name_COLON	"玩家姓名："
str_ldl_Player_number	"玩家人数"
str_ldl_Player_Number_and_Name	"玩家人数及姓名"
str_ldl_Players	"对手数量"
str_ldl_Players_COLON	"玩家："
str_ldl_Pollution	"污染"
str_ldl_Pollution_Off	"污染关闭"
str_ldl_POP_COLON	"人口："
str_ldl_Population	"人口"
str_ldl_Power	"权力"
str_ldl_PRICE	"价格"
str_ldl_Prince	"王子"
str_ldl_Private	"私人的"
str_ldl_PROD	"物资"
str_ldl_PROD2	"渔捞"
str_ldl_PRODCUTIONTURN	"物资回合"
str_ldl_PRODUCING	"生产"
str_ldl_Production	"物资"
str_ldl_Production_	"物资"
str_ldl_Production_COLON	"物资："
str_ldl_PRODUCTION_LOST_TO_CRIME	"因犯罪率所损失的物资"
str_ldl_PRODUCTION_PERCENTAGE_COLON	"物资\n比例："
str_ldl_Profile	"描述檔"
str_ldl_PROFIT	"利益"
str_ldl_Public_Works	"公共建设"
str_ldl_Public_Works_Stored	"公共建设的存量"
str_ldl_Purchase_Options	"购买选项"
str_ldl_PW	"建设"
str_ldl_Questionable	"可疑的"
str_ldl_Queue	"程序"
str_ldl_QUEUE_NAME_COLON	"程序姓名："
str_ldl_QUICK_SAVE	"快速存盘"
str_ldl_Quit	"结束"
str_ldl_QUIT_TO_WINDOWS	"结束回到窗口"
str_ldl_Raging_Hordes	"凶猛的游牧民族"
str_ldl_RANDOM	"随机"
str_ldl_Random_Map	"随机地图"
str_ldl_Rank	"排名"
str_ldl_Rations	"配给"
str_ldl_REDUCE_POLLUTION	"降低污染"
str_ldl_Reform_City	"改造城市。成本为1000单位的黄金"
str_ldl_Regard_Towards_COLON	"对人的态度："
str_ldl_Reliability	"可靠"
str_ldl_Reliable	"可靠的"
str_ldl_Reload_FLI	"可重复读取的FLI"
str_ldl_REMOVE2	"移除"
str_ldl_REMOVE  "移除"


str_ldl_RESEARCH_ADVANCE	"研究科技"
str_ldl_RESEARCHING	"研究"
str_ldl_RESEARCHING_COLON	"研究："
str_ldl_Reserve	"回复"
str_ldl_Reserves	"回复"
str_ldl_RESET_DEFAULTS	"重回默认值"
str_ldl_RESET_ROUTE	"重设贸易路线"
str_ldl_RESTART	"重新开始"
str_ldl_Restless_Tribes	"活跃的部落"
str_ldl_REV	"革命"
str_ldl_REV_COLON	"革命："
str_ldl_Review	"回顾"
str_ldl_REVIEW_TRADE	"回顾贸易"
str_ldl_Revolt_Warning	"暴动警告"
str_ldl_Revolution	"革命"
str_ldl_Revolution_Risk	"革命发生机率"
str_ldl_RIOT	"暴动"
str_ldl_RIOT_COLON	"暴动："
str_ldl_Riot_Risk	"暴动发生机率"
str_ldl_Roving_Bands	"四处流浪的族群"
str_ldl_Rules	"规则"
str_ldl_RUSH_BUY	"快速购买"
str_ldl_Sale_Price_COLON	"销售价格："
str_ldl_Sale_Value_COLON	"销售价值："
str_ldl_Save	"储存"
str_ldl_SAVE_AS_TEMPLATE	"储存一个样板"
str_ldl_Save_COLON	"储存："
str_ldl_SAVE_GAME	"储存游戏"
str_ldl_SAVE_MAP	"储存地图"
str_ldl_SAVE_SCENARIO	"储存关卡"
str_ldl_Saved_Games	"储存的游戏"
str_ldl_Saved_Maps	"储存的地图"
str_ldl_Saved_Profiles_COLON	"储存的描述档："
str_ldl_Savings_Per_Turn	"每一回合都存盘"
str_ldl_SCENARIO	"关卡"
str_ldl_Scenario_Info_COLON_	"关卡信息："
str_ldl_SCI	"科技"
str_ldl_SCI_COLON	"科技："
str_ldl_Science	"科技"
str_ldl_SCIENCE_COLON	"科技："
str_ldl_Science_Per_Turn	"每回合的科技"
str_ldl_SCIENCE_STATUS	"科技状态"
str_ldl_Scientist	"科学家"
str_ldl_SCIENTISTS	"科学家"
str_ldl_Score	"积分"
str_ldl_SCORE_COLON	"积分："
str_ldl_SCREEN_CONTROLS	"画面控制"
str_ldl_Screens	"画面"
str_ldl_Sea	"海洋"
str_ldl_Select_Age_Research	"选择开始年代与研究的最后地步"
str_ldl_Select_City	"选择城市"
str_ldl_Select_Command	"选择指挥官"
str_ldl_SELECT_CONNECTION	"选择联机方式"
str_ldl_Select_Government	"选择政府型态"
str_ldl_SELECT_PROFILE	"选择描述档"
str_ldl_SELECT_SERVER	"选择服务器"
str_ldl_Self_interested	"自己有兴趣的"
str_ldl_Sell	"贩卖"
str_ldl_SELL_GOODS	"贩卖货物"
str_ldl_Sell_Indulgences	"贩卖赎罪券"
str_ldl_SEND	"送出"
str_ldl_SEND_EMISSARY	"派遣特使"
str_ldl_Send_Good	"赠送货物"
str_ldl_SEND_GOODS	"赠送货物"
str_ldl_Server	"服务器"
str_ldl_SET_AMOUNT_COLON	"设定数量："
str_ldl_SFX	"音效"
str_ldl_SFX_Volume	"音效音量"
str_ldl_Show_All	"显示所有的"
str_ldl_Show_Enemy_Moves	"显示敌人的移动"
str_ldl_SINGLEPLAYER	"单人玩家"
str_ldl_Size	"规模"
str_ldl_Slaves	"奴隶"
str_ldl_Sleep	"睡眠状态"
str_ldl_Small_24_x_48	"小的"
str_ldl_Soothsay	"预言。成本为500单位的黄金"
str_ldl_SOUND	"音效"
str_ldl_SOUND_OPTIONS	"音效"
str_ldl_Music					"音乐"
str_ldl_MUSIC_OPTIONS				"音乐"
str_ldl_Special	"特殊"
str_ldl_SPECIAL_ABILITIES	"特殊能力"
str_ldl_SPECIAL_ATTACKS	"特殊攻击"
str_ldl_Spy	"间谍"
str_ldl_Stand_Down	"下降"
str_ldl_Starting_Age_COLON	"开始年代："
str_ldl_STATS	"统计数字"
str_ldl_Status	"状态"
str_ldl_Status_COLON	"状态："
str_ldl_Steadfast	"坚定不变的"
str_ldl_Steal_Discovery	"窃取科技。成本为2000单位的黄金"
str_ldl_STOP_PIRACY	"停止海盗行为"
str_ldl_STOP_TRADE_WITH	"停止与某国贸易"
str_ldl_STORED	"储藏的"
str_ldl_Stored_Food	"剩余的食物"
str_ldl_Stored_Last_Turn	"剩余的回合数"
str_ldl_Strength	"力量"
str_ldl_Sue	"诉讼。成本为500单位的黄金"
str_ldl_SUGGEST_A_TREATY	"建议一项协议"
str_ldl_SUPP_COST	"维护成本"
str_ldl_SUPPORT	"维护"
str_ldl_TARGET_CITY	"目标城市"
str_ldl_Team	"团体"
str_ldl_Team_Play_On	"团体模式开启"
str_ldl_Ten_Biggest	"最大值为十"
str_ldl_TERRA	"地形"
str_ldl_TERRAIN	"地形"
str_ldl_Terrain_Bonus_COLON	"地形的额外加点："
str_ldl_The_current_game_setup_is_default	"目前游戏的设定为默认值。"
str_ldl_The_game_was_full	"游戏已满。"
str_ldl_This_is_a_brand_spankin_new_game	"这是个新游戏。"
str_ldl_This_is_a_scenario_game	"这是个关卡游戏。"
str_ldl_This_is_not_a_scenario_game	"这不是关卡游戏。"
str_ldl_This_is_the_continuation_of_a_saved_game	"这是个接续上次存盘进度的游戏。"
str_ldl_Throw_Party	"开舞会"
str_ldl_Tile_Imp	"区域增强设施"
str_ldl_To	"到"
str_ldl_TO_COLON	"到："
str_ldl_TO_SAVINGS	"储存"
str_ldl_TOTAL	"所有的"
str_ldl_Total_Gold	"所有单位的黄金"
str_ldl_TOTAL_NO_OF_CITIES_COLON	"所有城市："
str_ldl_Total_Points	"所有点数"
str_ldl_TOTAL_PRODUCTION	"所有物资"
str_ldl_Total_PW	"所有公共建设"
str_ldl_Trade	"贸易"
str_ldl_Trade_Bonus				"from Trade"
str_ldl_Trade_Earned	"从贸易所赚得的"
str_ldl_Trade_Off	"贸易关闭"
str_ldl_Trade_Points	"贸易点数"
str_ldl_Trade_Route_Lost_Warning	"失去贸易路线警告"
str_ldl_Trade_Routes	"贸易路线"
str_ldl_Treacherous	"背叛的"
str_ldl_TREATY	"协议"
str_ldl_TREE	"分支"
str_ldl_Tribe	"文明帝国"
str_ldl_TURNS	"回合"
str_ldl_Turns_Old	"变老"
str_ldl_Turns_Old_COLON	"变老："
str_ldl_TURNS_REMAINING	"所剩的回合数"
str_ldl_Turns_to	"要多少回合数"
str_ldl_TURNS_TO_ADVANCE_COLON	"让科技进步所需的回合数："
str_ldl_Tutorial_Advice	"教学指引"
str_ldl_TYPE	"类型"
str_ldl_Uncaring	"毫不关心的"
str_ldl_Underhanded	"秘密的"
str_ldl_Ungroup_All	"解除群组"
str_ldl_Unit	"部队"
str_ldl_Unit_Help	"部队说明"
str_ldl_UNIT_MOVEMENT	"部队移动力"
str_ldl_UNIT_STATUS	"部队状态"
str_ldl_Units	"部队"
str_ldl_UNLOAD_ALL	"无法全读取"
str_ldl_Unpredictable	"不可预测的"
str_ldl_Untarnished	"无污点的"
str_ldl_Value	"价值"
str_ldl_Very_Large_70_x_140	"巨型"
str_ldl_VICTORY	"胜利"
str_ldl_Villages_Only	"只有废墟"
str_ldl_Voice_Volume	"语音音量"
str_ldl_Wages	"薪资"
str_ldl_Walk_Animation	"移动动画"
str_ldl_WAR_DISCONTENT	"战争所带来的不满"
str_ldl_Warlike	"类似在战争的"
str_ldl_Warlord	"战神"
str_ldl_Warm	"温暖的"
str_ldl_Water_Animation	"水纹动画"
str_ldl_Welcome_to_the_City_Square	"欢迎来到市镇中心"
str_ldl_Wet	"湿润的"
str_ldl_Which_advance	"你要求哪一项科技呢？"
str_ldl_Who_will_you_attack	"你要攻击谁呢？"
str_ldl_Wonder	"世界奇观"
str_ldl_Wonders	"世界奇观"
str_ldl_Workday	"工作时数"
str_ldl_Workers	"工人"
str_ldl_WORLD	"世界"
str_ldl_World_Shape	"世界形状"
str_ldl_WORLD_SIZE	"地图规模"
str_ldl_WORLD_TYPE	"自订地图"
str_ldl_X	"X"
str_ldl_Yes	"是的"
str_ldl_You_have_become_the_host_of_this_game	"你已经成为该游戏的主机。"
str_ldl_You_have_created_Game	"你已经成功创造游戏"
str_ldl_You_have_entered_Lobby	"你已经进入大厅"
str_ldl_You_have_joined_Game	"你已经成功地加入该游戏了"

#Keeper 3#

str_tbl_ldl_Advance	"科技"
str_tbl_ldl_Airlift	"空运"
str_tbl_ldl_All_Tech	"所有科技"
str_tbl_ldl_Arabian	"阿拉伯的"
str_tbl_ldl_Asian	"亚洲的"
str_tbl_ldl_AT_PEACE	"平时"
str_tbl_ldl_AT_WAR	"战时"
str_tbl_ldl_Bioinfect	"对城市施行生化攻击"
str_tbl_ldl_Blow_Up_Cabinet	"炸毁政府组织"
str_tbl_ldl_Bombard	"轰炸攻击"
str_tbl_ldl_BUILD_OPTIONS	"建造"
str_tbl_ldl_Building	"建筑物"
str_tbl_ldl_CAPS_LOAD_GAME	"读取进度"
str_tbl_ldl_CAPS_SAVE_GAME	"储存游戏"
str_tbl_ldl_Carryover	"运输部队"
str_tbl_ldl_Cheat_Mode	"密技模式"
str_tbl_ldl_Chieftain	"族长"
str_tbl_ldl_CITY_ESPIONAGE	"城市谍报任务"
str_tbl_ldl_City_Status	"城市状态"
str_tbl_ldl_Civ_Status	"文明状态"
str_tbl_ldl_CLEANERS	"清除者"
str_tbl_ldl_Create_Park	"创造公园"
str_tbl_ldl_Custom	"自订"
str_tbl_ldl_Debug	"除错"
str_tbl_ldl_Default	"预设"
str_tbl_ldl_Deity	"大神"
str_tbl_ldl_DEMAND_ACTION	"要求行动"
str_tbl_ldl_DEMAND_ADVANCE	"要求科技"
str_tbl_ldl_DEMAND_LEAVE	"停止侵略行动"
str_tbl_ldl_DEMAND_MAP	"要求地图"
str_tbl_ldl_DEMAND_PIRACY	"停止海盗行为"
str_tbl_ldl_DEMAND_POLLUTION	"降低污染"
str_tbl_ldl_DEMAND_STOPTRADE	"停止贸易"
str_tbl_ldl_DEMAND_ATTACKENEMY	"攻击敌人"
str_tbl_ldl_DEMAND_TRIBUTE	"要求黄金"
str_tbl_ldl_Descend	"降落"
str_tbl_ldl_DIPLOMACY	"外交"
str_tbl_ldl_Diplomacy_Status	"外交状态"
str_tbl_ldl_Doughnut_World	"甜甜圈外型"
str_tbl_ldl_Dynamic_Join_Off	"『动态加入』－关闭"
str_tbl_ldl_Dynamic_Join_On	"『动态加入』－开启"
str_tbl_ldl_Earth_World	"地球"
str_tbl_ldl_Easiest	"最东边"
str_tbl_ldl_East_West_Wrap_Only	"只有东西边连接"
str_tbl_ldl_Easy	"简单的"
str_tbl_ldl_Emperor	"皇帝"
str_tbl_ldl_Entrench	"防御工事"
str_tbl_ldl_EXCHANGE_ADVANCE	"交换科技"
str_tbl_ldl_EXCHANGE_MAPS	"交换地图"
str_tbl_ldl_Expel	"驱逐"
str_tbl_ldl_Female	"女性"
str_tbl_ldl_Fog_of_War_Off	"战争迷雾－关闭"
str_tbl_ldl_Fog_of_War_On	"战争迷雾－开启"
str_tbl_ldl_Games	"游戏"
str_tbl_ldl_GIFT	"当成礼物"
