
#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"制造工具"
ORDER_PILLAGE					"掠夺"
ORDER_PLAGUE					"散布瘟疫"
ORDER_PLANT_NUKE				"安置核弹"
ORDER_RANGED_ATTACK				"远距攻击"
ORDER_REFORM					"改革城市"
ORDER_REFUEL					"补给燃料"
ORDER_SETTLE					"定居"
ORDER_SLAVE_RAID				"俘虏奴隶"
ORDER_SLEEP					"哨戒"
ORDER_SOOTHSAY					"负面预言"
ORDER_SPACE_LAUNCH				"太空发射"
ORDER_STEAL_TECHNOLOGY				"偷窃科技"
ORDER_SUE					"控告"
ORDER_TARGET					"锁定核武"
ORDER_THROW_PARTY				"举办接待会"
ORDER_UNDERGROUND_RAILWAY			"释放奴隶"
ORDER_UNLOAD					"卸载"

PERSONALITY_KAHN_DESCRIPTION			"凶残嗜血的屠夫"
PERSONALITY_GHANDI_DESCRIPTION			"化干戈为玉帛的和平主义者"
PERSONALITY_STALIN_DESCRIPTION			"孤立主义者，好战的独夫"
PERSONALITY_CEASAR_DESCRIPTION			"穷兵黩武的君主"
PERSONALITY_DEGAULLE_DESCRIPTION		"高尚的爱国者"
PERSONALITY_MEDICI_DESCRIPTION			"精明的国际贸易家"
PERSONALITY_TELLER_DESCRIPTION			"侵略性思想的学究"
PERSONALITY_STRANGELOVE_DESCRIPTION		"邪恶的天才"
PERSONALITY_CALLENBACH_DESCRIPTION		"民粹主义坚贞信徒"
