## MORE DIPLOMACY STUFF ##
DIP_DEMAND_ADVANCE_NONE "无可要求科技。"
MADLIB_RESTAIL_REJECT_SH "，我们现在正急于设计你的毁灭计画。"
MADLIB_RESTAIL_REJECT_SH "以及找寻你那傲慢无理的血。"
MADLIB_RESTAIL_REJECT_SH "，以及警告你以后少管别人的闲事。"
MADLIB_RESTAIL_REJECT_SH "因为我们现在并不想跟你寻求任何和平的关系。"
MADLIB_RESTAIL_REJECT_SH "因为你现在就像是飞在屁股上的苍蝇。"

MADLIB_EMOTE_DEMAND_A "公平的"
MADLIB_EMOTE_DEMAND_A "具容忍性的"
MADLIB_EMOTE_DEMAND_A "贤明的"
MADLIB_EMOTE_DEMAND_A "公正的"
MADLIB_EMOTE_DEMAND_A "适当的"
MADLIB_EMOTE_DEMAND_A "合理的"
MADLIB_EMOTE_DEMAND_A "理性的"
MADLIB_EMOTE_DEMAND_A "端正廉直的"
MADLIB_EMOTE_DEMAND_A "通晓事理的"
MADLIB_EMOTE_DEMAND_A "光明磊落的"

MADLIB_EMOTE_DEMAND_R "可恶的"
MADLIB_EMOTE_DEMAND_R "讨厌的"
MADLIB_EMOTE_DEMAND_R "没有根据的"
MADLIB_EMOTE_DEMAND_R "傲慢的"
MADLIB_EMOTE_DEMAND_R "虚伪奸诈的"
MADLIB_EMOTE_DEMAND_R "有阴谋的"
MADLIB_EMOTE_DEMAND_R "卑鄙的"
MADLIB_EMOTE_DEMAND_R "可憎的"
MADLIB_EMOTE_DEMAND_R "厌恶的"
MADLIB_EMOTE_DEMAND_R "没有荣誉感的"
MADLIB_EMOTE_DEMAND_R "不诚实的"
MADLIB_EMOTE_DEMAND_R "可疑的"
MADLIB_EMOTE_DEMAND_R "不妥当的"
MADLIB_EMOTE_DEMAND_R "不适当的"
MADLIB_EMOTE_DEMAND_R "无诚意的"
MADLIB_EMOTE_DEMAND_R "不能容忍的"
MADLIB_EMOTE_DEMAND_R "不合理的"
MADLIB_EMOTE_DEMAND_R "邪恶的"
MADLIB_EMOTE_DEMAND_R "攻击性的"
MADLIB_EMOTE_DEMAND_R "暴怒的"
MADLIB_EMOTE_DEMAND_R "荒谬可笑的"
MADLIB_EMOTE_DEMAND_R "非理性的"
MADLIB_EMOTE_DEMAND_R "不适合的"
MADLIB_EMOTE_DEMAND_R "低级的"
MADLIB_EMOTE_DEMAND_R "可怕的"
MADLIB_EMOTE_DEMAND_R "无法承受的"

MADLIB_EMOTE_EXCHANGE_A "妥当的"
MADLIB_EMOTE_EXCHANGE_A "可承受的"
MADLIB_EMOTE_EXCHANGE_A "钦佩的"
MADLIB_EMOTE_EXCHANGE_A "有礼貌的"
MADLIB_EMOTE_EXCHANGE_A "高尚的"
MADLIB_EMOTE_EXCHANGE_A "敏锐的"
MADLIB_EMOTE_EXCHANGE_A "公平的"
MADLIB_EMOTE_EXCHANGE_A "公正无私的"
MADLIB_EMOTE_EXCHANGE_A "最佳的"
MADLIB_EMOTE_EXCHANGE_A "公平的"
MADLIB_EMOTE_EXCHANGE_A "合适的"
MADLIB_EMOTE_EXCHANGE_A "公正无私的"
MADLIB_EMOTE_EXCHANGE_A "睿智的"
MADLIB_EMOTE_EXCHANGE_A "贤明的"
MADLIB_EMOTE_EXCHANGE_A "公正的"
MADLIB_EMOTE_EXCHANGE_A "有价值的"
MADLIB_EMOTE_EXCHANGE_A "有原则的"
MADLIB_EMOTE_EXCHANGE_A "有出息的"
MADLIB_EMOTE_EXCHANGE_A "谨慎的"
MADLIB_EMOTE_EXCHANGE_A "合理的"
MADLIB_EMOTE_EXCHANGE_A "有理性的"
MADLIB_EMOTE_EXCHANGE_A "正确的"
MADLIB_EMOTE_EXCHANGE_A "令人满意的"
MADLIB_EMOTE_EXCHANGE_A "聪明的"
MADLIB_EMOTE_EXCHANGE_A "适当的"
MADLIB_EMOTE_EXCHANGE_A "华丽的"
MADLIB_EMOTE_EXCHANGE_A "可信赖的"
MADLIB_EMOTE_EXCHANGE_A "有智能的"
MADLIB_EMOTE_EXCHANGE_A "值得努力的"
MADLIB_EMOTE_EXCHANGE_A "有价值的"

MADLIB_EMOTE_EXCHANGE_R "可恶的"
MADLIB_EMOTE_EXCHANGE_R "讨厌的"
MADLIB_EMOTE_EXCHANGE_R "没有根据的"
MADLIB_EMOTE_EXCHANGE_R "傲慢的"
MADLIB_EMOTE_EXCHANGE_R "败坏堕落的"
MADLIB_EMOTE_EXCHANGE_R "骗人的"
MADLIB_EMOTE_EXCHANGE_R "卑鄙的"
MADLIB_EMOTE_EXCHANGE_R "厌恶的"
MADLIB_EMOTE_EXCHANGE_R "不诚实的"
MADLIB_EMOTE_EXCHANGE_R "怀疑的"
MADLIB_EMOTE_EXCHANGE_R "缺乏逻辑的"
MADLIB_EMOTE_EXCHANGE_R "坏时机的"
MADLIB_EMOTE_EXCHANGE_R "不适当的"
MADLIB_EMOTE_EXCHANGE_R "势不两立的"
MADLIB_EMOTE_EXCHANGE_R "不一致的"
MADLIB_EMOTE_EXCHANGE_R "拙劣的"
MADLIB_EMOTE_EXCHANGE_R "不协调的"
MADLIB_EMOTE_EXCHANGE_R "不诚实的"
MADLIB_EMOTE_EXCHANGE_R "无法容忍的"
MADLIB_EMOTE_EXCHANGE_R "不合理的"
MADLIB_EMOTE_EXCHANGE_R "不可能和解的"
MADLIB_EMOTE_EXCHANGE_R "不足的"
MADLIB_EMOTE_EXCHANGE_R "邪恶的"
MADLIB_EMOTE_EXCHANGE_R "具攻击性的"
MADLIB_EMOTE_EXCHANGE_R "暴怒的"
MADLIB_EMOTE_EXCHANGE_R "不足取的"
MADLIB_EMOTE_EXCHANGE_R "可怜的"
MADLIB_EMOTE_EXCHANGE_R "荒谬可笑的"
MADLIB_EMOTE_EXCHANGE_R "不足取的"
MADLIB_EMOTE_EXCHANGE_R "不合适的"
MADLIB_EMOTE_EXCHANGE_R "不合理的"
MADLIB_EMOTE_EXCHANGE_R "不适合的"

MADLIB_EMOTE_OFFER_A "钦佩的"
MADLIB_EMOTE_OFFER_A "值得称赞的"
MADLIB_EMOTE_OFFER_A "高贵的"
MADLIB_EMOTE_OFFER_A "值得的"
MADLIB_EMOTE_OFFER_A "公平的"
MADLIB_EMOTE_OFFER_A "公正无私的"
MADLIB_EMOTE_OFFER_A "最佳的"
MADLIB_EMOTE_OFFER_A "公正的"
MADLIB_EMOTE_OFFER_A "合适的"
MADLIB_EMOTE_OFFER_A "睿智的"
MADLIB_EMOTE_OFFER_A "贤明的"
MADLIB_EMOTE_OFFER_A "公正的"
MADLIB_EMOTE_OFFER_A "有功绩的"
MADLIB_EMOTE_OFFER_A "有原则的"
MADLIB_EMOTE_OFFER_A "前途有望的"
MADLIB_EMOTE_OFFER_A "谨慎的"
MADLIB_EMOTE_OFFER_A "合理的"
MADLIB_EMOTE_OFFER_A "理性的"
MADLIB_EMOTE_OFFER_A "正确的"
MADLIB_EMOTE_OFFER_A "令人满意的"
MADLIB_EMOTE_OFFER_A "具学者风范的"
MADLIB_EMOTE_OFFER_A "聪明的"
MADLIB_EMOTE_OFFER_A "光明磊落的"
MADLIB_EMOTE_OFFER_A "合适的"
MADLIB_EMOTE_OFFER_A "华丽的"
MADLIB_EMOTE_OFFER_A "令人信赖的"
MADLIB_EMOTE_OFFER_A "聪明的"
MADLIB_EMOTE_OFFER_A "值得去努力的"
MADLIB_EMOTE_OFFER_A "有价值的"

MADLIB_EMOTE_OFFER_R "可恶的"
MADLIB_EMOTE_OFFER_R "讨厌的"
MADLIB_EMOTE_OFFER_R "没有根据的"
MADLIB_EMOTE_OFFER_R "傲慢的"
MADLIB_EMOTE_OFFER_R "败坏堕落的"
MADLIB_EMOTE_OFFER_R "骗人的"
MADLIB_EMOTE_OFFER_R "有阴谋的"
MADLIB_EMOTE_OFFER_R "卑鄙的"
MADLIB_EMOTE_OFFER_R "厌恶的"
MADLIB_EMOTE_OFFER_R "恶心的"
MADLIB_EMOTE_OFFER_R "不诚实的"
MADLIB_EMOTE_OFFER_R "虚伪的"
MADLIB_EMOTE_OFFER_R "怀疑的"
MADLIB_EMOTE_OFFER_R "坏时机的"
MADLIB_EMOTE_OFFER_R "不合适的"
MADLIB_EMOTE_OFFER_R "势不两立的"
MADLIB_EMOTE_OFFER_R "不一致的"
MADLIB_EMOTE_OFFER_R "拙劣的"
MADLIB_EMOTE_OFFER_R "不协调的"
MADLIB_EMOTE_OFFER_R "不诚实的"
MADLIB_EMOTE_OFFER_R "无效率的"
MADLIB_EMOTE_OFFER_R "无法容忍的"
MADLIB_EMOTE_OFFER_R "不合理的"
MADLIB_EMOTE_OFFER_R "不可能和解的"
MADLIB_EMOTE_OFFER_R "次要的"
MADLIB_EMOTE_OFFER_R "平凡的"
MADLIB_EMOTE_OFFER_R "具攻击性的"
MADLIB_EMOTE_OFFER_R "暴怒的"
MADLIB_EMOTE_OFFER_R "不足取的"
MADLIB_EMOTE_OFFER_R "贫穷的"
MADLIB_EMOTE_OFFER_R "荒谬可笑的"
MADLIB_EMOTE_OFFER_R "缺乏的"
MADLIB_EMOTE_OFFER_R "不恰当的"
MADLIB_EMOTE_OFFER_R "不合适的"

MADLIB_EMOTE_TREATY_A "适当的"
MADLIB_EMOTE_TREATY_A "钦佩的"
MADLIB_EMOTE_TREATY_A "适合的"
MADLIB_EMOTE_TREATY_A "相称的"
MADLIB_EMOTE_TREATY_A "值得称赞的"
MADLIB_EMOTE_TREATY_A "值得的"
MADLIB_EMOTE_TREATY_A "合乎伦常的"
MADLIB_EMOTE_TREATY_A "最佳的"
MADLIB_EMOTE_TREATY_A "适当的"
MADLIB_EMOTE_TREATY_A "公正的"
MADLIB_EMOTE_TREATY_A "睿智的"
MADLIB_EMOTE_TREATY_A "贤明的"
MADLIB_EMOTE_TREATY_A "公正的"
MADLIB_EMOTE_TREATY_A "有功绩的"
MADLIB_EMOTE_TREATY_A "有原则的"
MADLIB_EMOTE_TREATY_A "前途有望的"
MADLIB_EMOTE_TREATY_A "谨慎的"
MADLIB_EMOTE_TREATY_A "合理的"
MADLIB_EMOTE_TREATY_A "理性的"
MADLIB_EMOTE_TREATY_A "正确的"
MADLIB_EMOTE_TREATY_A "具学者风范的"
MADLIB_EMOTE_TREATY_A "聪明的"
MADLIB_EMOTE_TREATY_A "华丽的"
MADLIB_EMOTE_TREATY_A "令人信赖的"
MADLIB_EMOTE_TREATY_A "聪明的"
MADLIB_EMOTE_TREATY_A "值得去努力的"
MADLIB_EMOTE_TREATY_A "有价值的"

MADLIB_EMOTE_TREATY_R "可恶的"
MADLIB_EMOTE_TREATY_R "讨厌的"
MADLIB_EMOTE_TREATY_R "没有根据的"
MADLIB_EMOTE_TREATY_R "傲慢的"
MADLIB_EMOTE_TREATY_R "败坏堕落的"
MADLIB_EMOTE_TREATY_R "骗人的"
MADLIB_EMOTE_TREATY_R "有阴谋的"
MADLIB_EMOTE_TREATY_R "卑鄙的"
MADLIB_EMOTE_TREATY_R "厌恶的"
MADLIB_EMOTE_TREATY_R "恶心的"
MADLIB_EMOTE_TREATY_R "不诚实的"
MADLIB_EMOTE_TREATY_R "虚伪的"
MADLIB_EMOTE_TREATY_R "怀疑的"
MADLIB_EMOTE_TREATY_R "不适当的"
MADLIB_EMOTE_TREATY_R "不诚实的"
MADLIB_EMOTE_TREATY_R "无法容忍的"
MADLIB_EMOTE_TREATY_R "不合理的"
MADLIB_EMOTE_TREATY_R "不可能和解的"
MADLIB_EMOTE_TREATY_R "邪恶的"
MADLIB_EMOTE_TREATY_R "具攻击性的"
MADLIB_EMOTE_TREATY_R "暴怒的"
MADLIB_EMOTE_TREATY_R "荒谬可笑的"
MADLIB_EMOTE_TREATY_R "只是外观好看的"
MADLIB_EMOTE_TREATY_R "不足取的"
MADLIB_EMOTE_TREATY_R "不恰当的"
MADLIB_EMOTE_TREATY_R "非理性的"
MADLIB_EMOTE_TREATY_R "不合适的"
