#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE				"Esta nación aún no ha olvidado su derrota en el combate con nosotros."
DIP_DETAILS_REQUEST_INVADE_EX_3				"A cambio, exigimos que tus fuerzas armadas invadan {player[2].country_name}. No dejes nada tras el paso de tus tropas."
DIP_DETAILS_REQUEST_INVADE_EX_4				"A cambio, te pedimos que invadas {player[2].country_name} enseguida."

DIP_DETAILS_OFFER_STOP_PIRACY_0				"Para favorecer las buenas relaciones, te ofrecemos el cese de la piratería en las rutas comerciales de tu imperio."
DIP_DETAILS_OFFER_STOP_PIRACY_1				"Acabaremos con la piratería en tus rutas comerciales. No queremos poner en peligro el estado de nuestro país amigo."
DIP_DETAILS_OFFER_STOP_PIRACY_2				"¡Detendremos la piratería en tus rutas comerciales inmediatamente! Pedimos disculpas por este insulto a tu país."
DIP_DETAILS_OFFER_STOP_PIRACY_3				"Acabaremos con la piratería en tus rutas comerciales. No te acostumbres a recibir un trato tan clemente de nuestra parte." 
DIP_DETAILS_OFFER_STOP_PIRACY_4				"Dejaremos de piratear tus rutas comerciales."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_0			"A cambio, dejaremos de piratear tus rutas comerciales."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_1			"A cambio, dejaremos de piratear tus rutas comerciales. Queremos mantener la relación de buena voluntad entre nuestros imperios."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_2			"A cambio, ¡dejaremos de piratear tus rutas comerciales enseguida! ¡No queremos que un imperio tan destacado se enfade con nosotros."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_3			"A cambio, acabaremos con la piratería de tus rutas comerciales. Frustrar las actividades comerciales de un país tan débil no es digno de nosotros."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_4			"A cambio, no volveremos a entrometernos en tus rutas comerciales. Podemos encontrar rutas más rentables en otros lugares."
DIP_DETAILS_REQUEST_STOP_PIRACY_0			"¿No tenemos derecho al libre comercio? Te pedimos por favor que dejes de piratear nuestras rutas comerciales."
DIP_DETAILS_REQUEST_STOP_PIRACY_1			"Para conservar la paz que compartimos, te pedimos que dejes de piratear nuestras rutas comerciales." 
DIP_DETAILS_REQUEST_STOP_PIRACY_2			"Te suplicamos que por favor dejes de piratear nuestras rutas comerciales."
DIP_DETAILS_REQUEST_STOP_PIRACY_3			"El pirateo al que sometes a nuestras rutas comerciales es deleznable e imperdonable. Desiste de tu intento enseguida." 
DIP_DETAILS_REQUEST_STOP_PIRACY_4			" ¡¡Deja de piratear nuestras rutas comerciales!! ¡No permaneceremos impasibles ante tal traición!"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_0			"A cambio, pedimos solemnemente que acabe rápidamente el pirateo de nuestras rutas comerciales."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_1			"A cambio, te pedimos que dejes de piratear nuestras rutas comerciales, para así poder seguir siendo amigos."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_2			"A cambio, te rogamos que dejes de entrometerte en la actividad comercial de nuestro país. Deja de piratear nuestras rutas comerciales."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_3			"A cambio, insistimos en que acabe tu odioso pirateo de nuestras rutas comerciales."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_4			"A cambio, exigimos el cese de los deleznables actos de piratería con los que insensatamente nos atacas."

DIP_DETAILS_OFFER_BREAK_AGREEMENT_0			"Con el fin de ganar tu favor, romperemos nuestros acuerdos con {player[2].country_name}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_1			"Romperemos nuestros acuerdos con {player[2].country_name} como gesto de amistad hacia ti."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_2			"Juramos romper cualquier acuerdo con {player[2].country_name} tan pronto como sea posible."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_3			"Te ofrecemos la posibilidad de romper nuestros acuerdos con {player[2].country_name}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_4			"Romperemos nuestros acuerdos con {player[2].country_name}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_0			"A cambio, te ofrecemos la ruptura de nuestros acuerdos con {player[2].country_name}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_1			"A cambio, accedemos a romper cualquier acuerdo que tengamos con {player[2].country_name}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_2			"A cambio, prometemos finalizar cualquier acuerdo existente con {player[2].country_name}. Esperamos que esto sea suficiente para ti."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_3			"A cambio, te ofrecemos la conclusión de cualquier acuerdo existente que tengamos con {player[2].country_name}. Esto es más que razonable."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_4			"A cambio, no respetaremos nuestros acuerdos existentes con {player[2].country_name}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_0			"Te instamos a acabar con cualquier acuerdo que tengas con {player[2].country_name}. Tu reputación entre nosotros mejorará en gran medida."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_1			"Compartimos objetivos e intereses. Quizá sería mejor para ambos que rompieras los acuerdos que tienes con {player[2].country_name}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_2			"Te suplicamos que rompas los acuerdos con {player[2].country_name}. Son nuestros enemigos."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_3			"Menospreciamos tus relaciones con imperio tan deshonestos como {player[2].country_name}. Rompe cualquier tratado que tengas con ellos. Inmediatamente."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_4			"Rompe todos los acuerdos que tengas con {player[2].country_name} y hazlo enseguida."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_0		"A cambio, debemos pedirte que anules cualquier acuerdo que tengas con {player[2].country_name}. Este gesto sería de nuestro completo agrado."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_1		"A cambio, debemos pedirte, compatriota, que anules cualquier pacto, tratado o acuerdo que tengas con {player[2].country_name}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_2		"A cambio, te pedimos que acabes con los acuerdos que tengas con {player[2].country_name}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_3		"A cambio, te pedimos que termines con cualquier acuerdo que tengas con {player[2].country_name}. Por tu propio futuro, te instamos a cumplir esta petición." 
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_4		"A cambio, te exigimos que anules los acuerdos existentes con {player[2].country_name}. Ya no te interesa ponerte de su parte." 

DIP_DETAILS_OFFER_STOP_RESEARCH_0			"Juramos que dejaremos de investigar {advance[0].name} y que nos dedicaremos a otros temas científicos."
DIP_DETAILS_OFFER_STOP_RESEARCH_1			"Estamos dispuestos a dejar las investigaciones de {advance[0].name}, con el fin de mantener nuestra amistad."
DIP_DETAILS_OFFER_STOP_RESEARCH_2			"Dejaremos las investigaciones de {advance[0].name} inmediatamente."
DIP_DETAILS_OFFER_STOP_RESEARCH_3			"Accedemos a dejar las investigaciones de {advance[0].name}."
DIP_DETAILS_OFFER_STOP_RESEARCH_4			"Dejaremos las investigaciones de {advance[0].name}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_0			"A cambio, dejaremos las investigaciones de {advance[0].name}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_1			"A cambio, finalizaremos las investigaciones de {advance[0].name}." 
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_2			"A cambio, te prometemos finalizar inmediatamente la investigación sobre {advance[0].name}. Acepta nuestras disculpas, por favor."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_3			"A cambio, paralizaremos las investigaciones en el campo de {advance[0].name}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_4			"A cambio, finalizaremos las investigaciones de {advance[0].name}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_0			"Debemos pedirte con toda solemnidad que detengas las investigaciones de {advance[0].name}. No es sensato que sigas por ese camino."
DIP_DETAILS_REQUEST_STOP_RESEARCH_1			"Debemos pedirte, un país al que tenemos en gran estima, que detengas las investigaciones de {advance[0].name}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_2			"Te pedimos humildemente que detengas las investigaciones de {advance[0].name}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_3			"Tus científicos trabajan para conseguir objetivos poco acertados. Deja las investigaciones de {advance[0].name} enseguida."
DIP_DETAILS_REQUEST_STOP_RESEARCH_4			"Acaba con las investigaciones de {advance[0].name}. AHORA."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_0			"A cambio, te pedimos que dejes las investigaciones de {advance[0].name}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_1			"A cambio, te pedimos que abandones las investigaciones de {advance[0].name}. La investigación hace que nos preguntemos por qué te tenemos en tan alta estima." 
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_2			"A cambio, te suplicamos que abandones las investigaciones de {advance[0].name}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_3			"A cambio, tenemos que pedirte que dejes la investigación de {advance[0].name}. Corres el riesgo de enfadarnos."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_4			"A cambio, te exigimos que detengas las investigaciones de {advance[0].name}. Hazlo rápidamente."

DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_0		"Estamos obligados a conseguir un futuro pacífico para todos los países. Por eso, reduciremos en un {value[0].value} por ciento nuestro arsenal nuclear."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_1		"Por un imperio tan querido como el tuyo, estamos dispuestos a reducir nuestro arsenal de armas nucleares en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_2		"Ofrecemos la reducción de nuestras armas nucleares en un {value[0].value} por ciento. Esperamos que lo encuentres suficiente."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_3		"Accedemos a reducir nuestro arsenal nuclear en un {value[0].value} por ciento. Sabemos que el poder de nuestro ejército amedrenta a los países pequeños como el tuyo." 
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_4		"Aunque puede que lo lamentemos más tarde, pensamos reducir nuestro arsenal de armas nucleares en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_0		"A cambio, nos comprometemos a reducir en un {value[0].value} por ciento nuestro arsenal de armas nucleares."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_1		"A cambio, nos comprometemos a honrar nuestras buenas relaciones mediante las reducción de un {value[0].value} por ciento de nuestro arsenal nuclear."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_2		"A cambio, prometemos reducir inmediatamente la capacidad de armas nucleares en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_3		"A cambio, reduciremos nuestro arsenal nuclear exactamente en un {value[0].value} por ciento. Una reducción mayor pondría en peligro la seguridad nacional."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_4		"A cambio, reduciremos nuestro arsenal nuclear en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_0		"Estamos obligados a conseguir un mundo en paz. Reduce tu arsenal nuclear en un {value[0].value} por ciento, para que nuestros hijos puedan crecer sin la amenaza del apocalipsis." 
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_1		"Te pedimos que reduzcas la capacidad nuclear en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_2		"Humildemente te pedimos que reduzcas tu arsenal nuclear en un {value[0].value} por ciento. Esperamos no estar pidiendo demasiado."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_3		"Te pedimos encarecidamente que reduzcas tu arsenal nuclear en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_4		"Exigimos una reducción de un {value[0].value} por ciento en el arsenal nuclear."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_0		"A cambio, te pedimos que reduzcas el arsenal nuclear en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_1		"A cambio, te pedimos que cumplas la petición amistosa de reducir tu arsenal de armas nucleares en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_2		"A cambio, te pedimos solemnemente que reduzcas tu arsenal nuclear en un {value[0].value} por ciento. Nuestros ciudadanos viven atemorizados."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_3		"A cambio, insistimos en la reducción de un {value[0].value} por ciento de tu arsenal nuclear. No te niegues."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_4		"A cambio, te exigimos que retires del servicio un {value[0].value} por ciento de tus armas nucleares. Esperamos tu total cooperación." 

DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_0			"Como una rama de olivo, nos comprometemos a reducir nuestro arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_1			"Para mantener las buenas relaciones entre los imperios, ofrecemos la reducción de un {value[0].value} por ciento de nuestro arsenal de armas biológicas."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_2			"Para conseguir el favor de un imperio tan poderoso como el tuyo, reduciremos en un {value[0].value} por ciento nuestras armas biológicas."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_3			"Sabemos que las fuerzas armadas de nuestro país son intimidantes. Por eso, reduciremos nuestro arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_4			"Reduciremos nuestras armas biológicas en un {value[0].value} por ciento. Debería ser suficiente para disipar tus miedos."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_0		"A cambio, garantizamos una reducción del {value[0].value} por ciento de nuestras armas biológicas."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_1		"A cambio, reduciremos con mucho gusto el arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_2		"A cambio, haremos todo lo posible para reducir el número de armas biológicas de las que disponemos en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_3		"A cambio, reduciremos nuestro arsenal de armas biológicas en un {value[0].value} por ciento. Esto debería bastar para satisfacerte."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_4		"A cambio, reduciremos nuestro arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_0		"Te pedimos oficialmente que reduzcas tu arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_1		"Amablemente te pedimos que reduzcas en un {value[0].value} por ciento el arsenal de armas biológicas."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_2		"Te pedimos humildemente que reduzcas el arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_3		"Insistimos en que reduzcas tu arsenal biológico de guerra en un {value[0].value} por ciento." 
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_4		"Exigimos la reducción de un {value[0].value} por ciento del arsenal de armas biológicas."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_0		"A cambio, nos gustaría que redujeras en un {value[0].value} por ciento el arsenal de armas biológicas."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_1		"A cambio, te pedimos que reduzcas el arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_2		"A cambio, te rogamos que reduzcas la amenaza que tus armas biológicas representan para nuestro sustento y disminuyas en arsenal en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_3		"A cambio, te pedimos con insistencia que reduzcas el arsenal de armas biológicas en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_4		"A cambio, exigimos la reducción de un {value[0].value} por ciento de las armas biológicas de tu arsenal. No es una petición negociable."

DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_0			"En interés de la paz, reduciremos nuestro arsenal nanotecnológico en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_1			"En interés de la amistad, prometemos reducir nuestras armas nanotecnológicas en un {value[0].value} por ciento."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_2			"Reduciremos nuestras armas nanotecnológicas en un {value[0].value} por ciento. No queremos afectarte con la amenaza de una guerra poco convencional."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_3			"Estamos dispuestos a reducir nuestro arsenal nanotecnológico en un {value[0].value} por ciento, si así conseguimos que los imperios más débiles, como el tuyo, se sientan más cómodos." 
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_4			"Reduciremos las armas nanotecnológicas en un {value[0].value} por ciento. Es todo lo que haremos."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_0		"A cambio, haremos que el mundo sea un lugar más seguro mediante la reducción en un {value[0].value} por ciento de nuestro armamento nanotecnológico."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_1		"A cambio, nos comprometemos a crear un mundo más pacífico mediante la reducción en un {value[0].value} por ciento de nuestro armamento nanotecnológico."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_2		"A cambio, prometemos reducir nuestro arsenal nanotecnológico en un {value[0].value} por ciento. Esperamos que esto cumpla tus expectativas."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_3		"A cambio, daremos ejemplo a todo el mundo con la reducción de un {value[0].value} por ciento de nuestro arsenal de armas nanotecnológicas."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_4		"A cambio, reduciremos nuestro arsenal nanotecnológico en un {value[0].value} por ciento."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_0		"Solicitamos una reducción de un {value[0].value} por ciento de tu arsenal nanotecnológico."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_1		"En nombre de la amistad, solicitamos la reducción de un {value[0].value} por ciento de tu arsenal de armas nanotecnológicas."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_2		"Un gran imperio como el tuyo debe mostrar moderación y clemencia mediante la reducción de un {value[0].value} por ciento de su arsenal nanotecnológico."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_3		"Creemos que sería bueno que disminuyeras tu arsenal nanotecnológico inmediatamente. Una reducción del {value[0].value} por ciento será suficiente."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_4		"Exigimos que reduzcas tu arsenal de armas nanotecnológicas en un {value[0].value} por ciento. No queremos volver a pedirlo."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_0		"A cambio, pedimos la reducción de un {value[0].value} por ciento de tu armamento nanotecnológico. En este mundo deben imponerse la paz y la seguridad."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_1		"Te pedimos que reduzcas tu arsenal nanotecnológico. Una reducción del {value[0].value} por ciento sería suficiente para satisfacer nuestra petición."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_2		"A cambio, debemos implorarte misericordia. Reduce tu arsenal nanotecnológico en un {value[0].value} por ciento, por favor."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_3		"A cambio, insistimos en la reducción del {value[0].value} por ciento de tu arsenal de armas nanotecnológicas. No nos hagas tomar represalias." 
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_4		"A cambio, exigimos una reducción del {value[0].value} por ciento de las armas nanotecnológicas de tu arsenal. Hazlo y no olvidaremos en mucho tiempo la buena voluntad que muestras al cooperar."

DIP_DETAILS_OFFER_GIVE_ADVANCE_0			"Te ofrecemos {advance[0].name} y esperamos que reconozcas el gesto de buena voluntad que representa el presente."
DIP_DETAILS_OFFER_GIVE_ADVANCE_1			"Como muestra de amistad, nos ofrecemos a proporcionar a tu país el avance de {advance[0].name}."
DIP_DETAILS_OFFER_GIVE_ADVANCE_2			"Con humildad, te ofrecemos {advance[0].name}. Esperamos que sea de tu agrado."
DIP_DETAILS_OFFER_GIVE_ADVANCE_3			"Debido a nuestra generosidad, te ofrecemos {advance[0].name}."
DIP_DETAILS_OFFER_GIVE_ADVANCE_4			"Podemos proporcionarte el secreto de {advance[0].name}. Es un gesto más que generoso."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_0			"A cambio, te proporcionaremos {advance[0].name} como muestra de generosidad."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_1			"A cambio, compartiremos el descubrimiento de {advance[0].name} contigo, para que tu imperio pueda seguir progresando."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_2			"A cambio, te ofrecemos nuestras investigaciones en el campo de {advance[0].name} como prueba de nuestra estima."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_3			"A cambio, te revelaremos el {advance[0].name}. ¡Pasarán décadas antes de que lo descubras por tus propios medios!"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_4			"A cambio, te daremos a conocer el secreto de {advance[0].name}. ¡Eso es todo!"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_0			"¿Qué país mantendría en secreto sus descubrimientos científicos durante mucho tiempo? Seguro que uno como el tuyo no. Comparte con nosotros tus investigaciones sobre {advance[0].name}."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_1			"Como países amigos, deberíamos esforzarnos en ayudarnos a progresar los unos a los otros. ¿Compartirías tus investigaciones sobre {advance[0].name} con nosotros?"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_2			"¿Podrías compartir con nosotros el descubrimiento de {advance[0].name} y, bajo tu amable administración, permitirnos seguir tus pasos?" 
DIP_DETAILS_REQUEST_GIVE_ADVANCE_3			"Concédenos el secreto del descubrimiento de {advance[0].name}, si sabes qué te conviene. Tu generosidad será bien recompensada." 
DIP_DETAILS_REQUEST_GIVE_ADVANCE_4			"¡¡Exigimos que nos des {advance[0].name} enseguida!! Un país como el tuyo no debería acaparar una información tan valiosa." 
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_0			"A cambio, pedimos que facilites {advance[0].name} el descubrimiento a nuestro país, de manera que también podamos disfrutarlo."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_1			"A cambio, pedimos que compartas {advance[0].name} con nosotros, como prueba de amistad."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_2			"A cambio, esperamos que tu infinita generosidad te permita compartir los secretos de {advance[0].name}, de manera que también podamos disfrutar de sus beneficios."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_3			"A cambio, pedimos que nos des {advance[0].name} sin demora."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_4			"A cambio, exigimos firmemente que nos facilites todos tus conocimientos sobre {advance[0].name}. Tu país es incapaz de explotar del todo un descubrimiento como ése, y no tiene derecho a acapararlo."

DIP_DETAILS_OFFER_GIVE_GOLD_0				"Te ofrecemos {gold[0].value} de oro, para que entres a formar parte de nuestra prosperidad."
DIP_DETAILS_OFFER_GIVE_GOLD_1				"Estimado amigo, con el mayor agrado te ofrecemos una ayuda de {gold[0].value} de oro, como muestra de buena voluntad."
DIP_DETAILS_OFFER_GIVE_GOLD_2				"Con mucho gusto ofrecemos ayuda en forma de {gold[0].value} de oro, a un país como el tuyo."
DIP_DETAILS_OFFER_GIVE_GOLD_3				"Desembolsaremos hasta {gold[0].value} de oro, pero no te acostumbres."
DIP_DETAILS_OFFER_GIVE_GOLD_4				"Te daremos {gold[0].value} de oro. Eso es más que generoso."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_0			"A cambio, te concederemos una ayuda de {gold[0].value} de oro."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_1			"A cambio, y con intención de compartir la riqueza, te ofrecemos {gold[0].value} de oro."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_2			"A cambio, te ofrecemos una ayuda de {gold[0].value} de oro. Esperamos que sea suficiente para complacerte."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_3			"A cambio, te ofrecemos {gold[0].value} de oro en calidad de ayuda."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_4			"A cambio, te daremos una ayuda de {gold[0].value} de oro. Esto debería ser suficiente."
DIP_DETAILS_REQUEST_GIVE_GOLD_0				"¿Un país tan generoso y próspero como el tuyo no nos va a facilitar {gold[0].value} de oro para ayudarnos a hacer frente a los malos tiempos?"
DIP_DETAILS_REQUEST_GIVE_GOLD_1				"Apelamos a tu amabilidad para conseguir una ayuda de {gold[0].value} de oro. Un regalo como ese sería una gran prueba de la buena voluntad que comparten nuestros países."
DIP_DETAILS_REQUEST_GIVE_GOLD_2				"Te suplicamos que tengas compasión de nosotros en estos tiempos de necesidad, y que nos proporciones ayuda en forma de {gold[0].value} de oro."
DIP_DETAILS_REQUEST_GIVE_GOLD_3				"Países tan grandes como los nuestros cuestan caros. Te pedimos que nos des {gold[0].value} de oro."
DIP_DETAILS_REQUEST_GIVE_GOLD_4				"Proporciónanos {gold[0].value} de oro o sufrirás nuestra ira. ¡No pongas a prueba nuestra paciencia!" 
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_0			"A cambio, te solicitamos {gold[0].value} de oro para consolidar las relaciones entre nuestros grandes países."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_1			"A cambio, te pedimos que ayudes a nuestro país con {gold[0].value} de oro, como muestra de buena voluntad."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_2			"A cambio, te suplicamos que nos des {gold[0].value} de oro, de modo que podamos continuar cuidando a los hijos de nuestro país."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_3			"A cambio, te pedimos {gold[0].value} de oro por tener que tratar con un país tan despreciable como el tuyo." 
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_4			"A cambio, exigimos {gold[0].value} de oro como prueba de tu devoción hacia nosotros."

DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_0			"Te ofrecemos un tributo en forma de {gold[0].value} de oro en cada turno, para que tu país pueda continuar prosperando."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_1			"Como somos países amigos, ofrecemos a tu país un tributo de {gold[0].value} a cada momento."
