#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabric. herramientas"
CONCEPT_FOOD					"Alimentos"
CONCEPT_FUEL					"Combustible"
CONCEPT_FUTURE_AGE				"The Future"
CONCEPT_GENETIC_AGE				"Edad Genética"
CONCEPT_GOLD					"Oro"
CONCEPT_GOODS					"Mercancía"
CONCEPT_GOVERNMENTS				"Gobierno"
CONCEPT_GROWTH					"Crecimiento"
CONCEPT_HAPPINESS				"Felicidad"
CONCEPT_IMPROVEMENTS				"Mejoras"
CONCEPT_INDUSTRIAL_AGE				"Industrial Age"
CONCEPT_INFRASTRUCTURE				"Infraestructura"
CONCEPT_MAINTENANCE_COST			"Coste de mantenimiento"
CONCEPT_MEDIEVAL_AGE				"Medieval Period"
CONCEPT_MILITARY_READINESS			"Estado militar"
CONCEPT_MODERN_AGE				"Edad Moderna"
CONCEPT_OFFER					"Oferta"
CONCEPT_OVERCROWDING				"Masificación"
CONCEPT_POLLUTION				"Contaminación"
CONCEPT_POPULATION				"Población"
CONCEPT_PRODUCTION				"Producción"
CONCEPT_PUBLIC_WORKS				"Obras públicas"
CONCEPT_RATIONS					"Raciones"
CONCEPT_REGARD					"Consideración"
CONCEPT_RENAISSANCE_AGE				"Edad Renacimiento"
CONCEPT_REQUEST					"Pedir"
CONCEPT_REVOLUTION				"Revolución"
CONCEPT_RIOTS					"Disturbios"
CONCEPT_RIVER					"Ríos"
CONCEPT_RUINS					"Ruinas"
CONCEPT_RUSH_BUY				"Compra urgente"
CONCEPT_SCIENCE					"Ciencia"
CONCEPT_SCIENCE_SETTING				"Nivel de ciencia"
CONCEPT_SEA_COLONIES				"Colonia submarina"
CONCEPT_SLAVE					"Esclavo"
CONCEPT_SPECIAL_FORCES				"Fuerzas especiales"
CONCEPT_SPECIALISTS				"Especialistas"
CONCEPT_STARVATION				"Hambruna"
CONCEPT_STEALTH_UNITS				"Unidades Stealth"
CONCEPT_SUPPORT_COST				"Coste de apoyo"
CONCEPT_TERRAFORM				"Terreno"
CONCEPT_THREAT					"Amenaza"
CONCEPT_TILE_IMPROVEMENTS			"Mejoras de casilla"
CONCEPT_TONE					"Tono"
CONCEPT_TRADE					"Comercio"
CONCEPT_TRADE_ROUTE				"Ruta comercial"
CONCEPT_TREATIES				"Tratado"
CONCEPT_UNITS					"Unidades"
CONCEPT_VETERANS				"Veteranos"
CONCEPT_VICTORY_CONDITIONS			"Victoria - General"
CONCEPT_VICTORY_CONQUEST			"Victoria - Genocidio"
CONCEPT_VICTORY_DIPLOMATIC			"Victoria - Diplomática"
CONCEPT_VICTORY_PTS_AT_2300			"Victoria - 2300 d. C."
CONCEPT_VICTORY_SCIENCE				"Victoria - Controlador Gaia"
CONCEPT_VISION					"Visión"
CONCEPT_WAGES					"Sueldos"
CONCEPT_WONDERS					"Maravillas"
CONCEPT_WORK_HOURS				"Horas de trabajo"
CONCEPT_WORKER					"Trabajador"


#### Pop STRINGS ####
POP_WORKER					"Trabajador"
POP_SLAVE					"Esclavo"
POP_BANKER					"Comerciante"
POP_BARD					"Artista"
POP_WISEMAN					"Científico"
POP_FACTORY_GRUNT				"Obrero"

## REMOVE THE FOLLOWING:
POP_ACTOR					"Artista"
POP_PHILOSOPHER					"Científico"
POP_PROFESSOR					"Científico"
POP_LIBRARIAN					"Científico"
POP_PROGRAMMER					"Científico"
POP_MERCHANT					"Comerciante"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"Granjas"
TILEIMP_ADVANCED_FARMS				"Granjas avanzadas"
TILEIMP_HYDROPONIC_FARMS			"Granjas hidropónicas"
TILEIMP_MINES					"Minas"
TILEIMP_ADVANCED_MINES				"Minas avanzadas"
TILEIMP_MEGA_MINES				"Megaminas"
TILEIMP_TRADING_POST				"Puesto comercial"
TILEIMP_OUTLET_MALL				"Centro comercial"
TILEIMP_NATURE_PRESERVE				"Reserva natural"
TILEIMP_NETS					"Redes"
TILEIMP_FISHERIES				"Industria pesquera"
TILEIMP_AUTOMATED_FISHERIES			"Ind. pesquera autom."
TILEIMP_UNDERSEA_MINES				"Minas submarinas"
TILEIMP_ADVANCED_UNDERSEA_MINES			"Minas submarinas avanz."
TILEIMP_MEGA_UNDERSEA_MINES			"Megaminas submarinas"
TILEIMP_PORT					"Puerto"
TILEIMP_DRILLING_PLATFORM			"Plataforma de perforación"
TILEIMP_RUINS					"Ruinas"
TILEIMP_ROAD					"Carreteras"
TILEIMP_RAILROAD				"Ferrocarriles"
TILEIMP_MAGLEV					"Maglevs"
TILEIMP_UNDERSEA_TUNNEL				"Túneles submarinos"
TILEIMP_LISTENING_POSTS				"Puesto de escucha"
TILEIMP_AIR_BASES				"Base aérea"
TILEIMP_FORTIFICATIONS				"Fortificación"
TILEIMP_RADAR_STATIONS				"Puesto de radar"
TILEIMP_SONAR_BUOYS				"Boya de sonar"
TILEIMP_PROCESSING_TOWER			"Obelisco"

#### TerraformarStrings ####
TILEIMP_TERRAFORM_BROWN_HILL			"Terraformar colina desértica"
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"Terraformar montaña desértica"
TILEIMP_TERRAFORM_DESERT			"Terraformar desierto"
TILEIMP_TERRAFORM_FOREST			"Terraformar bosque"
TILEIMP_TERRAFORM_GRASSLAND			"Terraformar planicie"
TILEIMP_TERRAFORM_HILL				"Terraformar colina"
TILEIMP_TERRAFORM_JUNGLE			"Terraformar selva"
TILEIMP_TERRAFORM_MOUNTAIN			"Terraformar montaña"
TILEIMP_TERRAFORM_PLAINS			"Terraformar llanura"
TILEIMP_TERRAFORM_SWAMP				"Terraformar ciénaga"
TILEIMP_TERRAFORM_WHITE_HILL			"Terraformar colina polar"
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"Terraformar montaña polar"

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"Puesto de escucha"
INSTALLATION_AIR_BASES				"Base aérea"
INSTALLATION_FORTIFICATIONS			"Fortificación"
INSTALLATION_RADAR_STATIONS			"Puesto de radar"
INSTALLATION_SONAR_BUOYS			"Boya de sonar"

#Unit Orders#
UNIT_ORDER_NONE					"Ninguno"
UNIT_ORDER_MOVE					"Mover"
UNIT_ORDER_ENTRENCH				"Fortificar"
UNIT_ORDER_SLEEP				"Centinela"

ORDER_ADVERTISE					"Publicitar"
ORDER_ASSASSINATE				"Asesinar al gobernante"
ORDER_ATTACK					"Asaltar"
ORDER_BIO_INFECT				"Infectar ciudad"
ORDER_BOARD_TRANSPORT				"Cargar"
ORDER_BOMBARD					"Bombardear"
ORDER_CLEAR_TARGET				"Borrar objetivo"
ORDER_CONVERT					"Convertir ciudad"
ORDER_CREATE_PARK				"Nanoexterminio"
ORDER_DISBAND_ARMY				"Disolver unidad"
ORDER_ESTABLISH_EMBASSY				"Abrir embajada"
ORDER_EXPEL					"Expulsión"
ORDER_FAITH_HEALING				"Curación por la fe"
ORDER_FORTIFY					"Fortificar"
ORDER_FRANCHISE					"Franquicia"
ORDER_INCITE_REVOLUTION				"Incitar revolución"
ORDER_INCITE_UPRISING				"Ayudar alzamiento"
ORDER_INDULGENCE				"Vender indulgencias"
ORDER_INJOIN					"Pedir paralización"
ORDER_INTERCEPT_TRADE				"Piratería"
ORDER_INVESTIGATE_CITY				"Espiar"
ORDER_LAUNCH					"Lanzar"
ORDER_NANO_INFECT				"Nanoataque"
ORDER_PARADROP					"Lanzar en paracaídas"
ORDER_PILLAGE					"Saquear"
ORDER_PLAGUE					"Plaga"
ORDER_PLANT_NUKE				"Colocar arma nuclear"
ORDER_RANGED_ATTACK				"Ataque a distancia"
ORDER_REFORM					"Reformar ciudad"
ORDER_REFUEL					"Repostar"
ORDER_SETTLE					"Colonizar"
ORDER_SLAVE_RAID				"Capturar esclavos"
ORDER_SLEEP					"Centinela"
ORDER_SOOTHSAY					"Adivinar"
ORDER_SPACE_LAUNCH				"Lanzamiento espacial"
ORDER_STEAL_TECHNOLOGY				"Robar descubrimiento"
ORDER_SUE					"Pleitear"
ORDER_TARGET					"Apuntar misil nuclear"
ORDER_THROW_PARTY				"Ofrecer una recepción"
ORDER_UNDERGROUND_RAILWAY			"Liberar esclavo"
ORDER_UNLOAD					"Descargar"

PERSONALITY_KAHN_DESCRIPTION			"Vil, asesino sediento de sangre"
PERSONALITY_GHANDI_DESCRIPTION			"Pacificador proclive a la diplomacia"
PERSONALITY_STALIN_DESCRIPTION			"Aislacionista, militarista autárquico"
PERSONALITY_CEASAR_DESCRIPTION			"Imperialista agresivo"
PERSONALITY_DEGAULLE_DESCRIPTION		"Patriota exacerbado "
PERSONALITY_MEDICI_DESCRIPTION			"Astuto comerciante internacional"
PERSONALITY_TELLER_DESCRIPTION			"Académico ideológicamente agresivo"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Genio malvado"
PERSONALITY_CALLENBACH_DESCRIPTION		"Fanático populista"

### Age Strings ###

AGE_ONE						"Ancient"
AGE_TWO						"Classic"
AGE_THREE					"Middle Ages"
AGE_FOUR					"Renaissance"
AGE_FIVE					"Industrial"
AGE_SIX						"Modern"
AGE_SEVEN					"Information Age"
AGE_EIGHT					"Genetic"
AGE_NINE					"Diamond"
AGE_TEN						"Future"

### City Style Strings ###

CITY_STYLE_ROMAN				"Roman Style"
CITY_STYLE_ARAB					"Arabian Style"
CITY_STYLE_ASIAN				"Asian Style"
CITY_STYLE_AMERICAN				"American Style"
CITY_STYLE_CASTLE				"Castle Style"
CITY_STYLE_EGYPTAIN				"Egyptian Style"
CITY_STYLE_PALACE				"Palace Style"

### Build Sequences from ldl_str.txt ###

BUILD_LIST_SEQUENCE_PRODUCTION			"Producción"
BUILD_LIST_SEQUENCE_GROWTH			"Crecim."
BUILD_LIST_SEQUENCE_OFFENSE			"Ataque"
BUILD_LIST_SEQUENCE_DEFENSE			"Defensa"
BUILD_LIST_SEQUENCE_SCIENCE			"Ciencia"
BUILD_LIST_SEQUENCE_GOLD			"Oro"
BUILD_LIST_SEQUENCE_WONDERS			"Maravillas"
BUILD_LIST_SEQUENCE_HAPPINESS			"Felicidad"
BUILD_LIST_SEQUENCE_DEFAULT			"Predeterminado"
BUILD_LIST_SEQUENCE_WONDERS_SCIENTIST		"Wonders (Sci.)"
BUILD_LIST_SEQUENCE_WONDERS_MILITARIST		"Wonders (Mil.)"
BUILD_LIST_SEQUENCE_WONDERS_ECONOMIC		"Wonders (Econ.)"
BUILD_LIST_SEQUENCE_WONDERS_ECOTOPIAN		"Wonders (Ecot.)"
BUILD_LIST_SEQUENCE_WONDERS_DIPLOMATIC		"Wonders (Dipl.)"

##Risk strings moved from junk_str.txt ##
RISK_NO_DANGER_HERE				"No hay peligro aquí"
RISK_VILLAGES_ONLY				"Sólo ruinas"
RISK_BORING_HORDES				"Bandas ambulantes"
RISK_DECENT_HORDES				"Tribus inquietas"
RISK_RAGING_HORDES				"Hordas"

## Generic difficulty strings for compatibility reasons ##
DIFFICULTY_0					"Principiante"
DIFFICULTY_1					"Fácil"
DIFFICULTY_2					"Medio"
DIFFICULTY_3					"Difícil"
DIFFICULTY_4					"Muy difícil"
DIFFICULTY_5					"Imposible"

## Civlike difficulty strings ##
DIFFICULTY_SETTLER				"Colono"
DIFFICULTY_CHIEFTAIN				"Chieftain"
DIFFICULTY_WARLORD				"Warlord"
DIFFICULTY_PRINCE				"Prince"
DIFFICULTY_KING					"King"
DIFFICULTY_EMPEROR				"Emperor"
DIFFICULTY_DEITY				"Deity"

###Removed TileImp Strings###
#TILEIMP_ROBOTIC_DOCKS				"Naves ensamblaje"
#TILEIMP_ADVANCED_ROBOTIC_DOCKS			"Naves ensamblaje avanzadas"
#TILEIMP_MEGA_MANUFACTURING_BAY			"Meganaves ensamblaje"
#TILEIMP_FOOD_PODS				"Minimódulos de aliment."
#TILEIMP_FOOD_MODULES				"Módulos de alimentos"
#TILEIMP_FOOD_TANKS				"Tanques alimentos"
