#### Message strings for the Alexander the Great scenario ####


#### Button text

AG_BUTTON_OK 			"确定"
AG_ITS_A_GIRL		"{action[0].text}生了个女儿，虽然女儿也能为您带来欢乐，但马其顿贵族们不会同意由她来继承王位，此时您并没表现出失望的态度，只是仍然期望妻子将来能够生个儿子。"
AG_ITS_A_GIRL2		"{action[0].text}生了个女儿，虽然女儿也能为您带来欢乐，不过女性是无法继承马其顿王位的。"
AG_ITS_A_BOY		"{action[0].text}生下儿子了！因为您是马其顿的第三个国王，并且名字是亚历山大，因此您将您的儿子命名为亚历山大四世。众人得知您有了子嗣后，无不欢天喜地为您庆祝。您也向上天祈祷，希望他能顺利长大，为王室争光。"
AG_ITS_A_BOY2		"{action[0].text}生了个儿子！为了纪念您最亲近的朋友，您将他命名为希费斯提安二世。众人得知您有了子嗣后，无不欢天喜地为您庆祝。您也向上天祈祷，希望他能顺利长大，为王室争光。"
AG_ITS_A_BOY3		"{action[0].text}生了个儿子！为了纪念先王，您将他命名为菲力浦二世。众人得知您有了子嗣后，无不欢天喜地为您庆祝。您也向上天祈祷，希望他能顺利长大，为王室争光。"
AG_STILLBORN		"坏消息，{action[0].text}胎中的儿子难产夭折，幸好保住了母亲的性命。您希望妻子能再次怀个男婴，以俾继承王位。"
AG_SON_BIRTHDAY		"您的孩儿亚历山大四世已经有{sonAge[0]}岁大了，体能和智力一直都在成长中。"
AG_SON2_BIRTHDAY	"您的孩儿希费斯提安二世已经有{sonAge[0]}岁大了，因为第一个孩儿亚历山大四世当年不幸夭折，所以王室未来的希望都寄托在他的身上。"
AG_SON3_BIRTHDAY	"您的孩儿菲力浦二世已经有{sonAge[0]}岁大了，由于亚历山大四世与希费斯提安二世当年皆不幸夭折，您祈祷上天别再将噩运降临在三子身上。"
AG_SON1_DISEASE		"噩耗传来，您的儿子亚历山大四世死于突发性高烧，您听闻恶耗随即失控并嚎啕大哭，目前王位继承的希望也只能转移至较年幼的孩儿身上。"
AG_SON2_DISEASE		"噩耗传来，您的儿子希费斯提安二世死于突发性恶疾。您听闻后十分难过，所幸大儿子亚历山大四世依然健在，王位继承并未发生问题。"
AG_SON1_2_DISEASE	"噩耗传来，您的儿子希费斯提安二世死于突发性恶疾。您听闻后十分难过，为何他也和大儿子亚历山大四世一样夭折，上天为何如此残酷，让您的王位无人可继承。"
AG_SON_TWELVE_A		"今日您的儿子亚历山大四世年满二十，孩童由于年幼的身体较为虚弱，容易因病身亡，但您的儿子现已成年，不用担心这方面的问题了，使得一些觊觎王位的王室成员，纷纷打消继承王位的念头，在可见的未来几年，他们只能效忠于您或您的儿子。"
AG_SON_TWELVE_B		"为庆祝您的儿子年满二十，您举行了规模空前的生日宴会，宴会中您为儿子举办了一场军事演说。在演讲会场上，他除了感谢军士官兵们的忠诚、奉献及英勇，本身也展现出十分得宜的王者风范。{action[0].text}"
AG_SON2_TWELVE_A	"今日您的儿子希费斯提安二世年满二十，大家曾担心他和他大哥一样幺折身亡。现在终于年满二十了，这使得一些觊觎王位的王室成员，纷纷打消继承王位的念头，在可见的未来几年，他们只能效忠于您或您的儿子。"
AG_SON3_TWELVE_A	"今日您的儿子菲力浦二世年满二十，大家曾担心他会和他哥哥一样年幼幺折。现在终于年满二十了，使得一些觊觎王位的王室成员，纷纷打消继承王位的念头，在可见的未来几年，他们只能效忠于您或您的儿子。"
AG_SON_WORTHY		"您的儿子不负亚历山大之名。"
AG_BLANK			" "

# Conquest Strings
AG_LEAD_DEFEAT		"蛮族们悲伤地击着盾牌，为死去的伟大首领哀悼。蛮族首领的数目已减至{barbNum}位。"
AG_BARB_DEFEAT		"以往烧杀成性的蛮族，已失去最后一位首领。少了首领，这些蛮族残众，将不会再构成太大的威胁。"
AG_CL_DEFEAT		"科林斯联盟忘了血腥的战争教训，忘记他们曾遭征服的历史，由于他们不愿接受我们提出的同盟方案，只好直接征服，将他们置于帝国的统治之下。"
AG_GREEK_DEFEAT		"您已征服了所有的希腊城邦，以往独立城邦的模式不再存在，单一城邦是无法抵抗庞大帝国的。"
AG_PERSIA_DEFEAT	"您已征服了波斯全境，实现父王遗愿令您十分得意，击灭波斯之后，世上再也没有国家能与您相抗衡。"
AG_CARTHAGE_DEFEAT	"迦太基文明就此瓦解，您已征服了西地中海全境，您誓言不久后将在北非沿岸建造道路，让埃及各地皆能通往大海。也许不久后，您的水手们将会发现，外面还有更多未征服的大海与陆地。"
AG_ROMAN_DEFEAT		"您已征服了罗马，当年您前来此地时，罗马仍相当地原始，不过现在他们成为帝国的一省，说不定能传授些帝国的文明给他们。"
AG_MAGADHAN_DEFEAT	"您已击灭了摩揭陀帝国，由于大拿南达先前对人民不义，使得人民愤怒地砍下了他的头颅。此外，基于大拿南达的财产，多半是剥夺自于人民。如果您愿意花费5000黄金代为偿还，人民将会十分喜爱您。"
AG_MAGADHAN_MONEY	"摩揭陀的人民十分感激您的慷慨，主要大城皆更加地遵从您订定的规定。"
AG_MAGADHAN_NOMONEY	"抱歉，人民不是笨蛋，您曾答应要拨出经费给人民，但现在为何未见实施，钱呢？"
AG_INDEP_DEFEAT		"您已横扫了所有的独立小国，这些国家当初之所以能够独立存在，主要是因为距离遥远，不过距离对您来说并不是个障碍，您最后还是一一征服。城邦国家的形势不再存在，世界皆在您的统治之下。"

# Endgame ranking strings
AG_GAMEOVER		"您已获得胜利点数六十点中的{totalScore}。\n\n{civScore} - 征服或结盟的文明\n{cityScore} - 占领的城市\n{heirScore} - 子嗣加分\n------------------------------------\n{totalScore}总分"
AG_UNWORTHY		"马其顿有如此多的机会能成就大事，但您却未能达成。历史学家总是在研究亚历山大为何能如此伟大，而您扮演的亚历山大却一文不值。"
AG_GOOD			"您已为马其顿文明增添了一些规模，但做的还不够多。重点是您未能在初期留下子嗣。您的表现在历史评价中，并不能被称作大帝，最多只能当个好皇帝而已。"
AG_MIGHTY		"您的成就非常多，但您的国土规模称不上是个帝国，只要出现无能的后继者，就能败光您的功业。不过您还是改变了些历史，创造一些纪录。历史学家会评价您为有为的皇帝。"
AG_GREAT		"恭喜您，您证明自已也能和亚历山大大帝一样伟大，不过他年纪轻轻就离开世间，并且没有留下嗣子。您建立的帝国则能留传后代，时间上会将比亚历山大帝国还要久远。由于您建立了许多功业，历史学家在评价上，将会赋与您大帝之名。"
AG_MAGNIFICENT	"您的成就已超出亚历山大，并生育有承继王朝的皇子，亚历山大王朝将会因此更行久远。历史学家将评价您为伟大的皇帝。"
AG_DEMIGOD		"您的成就远远超越实际的亚历山大，您征服了所知的世界。千年之后，大家仍视您为皇帝中的典范。甚至有人把您视为天神下凡。"
AG_GOD			"真令人无法相信，您征服了全世界，一直到人类进入太空的一千年后，亚历山大帝国都是地球上的唯一政权。您被视作帝国的创建者，并被当做神明供人崇拜着。"

# Various extra strings
AG_PERSEP_ROAD 		"斥候报告，您已正行进于苏沙通往波斯城的道路，两地分别是波斯帝国的冬宫与夏宫。"
AG_MACEDHAPPY 		"亚历山大击溃大流士的消息，已传回马其顿祖国。您在佩拉及周边城邦的名声迅速上扬，大家都在讨论，您是如何办到的。"
AG_NEAR_CROSSROAD	"您正站在重要的路口，往北翻过崇山峻岭，将会到达波斯帝国西北地带的索底亚；往南穿越山脉则会发现许多绿洲城市，并会接上往西的道路，这条西向干道将能通达传说中的印度。"
AG_CASPIAN_GATE		"您正穿越开斯屏隘口，这儿刚好位在山脉与沙漠之间，同时也是文明的边界，隘口西边是文明国家，东边则连接着荒芜的沙漠地带，还要不断地向东前行，才能到达遥远的印度。"
AG_ETHIOPIA			"尼罗河流经南方的梅罗伊王国，以及埃塞俄比亚高原。"
AG_MEROE			"您征服了梅罗伊，这儿是世界上的主要金矿产地，您在此获得了5000黄金。"
AG_ARABIA_BY_SEA1	"您已熟知阿拉伯沿海的地理环境，在半岛的沙漠中，充满着攻击性的蛮族。南边则充满着富裕的商贸城市，这些城市值得您出兵征服。此外，您还能顺着阿拉伯沿岸往北航行到埃及。"
AG_ARABIA_BY_SEA2	"您已位在阿拉伯海湾的出口，往东可以进入阿拉伯，不过半岛的沙漠中，住着不少攻击成性的蛮族。南边则是值得征服的富裕商贸城市，您还能顺着阿拉伯沿岸往北航行到波斯。"
AG_ROAD_TO_MARIB1	"香料商队顺着这条路线通往马力伯，听说这座城市是最有钱的城市。"
AG_ROAD_TO_MARIB2	"那儿有条道路能够翻越山脉连往大城马力伯，那座城是香料贸易的中心"
AG_EGYPT_DEFECT_A	"埃及人民欢庆您的到来！数个世纪以来，埃及人民一再地发动对波斯的叛变，不过每次的下场都是再次地被征服。因此，埃及人民将您视作救世主，因为您成功的驱逐了波斯的势力。不过埃及在长期的抗争与战火的肆虐下，剩下的尽是焦土。"
AG_EGYPT_DEFECT_B	"埃及人民只接受法老王为他们的首领，如果您前往曼菲斯进行法老王的加冕仪式，那埃及人民将会臣服在您的领导之下。"
AG_EGYPT_HAPPY		"经过繁杂的仪式之后，您装扮并扮演着兼具神格的法老王，埃及人民皆视您为太阳神之子，您的声势在此如日中天。不过埃及以外的人们，仍将您视做马其顿的国王。"
AG_BABYLON			"巴比伦是波斯的四大皇宫所在之一，主要是因为当地宫殿雄伟以及民生富裕，而暗地里，巴比伦人并不喜欢波斯人。"
AG_ECBATANA			"埃克巴达纳是波斯的四大皇宫所在之一，当地人民为此上缴了不少税金，供奢侈的波斯皇室花用。" 
AG_SYRACUSE			"先后有许多国家尝试征服西拉库斯，但没人能成功取得这座城。雅典之前会从极盛转为衰败，也是因为出征西拉库斯失利所导致。西拉库斯之所以如此难以攻下，主要是因为战略位置极佳，并且在城市周围筑有高墙。" 
AG_ATHENS			"雅典可说是世上最不寻常的城市，从亚里斯多德学院便可看出这里的人们聪明、有智能。此外，这座城市拥有高度的防卫准备。" 
AG_SPARTA			"斯巴达是希腊城邦中，唯一敢当面耻笑亚历山大的城市。并且该城不属于科林斯联盟成员。由于斯巴达位于山麓地形，又有高墙围绕着，他们不畏惧任何外来势力，包含亚历山大在内。" 
AG_PERSEPOLIS		"波斯城是波斯的四大皇宫所在之一，这儿也是波斯帝国的发源地，因此四大皇宫最大的一座位于此地，同时城斯城是波斯最为富庶的城市。" 
AG_SUSA				"苏沙是波斯四大皇宫所在之一，当地人民为此上缴了不少的税金供奢侈的波斯皇室花用。这儿也是波斯国道的起点，相当于奇观中的亚平道。"
AG_ROME				"尽管战略位置不佳，罗马城仍能发展成一座大城，睿智的政府成就伟大的城市，政府还为罗马城建了厚实的城墙。" 
AG_PERSEPOLIS2		"征服了波斯人的发源地，无疑的给了波斯帝国极大的打击。接着您在此没收了15000黄金，能够聚集如此多的金钱，世上也只有这座城市有这个能力；不过，您对波斯帝国创建者塞流士大帝的陵墓礼遇有加，令波斯人感到讶异。"
AG_SUSA2			"作为波斯的皇城之一，苏沙藏有许多黄金，您在此获得了4000黄金。"
AG_ECBATANA2		"作为波斯的皇城之一，埃克巴达纳拥有许多黄金，您在此获得了4000黄金。波斯人为何不将这些金钱用作军费，实在令人感到不解。"
AG_BABYLON2			"大城巴比伦，也就是素称的罪恶之城，已被您占有。在波斯的皇宫中，您发现了5000黄金。巴比伦的位置适中，是统领各地的绝佳地点。"
AG_ATHENS2			"大城雅典已为您所拥有。然而您废弃了科林斯联盟的管理模式，而采用杀戮破坏的手段征服此城，使得您在周边各国的名声因此下滑。" 
AG_PERSIANS_DEAD	"您已征服波斯全境，再也没人能够冒充波斯皇室复出。一旦您回到巴比伦完成登基仪式后，波斯人民将会把您视作他们的新皇帝。"
AG_HAPPY_EMPIRE		"经过繁复的仪式，您宣布波斯与希腊已合而为一，并自任为波斯帝国新皇帝，成了王中之王。波斯臣民为此皆雀跃不已，您在这些地方的声望迅速地拉升。然而希腊人民您所提出的波希一统构想，持保留态度，他们并不想与眼中的波斯蛮族成为同胞。"
AG_SPARTA_DEFECT	"您在希腊世界的声望正在下滑，因为您无法保有希腊世界的一致性。希腊半岛上的斯巴达城邦，已决定加入波斯阵营，此时斯巴达呼吁希腊城邦也一同加入波斯阵营，并且正准备要攻打科林斯联盟。"
AG_REALLY_HAPPY_EMPIRE	"您的帝国领域西起迦太基与罗马，东至印度。这是史上最大的领地规模，您在帝国境内的声望因此往上提升。"
AG_PERSIAN_FLEE		"由于您较少前来这座城市，使得此地驻军私下逃离，让城市变成一座无人防守的空城。"

# Additional leader death strings
AG_PORUS_OLD		"斥候报告，印度将军波鲁斯已身亡，死亡原因不明。对您来说，这么一个有为的将领，不论他是有利的同盟或是可敬的对手，他的逝去都是令人叹惜的。"
AG_PORUS_BATTLE		"我军已击败了波鲁斯将军，这么多年来，他是摩揭陀帝国之外的主要敌对势力，最后他还是敌不过您的军事才能，可惜他也是一名杰出将领，所谓英雄惜英雄。临死之前，他仍奋力砍杀了数十名围攻他的我军士兵，直到后来筋疲力竭，他才自我了断结束生命。"
AG_CHANDRA_OLD		"旃陀罗笈多将军死于热带性疾病，印度人统一印度的梦想自此瓦解，他曾以此理念号召人民四处征战。若是他仍活着，将会是印度的亚历山大。"
AG_CHANDRA_DEAD		"大将军旃陀罗笈多死于战役当中，他的死去瓦解了印度人统一印度的梦想他曾以此梦想号召人民四处征战。若是他仍活着，将会是印度的亚历山大。"
AG_MEMNON_OLD		"波斯第一大将曼农将军病逝，能够不用和他在战场上碰头，您应该感到庆幸。"
AG_MEMNON_BATTLE	"波斯第一大将曼农将军在战场上遭愤怒的希腊士兵杀害，希腊人气愤这名叛徒为何与自己的人民为敌。少了曼农之后，我军进展将更加顺利。"
AG_BESSUS_OLD		"波斯将军贝色斯遭到部将杀害，由于他迟迟未能拿出皇室血统证明，使得能力远超过贝色斯的一名部将，不甘受其指使，因而将他杀害并取而代之。不过这也使得残余的波斯势力更形分裂。"
AG_BESSUS_BATTLE	"波斯将军贝色斯死于沙场。随着他的逝去，波斯境内不再有人能够集结部队，出面与您抗衡。"

#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
#		 			 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 					 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

AG_TEMP			"dariusBattle = {dariusBattle} dariusValid = {dariusUnit.valid}, Location = {location[1].x},{location[1].y}\nAlexander valid = {alexUnit.valid}\n Location = {location[0].x},{location[0].y}\nSon Birthday Countdowns:{sonBday[0]}, {sonBday[0]}, {sonBday[0]}\nSon ages: {sonAge[0]}, {sonAge[1]}, {sonAge[2]} - oldest son: {oldestSon}, heirScore: {heirScore}"
AG_TEMP2		""






