#### Message Strings for the Seven Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_BANDITS_DEFEATED	"Als auch der letzte Bandit geschlagen ist, geht ein Seufzer der Erleichterung durch das Dorf, doch Sie sind sich darüber im Klaren, dass es noch nicht vorbei ist. Der Banditenanführer war nicht unter den Männern, gegen die Sie gekämpft haben. Er muss sich noch irgendwo im Norden herumtreiben."
SS_BANDIT_LEADER	"Der Banditenanführer verspottet Sie und sagt: 'Erst werde ich euch dämlichen Samurai zu einem langsamen, schändlichen und qualvollen Tod verhelfen und dann werde ich mit den Dorfbewohnern von Shichinen genau dasselbe machen.'"
SS_LOSE_GAME		"Sie spüren, wie Ihr geschundener Körper immer schwächer wird, und wissen, dass Sie versagt haben. Sie haben Ihr Bestes gegeben und mehr konnte man wohl auch nicht erwarten. Sie hoffen, dass die Dorfbewohner von Shichinen das genauso sehen werden."
SS_LOSE_GAME2		"Sie begegnen einem Wanderer, der Neuigkeiten zu berichten weiß: Der Mann erzählt Ihnen, dass die Inseln in Aufruhr sind, weil das Dorf Shichinen vernichtet wurde. Offensichtlich haben die Banditen das ganze Dorf abgebrannt und die überlebenden Bewohner als Sklaven verkauft. Sie haben versagt!"
SS_TIME_UP			"Es ist ein Jahr vergangen, seit Sie dem Dorf Shichinen Ihre Hilfe angeboten haben. Sie haben es nicht rechtzeitig zurückgeschafft, um das Dorf verteidigen zu können, aber wenn Sie sich beeilen, können Sie den Bewohnern vielleicht auf andere Weise behilflich sein."
SS_WIN_GAME			"Der Banditenanführer ist besiegt! Sie haben es geschafft!{action[0].text}"
SS_WIN_GAME2		" Die Dorfbewohner sind erleichtert, dass Sie sie gerettet haben, aber sie sind nicht in Feierstimmung. Stattdessen kehren sie in ihr Dorf zurück, um mit dem Wiederaufbau zu beginnen. "

SS_KATCHU_DROWNS	"Kikichuyo wurde von dem starken Sog der sinkenden Insel unter Wasser gezogen. Was für ein furchtbares Schicksal! Vielleicht wäre es besser gewesen, ihn seine Sorgen in der Taverne ertränken zu lassen."
SS_KATCHU_DIES	"Kikichuyo ist im Kampf gefallen. Sie werden seine Kampffertigkeiten und seinen Humor vermissen, nicht jedoch seinen falschen Gesang."
SS_CHUN_LING_DIES	"Chun Ling ist tot. Sie war eine flinke Kriegerin und eine treffsichere Bogenschützin. Sie werden sie schmerzlich vermissen."
SS_GONZA_DIES		"Gonza ist im Kampf gefallen. Sie werden diesen begabten Lanzenkämpfer schmerzlich vermissen."
SS_CHIKAMATSU_DIES	"Chikamatsu wird von üblen Banditen angegriffen. Sein Pferd gerät ins Straucheln und fällt mit voller Wucht auf seinen Reiter. Er hat keine Chance."
SS_JCHAN_DIES		"J-chan geht tödlich verwundet zu Boden. Er scheint sich förmlich aufzulösen, außer seiner Kleidung ist nichts mehr übrig. Doch dann springt ein großer, schwarzer, gehörnter Hase aus seinen Gewändern hervor und hoppelt schnell außer Sichtweite."
SS_MIMIYOTA_DIES	"Mimiyota ist tot! Ohne seine Hilfe werden Sie sich niemals Zugang zur Sternenstraße verschaffen und somit auch nicht nach Shichinen zurückkehren können. Sie haben versagt."
SS_MIMIYOTA_DIES2	"Mimiyota ist tot! Der Verlust seiner Weisheit und seines Wissens ist ein derber Schlag. Zumindest aber hat er lange genug gelebt, um das Portal zur Sternenstraße zu öffnen, damit Sie Ihre Aufgabe zu Ende führen können."
SS_BANDIT_CARRACK	"Da Sie die Banditen niedergestreckt haben, ist die Karavelle jetzt sozusagen herrenlos. Also nehmen Sie sie selbst in Besitz."


#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
#	 				 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 					 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

# Global, random and Tavern strings 
SS_BLANK			" "
SS_2MONTHS			"Es ist zwei Monate her, seit Sie sich auf die Reise begeben haben. Verlieren Sie Ihr Ziel nicht aus den Augen."
SS_4MONTHS			"Ihr Abenteuer dauert nun bereits vier Monate an. Denken Sie daran: Mit Geduld und Entschlossenheit lassen sich alle Hindernisse überwinden."
SS_6MONTHS			"Die Zeit vergeht wie im Flug: Es ist bereits sechs Monate her, seit Sie Shichinen verlassen haben. Mit etwas Glück werden Ihnen die Banditen, die das Dorf bedrohen, in weiteren sechs Monaten tot zu Füßen liegen."
SS_8MONTHS			"Seit Ihrem Aufbruch zu diesem Abenteuer sind nun schon acht Monate vergangen. Die Dorfbewohner von Shichinen erwarten bereits sehnsüchtig Ihre Rückkehr."
SS_10MONTHS			"Es sind noch zwei Monate bis zur Ernte in Shichinen. Die Dorfbewohner fragen sich, ob Sie jemals wiederkommen werden ..."
SS_LEVEL_UP			"Durch steigende Kampferfahrung hat <c:0,0,200>{unit[0].name#ARTICLE_DEF}<e> <c:0,0,200>{action[0].text}<e> hinzugewonnen."
SS_LEVEL_DEFENSE	"+ 5 Verteidigung" 
SS_LEVEL_ATTACK		"+ 5 Angriff"
SS_LEVEL_MOVEMENT	"+ 1 Fortbewegung"
SS_LEVEL_MAX		"<c:0,0,200>{unit[0].name#DEF}<e> hat die in diesem Abenteuer höchstmögliche Erfahrungsstufe erreicht."
SS_HUT_EMPTY		"Sie stehen vor einer großen Hütte. Sie klopfen an die Tür, erhalten aber keine Antwort. Dennoch haben Sie das Gefühl, beobachtet zu werden ..."
SS_AMBUSH1			"Banditen stürzen aus ihrem Versteck {action[0].text} hervor!"
SS_AMBUSH2			"Als Sie gedankenverloren weitergehen, stürzt plötzlich eine Gruppe Banditen aus ihrem Versteck {action[0].text} hervor und greift Sie an!"
SS_AMBUSH3			"Wegelagerer stürzen aus ihrem Versteck {action[0].text} hervor und fuchteln wüst mit ihren Waffen herum!"
SS_AMBUSH4			"'Das wäre ja auch zu schön gewesen ...', schießt es Ihnen durch den Kopf, als eine Gruppe ziemlich unfreundlich gestimmter Gesellen aus ihrem Versteck {action[0].text} hervorstürzt!"
SS_AMBUSH5			"Sie wollen gerade Rast machen und ein Häppchen essen, als plötzlich eine Gruppe Banditen aus ihrem Versteck {action[0].text} hervorkriecht, um Ihren Proviant zu klauen!"
SS_AMBUSH6			"Ein paar Gauner schleichen aus ihrem Versteck {action[0].text} hervor und wollen Sie im Schlaf angreifen! Glücklicherweise schlafen Sie immer mit offenen Augen."
SS_AMBUSH_FOREST	"hinter den Bäumen"
SS_AMBUSH_PLAINS	"hinter einem Busch"
SS_AMBUSH_GRASSLAND	"im Dickicht"
SS_AMBUSH_SWAMP		"hinter einem Sumpf"
SS_AMBUSH_JUNGLE	"im dichten Unterholz"
SS_AMBUSH_DESERT	"hinter einem Kaktus"
SS_AMBUSH_DUNES		"hinter der Sanddüne"
SS_AMBUSH_BEACH		"hinter einem halb verwesten gestrandeten Wal"
SS_AMBUSH_MOUNTAIN	"hinter einem Felsen"
SS_AMBUSH_TAVERN	"hinter der Taverne"

SS_TAVERN		"Hier gibt es ein Rasthaus. Sie beschließen, eine kurze Rast einzulegen, Ihren Durst zu stillen, den Staub von Ihren Kleidern zu klopfen und sich den neuesten Klatsch anzuhören ..."
# if Random number = 0, you get ambushed by brigands
SS_GOSSIP1		"Sie hören zufällig mit an, wie {action[1].text} gegenüber {action[10].text} behauptet, einen verwandlungsfähigen Dämon erlegt zu haben. {action[7].text} besteht darauf, dass die Mütze aus dem Pelz dieses Dämons gefertigt sei, auf Sie wirkt das Ding aber eher wie Hasenfell ..."
SS_GOSSIP2		"Zwischen {action[5].text} und {action[10].text} kommt es zu einer handgreiflichen Auseinandersetzung, in der {action[8].text} eindeutig überlegen ist. Nachdem alles vorbei ist, genehmigen sich beide erst mal einen Drink und stoßen freundschaftlich miteinander an."
SS_GOSSIP3		"{action[9].text} empfiehlt Ihnen das Hasenragout, doch als Sie den Geruch aus der Küche wahrnehmen, entscheiden Sie sich dagegen."
SS_GOSSIP4		"Sie bemerken plötzlich einen stechenden Geruch. Auch die anderen Gäste werden unruhig und schließlich ruft {action[1].text}: 'Das ist Giftgas! Alle raus hier!' Fluchtartig verlassen die Leute den Raum. Später stellt sich heraus, dass es sich gar nicht um Giftgas handelte: Der Koch hatte sich lediglich an einem neuen Rezept für einen genießbaren Proteintrank mit Schokoladengeschmack versucht." 
SS_GOSSIP5		"{action[9].text} erzählt Ihnen von einem bösartigen gehörnten Hasen, der auf dem Land sein Unwesen treiben und Weidevieh abschlachten soll, um in dem warmen Blut zu baden."
SS_GOSSIP6		"'Letzte Nacht fand ich mein Lieblingsschwein aufgeschlitzt in seinem Stall!', klagt {action[1].text}. Viele der anderen Leute bekreuzigen sich. Jemand sagt: 'Der gehörnte Dämonenhase hat wieder zugeschlagen!'"
SS_GOSSIP7_A	"'Es war eine Nacht, die so finster und kalt war wie die Maurenkonkubine des Shogun Lau Wang', erzählt {action[1].text} einer Gruppe interessierter Zuhörer. 'Ich hatte gerade meine Schlafstätte aufgebaut und ein Feuer entfacht, als Kato, mein Reisegefährte, den ich schon seit meiner Kindheit kannte, sich schlagartig in ein Monster mit Klauen, Fangzähnen und borstigem Fell verwandelte und mich angriff!'"
SS_GOSSIP7_B	"{action[7].text} fährt fort: 'Ich kämpfte um mein Leben, doch die Bestie, in die sich mein Freund verwandelt hatte, war viel stärker als ich. Schließlich gelang es mir aber doch noch, dem Ungeheuer mit der einzigen Waffe, die mir zur Verfügung stand, eine schwere Wunde zuzufügen: einem Paar Essstäbchen!' {action[7].text} unterbricht die Erzählung und hält ein Paar abgenutzte, braun angelaufene Essstäbchen hoch."
SS_GOSSIP7_C	"Die daraufhin ertönenden 'Ahhs' und 'Oohs' zeugen von der großen Bewunderung der meisten Zuhörer. {action[7].text} erzählt weiter: 'Ich hatte die Kreatur in die Brust gestochen, doch statt zu sterben, wie es bei einer solchen Wunde für jedes natürliche Wesen normal wäre, rannte das Monster davon und verschwand mit erbärmlichem Geheule im Wald. Weder die Bestie noch meinen Freund Kato habe ich je wiedergesehen ..."
SS_GOSSIP8		"In der Taverne kursieren wilde Geschichten über den Untergang von Oatakark. {action[9].text} hat eine plausible Erklärung dafür parat, dass die Insel im Meer versinken musste: Die örtlichen Fischhändler haben die Geister erzürnt, weil sie ihre Meeresfrüchte zu völlig überhöhten Preisen verkaufen."
SS_GOSSIP9		"{action[9].text} lehnt an einer großen Kiste und jammert: 'Wenn man einmal von dem Erziehungswesen, dem Sake, den öffentlichen Theaterauführungen, dem Bewässerungssystem und dem Straßenbau absieht, was haben die Shoguns dann jemals für uns getan?' Von den anderen wird {action[8].text} einfach ignoriert."
SS_GOSSIP10		"Sie wollen es sich gerade bequem machen, als plötzlich ein Sandsack durch die Decke in den Schankraum der Taverne kracht und schnurstracks auf {action[5].text} am Nachbartisch landet. Durch das Loch können Sie gerade noch sehen, wie ein großer Ballon in die Wolken entschwindet. Sie könnten schwören, Sie hätten gehört, wie sich jemand dort oben leise entschuldigt hat."
SS_GOSSIP11		"{action[9].text} erzählt Ihnen, dass die Sternenstraße der schnellste Weg wäre, um über die Inseln zu reisen, dass Sie aber einen Führer brauchen würden, um sich zurechtzufinden."
SS_GOSSIP12		"'Ich wollte niemandem Schaden zufügen', erklärt {action[8].text}. 'Ich habe den alten Geizkragen Mimiyota nur zum Spaß aufgefordert, mir all sein Geld zu geben. Er antwortete, ich sei ein Schwachkopf. Das Nächste, was ich weiß, ist, dass mir ein Schwanz gewachsen war und ich unglaublichen Appetit auf saftiges Weidegras hatte. Den ganzen Weg nach Süden in den Dschungel ritt er auf meinem Rücken!'"
SS_GOSSIP13		"Ein paar {action[1].text} stimmen ein bekanntes Trinklied an:\n'Fische sind glitschig, Fische sind nass und sie sind ja so mickrig, oh wie ich sie hass'! Nie mehr Fisch für mich! Nie mehr auf den Tisch! Nie mehr Fisch für mich! Denn ICH HASSE FISCH! Die zweite Strophe geht genau so wie die erste, wird nur ein bisschen lauter und schräger gesungen ...'"
SS_GOSSIP14		"Ein paar {action[1].text} stimmen ein bekanntes Trinklied an:\n'Neun kleine Reisbällchen, die rollten in die Stadt, da kam ein Mann und aß eins auf, da waren's nur noch acht. Acht kleine Reisbällchen, die wollten was erleben, doch eines rollte in den See, da waren's nur noch sieben ...'"
SS_GOSSIP15		"Ein paar {action[1].text} stimmen ein bekanntes Trinklied an:\n'Reis am Tag und Reis bei Nacht, Reis im Mai und nach halb acht. Reis ist körnig, Reis ist blass, Reis ist mickrig, oh wie ich ihn hass'! Ich will lieber Eis oder gelben Mais, doch niemals wieder Reis! Die zweite Strophe geht genau so wie die erste, wird nur ein bisschen lauter und schräger gesungen ...'"
SS_GOSSIP13_14_15	"Sie beschließen, sich die nächste Strophe lieber nicht mehr anzutun und stattdessen unauffällig zu verschwinden."
SS_GOSSIP16		"Sie hören zufällig wie ein weiser alter Mönch {action[6].text} unterrichtet. Der Mönch sagt: 'Um meine Lehren zu begreifen, musst du dich zunächst einmal dümmer fühlen, als ich es bin. Dann musst du lernen, dass du nicht lernen kannst, ein Dummkopf zu sein. Und dann ist deine Ignoranz der direkte Weg zu meiner persönlichen Genugtuung ...'"
SS_GOSSIP17		"{action[9].text} trällert ein nicht ganz jugendfreies Liedchen über Gaishin, die Geisha, die leider so gar nicht auf Männer stand ..."
SS_GOSSIP18		"Ein Bettler bietet farbenfroh bemalte 'magische' Eier zum Verkauf an. Er behauptet, zu gegebener Zeit würde eine kleine gelbe Maus aus dem Ei entschlüpfen, die mit Blitzen um sich schießt. Selbst wenn der Kerl die Wahrheit sagt, können Sie sich keinen vernünftigen Nutzen für eine derartige Kreatur vorstellen."
SS_GOSSIP19		"Sie hören zufällig, wie {action[1].text} sagt: 'Die Sternenstraße ist blockiert! Ich glaube, Mimiyota will sie für sich allein haben, dieser geizige alte Schamane ...'"
SS_PERSON0		"ein Seemann"
SS_PERSON1		"eine Barfrau"
SS_PERSON2		"ein Bauer"
SS_PERSON3		"ein Bettler"
SS_PERSON4		"ein Wirt"
SS_PERSON5		"ein Edelmann"
SS_PERSON6		"ein Ninja"
SS_PERSON7		"ein Krieger"
SS_PERSON8		"eine Jungfrau"
SS_PERSON9		"eine Geisha"
SS_PERSON10		"ein Bunraku-Puppenspieler"
SS_PERSON11		"ein Sumo-Ringer"
SS_PERSON12		"ein Kabuki-Schauspieler"
SS_PERSON13		"ein Mönch"
SS_PERSON14		"ein Gaukler"
SS_PERSON15		"eine feine Dame"
SS_PERSON16		"ein Samurai"
SS_PERSON17		"ein Mann"
SS_PERSON18		"eine Frau"
SS_PERSON19		"ein Fischer"
SS_PEOPLE0		"Seemänner"
SS_PEOPLE1		"Barfrauen"
SS_PEOPLE2		"Bauern"
SS_PEOPLE3		"Bettler"
SS_PEOPLE4		"Wirte"
SS_PEOPLE5		"Edelmänner"
SS_PEOPLE6		"Ninjas"
SS_PEOPLE7		"Krieger"
SS_PEOPLE8		"Jungfrauen"
SS_PEOPLE9		"Geishas"
SS_PEOPLE10		"Bunraku-Puppenspieler"
SS_PEOPLE11		"Sumo-Ringer"
SS_PEOPLE12		"Kabuki-Schauspieler"
SS_PEOPLE13		"Mönche"
SS_PEOPLE14		"Gaukler"

# if Random number = 0, descriptor is blank
SS_DESCRIPTOR1		""
SS_DESCRIPTOR2		""
SS_DESCRIPTOR3		""
SS_DESCRIPTOR4		""
SS_DESCRIPTOR5		""
SS_DESCRIPTOR6		""
SS_DESCRIPTOR7		""
SS_DESCRIPTOR8		""
SS_DESCRIPTOR9		""
SS_DESCRIPTOR10		""
SS_DESCRIPTOR11		""
SS_DESCRIPTOR12		""
SS_DESCRIPTOR13		""
SS_DESCRIPTOR14		""
SS_DESCRIPTOR15		""
SS_DESCRIPTOR16		""
SS_DESCRIPTOR17		""
SS_DESCRIPTOR18		""
SS_DESCRIPTOR19		""

SS_REGARD_EVENT		"Uralter Hass"

SS_TEMP				"{turnCount} 1: {location[0].x},{location[0].y}  2: {location[1].x},{location[1].y}  3: {location[2].x},{location[2].y}  4: {location[3].x},{location[3].y}  5: {location[4].x},{location[4].y}  6: {location[5].x},{location[5].y}  7: {location[6].x},{location[6].y}"

#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
# 			 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 			 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# For localizations

###Replace {action[1].txt#DAT to be replaced by {action[5].txt}####
###Replace {action[3].text#DAT} with {action[10].text}###
SS_PERSON0_DAT "einem Seemann"
SS_PERSON1_DAT "einer Barfrau"
SS_PERSON2_DAT "einem Bauern"
SS_PERSON3_DAT "einem Bettler"
SS_PERSON4_DAT "einem Wirt"
SS_PERSON5_DAT "einem Edelmann"
SS_PERSON6_DAT "einem Ninja"
SS_PERSON7_DAT "einem Krieger"
SS_PERSON8_DAT "einer Jungfrau"
SS_PERSON9_DAT "einer Geisha"
SS_PERSON10_DAT "einem Bunraku-Puppenspieler"
SS_PERSON11_DAT "einem Sumo-Ringer"
SS_PERSON12_DAT "einem Kabuki-Schauspieler"
SS_PERSON13_DAT "einem Mönch"
SS_PERSON14_DAT "einem Gaukler"
SS_PERSON15_DAT "einer feinen Dame"
SS_PERSON16_DAT "einem Samurai"
SS_PERSON17_DAT "einem Mann"
SS_PERSON18_DAT "einer Frau"
SS_PERSON19_DAT "einem Fischer"

###Replace {action[1].text#ACC} with {action[6].text}###
###Replace {action[3].text#ACC} with {action[11].text}###
SS_PERSON0_ACC "einen Seemann"
SS_PERSON1_ACC "eine Barfrau"
SS_PERSON2_ACC "einen Bauern"
SS_PERSON3_ACC "einen Bettler"
SS_PERSON4_ACC "einen Wirt"
SS_PERSON5_ACC "einen Edelmann"
SS_PERSON6_ACC "einen Ninja"
SS_PERSON7_ACC "einen Krieger"
SS_PERSON8_ACC "eine Jungfrau"
SS_PERSON9_ACC "eine Geisha"
SS_PERSON10_ACC "einen Bunraku-Puppenspieler"
SS_PERSON11_ACC "einen Sumo-Ringer"
SS_PERSON12_ACC "einen Kabuki-Schauspieler"
SS_PERSON13_ACC "einen Mönch"
SS_PERSON14_ACC "einen Gaukler"
SS_PERSON15_ACC "eine feine Dame"
SS_PERSON16_ACC "einen Samurai"
SS_PERSON17_ACC "einen Mann"
SS_PERSON18_ACC "eine Frau"
SS_PERSON19_ACC "einen Fischer"

###Replace {action[1].text#ARTICLE_DEF_CAPS} with {action[7].text}###
###Replace {action[3].text#ARTICLE_DEF_CAPS} with {action[12].text}###
SS_PERSON0_ARTICLE_DEF_CAPS "Der Seemann"
SS_PERSON1_ARTICLE_DEF_CAPS "Die Barfrau"
SS_PERSON2_ARTICLE_DEF_CAPS "Der Bauer"
SS_PERSON3_ARTICLE_DEF_CAPS "Der Bettler"
SS_PERSON4_ARTICLE_DEF_CAPS "Der Wirt"
SS_PERSON5_ARTICLE_DEF_CAPS "Der Edelmann"
SS_PERSON6_ARTICLE_DEF_CAPS "Der Ninja"
SS_PERSON7_ARTICLE_DEF_CAPS "Der Krieger"
SS_PERSON8_ARTICLE_DEF_CAPS "Die Jungfrau"
SS_PERSON9_ARTICLE_DEF_CAPS "Die Geisha"
SS_PERSON10_ARTICLE_DEF_CAPS "Der Bunraku-Puppenspieler"
SS_PERSON11_ARTICLE_DEF_CAPS "Der Sumo-Ringer"
SS_PERSON12_ARTICLE_DEF_CAPS "Der Kabuki-Schauspieler"
SS_PERSON13_ARTICLE_DEF_CAPS "Der Mönch"
SS_PERSON14_ARTICLE_DEF_CAPS "Der Gaukler"
SS_PERSON15_ARTICLE_DEF_CAPS "Die feine Dame"
SS_PERSON16_ARTICLE_DEF_CAPS "Der Samurai"
SS_PERSON17_ARTICLE_DEF_CAPS "Der Mann"
SS_PERSON18_ARTICLE_DEF_CAPS "Die Frau"
SS_PERSON19_ARTICLE_DEF_CAPS "Der Fischer"

###Replace {action[1].text#ARTICLE_DEF_SMALL} with action[8].text}###
###Replace {action[3].text#ARTICLE_DEF_SMALL} with {action[13].text}###
SS_PERSON0_ARTICLE_DEF_SMALL "der Seemann"
SS_PERSON1_ARTICLE_DEF_SMALL "die Barfrau"
SS_PERSON2_ARTICLE_DEF_SMALL "der Bauer"
SS_PERSON3_ARTICLE_DEF_SMALL "der Bettler"
SS_PERSON4_ARTICLE_DEF_SMALL "der Wirt"
SS_PERSON5_ARTICLE_DEF_SMALL "der Edelmann"
SS_PERSON6_ARTICLE_DEF_SMALL "der Ninja"
SS_PERSON7_ARTICLE_DEF_SMALL "der Krieger"
SS_PERSON8_ARTICLE_DEF_SMALL "die Jungfrau"
SS_PERSON9_ARTICLE_DEF_SMALL "die Geisha"
SS_PERSON10_ARTICLE_DEF_SMALL "der Bunraku-Puppenspieler"
SS_PERSON11_ARTICLE_DEF_SMALL "der Sumo-Ringer"
SS_PERSON12_ARTICLE_DEF_SMALL "der Kabuki-Schauspieler"
SS_PERSON13_ARTICLE_DEF_SMALL "der Mönch"
SS_PERSON14_ARTICLE_DEF_SMALL "der Gaukler"
SS_PERSON15_ARTICLE_DEF_SMALL "die feine Dame"
SS_PERSON16_ARTICLE_DEF_SMALL "der Samurai"
SS_PERSON17_ARTICLE_DEF_SMALL "der Mann"
SS_PERSON18_ARTICLE_DEF_SMALL "die Frau"
SS_PERSON19_ARTICLE_DEF_SMALL "der Fischer"

###Replace {action[1].text#ARTICLE_UNDEF_CAPS} with {action[9].text}###
###Replace {action[3].text#ARTICLE_UNDEF_CAPS} with {action[14].text}###
SS_PERSON0_ARTICLE_UNDEF_CAPS "Ein Seemann"
SS_PERSON1_ARTICLE_UNDEF_CAPS "Eine Barfrau"
SS_PERSON2_ARTICLE_UNDEF_CAPS "Ein Bauer"
SS_PERSON3_ARTICLE_UNDEF_CAPS "Ein Bettler"
SS_PERSON4_ARTICLE_UNDEF_CAPS "Ein Wirt"
SS_PERSON5_ARTICLE_UNDEF_CAPS "Ein Edelmann"
SS_PERSON6_ARTICLE_UNDEF_CAPS "Ein Ninja"
SS_PERSON7_ARTICLE_UNDEF_CAPS "Ein Krieger"
SS_PERSON8_ARTICLE_UNDEF_CAPS "Eine Jungfrau"
SS_PERSON9_ARTICLE_UNDEF_CAPS "Eine Geisha"
SS_PERSON10_ARTICLE_UNDEF_CAPS "Ein Bunraku-Puppenspieler"
SS_PERSON11_ARTICLE_UNDEF_CAPS "Ein Sumo-Ringer"
SS_PERSON12_ARTICLE_UNDEF_CAPS "Ein Kabuki-Schauspieler"
SS_PERSON13_ARTICLE_UNDEF_CAPS "Ein Mönch"
SS_PERSON14_ARTICLE_UNDEF_CAPS "Ein Gaukler"
SS_PERSON15_ARTICLE_UNDEF_CAPS "Eine feine Dame"
SS_PERSON16_ARTICLE_UNDEF_CAPS "Ein Samurai"
SS_PERSON17_ARTICLE_UNDEF_CAPS "Ein Mann"
SS_PERSON18_ARTICLE_UNDEF_CAPS "Eine Frau"
SS_PERSON19_ARTICLE_UNDEF_CAPS "Ein Fischer"
