PRONOUN_HIM_MALE_IND	"à lui"
WONDER_INTERNET_PREPOSITION			"de l'Internet"
WONDER_THE_AGENCY_PREPOSITION			"de l'agence secrète"
WONDER_GLOBESAT_PREPOSITION			"du GlobeSat"
WONDER_FIELD_DYNAMICS_LABORATORY_PREPOSITION	"du labo de dynamique"
WONDER_DATA_HAVEN_PREPOSITION			"du paradis numérique"
WONDER_GENOME_PROJECT_PREPOSITION		"du projet de génome"
WONDER_GLOBAL_SURVEILLANCE_CENTER_PREPOSITION	"de la surveillance mondiale"
WONDER_NANITE_DEFUSER_PREPOSITION		"du désamorceur à nanites"
WONDER_NATIONAL_SHIELD_PREPOSITION		"du bouclier national"
WONDER_EGALITARIAN_ACT_PREPOSITION		"de l'acte d'égalité"
WONDER_THE_EDEN_PROJECT_PREPOSITION		"du projet Eden"
WONDER_THE_SOLARIS_PROJECT_PREPOSITION		"du projet Solaris"
WONDER_ZERO_CRIME_BILL_PREPOSITION		"de la loi anticriminalité"

WONDER_PYRAMIDS_ARTICLE				"les pyramides"
WONDER_RAMAYANA_ARTICLE				"le Ramayana"
WONDER_GREAT_WALL_ARTICLE			"la Grande Muraille"
WONDER_THE_APPIAN_WAY_ARTICLE			"la Via Appia"
WONDER_CHICHEN_ITZA_ARTICLE			"Chitchen Itza"
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	"le dématérialisateur central"
WONDER_THE_FORBIDDEN_CITY_ARTICLE		"la Cité interdite"
WONDER_ARISTOTLES_LYCEUM_ARTICLE		"le lycée d'Aristote"
WONDER_HAGIA_SOPHIA_ARTICLE			"la Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE_ARTICLE		"la bible de Gutenberg"
WONDER_EAST_INDIA_COMPANY_ARTICLE		"la Compagnie des Indes"
WONDER_GALILEOS_TELESCOPE_ARTICLE		"le télescope de Galilée"
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	"l'affranchissement"
WONDER_PENICILLIN_ARTICLE			"la pénicilline"
WONDER_LONDON_EXCHANGE_ARTICLE			"la bourse de Londres"
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		"l'Empire State Building"
WONDER_HOLLYWOOD_ARTICLE			"Hollywood"
WONDER_INTERNET_ARTICLE				"l'Internet"
WONDER_THE_AGENCY_ARTICLE			"l'agence secrète"
WONDER_GLOBESAT_ARTICLE				"le GlobeSat"
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	"le labo de dynamique"
WONDER_DATA_HAVEN_ARTICLE			"le paradis numérique"
WONDER_GENOME_PROJECT_ARTICLE			"le projet de génome"
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	"la surveillance mondiale"
WONDER_NANITE_DEFUSER_ARTICLE			"le désarmorceur à nanites"
WONDER_NATIONAL_SHIELD_ARTICLE			"le bouclier national"
WONDER_EGALITARIAN_ACT_ARTICLE			"l'acte d'égalité"
WONDER_THE_EDEN_PROJECT_ARTICLE			"le projet Eden"
WONDER_THE_SOLARIS_PROJECT_ARTICLE		"le projet Solaris"
WONDER_ZERO_CRIME_BILL_ARTICLE			"la loi anticriminalité"



#### improvements STRINGS ####
IMPROVE_GRANARY_PREPOSITION			"du grenier"
IMPROVE_CITY_WALLS_PREPOSITION			"des remparts"
IMPROVE_SHRINE_PREPOSITION			"des lieux saints"
IMPROVE_COURTHOUSE_PREPOSITION			"du tribunal"
IMPROVE_BALLISTA_TOWERS_PREPOSITION		"des balistes"
IMPROVE_AQUEDUCT_PREPOSITION			"de l'aqueduc"
IMPROVE_THEATER_PREPOSITION			"du théâtre"
IMPROVE_BAZAAR_PREPOSITION			"du bazar"
IMPROVE_ACADEMY_PREPOSITION			"de l'académie"
IMPROVE_ARENA_PREPOSITION			"de l'arène"
IMPROVE_CAPITOL_PREPOSITION			"du palais"
IMPROVE_MILL_PREPOSITION			"du moulin"
IMPROVE_BASCILICA_PREPOSITION			"de la basilique"
IMPROVE_UNIVERSITY_PREPOSITION			"de l'université"
IMPROVE_BANK_PREPOSITION			"de la banque"
IMPROVE_PUBLISHING_HOUSE_PREPOSITION		"de la maison d'édition"
IMPROVE_BATTLEMENTS_PREPOSITION			"de la muraille"
IMPROVE_BROKERAGE_PREPOSITION			"du courtage"
IMPROVE_FOOD_SILO_PREPOSITION			"silo de nourriture"
IMPROVE_FACTORY_PREPOSITION			"de l'usine"
IMPROVE_OIL_REFINERY_PREPOSITION		"de la raffinerie"
IMPROVE_MOVIE_PALACE_PREPOSITION		"du cinéma"
IMPROVE_DRUG_STORE_PREPOSITION			"de la pharmacie"
IMPROVE_TELEVISION_PREPOSITION			"de la télévision"
IMPROVE_AIRPORT_PREPOSITION			"de l'aéroport"
IMPROVE_CORRECTIONAL_FACILITY_PREPOSITION	"de la maison de correction"
IMPROVE_HOSPITAL_PREPOSITION			"de l'hôpital"
IMPROVE_FLAK_TOWERS_PREPOSITION			"de la tour antiaérienne"
IMPROVE_COMPUTER_CENTER_PREPOSITION		"du centre informatique"
IMPROVE_PUBLIC_TRANSPORTATION_PREPOSITION	"des transports publics"
IMPROVE_RECYCLING_PLANT_PREPOSITION		"de l'usine de recyclage"
IMPROVE_NUCLEAR_PLANT_PREPOSITION		"de la centrale nucléaire"
IMPROVE_ECO_TRANSIT_PREPOSITION			"de l'éco-transit"
IMPROVE_ANTI_BALLISTIC_MISSILES_PREPOSITION	"des missiles balistiques"
IMPROVE_ARCOLOGIES_PREPOSITION			"des arcologies"
IMPROVE_ORBITAL_LABORATORY_PREPOSITION		"du laboratoire orbital"
IMPROVE_ROBOTIC_PLANT_PREPOSITION		"de l'usine robotisée"
IMPROVE_SECURITY_MONITOR_PREPOSITION		"du contrôleur de sécurité"
IMPROVE_E_BANK_PREPOSITION			"de l'e-banque"
IMPROVE_VR_AMUSEMENT_PARK_PREPOSITION		"du parc d'attractions virtuel"
IMPROVE_NANITE_FACTORY_PREPOSITION		"de l'usine de nanites"
IMPROVE_FORCEFIELD_PREPOSITION			"du champ de force"
IMPROVE_AQUA_FILTER_PREPOSITION			"de l'hydro-filtre"
IMPROVE_INCUBATION_CENTER_PREPOSITION		"du centre d'incubation"
IMPROVE_FUSION_PLANT_PREPOSITION		"de la centrale à fusion"
IMPROVE_BEHAVIORAL_MOD_CENTER_PREPOSITION	"du centre comportemental"
IMPROVE_CORNUCOPIC_VAT_PREPOSITION		"des nutrimodules"
IMPROVE_MICRO_DEFENSE_PREPOSITION		"de la micro-défense"
IMPROVE_MATTER_DECOMPILER_PREPOSITION		"du dématérialisateur"
IMPROVE_BODY_EXCHANGE_PREPOSITION		"de l'échange corporel"
IMPROVE_GAIA_COMPUTER_PREPOSITION		"de l'ordinateur de Gaia"
IMPROVE_POWER_SATELLITE_PREPOSITION		"du satellite de Gaia"

#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS_PREPOSITION			"de la ferme"
TILEIMP_ADVANCED_FARMS_PREPOSITION		"de la ferme avancée"
TILEIMP_HYDROPONIC_FARMS_PREPOSITION		"de la ferme hydroponique"
TILEIMP_MINES_PREPOSITION			"de la mine"
TILEIMP_ADVANCED_MINES_PREPOSITION		"de la mine avancée"
TILEIMP_MEGA_MINES_PREPOSITION			"de la méga mine"
TILEIMP_TRADING_POST_PREPOSITION		"du poste de commerce"
TILEIMP_OUTLET_MALL_PREPOSITION			"du centre commercial"
TILEIMP_NATURE_PRESERVE_PREPOSITION		"de la réserve naturelle"
TILEIMP_UNDERSEA_MINES_PREPOSITION		"de la mine sous-marine"
TILEIMP_ADVANCED_UNDERSEA_MINES_PREPOSITION	"de la mine sous-marine avancée"
TILEIMP_MEGA_UNDERSEA_MINES_PREPOSITION		"de la méga mine sous-marine"
TILEIMP_PORT_PREPOSITION			"du port"
TILEIMP_DRILLING_PLATFORM_PREPOSITION		"de la plate-forme de forage"
TILEIMP_NETS_PREPOSITION			"du filet"
TILEIMP_FISHERIES_PREPOSITION			"de la pêcherie"
TILEIMP_AUTOMATED_FISHERIES_PREPOSITION		"de la pêcherie automatisée"
TILEIMP_RUINS_PREPOSITION			"de la ruine"
TILEIMP_ROAD_PREPOSITION			"de la route"
TILEIMP_RAILROAD_PREPOSITION			"des chemins de fer"
TILEIMP_MAGLEV_PREPOSITION			"du train express magnétique"
TILEIMP_UNDERSEA_TUNNEL_PREPOSITION		"du tunnel sous-marin"
TILEIMP_LISTENING_POSTS_PREPOSITION		"du poste d'écoute"
TILEIMP_AIR_BASES_PREPOSITION			"de la base aérienne"
TILEIMP_FORTIFICATIONS_PREPOSITION		"des fortifications"
TILEIMP_RADAR_STATIONS_PREPOSITION		"de la station radar"
TILEIMP_SONAR_BUOYS_PREPOSITION			"de la bouée sonar"
TILEIMP_PROCESSING_TOWER_PREPOSITION		"de l'obélisque"


#### Units STRINGS ####
UNIT_SETTLER_PREPOSITION			"du colon"
UNIT_WARRIOR_PREPOSITION			"du guerrier"
UNIT_CATAMARAN_PREPOSITION			"du coracle"
UNIT_HOPLITE_PREPOSITION			"du hoplite"
UNIT_ARCHER_PREPOSITION				"de l'archer"
UNIT_SLAVER_PREPOSITION				"de l'esclavagiste"
UNIT_SWORDSMAN_PREPOSITION			"du samouraï"
UNIT_MOUNTED_ARCHER_PREPOSITION			"de l'archer monté"
UNIT_CARAVAN_PREPOSITION			"de la caravane"
UNIT_FIRE_TRIREME_PREPOSITION			"de la trirème à feu grégeois"
UNIT_KNIGHT_PREPOSITION				"du chevalier"
UNIT_CATAPULT_PREPOSITION			"de la catapulte"
UNIT_LONGSHIP_PREPOSITION			"du drakkar"
UNIT_DIPLOMAT_PREPOSITION			"du diplomate"
UNIT_PIKEMEN_PREPOSITION			"du piquier"
UNIT_CLERIC_PREPOSITION				"du prêtre"
UNIT_ABOLITIONIST_PREPOSITION			"de l'abolitionniste"
UNIT_CARRACK_PREPOSITION			"du carrack"
UNIT_INFANTRYMAN_PREPOSITION			"du fantassin"
UNIT_CAVALRY_PREPOSITION			"de la cavalerie"
UNIT_FASCIST_PREPOSITION			"du fasciste"
UNIT_CANNON_PREPOSITION				"du canon"
UNIT_SHIP_OF_THE_LINE_PREPOSITION		"du navire de 1ère ligne"
UNIT_SPY_PREPOSITION				"de l'espion"
UNIT_IRONCLAD_PREPOSITION			"du blindé"
UNIT_MACHINE_GUNNER_PREPOSITION			"du mitrailleur"
UNIT_ARTILLERY_PREPOSITION			"de l'artillerie"
UNIT_SUBMARINE_PREPOSITION			"du sous-marin"
UNIT_TROOP_SHIP_PREPOSITION			"du transporteur de troupes"
UNIT_FRIGATE_PREPOSITION			"de la frégate"
UNIT_DESTROYER_PREPOSITION			"du contre-torpilleur"
UNIT_TELEVANGELIST_PREPOSITION			"du télévangéliste"
UNIT_BATTLESHIP_PREPOSITION			"du cuirassé"
UNIT_FIGHTER_PREPOSITION			"du chasseur"
UNIT_CORPORATE_BRANCH_PREPOSITION		"de la filiale"
UNIT_LAWYER_PREPOSITION				"de l'avocat"
UNIT_BOMBER_PREPOSITION				"du bombardier"
UNIT_TANK_PREPOSITION				"du char"
UNIT_CARGO_HELICOPTER_PREPOSITION		"de l'hélicoptère cargo"
UNIT_AIRCRAFT_CARRIER_PREPOSITION		"du porte-avions"
UNIT_MOBILE_SAM_PREPOSITION			"du MSA mobile"
UNIT_MARINE_PREPOSITION				"du marine"
UNIT_PARATROOPER_PREPOSITION			"du parachutiste"
UNIT_URBAN_PLANNER_PREPOSITION			"de l'urbaniste"
UNIT_INTERCEPTOR_PREPOSITION			"de l'intercepteur"
UNIT_CRUISE_MISSILE_PREPOSITION			"du missile de croisière"
UNIT_NUCLEAR_SUBMARINE_PREPOSITION		"du sous-marin nucléaire"
UNIT_NUKE_PREPOSITION				"du missile nucléaire"
UNIT_STEALTH_FIGHTER_PREPOSITION		"du chasseur furtif"
UNIT_STEALTH_BOMBER_PREPOSITION			"du bombardier furtif "
UNIT_SCOUT_SUB_PREPOSITION			"du sous-marin éclaireur"
UNIT_SPACE_PLANE_PREPOSITION			"de la navette spatiale"
UNIT_SPY_PLANE_PREPOSITION			"de l'avion espion"
UNIT_MOREY_STRIKER_PREPOSITION			"de la bathysphère"
UNIT_CYBERATTORNEY_PREPOSITION			"du cyberavocat"
UNIT_MOBILE_SUBNEURAL_AD_PREPOSITION		"du message subliminal"
UNIT_HOVER_INFANTRY_PREPOSITION			"de l'infanterie aéroportée"
UNIT_CYBER_NINJA_PREPOSITION			"du cyberninja"
UNIT_SEA_ENGINEER_PREPOSITION			"de l'ingénieur maritime"
UNIT_EMPATHIC_DIPLOMAT_PREPOSITION		"du diplomate empathique"
UNIT_FUSION_TANK_PREPOSITION			"du char à fusion"
UNIT_CRAWLER_PREPOSITION			"de l'Arachnidor"
UNIT_WAR_WALKER_PREPOSITION			"du faucheur"
UNIT_PLASMA_DESTROYER_PREPOSITION		"du destroyer à plasma"
UNIT_LEVIATHON_PREPOSITION			"du Léviathan"
UNIT_KRAKEN_PREPOSITION				"du Kraken"
UNIT_INFECTOR_PREPOSITION			"du contamineur"
UNIT_ECO_TERRORIST_PREPOSITION			"de l'écoterroriste"
UNIT_ECO_RANGER_PREPOSITION			"de l'éco-ranger"
UNIT_DREADNAUGHT_PREPOSITION			"de l'Invulnérable"
UNIT_CITY_PREPOSITION				"de la ville"
UNIT_OCEAN_CITY_PREPOSITION			"de la colonie marine"
UNIT_SPACE_CITY_PREPOSITION			"de la colonie spatiale"
UNIT_Z_FREIGHT_TRANSPORT_PREPOSITION 	 	"du fret"
UNIT_LONGBOWMAN_PREPOSITION			"de l'archer médiéval"
