#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_CM_QUEUE_TAB			"L'onglet Production du Gestionnaire de ville montre l'objet que la ville est en train de construire, ainsi que tous les autres objets de la liste d'attente de construction. Si votre liste est vide, cliquez sur le bouton <c:0,0,200>Construire<e> pour voir la liste des objets susceptibles d'être construits."
T_CM_INVENTORY_TAB		"Cet onglet du Gestionnaire de ville montre tous les bâtiments et merveilles présents dans la ville.\nSi vous avez grand besoin d'or, vous pouvez vendre des bâtiments. Sachez cependant que la ville en perdra le bénéfice. Les merveilles ne peuvent être vendues."
T_CM_SPECIALISTS		"A mesure que vous découvrez de nouveaux progrès, vous avez accès à de nouveaux types de spécialistes.\nLes spécialistes diffèrent des travailleurs et des esclaves en ce qu'ils se ne consacrent à l'élaboration que d'une seule ressource, telle que la nourriture, la science ou la production."
T_CM_STATISTICS			"La gestion efficace d'une ville implique de toujours avoir bien en tête les problèmes relatifs à vos citoyens.\nL'onglet Statut du Gestionnaire de ville affiche tous les paramètres, positifs ou négatifs, affectant la vie de vos citoyens." 
T_CM_UNITS			"Pour défendre une ville, il est conseillé d'y poster des unités. Cet onglet du Gestionnaire de ville affiche toutes les unités présentes actuellement dans la ville. Si vous désirez sortir une unité de la ville, sélectionnez l'unité puis cliquez sur <c:0,0,200>Activer unité<e>."
T_POO				"POO CityIsNamed strcmp works."
T_TITLE_SP_CIV_MGMT		"Gestionnaire d'empire" 
T_SP_CIV_MGMT			"Outre le contrôle que vous exercez sur la politique intérieure de votre nation, vous devez choisir le type de gouvernement sous lequel vous régnerez.\nSachez que les attentes de votre peuple en matière de politique intérieure varient selon les régimes et que vous devez choisir le gouvernement également en fonction de votre style."
T_TITLE_SP_CIV_MGMT_A		"'Nul ne peut être patriote l'estomac vide.'"
T_SP_CIV_MGMT_A			"Une nation ne peut pas se construire aux dépens des citoyens. L'augmentation des rations accroît le bonheur du peuple. Cependant, étant donné que la croissance de la population dépend des réserves de nourriture disponibles, l'augmentation du nombre de rations peut entraîner une stagnation de la croissance."
T_TITLE_SP_CIV_MGMT_B		"'Aidez votre pays..."
T_SP_CIV_MGMT_B			"... votre pays vous aidera !'.\nLa productivité de votre nation dépend de la durée du temps de travail. Plus les journées de travail sont longues, plus les villes sont productives. Cependant, la réduction du temps de travail rend les gens heureux."
T_TITLE_SP_CIV_MGMT_C		"'L'argent peut flamber mais ne peut alimenter..."
T_SP_CIV_MGMT_C			"'...sa combustion à long terme.'\nLe commerce permet de rémunérer les citoyens et de subventionner la recherche scientifique. La hausse des salaires accroît le bonheur des citoyens mais l'empire dispose de moins de fonds pour financer la recherche, assurer le coût de maintenance des aménagements et faire face aux achats d'urgence."
T_TITLE_SP_CIV_MGMT_D		"'Seuls les impôts et la mort sont inéluctables.'"
T_SP_CIV_MGMT_D			"Gardez à l'esprit que si le niveau de l'impôt des travaux publics est trop élevé, la construction des nouvelles unités, aménagements ou merveilles ne pourra pas se faire efficacement.\nDe la même façon, si l'impôt de science est trop bas, les progrès technologiques seront plus lents."
T_SP_UNIT_MGMT			"Vous avez la possibilité de voir l'inventaire de toutes les unités de votre empire et de les gérer.\nVous pouvez également décider de démanteler d'anciennes unités lorsque vous disposez d'unités similaires pour remplacer les obsolètes."
T_SP_DIPLOMACY			"A chaque fois que vous rencontrez une nation, vous avez la possibilité d'entamer des négociations avec elle.\nEtablir une ambassade dans une ville étrangère offre davantage de possibilités de négociations."
T_SP_SCIENCE			"Vous pouvez contrôler les progrès réalisés par votre nation sur le plan scientifique. En cas de besoin, vous pouvez également modifier vos priorités de recherche."
T_SP_GREAT_LIBRARY		"La Grande Bibliothèque est la principale source d'informations de Call To Power II. Celle-ci permet de se renseigner sur toutes les données du jeu, allant des unités et merveilles aux concepts et progrès. Pour savoir quel est le rôle des données dans le jeu, utilisez l'entrée 'Fonction'. Si vous désirez en savoir plus sur leur origine, leur évolution et leur signification, cliquez sur 'Historique'."
T_SP_TRADE			"Une fois que vous aurez découvert les échanges et que vous aurez construit des caravanes dans vos villes, vous serez en mesure de vendre vos marchandises. Cependant, vous ne pouvez pas offrir de biens à une nation avec laquelle vous êtes en conflit."
T_SP_NATL_MGMT			"Le Gestionnaire national offre un aperçu de toutes les villes de votre empire. Servez-vous des boutons d'en-tête pour trier la liste des villes par catégorie."
##T_NO_KILL_CIVILIAN		"Si vous attaquez l'unité {unitrecord[0].name} des {player[0].civ_name_plural}, il risque d'y avoir des tensions entre vos deux nations.\nPour éviter d'entraver vos relations diplomatiques, expulsez des unités civiles du type {unitrecord[0].name}. Sélectionnez l'une de vos unités militaires et cliquez sur <c:0,50,200>Renvoyer<e>."

### ADDED 10-07-00 ###
T_CITY_TOO_SMALL_TITLE		"La ville est trop petite !"
T_CITY_TOO_SMALL		"La construction d'un colon requiert une partie des citoyens de la ville. Pour construire un colon sans démanteler la ville, celle-ci doit être au moins de taille 2. Attendez que la ville s'agrandisse pour construire des colons."
T_TOO_MANY_UNITS_TITLE		"Capacité maximale atteinte !"
T_TOO_MANY_UNITS		"Chaque case du jeu (y compris celles avec des villes) peut abriter 12 unités au maximum. Si 12 unités sont déjà présentes sur cette case, la ville interrompra sa production de façon à libérer de l'espace pour de nouvelles unités."
