## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Cette nation est mécontente des pertes que nous lui avons fait subir."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_1 "En échange, nous vous demandons d'arrêter de pirater nos routes commerciales. Nous pourrons ainsi rester amis."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_2 "En échange, nous vous implorons de ne plus entraver l'activité commerciale de notre nation. Veuillez arrêter de pirater nos routes commerciales !"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_3 "En échange, nous vous sommons de cesser ces abominables actes de piraterie commerciale."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_4 "En échange, nous vous demandons de mettre fin à ces vils actes de piraterie que vous avez eu la hardiesse de nous infliger."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_0 "Afin de gagner votre faveur, nous allons rompre nos accords avec les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_1 "Nous allons rompre nos accords avec les {player[2].civ_name_plural} afin de vous témoigner notre amitié."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_2 "Nous vous promettons de rompre tous nos accords avec les {player[2].civ_name_plural} dès que possible."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_3 "Nous vous proposons de rompre nos accords avec les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_4 "Nous allons annuler tous nos accords avec les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_0 "En échange, nous vous proposons de rompre nos accords avec {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_1 "En échange, nous sommes disposés à annuler les accords actuellement en vigueur avec {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_2 "En échange, nous vous promettons de mettre fin aux accords existants avec les {player[2].civ_name_plural}. Nous espérons que cela vous satisfera."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_3 "En échange, nous vous proposons de mettre un terme à tous les accords actuellement en vigueur avec les {player[2].civ_name_plural}. Cela est plus que raisonnable."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_4 "En échange, nous allons violer nos accords avec les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_0 "Nous vous exhortons à mettre fin à tous les accords passés avec les {player[2].civ_name_plural}. Ce serait l'occasion pour vous de remonter dans notre estime."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_1 "Nous partageons des intérêts et des objectifs mutuels. Peut-être serait-il préférable que vous rompiez les accords existants avec les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_2 "Nous requérons de votre part de rompre vos accords avec les {player[2].civ_name_plural}. Ce pays est notre ennemi."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_3 "Nous décrions les liens que vous entretenez avec les {player[2].civ_name_plural}, cette perfide nation. Rompez immédiatement tous vos accords avec ce pays."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_4 "Rompez tous les accords passés avec les {player[2].civ_name_plural}. Sur-le-champ."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_0 "En échange, nous devons vous demander d'annuler tous les accords conclus avec les {player[2].civ_name_plural}. Nous serions très honorés de ce geste."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_1 "En échange, nous sommes contraints de vous demander, en tant que compatriotes, d'annuler tout pacte, traité ou accord en vigueur avec les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_2 "En échange, nous vous implorons de mettre un terme à vos accords actuels avec les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_3 "En échange, nous vous demandons de mettre fin à vos accords avec les {player[2].civ_name_plural}. Nous vous exhortons à répondre à notre requête. Votre avenir en dépend."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_4 "En échange, nous vous demandons de dénoncer vos accords actuels avec les {player[2].civ_name_plural}. Il n'est plus dans votre intérêt de vous ranger de leur côté."
DIP_DETAILS_OFFER_STOP_RESEARCH_0 "Nous vous promettons de cesser les recherches sur {advance[0].name#article} et d'entamer d'autres travaux scientifiques."
DIP_DETAILS_OFFER_STOP_RESEARCH_1 "Nous sommes disposés à cesser toute recherche sur {advance[0].name#article}, afin de préserver notre amitié."
DIP_DETAILS_OFFER_STOP_RESEARCH_2 "Nous allons immédiatement arrêter nos recherches sur {advance[0].name#article}."
DIP_DETAILS_OFFER_STOP_RESEARCH_3 "Nous acceptons d'interrompre nos recherches sur {advance[0].name#article}."
DIP_DETAILS_OFFER_STOP_RESEARCH_4 "Nous allons arrêter nos recherches sur {advance[0].name#article}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_0 "En échange, nous allons mettre fin aux recherches sur {advance[0].name#article}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_1 "En échange, nous ne ferons plus de recherches sur {advance[0].name#article}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_2 "En échange, nous vous promettons d'interrompre sur-le-champ toute recherche sur {advance[0].name#article} ! Veuillez accepter nos excuses."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_3 "En échange, nous allons mettre fin à nos efforts de recherche sur {advance[0].name#article}."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_4 "En échange, nous mettrons un terme à nos recherches sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_0 "Nous vous demandons solennellement d'interrompre toutes vos recherches sur {advance[0].name#article}. Ce n'est pas la meilleure chose que vous ayez à faire."
DIP_DETAILS_REQUEST_STOP_RESEARCH_1 "Sauf votre respect, nous requérons de votre part d'interrompre vos recherches sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_2 "Nous sollicitons de votre part que vous cessiez vos recherches sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_3 "Vos scientifiques poursuivent des objectifs peu judicieux. Cessez immédiatement toute recherche sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_4 "Stoppez vos recherches sur {advance[0].name#article} MAINTENANT."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_0 "En échange, nous exigeons que vous cessiez de faire des recherches sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_1 "En échange, nous vous demandons d'interrompre vos recherches sur {advance[0].name#article}. Celles-ci sont susceptibles de mettre en péril l'estime que nous avons pour vous."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_2 "En échange, nous vous implorons de mettre un terme à vos recherches sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_3 "En échange, nous devons vous demander d'interrompre vos recherches sur {advance[0].name#article}. Vous courez en effet le risque de susciter notre courroux."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_4 "En échange, nous exigeons l'interruption des recherches sur {advance[0].name#article}. Exécutez-vous promptement."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_0 "Etant donné notre engagement pour la paix des nations, nous allons réduire notre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_1 "Vu l'estime dont jouit votre empire, nous sommes disposés à réduire notre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_2 "Nous vous proposons de réduire notre arsenal nucléaire de {value[0].value} pour cent. Nous espérons que vous trouverez cela suffisant."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_3 "Nous acceptons de diminuer notre arsenal nucléaire de {value[0].value} pour cent. Nous savons bien que notre puissance militaire est de nature à effrayer une nation aussi fragile que la vôtre."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_4 "Même si nous aurons peut-être à le regretter, nous avons l'intention de réduire notre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_0 "En échange, nous nous engageons à une réduction de {value[0].value} pour cent de notre arsenal nucléaire."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_1 "En échange, nous vous promettons d'honorer notre entente cordiale en réduisant notre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_2 "En échange, nous vous promettons de diminuer sur-le-champ notre capacité nucléaire de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_3 "En échange, nous allons réduire notre arsenal nucléaire de {value[0].value} pour cent tout juste. Toute diminution supplémentaire risquerait de compromettre la sécurité nationale."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_4 "En échange, nous allons réduire notre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_0 "En tant que fervents partisans de la paix dans le monde, nous vous suggérons de réduire votre arsenal nucléaire de {value[0].value} pour cent. Nos enfants pourront ainsi grandir sans la peur de l'apocalypse."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_1 "Nous vous demandons gentiment de réduire votre capacité nucléaire de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_2 "Nous requérons humblement de votre part une réduction de votre arsenal nucléaire de {value[0].value} pour cent. En espérant que cela n'est pas trop vous demander."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_3 "Nous vous incitons vivement à réduire votre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_4 "Nous exigeons une réduction de {value[0].value} pour cent de votre arsenal nucléaire."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_0 "En échange, nous exigeons une diminution de {value[0].value} pour cent de votre arsenal nucléaire."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_1 "En échange, nous vous demandons d'honorer notre requête amicale, à savoir réduire votre arsenal nucléaire de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_2 "En échange, nous requérons solennellement de votre part une baisse de votre arsenal nucléaire de {value[0].value} pour cent. Nos citoyens vivent dans la crainte de votre nation."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_3 "En échange, nous vous sommons de réduire votre arsenal nucléaire de {value[0].value} pour cent.  Vous ne pouvez pas nous refuser cela."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_4 "En échange, nous vous demandons de déclasser {value[0].value} pour cent de vos armes nucléaires.  Nous n'attendons rien d'autre qu'une coopération de votre part."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_0 "En tant que fervents pacifistes, nous promettons de réduire notre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_1 "Afin de préserver notre entente cordiale, nous proposons une réduction de {value[0].value} pour cent de notre arsenal biologique."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_2 "Afin de gagner les faveurs d'un empire aussi puissant que le vôtre, nous allons réduire de {value[0].value} pour cent nos armes biologiques."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_3 "Nous savons bien que nos forces armées sont pour le moins dissuasives. C'est pourquoi, nous allons réduire notre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_4 "Nous allons diminuer nos armes biologiques de {value[0].value} pour cent. Cela devrait suffire à dissiper vos craintes."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_0 "En échange, nous promettons une réduction de {value[0].value} pour cent de nos armes biologiques."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_1 "En échange, nous vous ferons le plaisir de diminuer notre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_2 "En échange, nous ferons tout ce qu'il est possible pour réduire le nombre d'armes biologiques en notre possession de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_3 "En échange, nous allons réduire notre arsenal d'armes biologiques de {value[0].value} pour cent. Cela devrait suffire à vous satisfaire."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_4 "En échange, nous allons diminuer notre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_0 "Nous vous demandons officiellement de réduire votre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_1 "Nous requérons simplement une réduction de {value[0].value} pour cent de votre arsenal biologique."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_2 "Nous sollicitons de votre part de réduire votre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_3 "Nous vous sommons de diminuer votre arsenal biologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_4 "Nous demandons une réduction de {value[0].value} pour cent de votre arsenal biologique."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_0 "En échange, nous aimerions voir votre arsenal biologique diminuer de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_1 "En échange, nous vous demandons de réduire votre arsenal d'armes biologiques de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_2 "En échange, nous vous implorons de réduire la menace que représentent les armes biologiques et de diminuer votre arsenal de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_3 "En échange, nous vous prions instamment de diminuer votre arsenal d'armes biologiques de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_4 "En échange, nous demandons une réduction de {value[0].value} pour cent des armes biologiques de votre arsenal. Cette requête n'est nullement négociable."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_0 "Afin de renforcer la paix, nous allons réduire notre arsenal nano-technologique de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_1 "Afin de consolider notre amitié, nous promettons de réduire nos armes nano-technologiques de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_2 "Nous allons réduire nos armes nano-technologiques de {value[0].value} pour cent. Nous ne tenons pas à susciter votre courroux avec la menace d'une guerre non conventionnelle."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_3 "Nous sommes disposés à réduire notre arsenal nano-technologique de {value[0].value} pour cent, si cela permet à un empire aussi fragile que le vôtre de se sentir plus en sécurité."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_4 "Nous allons réduire les armes nano-technologiques de {value[0].value} pour cent.  Ne nous demandez pas davantage."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_0 "En échange, nous contribuerons à la sécurité mondiale en réduisant les armes nano-technologiques de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_1 "En échange, nous nous engageons à assurer la paix dans le monde en réduisant nos armes nano-technologiques de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_2 "En échange, nous promettons de réduire notre arsenal nano-technologique de {value[0].value} pour cent. Nous espérons ainsi répondre à vos attentes."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_3 "En échange, nous donnerons l'exemple en diminuant notre arsenal nano-technologique de {value[0].value} pour cent."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_4 "En échange, nous allons réduire notre arsenal nano-technologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_0 "Nous demandons une diminution de {value[0].value} pour cent de votre arsenal nano-technologique."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_1 "En témoignage de notre amitié, nous requérons une diminution de {value[0].value} pour cent de votre arsenal nano-technologique."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_2 "Nous demandons à empire aussi éminent que le vôtre de faire preuve de clémence en réduisant son arsenal nano-technologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_3 "Nous estimons qu'il serait préférable que vous diminuiez immédiatement votre arsenal nano-technologique. Une réduction de {value[0].value} pour cent fera l'affaire."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_4 "Nous vous prions de réduire votre arsenal nano-technologique de {value[0].value} pour cent. Nous ne vous le demanderons pas deux fois."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_0 "En échange, nous demandons une réduction de {value[0].value} pour cent de votre arsenal nano-technologique. Ce afin d'assurer la paix et la sécurité de ce monde."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_1 "En échange, nous vous prions de diminuer votre arsenal nano-technologique. Une réduction de {value[0].value} pour cent devrait satisfaire notre requête."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_2 "En échange, nous allons devoir faire appel à votre clémence et vous prier de réduire votre arsenal nano-technologique de {value[0].value} pour cent."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_3 "En échange, nous vous sommons de réduire votre arsenal nano-technologique de {value[0].value} pour cent. Nous voudrions éviter d'en venir aux représailles."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_4 "En échange, nous demandons une diminution de votre arsenal nano-technologique de {value[0].value} pour cent. Nous serons reconnaissants de votre bonne volonté."
DIP_DETAILS_OFFER_GIVE_ADVANCE_0 "Nous vous offrons {advance[0].name#article}, en espérant que vous reconnaîtrez la valeur de ce don."
DIP_DETAILS_OFFER_GIVE_ADVANCE_1 "En témoignage de notre amitié, nous offrons à votre nation {advance[0].name#article}."
DIP_DETAILS_OFFER_GIVE_ADVANCE_2 "Nous vous offrons en toute simplicité {advance[0].name#article}. Nous espérons que vous en serez comblés."
DIP_DETAILS_OFFER_GIVE_ADVANCE_3 "En vertu de notre générosité, nous proposons de vous donner {advance[0].name#article}."
DIP_DETAILS_OFFER_GIVE_ADVANCE_4 "Nous proposons de vous dévoiler le secret {advance[0].name#preposition}. Cela est plus que généreux de notre part."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_0 "En échange et par bonté d'âme, nous vous offrons {advance[0].name#article}."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_1 "En échange, nous partagerons avec vous la découverte {advance[0].name#preposition} de façon à faire progresser votre empire."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_2 "En échange, nous offrons les fruits de nos recherches sur {advance[0].name#article}. Ce, en témoignage de l'estime que nous avons pour vous."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_3 "En échange, nous allons vous révéler {advance[0].name#article}. Il vous aurait fallu des siècles pour découvrir ce progrès !"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_4 "En échange, nous vous ferons entrer dans les arcanes {advance[0].name#preposition}. C'est bien assez !"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_0 "A quoi bon garder des découvertes scientifiques secrètes ? Nous aimerions que vous nous fassiez part de vos recherches sur {advance[0].name#article}."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_1 "Notre amitié nous impose de contribuer à notre réussite mutuelle. Seriez-vous disposés à nous faire part de vos travaux sur {advance[0].name#article} ?"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_2 "Pourriez-vous partager avec nous la découverte {advance[0].name#preposition} pour que nous puissions ainsi marcher dans votre sillage ?"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_3 "Accordez-nous le secret de la découverte {advance[0].name#preposition}, cela est préférable. Votre générosité en sera grandement récompensée."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_4 "Veuillez nous livrer le secret {advance[0].name#preposition} ! Une nation comme la vôtre ne devrait pas thésauriser des informations aussi précieuses."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_0 "En échange, nous vous demandons de mettre {advance[0].name#article} à notre disposition pour que nous puissions bénéficier de cette découverte."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_1 "En échange, nous vous prions de partager {advance[0].name#article} avec nous, en témoignage de notre amitié."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_2 "En échange, nous espérons que vous serez suffisamment généreux pour divulguer les secrets {advance[0].name#preposition} pour que nous puissions nous-mêmes en jouir."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_3 "En échange, nous vous demandons de nous donner {advance[0].name#article} sur-le-champ."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_4 "En échange, nous vous demandons instamment de nous donner tout ce que vous savez sur {advance[0].name#article}.  Votre nation étant incapable d'exploiter cette découverte dans sa totalité, il n'est pas légitime qu'elle la garde pour elle."
DIP_DETAILS_OFFER_GIVE_GOLD_0 "Nous vous offrons {gold[0].value} pièces d'or de façon à ce que vous puissiez partager notre prospérité."
DIP_DETAILS_OFFER_GIVE_GOLD_1 "C'est avec joie que nous avons décidé de vous offrir une subvention de {gold[0].value} pièces d'or en témoignage de notre amitié."
DIP_DETAILS_OFFER_GIVE_GOLD_2 "Nous sommes heureux d'offrir à une nation comme la vôtre une aide sous la forme de {gold[0].value} pièces d'or."
DIP_DETAILS_OFFER_GIVE_GOLD_3 "Nous allons vous gratifier de {gold[0].value} pièces d'or. Cela ne se reproduira pas souvent, sachez-le."
DIP_DETAILS_OFFER_GIVE_GOLD_4 "Nous allons vous faire don de {gold[0].value} pièces d'or. Cela est plus que généreux de notre part."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_0 "En échange, nous allons vous accorder une subvention de {gold[0].value} pièces d'or."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_1 "En échange, afin de partager notre opulence, nous vous offrons {gold[0].value} pièces d'or."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_2 "En échange, nous vous offrons en toute simplicité {gold[0].value} pièces d'or. Nous espérons que cela suffira à vous combler."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_3 "En échange, nous vous offrons {gold[0].value} pièces d'or."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_4 "En échange, nous allons vous allouer {gold[0].value} pièces d'or. Cela devrait suffire."
DIP_DETAILS_REQUEST_GIVE_GOLD_0 "Une nation aussi généreuse et aussi prospère que la vôtre ne pourra refuser de nous accorder {gold[0].value} pièces d'or pour nous aider à surmonter ces temps difficiles."
DIP_DETAILS_REQUEST_GIVE_GOLD_1 "Nous faisons appel à votre générosité pour nous accorder une subvention de {gold[0].value} pièces d'or. Ce don serait le témoignage de l'amitié qui nous unit."
DIP_DETAILS_REQUEST_GIVE_GOLD_2 "Nous implorons votre clémence en ces temps difficiles et sollicitons de votre part une aide sous la forme de {gold[0].value} pièces d'or."
DIP_DETAILS_REQUEST_GIVE_GOLD_3 "Une nation aussi éminente que la nôtre coûte cher. Nous vous demandons de nous faire don de {gold[0].value} pièces d'or."
DIP_DETAILS_REQUEST_GIVE_GOLD_4 "Accordez-nous une subvention de {gold[0].value} pièces d'or si vous ne voulez pas susciter notre courroux. Notre patience a des limites !"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_0 "En échange, nous requérons {gold[0].value} pièces d'or afin de consolider les liens qui nous unissent."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_1 "En échange,  nous demandons une aide sous la forme de {gold[0].value} pièces d'or en témoignage de notre amitié."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_2 "En échange, nous vous implorons de nous faire don de {gold[0].value} pièces d'or. Nous pourrons ainsi continuer à subvenir aux besoins de notre nation."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_3 "En échange, nous vous demandons {gold[0].value} pièces d'or pour avoir à traiter avec une nation aussi médiocre que la vôtre."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_4 "En échange, nous vous demandons {gold[0].value} pièces d'or en témoignage de votre dévouement à notre égard."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_0 "Nous proposons de vous payer un tribut de {gold[0].value} pièces d'or à chaque tour, pour que votre nation continue de prospérer."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_1 "En témoignage de notre amitié, nous allons payer à votre nation un tribut de {gold[0].value} pièces d'or à chaque tour."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_2 "Nous vous proposons de payer un tribut de {gold[0].value} à chaque tour. Nous espérons que cet engagement financier nous fera gagner les faveurs de votre nation."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_3 "Nous vous offrons de payer un tribut de {gold[0].value} pièces d'or à chaque tour."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_4 "Nous vous accordons une aide de {gold[0].value} pièces d'or à chaque tour."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_0 "En échange et pour faire prospérer votre empire, nous allons vous payer un tribut de {gold[0].value} à chaque tour."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_1 "En échange, nous avons le plaisir de payer un tribut de {gold[0].value} à chaque tour à une nation aussi estimée que la vôtre."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_2 "En échange, nous vous offrons gracieusement de payer un tribut de {gold[0].value} pièces d'or à chaque tour. Nous espérons que cela vous satisfera."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_3 "En échange, nous vous accorderons {gold[0].value} pièces d'or à chaque tour. C'est une contribution plus que suffisante."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_4 "En échange, nous vous donnerons un tribut de {gold[0].value} pièces d'or à chaque tour. Vous n'êtes pas digne d'une telle générosité !"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_0 "Nous exigeons un tribut de {gold[0].value} pièces d'or à chaque tour. Vous remonterez ainsi dans notre estime."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_1 "Nous vous demandons de payer un tribut de {gold[0].value} pièces d'or à chaque tour, pour que notre nation puisse jouir d'une relative prospérité. Ce serait là un témoignage d'amitié de votre part."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_2 "Nous requérons humblement un tribut de {gold[0].value} pièces d'or à chaque tour. Faites preuve de clémence, en ces temps difficiles."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_3 "Nous exigeons un tribut de {gold[0].value} pièces d'or à chaque tour. C'est ce qu'il nous coûte de vous supporter !"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_4 "Nous exigeons de vous une contribution de {gold[0].value} pièces d'or à chaque tour. Exécution !"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_0 "En échange, nous sommes contraints d'exiger un tribut. {gold[0].value} pièces d'or à chaque tour serait le témoignage d'une reconnaissance que nous n'oublierons pas de si tôt."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_1 "En échange, nous requérons un tribut de {gold[0].value} pièces d'or à chaque tour. Notre amitié en dépend."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_2 "En échange, nous sommes dans l'obligation de vous demander {gold[0].value} pièces d'or à chaque tour. Faites preuve de clémence."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_3 "En échange, nous vous conseillons vivement de prendre des mesures afin de gagner nos faveurs. Un tribut de {gold[0].value} pièces d'or à chaque tour y contribuera amplement."
