#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabr. d'outils"
CONCEPT_GROWTH					"Croissance"
CONCEPT_HAPPINESS				"Bonheur"
CONCEPT_IMPROVEMENTS				"Aménagements"
CONCEPT_INDUSTRIAL_AGE				"Ere industriel"
CONCEPT_INFRASTRUCTURE				"Infrastructure"
CONCEPT_MAINTENANCE_COST			"Coût de maintenance"
CONCEPT_MEDIEVAL_AGE				"Moyen âge"
CONCEPT_MILITARY_READINESS			"Préparation militaire"
CONCEPT_MODERN_AGE				"Ere moderne"
CONCEPT_OFFER					"Offre"
CONCEPT_OVERCROWDING				"Surpopulation"
CONCEPT_POLLUTION				"Pollution"
CONCEPT_POPULATION				"Population"
CONCEPT_PRODUCTION				"Production"
CONCEPT_PUBLIC_WORKS				"Travaux publics"
CONCEPT_RATIONS					"Rations"
CONCEPT_REGARD					"Opinion"
CONCEPT_RENAISSANCE_AGE				"Renaissance"
CONCEPT_REQUEST					"Requête"
CONCEPT_REVOLUTION				"Révolution"
CONCEPT_RIOTS					"Emeute"
CONCEPT_RIVER					"Fleuves"
CONCEPT_RUINS					"Ruines"
CONCEPT_RUSH_BUY				"Achat d'urgence"
CONCEPT_SCIENCE					"Science"
CONCEPT_SCIENCE_SETTING				"Niveau de science"
CONCEPT_SEA_COLONIES				"Colonie marine"
CONCEPT_SLAVE					"Esclave"
CONCEPT_SPECIAL_FORCES				"Forces spéciales"
CONCEPT_SPECIALISTS				"Spécialistes"
CONCEPT_STARVATION				"Famine"
CONCEPT_STEALTH_UNITS				"Unités furtives"
CONCEPT_SUPPORT_COST				"Coût d'entretien"
CONCEPT_TERRAFORM				"Terraformer"
CONCEPT_THREAT					"Menace"
CONCEPT_TILE_IMPROVEMENTS			"Aménagements case"
CONCEPT_TONE					"Ton"
CONCEPT_TRADE					"Echanges"
CONCEPT_TRADE_ROUTE				"Route commerciale"
CONCEPT_TREATIES				"Traité"
CONCEPT_UNITS					"Unités"
CONCEPT_VETERANS				"Vétérans"
CONCEPT_VICTORY_CONDITIONS			"Victoire - Général"
CONCEPT_VICTORY_CONQUEST			"Victoire - Bain de sang"
CONCEPT_VICTORY_DIPLOMATIC			"Victoire - Diplomatique"
CONCEPT_VICTORY_PTS_AT_2300			"Victoire - An 2300"
CONCEPT_VICTORY_SCIENCE				"Victoire - Science"
CONCEPT_VISION					"Visibilité"
CONCEPT_WAGES					"Salaires"
CONCEPT_WONDERS					"Merveilles"
CONCEPT_WORK_HOURS				"Heures de travail"
CONCEPT_WORKER					"Travailleur"


#### Pop STRINGS ####
POP_WORKER					"Travailleur"
POP_SLAVE					"Esclave"
POP_BANKER					"Marchand"
POP_BARD					"Comédien"
POP_WISEMAN					"Chercheur"
POP_FACTORY_GRUNT				"Ouvrier"

## REMOVE THE FOLLOWING:
POP_ACTOR					"Comédien"
POP_PHILOSOPHER					"Chercheur"
POP_PROFESSOR					"Chercheur"
POP_LIBRARIAN					"Chercheur"
POP_PROGRAMMER					"Chercheur"
POP_MERCHANT					"Marchand"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"Ferme"
TILEIMP_ADVANCED_FARMS				"Ferme avancée"
TILEIMP_HYDROPONIC_FARMS			"Ferme hydroponique"
TILEIMP_MINES					"Mine"
TILEIMP_ADVANCED_MINES				"Mine avancée"
TILEIMP_MEGA_MINES				"Méga mine"
TILEIMP_TRADING_POST				"Poste de commerce"
TILEIMP_OUTLET_MALL				"Centre commercial"
TILEIMP_NATURE_PRESERVE				"Réserve naturelle"
TILEIMP_NETS					"Filet"
TILEIMP_FISHERIES				"Pêcherie"
TILEIMP_AUTOMATED_FISHERIES			"Pêcherie auto."
TILEIMP_UNDERSEA_MINES				"Mine sous-marine"
TILEIMP_ADVANCED_UNDERSEA_MINES			"Mine ss-mar. avancée"
TILEIMP_MEGA_UNDERSEA_MINES			"Méga mines ss-mar."
TILEIMP_PORT					"Port"
TILEIMP_DRILLING_PLATFORM			"Plate-forme de forage"
TILEIMP_RUINS					"Ruine"
TILEIMP_ROAD					"Route"
TILEIMP_RAILROAD				"Chemins de fer"
TILEIMP_MAGLEV					"Train express magnét."
TILEIMP_UNDERSEA_TUNNEL				"Tunnel sous-marin"
TILEIMP_LISTENING_POSTS				"Poste d'écoute"
TILEIMP_AIR_BASES				"Base aérienne"
TILEIMP_FORTIFICATIONS				"Fortifications"
TILEIMP_RADAR_STATIONS				"Station radar"
TILEIMP_SONAR_BUOYS				"Bouée sonar"
TILEIMP_PROCESSING_TOWER			"Obélisque"

#### Terraform Strings ####
TILEIMP_TERRAFORM_BROWN_HILL			"Terraform. coll. désert."
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"Terraform. mont. désert."
TILEIMP_TERRAFORM_DESERT			"Terraformer désert"
TILEIMP_TERRAFORM_FOREST			"Terraformer forêt"
TILEIMP_TERRAFORM_GRASSLAND			"Terraformer prairies"
TILEIMP_TERRAFORM_HILL				"Terraformer colline"
TILEIMP_TERRAFORM_JUNGLE			"Terraformer jungle"
TILEIMP_TERRAFORM_MOUNTAIN			"Terraformer montagne"
TILEIMP_TERRAFORM_PLAINS			"Terraformer plaines"
TILEIMP_TERRAFORM_SWAMP				"Terraformer marécages"
TILEIMP_TERRAFORM_WHITE_HILL			"Terraformer coll. pol."
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"Terraformer mont. pol."

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"Poste d'écoute"
INSTALLATION_AIR_BASES				"Base aérienne"
INSTALLATION_FORTIFICATIONS			"Fortifications"
INSTALLATION_RADAR_STATIONS			"Station radar"
INSTALLATION_SONAR_BUOYS			"Bouée sonar"

#Unit Orders#
UNIT_ORDER_NONE					"Aucun"
UNIT_ORDER_MOVE					"Déplacer"
UNIT_ORDER_ENTRENCH				"Fortifier"
UNIT_ORDER_SLEEP				"Rendre inactive"

ORDER_ADVERTISE					"Faire publicité"
ORDER_ASSASSINATE				"Assassiner dirigeant"
ORDER_ATTACK					"Attaquer"
ORDER_BIO_INFECT				"Contaminer"
ORDER_BOARD_TRANSPORT				"Transporter"
ORDER_BOMBARD					"Bombarder"
ORDER_CLEAR_TARGET				"Supprimer cible"
ORDER_CONVERT					"Convertir ville"
ORDER_CREATE_PARK				"Détruire aux nanites"
ORDER_DISBAND_ARMY				"Démanteler unité "
ORDER_ESTABLISH_EMBASSY				"Etablir ambassade"
ORDER_EXPEL					"Renvoyer unité"
ORDER_FAITH_HEALING				"Guérir par la foi"
ORDER_FORTIFY					"Fortifier"
ORDER_FRANCHISE					"Accorder franchise"
ORDER_INCITE_REVOLUTION				"Inciter révolution"
ORDER_INCITE_UPRISING				"Inciter soulèvement"
ORDER_INDULGENCE				"Vendre indulgences"
ORDER_INJOIN					"Demander injonction"
ORDER_INTERCEPT_TRADE				"Pirater"
ORDER_INVESTIGATE_CITY				"Espionner"
ORDER_LAUNCH					"Lancer"
ORDER_NANO_INFECT				"Lancer nano-attaque"
ORDER_PARADROP					"Larguer"
ORDER_PILLAGE					"Piller"
ORDER_PLAGUE					"Infester"
ORDER_PLANT_NUKE				"Placer arme nucl."
ORDER_RANGED_ATTACK				"Attaquer à distance"
ORDER_REFORM					"Réformer ville"
ORDER_REFUEL					"Ravitailler"
ORDER_SETTLE					"Coloniser"
ORDER_SLAVE_RAID				"Capturer esclaves"
ORDER_SLEEP					"Rendre inactive"
ORDER_SOOTHSAY					"Prêcher l'apocalypse"
ORDER_SPACE_LAUNCH				"Lancer dans l'espace"
ORDER_STEAL_TECHNOLOGY				"Voler progrès"
ORDER_SUE					"Intenter procès"
ORDER_TARGET					"Cibler arme nucl."
ORDER_THROW_PARTY				"Donner réception"
ORDER_UNDERGROUND_RAILWAY			"Affranchir esclaves"
ORDER_UNLOAD					"Débarquer"

PERSONALITY_KAHN_DESCRIPTION			"Tyran sanguinaire"
PERSONALITY_GHANDI_DESCRIPTION			"Pacifiste diplomate"
PERSONALITY_STALIN_DESCRIPTION			"Autocrate isolationiste et militariste"
PERSONALITY_CEASAR_DESCRIPTION			"Impérialiste agressif"
PERSONALITY_DEGAULLE_DESCRIPTION		"Noble patriote"
PERSONALITY_MEDICI_DESCRIPTION			"Habile négociateur"
PERSONALITY_TELLER_DESCRIPTION			"Intellectuel idéologue"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Génie diabolique"
PERSONALITY_CALLENBACH_DESCRIPTION		"Populiste zélé"

### Age Strings ###

AGE_ONE						"Antiquité"
AGE_TWO						"Médiéval"
AGE_THREE					"Middle Ages"
AGE_FOUR					"Renaissance"
AGE_FIVE					"Industrielle"
AGE_SIX						"Moderne"
AGE_SEVEN					"Informatique"
AGE_EIGHT					"Genetique"
AGE_NINE					"Diamant"
AGE_TEN						"Le Futur"

### City Style Strings ###

CITY_STYLE_ROMAN				"Style Romain"
CITY_STYLE_ARAB					"Style Arabe"
CITY_STYLE_ASIAN				"Style Asiatique"
CITY_STYLE_AMERICAN				"Style Américain"
CITY_STYLE_CASTLE				"Style Château"
CITY_STYLE_EGYPTAIN				"Style Egyptien"
CITY_STYLE_PALACE				"Style Palais"

### Build Sequences from ldl_str.txt ###

BUILD_LIST_SEQUENCE_PRODUCTION			"Production"
BUILD_LIST_SEQUENCE_GROWTH			"Croissance"
BUILD_LIST_SEQUENCE_OFFENSE			"Offensive"
BUILD_LIST_SEQUENCE_DEFENSE			"Défense"
BUILD_LIST_SEQUENCE_SCIENCE			"Science"
BUILD_LIST_SEQUENCE_GOLD			"Or"
BUILD_LIST_SEQUENCE_WONDERS			"Merveilles"
BUILD_LIST_SEQUENCE_HAPPINESS			"Bonheur"
BUILD_LIST_SEQUENCE_DEFAULT			"Par défaut"
BUILD_LIST_SEQUENCE_WONDERS_SCIENTIST		"Wonders (Sci.)"
BUILD_LIST_SEQUENCE_WONDERS_MILITARIST		"Wonders (Mil.)"
BUILD_LIST_SEQUENCE_WONDERS_ECONOMIC		"Wonders (Econ.)"
BUILD_LIST_SEQUENCE_WONDERS_ECOTOPIAN		"Wonders (Ecot.)"
BUILD_LIST_SEQUENCE_WONDERS_DIPLOMATIC		"Wonders (Dipl.)"

##Risk strings moved from junk_str.txt ##
RISK_NO_DANGER_HERE				"Pas de danger ici"
RISK_VILLAGES_ONLY				"Ruines seulement"
RISK_BORING_HORDES				"Groupes errants"
RISK_DECENT_HORDES				"Tribus insoumises"
RISK_RAGING_HORDES				"Hordes déchaînées"

## Generic difficulty strings for compatibility reasons ##
DIFFICULTY_0					"Débutant"
DIFFICULTY_1					"Facile"
DIFFICULTY_2					"Moyen"
DIFFICULTY_3					"Difficile"
DIFFICULTY_4					"Très difficile"
DIFFICULTY_5					"Impossible"

## Civlike difficulty strings ##
DIFFICULTY_SETTLER				"Colon"
DIFFICULTY_CHIEFTAIN				"Chef"
DIFFICULTY_WARLORD				"Seigneur de Guerre"
DIFFICULTY_PRINCE				"Prince"
DIFFICULTY_KING					"Roi"
DIFFICULTY_EMPEROR				"Empereur"
DIFFICULTY_DEITY				"Divinité"
