#### Message Strings for the Magnificent Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"确定"
SS_PERSON16		"武士"
SS_PERSON17		"男人"
SS_PERSON18		"女人"
SS_PERSON19		"渔夫"
SS_PEOPLE0		"水手"
SS_PEOPLE1		"酒馆女侍"
SS_PEOPLE2		"农人"
SS_PEOPLE3		"乞丐"
SS_PEOPLE4		"酒馆主人"
SS_PEOPLE5		"贵族"
SS_PEOPLE6		"忍者"
SS_PEOPLE7		"战士"
SS_PEOPLE8		"少女"
SS_PEOPLE9		"艺妓"
SS_PEOPLE10		"傀儡师"
SS_PEOPLE11		"相扑力士"
SS_PEOPLE12		"歌舞伎"
SS_PEOPLE13		"僧人"
SS_PEOPLE14		"杂耍艺人"

# if Random number = 0, descriptor is blank
SS_DESCRIPTOR1		"活泼的"
SS_DESCRIPTOR2		"独眼的"
SS_DESCRIPTOR3		"微笑的"
SS_DESCRIPTOR4		"魁梧的"
SS_DESCRIPTOR5		"满脸痘疤的"
SS_DESCRIPTOR6		"矮小的"
SS_DESCRIPTOR7		"张口结舌的"
SS_DESCRIPTOR8		"烂醉的"
SS_DESCRIPTOR9		"两眼愤怒的"
SS_DESCRIPTOR10		"可爱的"
SS_DESCRIPTOR11		"气色不好的"
SS_DESCRIPTOR12		"瘦长的"
SS_DESCRIPTOR13		"温顺的"
SS_DESCRIPTOR14		"斜眼瞧人的"
SS_DESCRIPTOR15		"受到惊吓的"
SS_DESCRIPTOR16		"奉承的"
SS_DESCRIPTOR17		"口齿不清的"
SS_DESCRIPTOR18		"恼怒的"
SS_DESCRIPTOR19		"臃肿的"

SS_REGARD_EVENT		"不合时宜的"

SS_TEMP				"死亡原因 = {killCause}"

#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
# 			 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 			 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


# For localizations

SS_PERSON0_DAT ""
SS_PERSON1_DAT ""
SS_PERSON2_DAT ""
SS_PERSON3_DAT ""
SS_PERSON4_DAT ""
SS_PERSON5_DAT ""
SS_PERSON6_DAT ""
SS_PERSON7_DAT ""
SS_PERSON8_DAT ""
SS_PERSON9_DAT ""
SS_PERSON10_DAT ""
SS_PERSON11_DAT ""
SS_PERSON12_DAT ""
SS_PERSON13_DAT ""
SS_PERSON14_DAT ""
SS_PERSON15_DAT ""
SS_PERSON16_DAT ""
SS_PERSON17_DAT ""
SS_PERSON18_DAT ""
SS_PERSON19_DAT ""

SS_PERSON0_ACC ""
SS_PERSON1_ACC ""
SS_PERSON2_ACC ""
SS_PERSON3_ACC ""
SS_PERSON4_ACC ""
SS_PERSON5_ACC ""
SS_PERSON6_ACC ""
SS_PERSON7_ACC ""
SS_PERSON8_ACC ""
SS_PERSON9_ACC ""
SS_PERSON10_ACC ""
SS_PERSON11_ACC ""
SS_PERSON12_ACC ""
SS_PERSON13_ACC ""
SS_PERSON14_ACC ""
SS_PERSON15_ACC ""
SS_PERSON16_ACC ""
SS_PERSON17_ACC ""
SS_PERSON18_ACC ""
SS_PERSON19_ACC ""

SS_PERSON0_ARTICLE_DEF_CAPS ""
SS_PERSON1_ARTICLE_DEF_CAPS ""
SS_PERSON2_ARTICLE_DEF_CAPS ""
SS_PERSON3_ARTICLE_DEF_CAPS ""
SS_PERSON4_ARTICLE_DEF_CAPS ""
SS_PERSON5_ARTICLE_DEF_CAPS ""
SS_PERSON6_ARTICLE_DEF_CAPS ""
SS_PERSON7_ARTICLE_DEF_CAPS ""
SS_PERSON8_ARTICLE_DEF_CAPS ""
SS_PERSON9_ARTICLE_DEF_CAPS ""
SS_PERSON10_ARTICLE_DEF_CAPS ""
SS_PERSON11_ARTICLE_DEF_CAPS ""
SS_PERSON12_ARTICLE_DEF_CAPS ""
SS_PERSON13_ARTICLE_DEF_CAPS ""
SS_PERSON14_ARTICLE_DEF_CAPS ""
SS_PERSON15_ARTICLE_DEF_CAPS ""
SS_PERSON16_ARTICLE_DEF_CAPS ""
SS_PERSON17_ARTICLE_DEF_CAPS ""
SS_PERSON18_ARTICLE_DEF_CAPS ""
SS_PERSON19_ARTICLE_DEF_CAPS ""

SS_PERSON0_ARTICLE_DEF_SMALL ""
SS_PERSON1_ARTICLE_DEF_SMALL ""
SS_PERSON2_ARTICLE_DEF_SMALL ""
SS_PERSON3_ARTICLE_DEF_SMALL ""
SS_PERSON4_ARTICLE_DEF_SMALL ""
SS_PERSON5_ARTICLE_DEF_SMALL ""
SS_PERSON6_ARTICLE_DEF_SMALL ""
SS_PERSON7_ARTICLE_DEF_SMALL ""
SS_PERSON8_ARTICLE_DEF_SMALL ""
SS_PERSON9_ARTICLE_DEF_SMALL ""
SS_PERSON10_ARTICLE_DEF_SMALL ""
SS_PERSON11_ARTICLE_DEF_SMALL ""
SS_PERSON12_ARTICLE_DEF_SMALL ""
SS_PERSON13_ARTICLE_DEF_SMALL ""
SS_PERSON14_ARTICLE_DEF_SMALL ""
SS_PERSON15_ARTICLE_DEF_SMALL ""
SS_PERSON16_ARTICLE_DEF_SMALL ""
SS_PERSON17_ARTICLE_DEF_SMALL ""
SS_PERSON18_ARTICLE_DEF_SMALL ""
SS_PERSON19_ARTICLE_DEF_SMALL ""

SS_PERSON0_ARTICLE_UNDEF_CAPS ""
SS_PERSON1_ARTICLE_UNDEF_CAPS ""
SS_PERSON2_ARTICLE_UNDEF_CAPS ""
SS_PERSON3_ARTICLE_UNDEF_CAPS ""
SS_PERSON4_ARTICLE_UNDEF_CAPS ""
SS_PERSON5_ARTICLE_UNDEF_CAPS ""
SS_PERSON6_ARTICLE_UNDEF_CAPS ""
SS_PERSON7_ARTICLE_UNDEF_CAPS ""
SS_PERSON8_ARTICLE_UNDEF_CAPS ""
SS_PERSON9_ARTICLE_UNDEF_CAPS ""
SS_PERSON10_ARTICLE_UNDEF_CAPS ""
SS_PERSON11_ARTICLE_UNDEF_CAPS ""
SS_PERSON12_ARTICLE_UNDEF_CAPS ""
SS_PERSON13_ARTICLE_UNDEF_CAPS ""
SS_PERSON14_ARTICLE_UNDEF_CAPS ""
SS_PERSON15_ARTICLE_UNDEF_CAPS ""
SS_PERSON16_ARTICLE_UNDEF_CAPS ""
SS_PERSON17_ARTICLE_UNDEF_CAPS ""
SS_PERSON18_ARTICLE_UNDEF_CAPS ""
SS_PERSON19_ARTICLE_UNDEF_CAPS ""

