
#### Empire/Civilization Names (maximum of 64 Empires) ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN "野蛮"
VIKING_CITY_6 "维堡"
VIKING_CITY_7 "歌德堡"
VIKING_CITY_8 "奥丹斯"
VIKING_CITY_9 "贝根"
VIKING_CITY_10 "林雪平"
VIKING_CITY_11 "杰尔夏夫"
VIKING_CITY_12 "博恩霍尔姆"
VIKING_CITY_13 "奥勒松"
VIKING_CITY_14 "科平"
VIKING_CITY_15 "坦派垃"
VIKING_CITY_16 "斯塔汪格"
VIKING_CITY_17 "阿尔堡"
VIKING_CITY_18 "哥本哈根"
VIKING_CITY_19 "特罗姆梭"
VIKING_CITY_20 "哈尔斯塔德"
VIKING_CITY_21 "哈默费斯特"
VIKING_CITY_22 "厄斯特松德"
VIKING_CITY_23 "斯塔汪格"
VIKING_CITY_24 "松兹瓦尔"
VIKING_CITY_25 "卡尔斯塔德"
VIKING_CITY_26 "格勒包杰格"
VIKING_CITY_27 "尼雪平"
VIKING_CITY_28 "布姆代尔"
VIKING_CITY_29 "赫尔辛基伯格"
VIKING_CITY_30 "灵厄里克"


ROMAN "罗马人"

ROMAN_LEADERM_NAME "凯萨大帝"
ROMAN_LEADERF_NAME "莉维亚"
ROMAN_COUNTRY_NAME "罗马"
ROMAN_SINGULAR "罗马人"
ROMAN_PLURAL "罗马人"

ROMAN_CITY_1 "罗马"
ROMAN_CITY_2 "庞贝"
ROMAN_CITY_3 "安庭"
ROMAN_CITY_4 "维康林"
ROMAN_CITY_5 "凯萨城"
ROMAN_CITY_6 "奥古斯多米"
ROMAN_CITY_7 "那不勒斯"
ROMAN_CITY_8 "阿格里怕"
ROMAN_CITY_9 "巴尔米拉"
ROMAN_CITY_10 "伦汀纳"
ROMAN_CITY_11 "艾伯拉坎"
ROMAN_CITY_12 "塔林庭"
ROMAN_CITY_13 "布伦贷生"
ROMAN_CITY_14 "拜占庭"
ROMAN_CITY_15 "鹫鸟城"
ROMAN_CITY_16 "席尔弥米"
ROMAN_CITY_17 "伊斯帕尼斯"
ROMAN_CITY_18 "西那库斯"
ROMAN_CITY_19 "耶路撒冷"
ROMAN_CITY_20 "佛伦斯塔"
ROMAN_CITY_21 "霸诺纳"
ROMAN_CITY_22 "尼科马地亚"
ROMAN_CITY_23 "维多尼斯沙"
ROMAN_CITY_24 "亚根土拉庭"
ROMAN_CITY_25 "奈马苏"
ROMAN_CITY_26 "希司卡"
ROMAN_CITY_27 "奥斯土西卡"
ROMAN_CITY_28 "弥米尼亚恩"
ROMAN_CITY_29 "阿格里杰森"
ROMAN_CITY_30 "杰南亚"


EGYPTIAN "埃及人"

EGYPTIAN_LEADERM_NAME "拉米西斯"
EGYPTIAN_LEADERF_NAME "埃及艳后"
EGYPTIAN_COUNTRY_NAME "埃及"
EGYPTIAN_SINGULAR "埃及人"
EGYPTIAN_PLURAL "埃及人"

EGYPTIAN_CITY_1 "开罗"
EGYPTIAN_CITY_2 "底比斯"
EGYPTIAN_CITY_3 "亚丽山卓"
EGYPTIAN_CITY_4 "孟斐斯"
EGYPTIAN_CITY_5 "纪查"
EGYPTIAN_CITY_6 "爱拉芬尼"
EGYPTIAN_CITY_7 "羚羊城"
EGYPTIAN_CITY_8 "西奈"
EGYPTIAN_CITY_9 "巴西里司"
EGYPTIAN_CITY_10 "亚离伯兹"
EGYPTIAN_CITY_11 "坦尼斯"
EGYPTIAN_CITY_12 "巴贝司提斯"
EGYPTIAN_CITY_13 "谢邦尼土斯"
EGYPTIAN_CITY_14 "贺尔摩普林兹"
EGYPTIAN_CITY_15 "麦道"
EGYPTIAN_CITY_16 "洛沙塔"
EGYPTIAN_CITY_17 "利斯特"
EGYPTIAN_CITY_18 "那寇特兹"
EGYPTIAN_CITY_19 "哈瓦拉"
EGYPTIAN_CITY_20 "安布什"
EGYPTIAN_CITY_21 "艾贷夫"
EGYPTIAN_CITY_22 "巴图"
EGYPTIAN_CITY_23 "菲利拉"
EGYPTIAN_CITY_24 "艾斯纳"
EGYPTIAN_CITY_25 "丹卓拉"
EGYPTIAN_CITY_26 "那逵大"
EGYPTIAN_CITY_27 "阿拜豆斯"
EGYPTIAN_CITY_28 "沙逵拉"
EGYPTIAN_CITY_29 "喀图斯"
EGYPTIAN_CITY_30 "皆比林"


PERSIAN "波斯人"

PERSIAN_LEADERM_NAME "居鲁士大帝"
PERSIAN_LEADERF_NAME "施贺拉齐德"
PERSIAN_COUNTRY_NAME "波斯"
PERSIAN_SINGULAR "波斯人"
PERSIAN_PLURAL "波斯人"

PERSIAN_CITY_1 "海卡尼亚"
PERSIAN_CITY_2 "马尔金亚纳"
PERSIAN_CITY_3 "巴比伦"
PERSIAN_CITY_4 "皮尔西斯"
PERSIAN_CITY_5 "戴哈"
PERSIAN_CITY_6 "巴底亚"
PERSIAN_CITY_7 "阿述"
PERSIAN_CITY_8 "大夏"
PERSIAN_CITY_9 "珀赛波利斯"
PERSIAN_CITY_10 "巴勒斯坦"
PERSIAN_CITY_11 "马拉加大"
PERSIAN_CITY_12 "帕沙尔加大"
PERSIAN_CITY_13 "洁尔米"
PERSIAN_CITY_14 "喀纳以克亚"
PERSIAN_CITY_15 "以克半塔纳"
PERSIAN_CITY_16 "安提阿"
PERSIAN_CITY_17 "尼尼微"
PERSIAN_CITY_18 "阿门"
PERSIAN_CITY_19 "萨狄斯"
PERSIAN_CITY_20 "爵金纳"
PERSIAN_CITY_21 "阿尔鸠司亚"
PERSIAN_CITY_22 "比西斯庭"
PERSIAN_CITY_23 "苏萨"
PERSIAN_CITY_24 "哈朗"
PERSIAN_CITY_25 "叙利亚"
PERSIAN_CITY_26 "亚述"
PERSIAN_CITY_27 "伊勒姆"
PERSIAN_CITY_28 "卡尔曼尼亚"
PERSIAN_CITY_29 "塞拉密斯"
PERSIAN_CITY_30 "阿拉亚"


TURKISH "土耳其人"

TURKISH_LEADERM_NAME "奥斯曼一世"
TURKISH_LEADERF_NAME "狄奥派诺"
TURKISH_COUNTRY_NAME "土耳其"
TURKISH_SINGULAR "土耳其人"
TURKISH_PLURAL "土耳其人"

TURKISH_CITY_1 "安卡拉"
TURKISH_CITY_2 "伊斯坦堡"
TURKISH_CITY_3 "布尔沙"
TURKISH_CITY_4 "坎亚"
TURKISH_CITY_5 "山修"
TURKISH_CITY_6 "嘉领铁波"
TURKISH_CITY_7 "迪亚尔巴基尔"
TURKISH_CITY_8 "伊士麦"
TURKISH_CITY_9 "凯伊西林"
TURKISH_CITY_10 "马拉太亚"
TURKISH_CITY_11 "马尔辛"
TURKISH_CITY_12 "安大利亚"
TURKISH_CITY_13 "祖果达克"
TURKISH_CITY_14 "丹尼兹黎"
TURKISH_CITY_15 "奥迪"
TURKISH_CITY_16 "莫格拉"
TURKISH_CITY_17 "以斯科西尔"
TURKISH_CITY_18 "尹艾伯尔"
TURKISH_CITY_19 "士力波"
TURKISH_CITY_20 "亚德那"
TURKISH_CITY_21 "塔尔修司"
TURKISH_CITY_22 "阿尔廷"
TURKISH_CITY_23 "波庄"
TURKISH_CITY_24 "伊利哥里"
TURKISH_CITY_25 "希里夫克"
TURKISH_CITY_26 "希维斯"
TURKISH_CITY_27 "亚马斯雅"
TURKISH_CITY_28 "玛摩里斯"
TURKISH_CITY_29 "卡斯塔谬"
TURKISH_CITY_30 "亚夫由英"


PHOENICIAN "腓尼基人"

PHOENICIAN_LEADERM_NAME "席然"
PHOENICIAN_LEADERF_NAME "雅莎莉安"
PHOENICIAN_COUNTRY_NAME "腓尼基"
PHOENICIAN_SINGULAR "腓尼基人"
PHOENICIAN_PLURAL "腓尼基人"

PHOENICIAN_CITY_1 "巴耳贝克"
PHOENICIAN_CITY_2 "贝依拓斯"
PHOENICIAN_CITY_3 "巴比洛斯"
PHOENICIAN_CITY_4 "阿雷丢兹"
PHOENICIAN_CITY_5 "迦太基"
PHOENICIAN_CITY_6 "西顿"
PHOENICIAN_CITY_7 "泰尔"
PHOENICIAN_CITY_8 "贾雷普立剎"
PHOENICIAN_CITY_9 "谢克西"
PHOENICIAN_CITY_10 "尤替卡"
PHOENICIAN_CITY_11 "哈卓密庭"
PHOENICIAN_CITY_12 "提帕萨"
PHOENICIAN_CITY_13 "系加"
PHOENICIAN_CITY_14 "若拉"
PHOENICIAN_CITY_15 "苏西斯"
PHOENICIAN_CITY_16 "索罗斯"
PHOENICIAN_CITY_17 "阿尔谬尼加"
PHOENICIAN_CITY_18 "阿贝地拉"
PHOENICIAN_CITY_19 "巴里拉"
PHOENICIAN_CITY_20 "卡莫那"
PHOENICIAN_CITY_21 "马拉卡"
PHOENICIAN_CITY_22 "加迪尔"
PHOENICIAN_CITY_23 "阿尔费得"
PHOENICIAN_CITY_24 "伊比沙"
PHOENICIAN_CITY_25 "沙墨尔"
PHOENICIAN_CITY_26 "卡拉帖"
PHOENICIAN_CITY_27 "莫泰亚"
PHOENICIAN_CITY_28 "鸠帕"
PHOENICIAN_CITY_29 "力奇刚"
PHOENICIAN_CITY_30 "贾贷斯"


WELSH "威尔斯人"

WELSH_LEADERM_NAME "阿朗"
WELSH_LEADERF_NAME "里安农"
WELSH_COUNTRY_NAME "威尔斯"
WELSH_SINGULAR "威尔斯人"
WELSH_PLURAL "威尔斯人"

WELSH_CITY_1 "加地夫"
WELSH_CITY_2 "司温席"
WELSH_CITY_3 "潘卓斯"
WELSH_CITY_4 "布尔空"
WELSH_CITY_5 "凯萨费理林"
WELSH_CITY_6 "彭泰利德"
WELSH_CITY_7 "诺尔不利思"
WELSH_CITY_8 "罗伦佐"
WELSH_CITY_9 "匡布莱"
WELSH_CITY_10 "潘布力克"
WELSH_CITY_11 "卡地根"
WELSH_CITY_12 "论卓克西"
WELSH_CITY_13 "布理司威尔斯"
WELSH_CITY_14 "贝德吉类尔特"
WELSH_CITY_15 "亚伯提离伊"
WELSH_CITY_16 "波尔斯"
WELSH_CITY_17 "蓝培特"
WELSH_CITY_18 "威尔斯港"
WELSH_CITY_19 "佛果林"
WELSH_CITY_20 "爱伯谷"
WELSH_CITY_21 "恰斯多"
WELSH_CITY_22 "佛黛比"
WELSH_CITY_23 "丹比"
WELSH_CITY_24 "潘伯依"
WELSH_CITY_25 "催萨司"
WELSH_CITY_26 "塔福威尔"
WELSH_CITY_27 "潘那尔斯"
WELSH_CITY_28 "希尔纳福恩"
WELSH_CITY_29 "佛度若"
WELSH_CITY_30 "吉洼尔得"


CUBAN "古巴人"

CUBAN_LEADERM_NAME "乔斯马特"
CUBAN_LEADERF_NAME "伊儿玛爱丝苹"
CUBAN_COUNTRY_NAME "古巴"
CUBAN_SINGULAR "古巴人"
CUBAN_PLURAL "古巴人"

CUBAN_CITY_1 "哈瓦那"
CUBAN_CITY_2 "卡尔丹奈斯"
CUBAN_CITY_3 "卡本奈斯"
CUBAN_CITY_4 "马腾那斯"
CUBAN_CITY_5 "皮纳迪里昂"
CUBAN_CITY_6 "捐坦纳恩"
CUBAN_CITY_7 "莫亚"
CUBAN_CITY_8 "聂伟踏斯"
CUBAN_CITY_9 "耶兹米拉尔答"
CUBAN_CITY_10 "拉伊莎贝拉"
CUBAN_CITY_11 "吉巴拉"
CUBAN_CITY_12 "洛阿洛尤吃"
CUBAN_CITY_13 "圣克理斯多波"
CUBAN_CITY_14 "圣克拉拉"
CUBAN_CITY_15 "希葛迪爱瑞拉"
CUBAN_CITY_16 "巴亚模"
CUBAN_CITY_17 "拉耶兹皮拉恩"
CUBAN_CITY_18 "透纳斯迪渣渣"
CUBAN_CITY_19 "尼魁欧"
CUBAN_CITY_20 "欧尔葛林"
CUBAN_CITY_21 "纽芬拉及诺娜"
CUBAN_CITY_22 "安泰拉"
CUBAN_CITY_23 "巴拉克亚"
CUBAN_CITY_24 "星富里沟斯"
CUBAN_CITY_25 "阿尔提密沙"
CUBAN_CITY_26 "强尼"
CUBAN_CITY_27 "圣地亚哥"
CUBAN_CITY_28 "马替"
CUBAN_CITY_29 "科蓝"
CUBAN_CITY_30 "莫蓝"


ZULU "祖鲁人"

ZULU_LEADERM_NAME "谢卡祖鲁"
ZULU_LEADERF_NAME "谢卡拉"
ZULU_COUNTRY_NAME "祖鲁"
ZULU_SINGULAR "祖鲁人"
ZULU_PLURAL "祖鲁人"

ZULU_CITY_1 "由浪迪"
ZULU_CITY_2 "纳塔尔"
ZULU_CITY_3 "以锡德尔瓦那"
ZULU_CITY_4 "史望仪"
ZULU_CITY_5 "派地"
ZULU_CITY_6 "蓝巴"
ZULU_CITY_7 "索司欧"
ZULU_CITY_8 "泰"
ZULU_CITY_9 "科萨"
ZULU_CITY_10 "拖罗克瓦"
ZULU_CITY_11 "塔司瓦那"
ZULU_CITY_12 "奇维那"
ZULU_CITY_13 "尼可瓦奇特兹"
ZULU_CITY_14 "可拉"
ZULU_CITY_15 "诺哥马"
ZULU_CITY_16 "秀秀威"
ZULU_CITY_17 "马替巴替巴"
ZULU_CITY_18 "安潘基妮"
ZULU_CITY_19 "尹瓜马"
ZULU_CITY_20 "梅尔墨斯"
ZULU_CITY_21 "密克克"
ZULU_CITY_22 "州尼尼"
ZULU_CITY_23 "由缩特"
ZULU_CITY_24 "马帕多"
ZULU_CITY_25 "马帕若多"
ZULU_CITY_26 "能贡姆"
ZULU_CITY_27 "翁塔达"
ZULU_CITY_28 "求基拉"
ZULU_CITY_29 "音巴巴那哥"
ZULU_CITY_30 "以西皮兹"


HEBREW "希伯来人"

HEBREW_LEADERM_NAME "大卫王"
HEBREW_LEADERF_NAME "勾达迈尔"
HEBREW_COUNTRY_NAME "以色列"
HEBREW_SINGULAR "希伯来人"
HEBREW_PLURAL "希伯来人"

HEBREW_CITY_1 "耶路撒冷"
HEBREW_CITY_2 "西薄欧林"
HEBREW_CITY_3 "谢力克"
HEBREW_CITY_4 "台拉维夫"
HEBREW_CITY_5 "雅法"
HEBREW_CITY_6 "耶兹度德"
HEBREW_CITY_7 "拿撒勒"
HEBREW_CITY_8 "伯利恒"
HEBREW_CITY_9 "泰比蓝兹"
HEBREW_CITY_10 "海法"
HEBREW_CITY_11 "加萨"
HEBREW_CITY_12 "比尔西瓦"
HEBREW_CITY_13 "奈塔亚"
HEBREW_CITY_14 "别林布拉克"
HEBREW_CITY_15 "泰尔"
HEBREW_CITY_16 "阿兹克尔隆"
HEBREW_CITY_17 "拉马特嘉"
HEBREW_CITY_18 "基卓"
HEBREW_CITY_19 "拉那那"
HEBREW_CITY_20 "科法萨巴"
HEBREW_CITY_21 "李斯洪莱隆"
HEBREW_CITY_22 "丹因城"
HEBREW_CITY_23 "黎胡摩"
HEBREW_CITY_24 "拉马尔哈"
HEBREW_CITY_25 "亚纹"
HEBREW_CITY_26 "祖儿"
HEBREW_CITY_27 "伊卓伊"
HEBREW_CITY_28 "伊列特"
HEBREW_CITY_29 "加利利"
HEBREW_CITY_30 "红隆"


ASSYRIAN "亚述人"

ASSYRIAN_LEADERM_NAME "萨纳赫齐里伯"
ASSYRIAN_LEADERF_NAME "提安昧特"
ASSYRIAN_COUNTRY_NAME "亚述帝国"
ASSYRIAN_SINGULAR "亚述人"
ASSYRIAN_PLURAL "亚述人"

ASSYRIAN_CITY_1 "尼尼薇"
ASSYRIAN_CITY_2 "乌尔"
ASSYRIAN_CITY_3 "亚西述"
ASSYRIAN_CITY_4 "尼泊尔"
ASSYRIAN_CITY_5 "乌尔乌克"
ASSYRIAN_CITY_6 "卡卡兹"
ASSYRIAN_CITY_7 "嘉熟"
ASSYRIAN_CITY_8 "阿拉哈"
ASSYRIAN_CITY_9 "卡拉"
ASSYRIAN_CITY_10 "巴虚帕"
ASSYRIAN_CITY_11 "尼密特依兹塔尔"
ASSYRIAN_CITY_12 "史帕尔"
ASSYRIAN_CITY_13 "尼纽拉"
ASSYRIAN_CITY_14 "秀邦尼巴"
ASSYRIAN_CITY_15 "达尔夏路奇"
ASSYRIAN_CITY_16 "八腊塔"
ASSYRIAN_CITY_17 "塔必士"
ASSYRIAN_CITY_18 "新谬伦"
ASSYRIAN_CITY_19 "亚撒利"
ASSYRIAN_CITY_20 "因伯贝尔"
ASSYRIAN_CITY_21 "太尔利马"
ASSYRIAN_CITY_22 "阿拉贝尔"
ASSYRIAN_CITY_23 "卡尔头卡提"
ASSYRIAN_CITY_24 "明谬塔"
ASSYRIAN_CITY_25 "哈特拉"
ASSYRIAN_CITY_26 "那利亚"
ASSYRIAN_CITY_27 "杰尔文"
ASSYRIAN_CITY_28 "马拉德"
ASSYRIAN_CITY_29 "喀斯拉"
ASSYRIAN_CITY_30 "名利伯庭"


INDIAN "印度人"

INDIAN_LEADERM_NAME "甘地"
INDIAN_LEADERF_NAME "甘地夫人"
INDIAN_COUNTRY_NAME "印度"
INDIAN_SINGULAR "印度人"
INDIAN_PLURAL "印度人"

INDIAN_CITY_1 "德黑兰"
INDIAN_CITY_2 "孟买"
INDIAN_CITY_3 "邦加罗尔"
INDIAN_CITY_4 "加尔各答"
INDIAN_CITY_5 "德及林"
INDIAN_CITY_6 "甘特"
INDIAN_CITY_7 "辛那格"
INDIAN_CITY_8 "马纳黎"
INDIAN_CITY_9 "潘吉拉"
INDIAN_CITY_10 "提留婆"
INDIAN_CITY_11 "纳格婆"
INDIAN_CITY_12 "阿尔摩拉"
INDIAN_CITY_13 "库塔那德"
INDIAN_CITY_14 "布巴内斯瓦尔"
INDIAN_CITY_15 "斋浦尔"
INDIAN_CITY_16 "稣睿特"
INDIAN_CITY_17 "马杜拉"
INDIAN_CITY_18 "加兰德拉尔"
INDIAN_CITY_19 "拉杰扣特"
INDIAN_CITY_20 "马拉德贝得"
INDIAN_CITY_21 "布罗奇"
INDIAN_CITY_22 "忧丢皮"
INDIAN_CITY_23 "高姿雅贝德"
INDIAN_CITY_24 "久德浦"
INDIAN_CITY_25 "阿姆离特西尔"
INDIAN_CITY_26 "那叙克"
INDIAN_CITY_27 "阿罕密德贝德"
INDIAN_CITY_28 "匹拉尼"
INDIAN_CITY_29 "康浦耳"
INDIAN_CITY_30 "鼻拉尔"


THAI "泰国人"

THAI_LEADERM_NAME "尤特法"
THAI_LEADERF_NAME "宋克琳"
THAI_COUNTRY_NAME "泰国"
THAI_SINGULAR "泰国人"
THAI_PLURAL "泰国人"

THAI_CITY_1 "曼谷"
THAI_CITY_2 "清迈"
THAI_CITY_3 "合艾"
THAI_CITY_4 "拉班格"
THAI_CITY_5 "迈伯兰"
THAI_CITY_6 "阿尤特哈亚"
THAI_CITY_7 "丘柏林"
THAI_CITY_8 "拉阳"
THAI_CITY_9 "乌汶颉差他尼"
THAI_CITY_10 "科拉特"
THAI_CITY_11 "华海"
THAI_CITY_12 "清莱"
THAI_CITY_13 "暖武里"
THAI_CITY_14 "巴吞他尼"
THAI_CITY_15 "孔敬"
THAI_CITY_16 "北大雅"
THAI_CITY_17 "沙没巴干"
THAI_CITY_18 "那空颉差是玛"
THAI_CITY_19 "马香生"
THAI_CITY_20 "庄他武里"
THAI_CITY_21 "那空拍侬"
THAI_CITY_22 "塔克"
THAI_CITY_23 "高梵革"
THAI_CITY_24 "高非非"
THAI_CITY_25 "高山谬"
THAI_CITY_26 "高塔欧"
THAI_CITY_27 "史地喀"
THAI_CITY_28 "星罗"
THAI_CITY_29 "普吉"
THAI_CITY_30 "隆钦坎"


POLYNESIAN "波里尼西亚人"

POLYNESIAN_LEADERM_NAME "卡米哈米哈"
POLYNESIAN_LEADERF_NAME "利留卡拉尼"
POLYNESIAN_COUNTRY_NAME "波里尼西亚"
POLYNESIAN_SINGULAR "波里尼西亚人"
POLYNESIAN_PLURAL "波里尼西亚人"

POLYNESIAN_CITY_1 "哈拉伊奇"
POLYNESIAN_CITY_2 "提给"
POLYNESIAN_CITY_3 "普咖普咖"
POLYNESIAN_CITY_4 "曼尼西"
POLYNESIAN_CITY_5 "希瓦"
POLYNESIAN_CITY_6 "法塔屋卡"
POLYNESIAN_CITY_7 "牙普伊"
POLYNESIAN_CITY_8 "东加"
POLYNESIAN_CITY_9 "亚哈"
POLYNESIAN_CITY_10 "尼雅"
POLYNESIAN_CITY_11 "阿奇阿奇"
POLYNESIAN_CITY_12 "塔塔篝篝"
POLYNESIAN_CITY_13 "哈弩弩"
POLYNESIAN_CITY_14 "阿拉提加"
POLYNESIAN_CITY_15 "贺欧"
POLYNESIAN_CITY_16 "塔修塔"
POLYNESIAN_CITY_17 "马他瓦 "
POLYNESIAN_CITY_18 "里欧"
POLYNESIAN_CITY_19 "提马塔吉"
POLYNESIAN_CITY_20 "马尔他"
POLYNESIAN_CITY_21 "塔林加"
POLYNESIAN_CITY_22 "纽卡修亚"
POLYNESIAN_CITY_23 "蒙坦"
POLYNESIAN_CITY_24 "海尔海尔塔亚"
POLYNESIAN_CITY_25 "托卡喇"
POLYNESIAN_CITY_26 "希喀尔"
POLYNESIAN_CITY_27 "雷卡雷卡"
POLYNESIAN_CITY_28 "托雷尼雅"
POLYNESIAN_CITY_29 "芳迦跶法"
POLYNESIAN_CITY_30 "门修吉"


INDONESIAN "印尼人"

INDONESIAN_LEADERM_NAME "爱尔兰加国王"
INDONESIAN_LEADERF_NAME "印杜怡安娜"
INDONESIAN_COUNTRY_NAME "印尼"
INDONESIAN_SINGULAR "印尼人"
INDONESIAN_PLURAL "印尼人"

INDONESIAN_CITY_1 "雅加达"
INDONESIAN_CITY_2 "玛琅"
INDONESIAN_CITY_3 "巴里"
INDONESIAN_CITY_4 "苏门答腊"
INDONESIAN_CITY_5 "日惹"
INDONESIAN_CITY_6 "爪哇"
INDONESIAN_CITY_7 "巴塘"
INDONESIAN_CITY_8 "库特"
INDONESIAN_CITY_9 "三宝垄"
INDONESIAN_CITY_10 "肯德尔"
INDONESIAN_CITY_11 "棉兰"
INDONESIAN_CITY_12 "万隆"
INDONESIAN_CITY_13 "泗水"
INDONESIAN_CITY_14 "泰格隆"
INDONESIAN_CITY_15 "巴塔"
INDONESIAN_CITY_16 "捻角羚"
INDONESIAN_CITY_17 "万鸦老"
INDONESIAN_CITY_18 "索罗"
INDONESIAN_CITY_19 "井里汶"
INDONESIAN_CITY_20 "班达亚齐"
INDONESIAN_CITY_21 "坤甸"
INDONESIAN_CITY_22 "耶帕拉"
INDONESIAN_CITY_23 "茂物"
INDONESIAN_CITY_24 "沙拉笛加"
INDONESIAN_CITY_25 "外南梦"
INDONESIAN_CITY_26 "巨港"
INDONESIAN_CITY_27 "苏拉卡尔塔"
INDONESIAN_CITY_28 "巨港"
INDONESIAN_CITY_29 "乌戎潘当"
INDONESIAN_CITY_30 "龙目"


JAMAICA "波兰人"

JAMAICAN_LEADERM_NAME "列克．瓦勒西"
JAMAICAN_LEADERF_NAME "贾德维卡女王"
JAMAICAN_COUNTRY_NAME "波兰"
JAMAICAN_SINGULAR "波兰人"
JAMAICAN_PLURAL "波兰人"

JAMAICAN_CITY_1 "华沙"
JAMAICAN_CITY_2 "克拉科夫"
JAMAICAN_CITY_3 "几尼兹诺"
JAMAICAN_CITY_4 "加丹斯克"
JAMAICAN_CITY_5 "卡陶维斯"
JAMAICAN_CITY_6 "瓦洛克劳"
JAMAICAN_CITY_7 "捷斯托求瓦"
JAMAICAN_CITY_8 "几戴尼亚"
JAMAICAN_CITY_9 "苏兹齐辛"
JAMAICAN_CITY_10 "波兹南"
JAMAICAN_CITY_11 "罗德兹"
JAMAICAN_CITY_12 "拜多戈斯捷"
JAMAICAN_CITY_13 "拉敦"
JAMAICAN_CITY_14 "卢布林"
JAMAICAN_CITY_15 "比埃黎斯托克"
JAMAICAN_CITY_16 "乌斯塔卡"
JAMAICAN_CITY_17 "科洛布里齐"
JAMAICAN_CITY_18 "多兰"
JAMAICAN_CITY_19 "萨科潘"
JAMAICAN_CITY_20 "奥里斯亭"
JAMAICAN_CITY_21 "欧波勒"
JAMAICAN_CITY_22 "库特诺"
JAMAICAN_CITY_23 "史鲁拜斯"
JAMAICAN_CITY_24 "瓦多维斯"
JAMAICAN_CITY_25 "瓦尔布捷齐"
JAMAICAN_CITY_26 "斯西维斯"
JAMAICAN_CITY_27 "比洛斯科拜亚拉"
JAMAICAN_CITY_28 "沃林"
JAMAICAN_CITY_29 "马尔伯克"
JAMAICAN_CITY_30 "若齐斯早"


INCAN "印加人"

INCAN_LEADERM_NAME "维拉科查"
INCAN_LEADERF_NAME "玛娜秋佳"
INCAN_COUNTRY_NAME "印加帝国"
INCAN_SINGULAR "印加人"
INCAN_PLURAL "印加人"

INCAN_CITY_1 "库斯科"
INCAN_CITY_2 "马丘比丘"
INCAN_CITY_3 "普卡拉"
INCAN_CITY_4 "钦博特"
INCAN_CITY_5 "卡皮兹尼奇"
INCAN_CITY_6 "帕拉卡斯"
INCAN_CITY_7 "瓦里"
INCAN_CITY_8 "帕查卡马克"
INCAN_CITY_9 "派拉蒙加"
INCAN_CITY_10 "修城"
INCAN_CITY_11 "安孔"
INCAN_CITY_12 "卡拉马秋拉"
INCAN_CITY_13 "奥库卡宜"
INCAN_CITY_14 "卡霍奇"
INCAN_CITY_15 "亚雷圭巴"
INCAN_CITY_16 "帖修纳可"
INCAN_CITY_17 "奇理帕"
INCAN_CITY_18 "欧廉坦他蒲"
INCAN_CITY_19 "派奇拉科塔"
INCAN_CITY_20 "劳里科查"
INCAN_CITY_21 "查文迪烘塔"
INCAN_CITY_22 "塞钦山"
INCAN_CITY_23 "昌昌"
INCAN_CITY_24 "穆哈"
INCAN_CITY_25 "万马奇奇"
INCAN_CITY_26 "卡哈马卡"
INCAN_CITY_27 "兰巴耶克"
INCAN_CITY_28 "帕卡斯马摩"
INCAN_CITY_29 "瓦卡普列塔"
INCAN_CITY_30 "潘帕迪拼杰"


MAYAN "马雅人"

MAYAN_LEADERM_NAME "匈纳法"
MAYAN_LEADERF_NAME "克琳肯"
MAYAN_COUNTRY_NAME "马雅"
MAYAN_SINGULAR "马雅人"
MAYAN_PLURAL "马雅人"

MAYAN_CITY_1 "科潘"
MAYAN_CITY_2 "奇琴依查"
MAYAN_CITY_3 "乌斯马尔"
MAYAN_CITY_4 "蓍那"
MAYAN_CITY_5 "帕伦克"
MAYAN_CITY_6 "瓦哈克通"
MAYAN_CITY_7 "亚克斯奇兰"
MAYAN_CITY_8 "蒂卡尔"
MAYAN_CITY_9 "吐尼纳"
MAYAN_CITY_10 "拖尔特克"
MAYAN_CITY_11 "以特兹纳"
MAYAN_CITY_12 "克尔白雷伯纳"
MAYAN_CITY_13 "辛拔西尔"
MAYAN_CITY_14 "卡拉克木耳"
MAYAN_CITY_15 "科马尔盖科"
MAYAN_CITY_16 "特那拔"
MAYAN_CITY_17 "约华"
MAYAN_CITY_18 "雅鲁梅拉"
MAYAN_CITY_19 "扎可尔"
MAYAN_CITY_20 "赛巴尔"
MAYAN_CITY_21 "杰比尔恰尔庭"
MAYAN_CITY_22 "季里古阿"
MAYAN_CITY_23 "卢巴庭"
MAYAN_CITY_24 "普西哈"
MAYAN_CITY_25 "沉科里特克"
MAYAN_CITY_26 "拉迪凡加"
MAYAN_CITY_27 "瓜波里司"
MAYAN_CITY_28 "帕尔马里"
MAYAN_CITY_29 "萨以尔"
MAYAN_CITY_30 "拉斯赫卡斯"

CANADIANS "加拿大人"

CANADIANS_LEADERM_NAME "皮尔特鲁多"
CANADIANS_LEADERF_NAME "圣马德莱娜"
CANADIANS_COUNTRY_NAME "加拿大"
CANADIANS_SINGULAR "加拿大人"
CANADIANS_PLURAL "加拿大人"

CANADIANS_CITY_1 "渥太华"
CANADIANS_CITY_2 "蒙特利尔"
CANADIANS_CITY_3 "艾德蒙吞"
CANADIANS_CITY_4 "卡加立"
