#### Message Strings for the Magnificent Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_REGARD_EVENT		"Ancient hatred"

SS_TEMP				"Kill Cause = {killCause}"

#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
# 			 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 			 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


# For localizations

SS_PERSON0_DAT ""
SS_PERSON1_DAT ""
SS_PERSON2_DAT ""
SS_PERSON3_DAT ""
SS_PERSON4_DAT ""
SS_PERSON5_DAT ""
SS_PERSON6_DAT ""
SS_PERSON7_DAT ""
SS_PERSON8_DAT ""
SS_PERSON9_DAT ""
SS_PERSON10_DAT ""
SS_PERSON11_DAT ""
SS_PERSON12_DAT ""
SS_PERSON13_DAT ""
SS_PERSON14_DAT ""
SS_PERSON15_DAT ""
SS_PERSON16_DAT ""
SS_PERSON17_DAT ""
SS_PERSON18_DAT ""
SS_PERSON19_DAT ""

SS_PERSON0_ACC ""
SS_PERSON1_ACC ""
SS_PERSON2_ACC ""
SS_PERSON3_ACC ""
SS_PERSON4_ACC ""
SS_PERSON5_ACC ""
SS_PERSON6_ACC ""
SS_PERSON7_ACC ""
SS_PERSON8_ACC ""
SS_PERSON9_ACC ""
SS_PERSON10_ACC ""
SS_PERSON11_ACC ""
SS_PERSON12_ACC ""
SS_PERSON13_ACC ""
SS_PERSON14_ACC ""
SS_PERSON15_ACC ""
SS_PERSON16_ACC ""
SS_PERSON17_ACC ""
SS_PERSON18_ACC ""
SS_PERSON19_ACC ""

SS_PERSON0_ARTICLE_DEF_CAPS ""
SS_PERSON1_ARTICLE_DEF_CAPS ""
SS_PERSON2_ARTICLE_DEF_CAPS ""
SS_PERSON3_ARTICLE_DEF_CAPS ""
SS_PERSON4_ARTICLE_DEF_CAPS ""
SS_PERSON5_ARTICLE_DEF_CAPS ""
SS_PERSON6_ARTICLE_DEF_CAPS ""
SS_PERSON7_ARTICLE_DEF_CAPS ""
SS_PERSON8_ARTICLE_DEF_CAPS ""
SS_PERSON9_ARTICLE_DEF_CAPS ""
SS_PERSON10_ARTICLE_DEF_CAPS ""
SS_PERSON11_ARTICLE_DEF_CAPS ""
SS_PERSON12_ARTICLE_DEF_CAPS ""
SS_PERSON13_ARTICLE_DEF_CAPS ""
SS_PERSON14_ARTICLE_DEF_CAPS ""
SS_PERSON15_ARTICLE_DEF_CAPS ""
SS_PERSON16_ARTICLE_DEF_CAPS ""
SS_PERSON17_ARTICLE_DEF_CAPS ""
SS_PERSON18_ARTICLE_DEF_CAPS ""
SS_PERSON19_ARTICLE_DEF_CAPS ""

SS_PERSON0_ARTICLE_DEF_SMALL ""
SS_PERSON1_ARTICLE_DEF_SMALL ""
SS_PERSON2_ARTICLE_DEF_SMALL ""
SS_PERSON3_ARTICLE_DEF_SMALL ""
SS_PERSON4_ARTICLE_DEF_SMALL ""
SS_PERSON5_ARTICLE_DEF_SMALL ""
SS_PERSON6_ARTICLE_DEF_SMALL ""
SS_PERSON7_ARTICLE_DEF_SMALL ""
SS_PERSON8_ARTICLE_DEF_SMALL ""
SS_PERSON9_ARTICLE_DEF_SMALL ""
SS_PERSON10_ARTICLE_DEF_SMALL ""
SS_PERSON11_ARTICLE_DEF_SMALL ""
SS_PERSON12_ARTICLE_DEF_SMALL ""
SS_PERSON13_ARTICLE_DEF_SMALL ""
SS_PERSON14_ARTICLE_DEF_SMALL ""
SS_PERSON15_ARTICLE_DEF_SMALL ""
SS_PERSON16_ARTICLE_DEF_SMALL ""
SS_PERSON17_ARTICLE_DEF_SMALL ""
SS_PERSON18_ARTICLE_DEF_SMALL ""
SS_PERSON19_ARTICLE_DEF_SMALL ""

SS_PERSON0_ARTICLE_UNDEF_CAPS ""
SS_PERSON1_ARTICLE_UNDEF_CAPS ""
SS_PERSON2_ARTICLE_UNDEF_CAPS ""
SS_PERSON3_ARTICLE_UNDEF_CAPS ""
SS_PERSON4_ARTICLE_UNDEF_CAPS ""
SS_PERSON5_ARTICLE_UNDEF_CAPS ""
SS_PERSON6_ARTICLE_UNDEF_CAPS ""
SS_PERSON7_ARTICLE_UNDEF_CAPS ""
SS_PERSON8_ARTICLE_UNDEF_CAPS ""
SS_PERSON9_ARTICLE_UNDEF_CAPS ""
SS_PERSON10_ARTICLE_UNDEF_CAPS ""
SS_PERSON11_ARTICLE_UNDEF_CAPS ""
SS_PERSON12_ARTICLE_UNDEF_CAPS ""
SS_PERSON13_ARTICLE_UNDEF_CAPS ""
SS_PERSON14_ARTICLE_UNDEF_CAPS ""
SS_PERSON15_ARTICLE_UNDEF_CAPS ""
SS_PERSON16_ARTICLE_UNDEF_CAPS ""
SS_PERSON17_ARTICLE_UNDEF_CAPS ""
SS_PERSON18_ARTICLE_UNDEF_CAPS ""
SS_PERSON19_ARTICLE_UNDEF_CAPS ""

