#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Polish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Wyrob narzedzi"
#CONCEPT_SPACE_COLONIES				"Space	Colony"
#CONCEPT_STOP_TRADE				"Stop Trade"
#CONCEPT_TRADE_UNITS				"Stealth Units"
#CONCEPT_X_LAB					"X-Lab"
CONCEPT_ACTIVE_DEFENSE				"Active	Defense"
CONCEPT_ADVANCES				"Advances"
CONCEPT_ALLIANCE				"Alliance"
CONCEPT_ANCIENT_AGE				"Ancient Age"
CONCEPT_ATROCITY				"Atrocity"
CONCEPT_BARBARIANS				"Barbarians"
CONCEPT_CAPITALIZATION				"Capitalization"
CONCEPT_CITY					"City"
CONCEPT_CLASSIC_AGE				"Classical Age"
CONCEPT_COMMERCE				"Commerce"
CONCEPT_COMPUTER_AGE				"Information Age"
CONCEPT_CRIME					"Crime"
CONCEPT_DEFENSE					"Defense"
CONCEPT_DIAMOND_AGE				"Diamond Age"
CONCEPT_DIPLOMACY				"Diplomacy"
CONCEPT_DISBAND_CITY				"Disband City"
CONCEPT_EMBARGO					"Embargo"
CONCEPT_EMPIRE_SIZE				"Empire Size"
CONCEPT_FOOD					"Food"
CONCEPT_FUEL					"Fuel"
CONCEPT_FUTURE_AGE				"The Future"
CONCEPT_GENETIC_AGE				"Genetic Age"
CONCEPT_GOLD					"Gold"
CONCEPT_GOODS					"Goods"
CONCEPT_GOSSIP					"Gossip"
CONCEPT_GOVERNMENTS				"Government"
CONCEPT_GROWTH					"Growth"
CONCEPT_HAPPINESS				"Happiness"
CONCEPT_IMPROVEMENTS				"Improvements"
CONCEPT_INDUSTRIAL_AGE				"Industrial Age"
CONCEPT_INFRASTRUCTURE				"Infrastructure"
CONCEPT_MAINTENANCE_COST			"Maintenance Cost"
CONCEPT_MEDIEVAL_AGE				"Medieval Period"
CONCEPT_MILITARY_READINESS			"Military Readiness"
CONCEPT_MODERN_AGE				"Modern	Age"
CONCEPT_OFFER					"Offer"
CONCEPT_OVERCROWDING				"Overcrowding"
CONCEPT_POLLUTION				"Pollution"
CONCEPT_POPULATION				"Population"
CONCEPT_PRODUCTION				"Production"
CONCEPT_PUBLIC_WORKS				"Public	Works"
CONCEPT_RATIONS					"Rations"
CONCEPT_REGARD					"Regard"
CONCEPT_RENAISSANCE_AGE				"Renaissance Age"
CONCEPT_REQUEST					"Request"
CONCEPT_REVOLUTION				"Revolution"
CONCEPT_RIOTS					"Riot"
CONCEPT_RIVER					"Rivers"
CONCEPT_RUINS					"Ruins"
CONCEPT_RUSH_BUY				"Rush Buy"
CONCEPT_SCIENCE					"Science"
CONCEPT_SCIENCE_SETTING				"Science Setting"
CONCEPT_SEA_COLONIES				"Sea Colony"
CONCEPT_SLAVE					"Slave"
CONCEPT_SPECIAL_FORCES				"Special Forces"
CONCEPT_SPECIALISTS				"Specialists"
CONCEPT_STARVATION				"Starvation"
CONCEPT_STEALTH_UNITS				"Stealth Units"
CONCEPT_SUPPORT_COST				"Support Cost"
CONCEPT_TERRAFORM				"Terraform"
CONCEPT_THREAT					"Threat"
CONCEPT_TILE_IMPROVEMENTS			"Tile Improvements"
CONCEPT_TONE					"Tone"
CONCEPT_TRADE					"Trade"
CONCEPT_TRADE_ROUTE				"Trade Route"
CONCEPT_TREATIES				"Treaty"
CONCEPT_UNITS					"Units"
CONCEPT_VETERANS				"Veterans"
CONCEPT_VICTORY_CONDITIONS			"Victory - General"
CONCEPT_VICTORY_CONQUEST			"Victory - Bloodlust"
CONCEPT_VICTORY_DIPLOMATIC			"Victory - Diplomatic"
CONCEPT_VICTORY_PTS_AT_2300			"Victory - 2300 AD"
CONCEPT_VICTORY_SCIENCE				"Victory - Gaia Controller"
CONCEPT_VISION					"Vision"
CONCEPT_WAGES					"Wages"
CONCEPT_WONDERS					"Wonders"
CONCEPT_WORK_HOURS				"Work Hours"
CONCEPT_WORKER					"Worker"


#### Pop STRINGS ####
POP_WORKER					"Worker"
POP_SLAVE					"Slave"
POP_BANKER					"Merchant"
POP_BARD					"Entertainer"
POP_WISEMAN					"Scientist"
POP_FACTORY_GRUNT				"Laborer"

## REMOVE THE FOLLOWING:
POP_ACTOR					"Entertainer"
POP_PHILOSOPHER					"Scientist"
POP_PROFESSOR					"Scientist"
POP_LIBRARIAN					"Scientist"
POP_PROGRAMMER					"Scientist"
POP_MERCHANT					"Merchant"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"Farma"
TILEIMP_ADVANCED_FARMS				"Nowoczesna farma"
TILEIMP_HYDROPONIC_FARMS			"Farma hydroponiczna"
TILEIMP_MINES					"Kopalnia"
TILEIMP_ADVANCED_MINES				"Nowoczesna kopalnia"
TILEIMP_MEGA_MINES				"Zespol kopaln"
TILEIMP_TRADING_POST				"Placowka handlowa"
TILEIMP_OUTLET_MALL				"Centrum handlowe"
TILEIMP_NATURE_PRESERVE				"Rezerwat przyrody"
TILEIMP_NETS					"Siec"
TILEIMP_FISHERIES				"Hodowla ryb"
TILEIMP_AUTOMATED_FISHERIES			"Auto. hodowla ryb"
TILEIMP_UNDERSEA_MINES				"Kopalnia podmorska"
TILEIMP_ADVANCED_UNDERSEA_MINES			"Nowocz. kopalnia podmorska"
TILEIMP_MEGA_UNDERSEA_MINES			"Zespol kopaln podmorskich"
TILEIMP_PORT					"Port"
TILEIMP_DRILLING_PLATFORM			"Platforma wiertnicza"
TILEIMP_RUINS					"Ruiny"
TILEIMP_ROAD					"Droga"
TILEIMP_RAILROAD				"Tory kolejowe"
TILEIMP_MAGLEV					"Kolej magnetyczna"
TILEIMP_UNDERSEA_TUNNEL				"Tunel podmorski"
TILEIMP_LISTENING_POSTS				"Posterunek"
TILEIMP_AIR_BASES				"Baza lotnicza"
TILEIMP_FORTIFICATIONS				"Fortyfikcja"
TILEIMP_RADAR_STATIONS				"Stacja radarowa"
TILEIMP_SONAR_BUOYS				"Boja sonarowa"
TILEIMP_PROCESSING_TOWER			"Obelisk gajanski"

#### Terraform Strings ####
TILEIMP_TERRAFORM_BROWN_HILL			"Terraform Sand Dunes"
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"Terraform Desert Mountain"
TILEIMP_TERRAFORM_DESERT			"Terraform Desert"
TILEIMP_TERRAFORM_FOREST			"Terraform Forest"
TILEIMP_TERRAFORM_GRASSLAND			"Terraform Grassland"
TILEIMP_TERRAFORM_HILL				"Terraform Hill"
TILEIMP_TERRAFORM_JUNGLE			"Terraform Jungle"
TILEIMP_TERRAFORM_MOUNTAIN			"Terraform Mountain"
TILEIMP_TERRAFORM_PLAINS			"Terraform Plains"
TILEIMP_TERRAFORM_SWAMP				"Terraform Swamp"
TILEIMP_TERRAFORM_WHITE_HILL			"Terraform Polar Hill"
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"Terraform Polar Mountain"

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"Posterunek"
INSTALLATION_AIR_BASES				"Baza lotnicza"
INSTALLATION_FORTIFICATIONS			"Fortyfikcja"
INSTALLATION_RADAR_STATIONS			"Stacja radarowa"
INSTALLATION_SONAR_BUOYS			"Boja sonarowa"

#Unit Orders#
UNIT_ORDER_NONE					"None"
UNIT_ORDER_MOVE					"Move"
UNIT_ORDER_ENTRENCH				"Fortify"
UNIT_ORDER_SLEEP				"Sentinel"

ORDER_ADVERTISE					"Reklamowanie"
ORDER_ASSASSINATE				"Zamach"
ORDER_ATTACK					"Atak"
ORDER_BIO_INFECT				"Wywolanie epidemi"
ORDER_BOARD_TRANSPORT				"Zaokretowanie"
ORDER_BOMBARD					"Bombardowanie"
ORDER_CONVERT					"Nawrocenie miasta"
ORDER_CREATE_PARK				"Eko-zaglada"
ORDER_CLEAR_TARGET				"Anulowanie ataku jadrowego"
ORDER_DISBAND_ARMY				"Rozwiazanie jednostki"
ORDER_ESTABLISH_EMBASSY				"Zalozenie ambasady"
ORDER_EXPEL					"Usuniecie jednostki"
ORDER_FORTIFY					"Ufortyfikowanie"
ORDER_FAITH_HEALING				"Leczenie wiara"
ORDER_FRANCHISE					"Koncesja"
ORDER_INCITE_REVOLUTION				"Wywolanie rewolucji"
ORDER_INCITE_UPRISING				"Wspomaganie powstania"
ORDER_INDULGENCE				"Sprzedaz odpustow"
ORDER_INJOIN					"Nakaz prawny"
ORDER_INTERCEPT_TRADE				"Napad na szlak handlowy"
ORDER_INVESTIGATE_CITY				"Szpiegostwo"
ORDER_LAUNCH					"Lot kosmiczny"
ORDER_NANO_INFECT				"Nano-atak"
ORDER_PARADROP					"Zrzut"
ORDER_PILLAGE					"Pladrowanie"
ORDER_PLAGUE					"Wywolanie plagi"
ORDER_PLANT_NUKE				"Podlozenie ladunku jadrowego"
ORDER_RANGED_ATTACK				"Atak z dystansu"
ORDER_REFORM					"Reformowanie miasta"
ORDER_REFUEL					"Dotankowanie paliwa"
ORDER_SETTLE					"Budowa miasta"
ORDER_SETTLE_IN_CITY				"Settle in City"
ORDER_SLAVE_RAID				"Chwytanie niewolnikow"
ORDER_SLEEP					"Warta"
ORDER_SOOTHSAY					"Gloszenie apokalipsy"
ORDER_SPACE_LAUNCH				"Lot kosmiczny"
ORDER_STEAL_TECHNOLOGY				"Kradziez technologii"
ORDER_SUE					"Eksmisja"
ORDER_TARGET					"Podlozenie ladunku jadrowego"
ORDER_THROW_PARTY				"Zlozenie wizyty"
ORDER_UNDERGROUND_RAILWAY			"Uwolnienie niewolnikow"
ORDER_UNLOAD					"Rozladowanie"
ORDER_UPGRADE					"Upgrade"

PERSONALITY_KAHN_DESCRIPTION			"Villainous, Bloodthirsty Murderer"
PERSONALITY_GHANDI_DESCRIPTION			"Diplomacy-minded Peacemaker"
PERSONALITY_STALIN_DESCRIPTION			"Isolationist, Autocratic Militarist"
PERSONALITY_CEASAR_DESCRIPTION			"Agressive Imperialist"
PERSONALITY_DEGAULLE_DESCRIPTION		"High-minded Patriot"
PERSONALITY_MEDICI_DESCRIPTION			"Shrewd International Trader"
PERSONALITY_TELLER_DESCRIPTION			"Ideologically Aggressive Academic"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Evil Genius"
PERSONALITY_CALLENBACH_DESCRIPTION		"Populist Zealot"

### Age Strings ###

AGE_ONE						"Ancient"
AGE_TWO						"Classic"
AGE_THREE					"Middle Ages"
AGE_FOUR					"Renaissance"
AGE_FIVE					"Industrial"
AGE_SIX						"Modern"
AGE_SEVEN					"Information Age"
AGE_EIGHT					"Genetic"
AGE_NINE					"Diamond"
AGE_TEN						"Future"

### City Style Strings ###

CITY_STYLE_ROMAN				"Roman Style"
CITY_STYLE_ARAB					"Arabian Style"
CITY_STYLE_ASIAN				"Asian Style"
CITY_STYLE_AMERICAN				"American Style"
CITY_STYLE_CASTLE				"Castle Style"
CITY_STYLE_EGYPTAIN				"Egyptian Style"
CITY_STYLE_PALACE				"Palace Style"

### Build Sequences from ldl_str.txt ###

BUILD_LIST_SEQUENCE_PRODUCTION			"Produkcja"
BUILD_LIST_SEQUENCE_GROWTH			"Wzrost"
BUILD_LIST_SEQUENCE_OFFENSE			"Atak"
BUILD_LIST_SEQUENCE_DEFENSE			"Obrona"
BUILD_LIST_SEQUENCE_SCIENCE			"Nauka"
BUILD_LIST_SEQUENCE_GOLD			"Zloto"
BUILD_LIST_SEQUENCE_WONDERS			"Cuda swiata"
BUILD_LIST_SEQUENCE_HAPPINESS			"Zadowolenie"
BUILD_LIST_SEQUENCE_DEFAULT			"Domyslny"
BUILD_LIST_SEQUENCE_WONDERS_SCIENTIST		"Wonders (Sci.)"
BUILD_LIST_SEQUENCE_WONDERS_MILITARIST		"Wonders (Mil.)"
BUILD_LIST_SEQUENCE_WONDERS_ECONOMIC		"Wonders (Econ.)"
BUILD_LIST_SEQUENCE_WONDERS_ECOTOPIAN		"Wonders (Ecot.)"
BUILD_LIST_SEQUENCE_WONDERS_DIPLOMATIC		"Wonders (Dipl.)"
BUILD_LIST_SEQUENCE_BARBARIAN			"Units"
BUILD_LIST_SEQUENCE_SMALL_CITIES		"Small Cities"
BUILD_LIST_SEQUENCE_CITIES_AT_MAX_SIZE		"Maxiumum Sized Cities"
BUILD_LIST_SEQUENCE_DIRTY_CITIES		"Pollution"

##Risk strings moved from junk_str.txt ##
RISK_NO_DANGER_HERE				"No Danger Here"
RISK_VILLAGES_ONLY				"Ruins Only"
RISK_BORING_HORDES				"Bandits"
RISK_DECENT_HORDES				"Raiders"
RISK_RAGING_HORDES				"Marauders"

## Generic difficulty strings for compatibility reasons ##
DIFFICULTY_0					"Chieftain"
DIFFICULTY_1					"Warlord"
DIFFICULTY_2					"Prince"
DIFFICULTY_3					"King"
DIFFICULTY_4					"Emperor"
DIFFICULTY_5					"Deity"

## Civlike difficulty strings ##
DIFFICULTY_SETTLER				"Settler"
DIFFICULTY_CHIEFTAIN			"Chieftain"
DIFFICULTY_WARLORD				"Warlord"
DIFFICULTY_PRINCE				"Prince"
DIFFICULTY_KING					"King"
DIFFICULTY_EMPEROR				"Emperor"
DIFFICULTY_DEITY				"Deity"

## Language strings ##
LANGUAGE_CHINESE				"Chiñski"
LANGUAGE_CZECH					"Czeski"
LANGUAGE_ENGLISH				"Angielski"
LANGUAGE_FRENCH					"Francuski"
LANGUAGE_GERMAN					"Niemiecki"
LANGUAGE_ITALIAN				"W³oski"
LANGUAGE_JAPANESE				"Japoñski"
LANGUAGE_POLISH					"Polski"
LANGUAGE_SPANISH				"Hiszpañski"
