BUTTON_GREAT_LIBRARY "Great Library" 
TUT549_WAIT_FOR_PW "You'll have to wait a while to accumulate enough Public Works to build a Tile Improvement. Continue exploring the map.  Hit the <c:180,0,0>'N'<e> key to end the turn.  <c:180,0,0>LEFT<e>-click to select a unit.  <c:180,0,0>LEFT<e>-click to move."

TITLE_DUMBASS "DUMBASS"
TUT550_DUMBASS "<c:180,0,0>DUMBASS<e>"

TITLE_DESELECT "Deselecting Units"
TUT550A_DESELECT "If you have selected a unit and wish to select something else, you must first deselect your unit. Do this by <c:0,180,0>RIGHT<e>-clicking anywhere on the map."

TITLE_LEVEL_3 "Tutorial Level 3"
TUT551_LEVEL_3 "Now that you have learned about broad concepts, you are ready to learn about making contact with other Civilizations. In this level, you will learn about diplomacy and combat."

TITLE_CIV_INTERACTION "Civilization Interactions"
TUT552_CIV_INTERACTION "An important part of the game is interacting with other Civilizations. This may consist of diplomatic relations - such as establishing alliances. It may also consist of warfare."

TITLE_3_GOAL_1 "Goal 1: Find Another Civ"
TUT553_3_GOAL_1 "A foreign <c:180,0,0>Warrior<e> is approaching your city, [city.1.name]. The foreign Warrior has a shield that is <c:220,96,0>not blue<e>. Explore the area around [city.1.name] until you find him. Move one of your units right next to the foreign Warrior. Hit <c:180,0,0>'N'<e> if your unit can't move anymore."

TITLE_MOUNTAIN_WARRIOR "Warrior is on Mountain!"
TUT553A_MOUNTAIN_WARRIOR "The foreign <c:180,0,0>Warrior<e> is on a mountain.  Use a Warrior or Phalanx unit to seek him out. Mounted units cannot cross mountains."

TITLE_BE_PATIENT_3 "Be Patient"
TUT554_BE_PATIENT_3 "It may take a while to find your neighbors. A Mounted Archer makes an excellent scout. However, note that he cannot cross mountains. Don't forget to hit '<c:180,0,0>N<e>' when you can't move the unit anymore."

TITLE_BUILD_UNITS "Build Units in Your Cities"
TUT555_BUILD_UNITS "As you explore, do not forget to continue building Units in your cities. If necessary, review the old messages for instruction by clicking 'Review Tutorial Messages.'"

TITLE_3_GOAL_1_ACCOMPLISHED "Goal 1 Accomplished! Contact Made"
TUT556_3_GOAL_1_ACCOMPLISHED "You have met your first neighbor. For now, be friendly. Don't attack the enemy Warrior by moving onto his tile.  Yet."

#TITLE_DIPLOMACY_MESSAGE_SYS "Diplomacy Message System"
#TUT557_DIPLOMACY_MESSAGE_SYS "Move a unit next to the foreign unit."

TITLE_GREETINGS "Greetings!"
TUT558_GREETINGS "When you first make contact with another Civilization, you will always get a greeting. A small box with a scroll icon will appear on the left-side of the screen." 

TITLE_OPEN_GREETINGS "Open Diplomacy Message"
TUT559_OPEN_GREETINGS "Click on the scroll icon. This will automatically open the diplomacy message. After you open the message, press <c:180,0,0>'ACCEPT'<e> to show that you support a friendly relationship."

TITLE_COVER_YOUR_BACK "Cover Your Back"
TUT560_COVER_YOUR_BACK "Be careful. Although you are now on friendly terms with your neighbor, this could change at any time."

TITLE_NO_STACKED_BATTLE "Single Unit Combat"
TUT560A_NO_STACKED_BATTLE "The Battleview only displays combat for armies.  You may want to attack using an army next time."

TITLE_3_GOAL_2 "Goal 2: Make an Army"
TUT561_3_GOAL_2 "Multiple units in one army are the strongest in battle. A <c:180,0,0>Warrior<e> and an <c:180,0,0>Archer<e> have appeared next to [city.1.name]. Click the <c:0,180,0>eyeball<e> on this message to center on the new units."

TITLE_MAKING_ARMY "Making an Army"
TUT562_MAKING_ARMY "Move the Warrior and Archer units onto the same tile. <c:180,0,0>LEFT<e>-click the unit to select it. <c:180,0,0>LEFT<e>-click to move it. When they are on the same tile, one of them will be on 'top' of the stack, and the <c:0,0,180>shield<e> will have a <c:0,0,180>2<e> on it. " 

TITLE_KEEP_MOVING "Keep Moving"
TUT563_KEEP_MOVING "Keep moving the Warrior and Archer units until they occupy the same tile."

TITLE_LOCK_DISPLAY "Units Tab Army Display"
TUT564_LOCK_DISPLAY "<c:180,0,0>LEFT<e>-click on the <c:180,0,0>2 or more units which you moved to the same tile<e>. Look at the Units tab. Notice that the pictures of each unit appear in the small boxes on the left. One of the unit pictures has a <c:180,0,0>red border<e> around it. This means that only this single unit is selected."

TITLE_LOCK_STACK "Lock Army From Units Tab"
TUT565_LOCK_STACK "If you have <c:0,0,180>2<e> or more units on the same tile, you should see the number of units on the <c:0,0,180>shield<e>. One of the units will appear on 'top' of the others. Select the unit on 'top' then click on the <c:0,180,0>lock<e> button to lock the units into a single army." 

TITLE_STACK_HERALD "Army's Shield"
TUT566_STACK_HERALD "The units are now locked into an army. You can only see the unit that is on 'top' of the army, but all of the units are present on the same tile. You can stack up to 9 units into a single army."

TITLE_MOVE_STACK "Move the Army"
TUT567_MOVE_STACK "<c:180,0,0>LEFT<e>-click on the army. <c:180,0,0>LEFT<e>-click on the destination tile. Hit the <c:180,0,0>'N'<e> key if the units can't move."

TITLE_ATTACK_NEIGHBOUR "Goal 3: Attack your Neighbor"
TUT568_ATTACK_NEIGHBOUR "Attack the enemy Warrior near [city.1.name]. <c:180,0,0>LEFT<e>-click your stack, then <c:180,0,0>LEFT<e>-click on the target unit. Hit the <c:180,0,0>'N'<e> key if the units can't move."

#TITLE_FORTIFICATION "Fortification"
#TUT569_FORTIFICATION "The foreign unit may be surrounded by a small wall. This means that he is Fortified. He has temporarily created a structure for protection. This gives him a defensive bonus and makes him harder to beat."

#TITLE_ATTACK "Attack!"
#TUT570_ATTACK "Attack the unit. <c:180,0,0>LEFT<e>-click your stack, then <c:180,0,0>LEFT<e>-click on the target unit."

TITLE_BATTLE_VIEW "The Battleview"
TUT571_BATTLE_VIEW "The Battleview displays combat. The terrain displayed in the Battleview reflects the actual terrain that you are fighting on. Your attackers appear on the left and the enemy on the right."

TITLE_DEFENSIVE_BONUS "Defensive Bonuses"
TUT572_DEFENSIVE_BONUS "On the top right, defensive bonuses are listed.  If the defender is in a city, is fortified or is on a mountain or hill, he receives a defensive bonus that aids him in combat."

TITLE_MIXED_FORCES "Mixed Forces"
TUT573_MIXED_FORCES "Armies are most effective when they have a combination of good defensive units like Warriors, good attackers like Samurai, and ranged units such as Archers." 

TITLE_CLOSE_BATTLE_VIEW "Close the Battleview"
TUT574_CLOSE_BATTLE_VIEW "Close the Battleview by clicking on the <c:0,180,0>'X'<e>."

TITLE_MAKE_PEACE "Try to Make Peace"
TUT575_MAKE_PEACE "Now that you have tasted battle, try to end the war through the use of diplomacy."

TITLE_OPEN_DIPLOMACY "Opening Diplomacy Screen"
TUT576_OPEN_DIPLOMACY "Click on the <c:180,0,0>Screens<e> panel on the right. Click again on the <c:0,180,0>Diplomacy<e> panel." 

#TITLE_THE_DIPLOMACY_SCREEN "The Diplomacy Screen"
#TUT577_THE_DIPLOMACY_SCREEN "This is the Diplomacy Screen through which you can engage in many forms of diplomatic action."

TITLE_3_GOAL_3 "Goal 3: Peace Treaty" 
TUT578_3_GOAL_3 "<c:180,0,0>Click on the name of the Civilization<e>, then click on the 'Send Emissary' button."

TITLE_UNIT_DESELECTED "Unit is Deselected!"
TUT579_UNIT_DESELECTED "Right-clicking deselects a selected unit or city. A selected unit has a <c:0,180,0>green<e> box around it if it can still move, or a <c:180,0,0>red<e> box if it is done moving for that turn. A selected city will always have a <c:18,0,0>red<e> box."

TITLE_PSEUDO_GREETINGS "Greetings!"
TUT580_PSEUDO_GREETINGS "We extend our greetings to you and wish you happiness!"

TITLE_SEND_EMISSARY "Make a Peace Treaty" 
TUT581_SEND_EMISSARY "Click on the name of the Civilization, then click on the <c:180,0,0>'Send Emissary'<e> button."

TITLE_GREET_EMISSARY "Emissary Summoned"
TUT582_GREET_EMISSARY "The foreign emissary has arrived.  The foreign leader's message appears above the emissary's picture. Click <c:180,0,0>'Next'<e>."

TITLE_MAKE_REQUEST "Make A Request"
TUT583_MAKE_REQUEST "In the Request Screen, you can see your options. Click on the <c:180,0,0>'Suggest a Treaty'<e> button."

TITLE_PEACE_TREATY "Peace Treaty"
TUT584_PEACE_TREATY "There are 3 kinds of treaties. Click on <c:180,0,0>'Peace Treaty'<e>."

TITLE_CEASE_BUTTON "Cease Fire"
TUT584A_CEASE_BUTTON "Click <c:180,0,0>'Send'<e>. Review the message above the 'Send' button."

TITLE_RESPONSE "Response"
TUT585_RESPONSE "The foreign emissary returns, and the enemy leader has rejected the Peace Treaty. Click <c:180,0,0>'No'<e> to end diplomatic negotiations." 

TITLE_3_GOAL_3_ACCOMPLISHED "Goal 3 Accomplished! Diplomacy!"
TUT586_3_GOAL_3_ACCOMPLISHED "Congratulations!  Now you are ready to move on to Tutorial Level 4."

TITLE_LEVEL_4 "Level 4: Trade = Gold"
TUT587_LEVEL_4 "In this level you will learn how to trade goods to increase your gold and hence, science, in your empire."

TITLE_GOODS "Goods"
TUT588_GOODS "Trading goods generates gold. On the map, you can see the goods such as Alligator, Beaver, Pearls, or Poppies." 

TITLE_4_GOAL_1 "Goal 1: Build a Monopoly"
TUT589_4_GOAL_1 "The trade goal of each city is to create a monopoly of one good. The more goods that you have in your monopoly the more gold you will make. The maximum number of goods in a monopoly is 4."

TITLE_LOOK_FOR_CITIES "Look at Cities with Goods"
TUT590_LOOK_FOR_CITIES "Notice that 2 new cities have appeared on your map, [city.1.name] and [city.2.name]. Both have Beavers next to them. Click the <c:0,180,0>eyeball<e> on this message to center on [city.1.name]."

TITLE_MOVE_TO_GOOD_1 "Move [city.1.name] Worker to Good"
TUT591_MOVE_TO_GOOD_1 "<c:180,0,0>LEFT<e>-click [city.1.name] and then <c:0,180,0>RIGHT<e>-click it. Place a worker on the tile with the Beaver by <c:180,0,0>LEFT<e>-clicking on the worker and then <c:180,0,0>LEFT<e>-clicking on the tile with the Beaver."

TITLE_MOVE_TO_GOOD_2 "Move [city.2.name] Worker to Good" 
TUT592_MOVE_TO_GOOD_2 "Move the worker in [city.2.name] onto the tile with the beaver so that both cities will be collecting the <c:180,0,0>same good<e>."

TITLE_CARAVANS "Caravans"
TUT595_CARAVANS "In order to engage in trade, you must have Caravans to carry the goods between cities. When you have discovered the Trade advance, you can build them in your cities. You can't move them the way that other units are moved - they move when a trade route is created." 

TITLE_FREE_CARAVAN "One Free Caravan"
TUT596_FREE_CARAVAN "In the Tutorial, you get one free Caravan. You can't see it on the map because Caravans are not visible.  When you open the Trade screen in the next instruction, you'll see the number of available Caravans displayed in the Trade screen next to the picture of the camel."

TITLE_CREATE_MONOPOLY "Begin a Monopoly"
TUT593_CREATE_MONOPOLY "Since you have more than one Beaver in your empire, you can begin a monopoly in [city.1.name]. Begin by clicking on the <c:180,0,0>'SCREENS'<e> button, then click on the <c:0,180,0>'TRADE'<e> button." 

TITLE_THE_TRADE_SCREEN "The Trade Screen"
TUT594_THE_TRADE_SCREEN "You can send goods domestically and buy and sell goods on the foreign market. Click on the <c:180,0,0>'SEND'<e> button."

TITLE_SELECT_BEAVER "Select Beaver"
TUT595_SELECT_BEAVER "Here you see all the goods that you have in your empire.  Look at the number of Beavers. Select the Beaver, then click <c:0,180,0>'Next'<e>."

TITLE_PICK_DESTINATION "Pick a Destination City"
TUT596_PICK_DESTINATION "Look at the PROFIT column. Sending the good to [city.2.name] will generate the most gold. Click <c:180,0,0>'Send'<e> to create a trade route between [city.2.name] and [city.1.name]" 

TITLE_4_GOAL_1_ACCOMPLISHED"Goal 1 Accomplished! Monopoly!"
TUT597_4_GOAL_1_ACCOMPLISHED "Congratulations! Your trade route has been created and you are making a profit of [gold.amount]. Notice that a <c:0,0,200>blue<e> line connects the cities: goods travel along these lines. <c:180,0,0>Warning<e>: enemies can pirate trade routes!"

TITLE_LEVEL_5 "Level 5: Managing your Cities"
TUT598_LEVEL_5 "Now that your empire is well under way, it is important to learn how to manage your cities individually. In order to boost your Civilization, you need to maximize city resources."

TITLE_5_GOAL_1 "Goal 1: City Science"
TUT599_5_GOAL_1 "There are many strategies that can be used to play the game. One way is to maximize science. This gives you a technological edge over the other Civilizations."

TITLE_MAX_TAB "The Max Tab"
TUT600_MAX_TAB "<c:180,0,0>LEFT<e>-click on a city, then select the 'Max' tab. The buttons under <c:180,0,0>'MAXIMIZE CITY'<e> allow you to automatically rearrange your workers on their tiles so as to maximize the specified resource."

TITLE_MAXIMIZE_SCIENCE "Maximize Science"
TUT601_MAXIMIZE_SCIENCE "<c:180,0,0>LEFT<e>-click the city, then <c:0,180,0>RIGHT<e>-click on the city to bring up the Work View. Click on the 'Maximize City' <c:180,0,0>SCI<e> button - the workers may move to other tiles that contribute the most to science, if they aren't already on them." 

TITLE_5_GOAL_1_ACCOMPLISHED "Goal 1 Accomplished! Science!"
TUT602_5_GOAL_1_ACCOMPLISHED "Science has been maximized! This city's top priority is now gaining science." 

TITLE_SPECIALISTS "Specialists"
TUT603_SPECIALISTS "Besides having workers who work on tiles, cities also have Specialists who can boost a particular resource, such as happiness, gold, science or production." 

TITLE_SPECIALIST_WARNING "Specialist Warning!"
TUT604_SPECIALIST_WARNING "<c:180,0,0>Warning<e>: In general, wait to order Specialists until your city is a minimum size of <c:180,0,0>8<e>."

TITLE_LABOR_TAB "The Labor Tab"
TUT605_LABOR_TAB "LEFT-click on [city.1.name] or click the <c:0,180,0>eyeball<e> on this message, then click on the <c:180,0,0>Labor<e> tab. Workers and Slaves are displayed on the left panel. You can hire Specialists in the right panel."

TITLE_ENTERTAINER "Entertainer"
TUT606_ENTERTAINER "Create an Entertainer by clicking on the <c:0,180,0>right<e> arrow. Entertainers each increase the city's happiness by 1."

TITLE_SCIENTIST "Scientist"
TUT607_SCIENTIST "Create a Scientist by clicking on the <c:0,180,0>right<e> arrow. Scientists each increase the city's science by 10."

TITLE_BUILD_QUEUE "Build Queues"
TUT608_BUILD_QUEUE "Creating Specialists is one way to micromanage your cities. Another helpful way to manage your cities, is to create a list of items that you want the city to build. The city will then execute these orders automatically. These lists are called Build Queues."

TITLE_5_GOAL_2 "Goal 2: Create a Build Queue"
TUT609_5_GOAL_2 "In the first part of the Tutorial, you built a Warrior, a Granary, and a Settler.  You can place these items into a new city's Build Queue, or select other items that you have not yet built."

TITLE_QUEUE_HELP "Making A Build Queue"
TUT610_QUEUE_HELP "Select the city. Go to the <c:0,180,0>'PRODUCTION'<e> tab. Click on the <c:180,0,0>'QUEUE'<e> button. "  

TITLE_ADD_ITEMS_TO_QUEUE "Adding Items To Queue"
TUT610A_ADD_ITEMS_TO_QUEUE "Items that can be built are on the left. The Build Queue is created on the right. Select items to build from the left list and then click on the <c:180,0,0>arrow<e> under 'Add' to add them to the Build Queue."

TITLE_5_GOAL_2_ACCOMPLISHED "Goal 2 Accomplished! Queue!"  
TUT611_5_GOAL_2_ACCOMPLISHED "You can create build queues in each of your cities. When the city completes the first item, it automatically moves on and begins building the next item."

TITLE_5_GOAL_3 "Goal 3: City Status Screen"
TUT612_5_GOAL_3 "You can also issue build orders here. Click on the <c:180,0,0>'Screens'<e> button to activate the panel, then click on the <c:180,0,0>City<e> button."

TITLE_CITY_STATUS "City Status Screen" 
TUT613_CITY_STATUS "A list of all your cities is displayed. You see what they are currently producing and how many turns are remaining until completion."

TITLE_ORDER_2_CITIES "Order 2 Cities to Build"
TUT615_ORDER_2_CITIES "Select 2 cities by clicking on one city and holding the <c:180,0,0>'Ctrl'<e> key while clicking the second. Select an item from the BUILD list, then click <c:0,180,0>'Build'<e>."

TITLE_CITIES_NOT_BUILDING "Cities Aren't Building!"
TUT615A_CITIES_NOT_BUILDING "You haven't ordered your cities to build anything.  You can always order them separately through the Production tab or through the City Status screen at any time."	

TITLE_5_GOAL_3_ACCOMPLISHED "Goal 3 Accomplished! Cities Building!"
TUT616_5_GOAL_3_ACCOMPLISHED "Both of the cities that you selected are building the same item.  You can also use the City Status Screen to make build queues for your cities."

TITLE_DEFENDING_CITIES "Defending Cities"
TUT617_DEFENDING_CITIES "Generally, it is good to keep units inside your cities for defense. To make these units stronger, you need to fortify them." 

TITLE_5_GOAL_4 "Goal 4: Fortify your Units"
TUT618_5_GOAL_4 "It will take 2 turns for the unit to fortify. Fortification gives your units a defensive bonus and makes them harder for enemies to beat. Select a military unit (like a Warrior) and then hit the <c:180,0,0>'F'<e> key, or click the brick wall icon on the Units tab." 

TITLE_FORTIFY_IN_FIELD "Fortify Order Issued!"
TUT619_FORTIFY_IN_FIELD "In 2 turns, when the unit you just ordered has fortified, it will have a little wall around it.  Be careful when attacking units that are fortified!  You can fortify units inside cities to protect them, or at strategic chokepoints."

TITLE_LEVEL_5_COMPLETE "Level 5 Complete!"
TUT620_LEVEL_5_COMPLETE "Congratulations! You now know how to make specialists, build queues and how to examine the inner workings of the city."

TITLE_LEVEL_6 "Level 6: Expand and Win"
TUT621_LEVEL_6 "Now that you know the basics of managing your cities, you will want to expand your empire - either through conquest or expanded settlements - to ultimately win the game."

TITLE_VICTORY_CONDITIONS "Victory Conditions"
TUT622_VICTORY_CONDITIONS "There are three ways to win the game: 1) Destroy all other Civilizations, 2) Be the first to synthesize alien life, or 3) Reach the year 3000AD with the highest score."

TITLE_DIFFERENT_STRATEGIES "Different Strategies"
TUT623_DIFFERENT_STRATEGIES "There are many strategies to play the game. You may want to engage in hostile war or nurture peaceful scientific growth. The choice is up to you."

TITLE_EXPLORE_THE_WORLD "Explore the World"
TUT624_EXPLORE_THE_WORLD "Regardless of how you choose to win, you need to explore the world. One way to do this is to build a boat, load it with units, then unload them elsewhere."

TITLE_FREE_BOAT "Free Boat!"
TUT625_FREE_BOAT "[city.1.name] is next to the Coast. It's your lucky day. You have been given a free Trireme and a free Mounted Archer to put on it. Click the <c:0,180,0>eyeball<e> on this message to center on the Mounted Archer."
 
TUT626_FREE_BOAT_AND_CITY "You have been given a free coastal city, [city.1.name]. It's your lucky day. You have also been given a free Trireme.  Click on the <c:0,180,0>eyeball<e> in this message."

TITLE_LOADING_UNITS "Loading Units"
TUT627_LOADING_UNITS "To load the boat, <c:180,0,0>LEFT<e>-click to select the unit and <c:180,0,0>LEFT<e>-click on the boat to move them onto it. When they occupy the same spot as the boat, they will automatically board."

TITLE_MOVING_THE_BOAT "Moving a Boat"
TUT628A_MOVING_THE_BOAT "You can move the Trireme by <c:180,0,0>LEFT<e>-clicking to select it, then <c:180,0,0>LEFT<e>-clicking the destination."

TITLE_6_GOAL_1 "Goal 1: Unload All the Units"
TUT628_6_GOAL_1 "Hit the <c:180,0,0>'N'<e> key to end the turn. <c:180,0,0>Make sure the Trireme is right next to land.<e>  <c:180,0,0>LEFT<e>-click the boat. Click on the <c:180,0,0>'Cargo'<e> button that appears in the icons on the right side of the unit's tab, then click on the land tile next to the boat."

TITLE_6_GOAL_1_ACCOMPLISHED "Goal 1 Accomplished! Unloaded!"
TUT629_6_GOAL_1_ACCOMPLISHED "You are now proficient in loading and unloading boats. Select your boat and sail it off into the great beyond."

TITLE_END_OF_TUTORIAL "Great Job! End of Tutorial!"
TUT631_END_OF_TUTORIAL "Congratulations! If you're reading this now, you have successfully completed the entire Tutorial! You can continue this game if you like, or you can quit and start a regular game.  Thanks for playing!"

#TITLE_SPECIAL_UNITS "Special Units"
#TUT630_SPECIAL_UNITS "Besides exploring and engaging in combat, you may want to use special units who can do actions which #weaken the enemy but which fall short of actual warfare.  An example of a special unit is a Slaver."

TITLE_DUMBASS_SORT_BUTTONS "Sort Buttons"
TUT631_DUMBASS_SORT_BUTTONS "You have clicked a 'sort' button.  These buttons sort your build options by type - units, improvements, or wonders. For example, if you want to build a unit, click the unit sort button to see a list of units only."

TITLE_ALERT_SAVE "ALERT_SAVE"
TUT632_ALERT_SAVE "When a level is completed, the Tutorial game is saved. At the end of levels 3-6, a number will appear on the left side of the screen. You can return to a previous level and play it again by clicking on the number that corresponds to the level you want to replay."

TUT632_ALERT_SAVE_NEW "The tutorial will autosave when you complete each level.  You can replay a level by clicking the number icon that appears on the left side of the screen after you complete a level. To replay Level 1, restart the Tutorial."  

TITLE_LEVEL_2 "Level 2"
TUT633_LEVEL_2 "Would you like to replay Level 2 of the Tutorial? Level 2 covers resources, Public Works, and Global Civilization Rules."

TITLE_LEVEL_3 "Level 3"
TUT634_LEVEL_3 "Would you like to replay Level 3 of the Tutorial?  Level 3 covers diplomacy and combat."

TITLE_LEVEL_4 "Level 4"
TUT635_LEVEL_4 "Would you like to replay Level 4 of the Tutorial?  Level 4 covers trade and gold."

TITLE_LEVEL_5 "Level 5"
TUT636_LEVEL_5 "Would you like to replay Level 5 of the Tutorial?  Level 5 covers city management, specialists, and fortification."

TITLE_LEVEL_6 "Level 6"
TUT637_LEVEL_6 "Would you like to replay Level 6 of the Tutorial?  Level 6 covers loading and unloading transports."

TITLE_ALERT_QUEUE "ALERT_QUEUE"
TUT638_ALERT_QUEUE "The tutorial will cover the use of the queue button shortly.  Please click the 'Build' button to return to the build list."

TITLE_RIGHT_CLICK "Use Left-Click!"
TUT639_RIGHT_CLICK "The Tutorial was designed only for the <c:0,180,0>LEFT<e>-click option. To continue the Tutorial, return the option to <c:0,180,0>LEFT<e>-Click option. If you choose to use the <c:180,0,0>RIGHT<e>-click option, click the 'End Tutorial' button on this message to exit the Tutorial."
