#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Werkzeugbau"
CONCEPT_DIPLOMACY				"Diplomatie"
CONCEPT_DISBAND_CITY				"Stadt auflösen"
CONCEPT_EMBARGO					"Handelsembargo"
CONCEPT_EMPIRE_SIZE				"Imperiumsgröße"
CONCEPT_FOOD					"Nahrung"
CONCEPT_FUEL					"Treibstoff"
CONCEPT_FUTURE_AGE				"Die Zukunft"
CONCEPT_GENETIC_AGE				"Genetische Ära"
CONCEPT_GOLD					"Gold"
CONCEPT_GOODS					"Güter"
CONCEPT_GOVERNMENTS				"Regierung"
CONCEPT_GROWTH					"Wachstum"
CONCEPT_HAPPINESS				"Zufriedenheit"
CONCEPT_IMPROVEMENTS				"Modernisierungen"
CONCEPT_INDUSTRIAL_AGE				"Industriezeitalter"
CONCEPT_INFRASTRUCTURE				"Infrastruktur"
CONCEPT_MAINTENANCE_COST			"Unterhalt Modernis."
CONCEPT_MEDIEVAL_AGE				"Mittelalter"
CONCEPT_MILITARY_READINESS			"Militärbereitschaft"
CONCEPT_MODERN_AGE				"Die Moderne"
CONCEPT_OFFER					"Angebot"
CONCEPT_OVERCROWDING				"Übervölkerung"
CONCEPT_POLLUTION				"Umweltverschmutzung"
CONCEPT_POPULATION				"Bevölkerung"
CONCEPT_PRODUCTION				"Produktion"
CONCEPT_PUBLIC_WORKS				"Staatl. Bautrupps"
CONCEPT_RATIONS					"Rationen"
CONCEPT_REGARD					"Ansehen"
CONCEPT_RENAISSANCE_AGE				"Die Renaissance"
CONCEPT_REQUEST					"Forderung"
CONCEPT_REVOLUTION				"Revolution"
CONCEPT_RIOTS					"Aufruhr"
CONCEPT_RIVER					"Flüsse"
CONCEPT_RUINS					"Ruinen"
CONCEPT_RUSH_BUY				"Sofortkauf"
CONCEPT_SCIENCE					"Wissenschaft"
CONCEPT_SCIENCE_SETTING				"Wissenschaftseinst."
CONCEPT_SEA_COLONIES				"Meereskolonie"
CONCEPT_SLAVE					"Sklave"
CONCEPT_SPECIAL_FORCES				"Spezialeinheiten"
CONCEPT_SPECIALISTS				"Experten"
CONCEPT_STARVATION				"Hungersnot"
CONCEPT_STEALTH_UNITS				"Stealth-Einheiten"
CONCEPT_SUPPORT_COST				"Unterhalt Einheiten"
CONCEPT_TERRAFORM				"Terraforming"
CONCEPT_THREAT					"Drohung"
CONCEPT_TILE_IMPROVEMENTS			"Feld-Modernisierungen"
CONCEPT_TONE					"Umgangston"
CONCEPT_TRADE					"Handel"
CONCEPT_TRADE_ROUTE				"Handelsweg"
CONCEPT_TREATIES				"Abkommen"
CONCEPT_UNITS					"Einheiten"
CONCEPT_VETERANS				"Veteraneneinheiten"
CONCEPT_VICTORY_CONDITIONS			"Sieg - Allgemein"
CONCEPT_VICTORY_CONQUEST			"Sieg - Alleinherrschaft"
CONCEPT_VICTORY_DIPLOMATIC			"Sieg - Bündnis"
CONCEPT_VICTORY_PTS_AT_2300			"Sieg - 2300 n. Chr."
CONCEPT_VICTORY_SCIENCE				"Sieg - Gaia-Controller"
CONCEPT_VISION					"Sichtweite"
CONCEPT_WAGES					"Löhne"
CONCEPT_WONDERS					"Weltwunder"
CONCEPT_WORK_HOURS				"Arbeitstage"
CONCEPT_WORKER					"Arbeiter"


#### Pop STRINGS ####
POP_WORKER					"Arbeiter"
POP_SLAVE					"Sklave"
POP_BANKER					"Händler"
POP_BARD					"Entertainer"
POP_WISEMAN					"Wissenschaftler"
POP_FACTORY_GRUNT				"Fabrikarbeiter"

## REMOVE THE FOLLOWING:
POP_ACTOR					"Entertainer"
POP_PHILOSOPHER					"Wissenschaftler"
POP_PROFESSOR					"Wissenschaftler"
POP_LIBRARIAN					"Wissenschaftler"
POP_PROGRAMMER					"Wissenschaftler"
POP_MERCHANT					"Händler"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"Farmen"
TILEIMP_ADVANCED_FARMS				"Großfarmen"
TILEIMP_HYDROPONIC_FARMS			"Hydroponische Farmen"
TILEIMP_MINES					"Bergwerke"
TILEIMP_ADVANCED_MINES				"Große Bergwerke"
TILEIMP_MEGA_MINES				"Megabergwerke"
TILEIMP_TRADING_POST				"Handelshof"
TILEIMP_OUTLET_MALL				"Einkaufszentrum"
TILEIMP_NATURE_PRESERVE				"Naturschutzgebiet"
TILEIMP_NETS					"Fischereien"
TILEIMP_FISHERIES				"Tiefseefischereien"
TILEIMP_AUTOMATED_FISHERIES			"Autom. Tiefseefischereien"
TILEIMP_UNDERSEA_MINES				"Tiefseebergwerke"
TILEIMP_ADVANCED_UNDERSEA_MINES			"Große Tiefseebergwerke"
TILEIMP_MEGA_UNDERSEA_MINES			"Megatiefseebergwerke"
TILEIMP_PORT					"Hafen"
TILEIMP_DRILLING_PLATFORM			"Bohrinsel"
TILEIMP_RUINS					"Ruinen"
TILEIMP_ROAD					"Straßen"
TILEIMP_RAILROAD				"Schienen"
TILEIMP_MAGLEV					"Schwebebahnen"
TILEIMP_UNDERSEA_TUNNEL				"Tiefseetunnel"
TILEIMP_LISTENING_POSTS				"Horchposten"
TILEIMP_AIR_BASES				"Luftwaffenstützpunkt"
TILEIMP_FORTIFICATIONS				"Festung"
TILEIMP_RADAR_STATIONS				"Radarstation"
TILEIMP_SONAR_BUOYS				"Sonar"
TILEIMP_PROCESSING_TOWER			"Emitterstation"

#### Terraform Strings ####
TILEIMP_TERRAFORM_BROWN_HILL			"Terraforming Sandhügel"
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"Terraforming Sandberg"
TILEIMP_TERRAFORM_DESERT			"Terraforming Wüste"
TILEIMP_TERRAFORM_FOREST			"Terraforming Wald"
TILEIMP_TERRAFORM_GRASSLAND			"Terraforming Weideland"
TILEIMP_TERRAFORM_HILL				"Terraforming Hügel"
TILEIMP_TERRAFORM_JUNGLE			"Terraforming Dschungel"
TILEIMP_TERRAFORM_MOUNTAIN			"Terraforming Berg"
TILEIMP_TERRAFORM_PLAINS			"Terraforming Steppe"
TILEIMP_TERRAFORM_SWAMP				"Terraforming Sumpf"
TILEIMP_TERRAFORM_WHITE_HILL			"Terraforming Gletscherhügel"
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"Terraforming Gletscherberg"

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"Horchposten"
INSTALLATION_AIR_BASES				"Luftwaffenstützpunkt"
INSTALLATION_FORTIFICATIONS			"Festung"
INSTALLATION_RADAR_STATIONS			"Radarstation"
INSTALLATION_SONAR_BUOYS			"Sonar"

#Unit Orders#
UNIT_ORDER_NONE					"Kein Befehl"
UNIT_ORDER_MOVE					"Bewegen"
UNIT_ORDER_ENTRENCH				"Verschanzen"
UNIT_ORDER_SLEEP				"Ausruhen"

ORDER_ADVERTISE					"Werbung"
ORDER_ASSASSINATE				"Attentat durchführen"
ORDER_ATTACK					"Vernichtungsangriff"
ORDER_BIO_INFECT				"Stadt infizieren"
ORDER_BOARD_TRANSPORT				"Einsteigen"
ORDER_BOMBARD					"Bombardieren"
ORDER_CLEAR_TARGET				"Ziel verwerfen"
ORDER_CONVERT					"Glaubenswechsel"
ORDER_CREATE_PARK				"Nanitenbereinigung"
ORDER_DISBAND_ARMY				"Einheit auflösen"
ORDER_ESTABLISH_EMBASSY				"Botschaft errichten"
ORDER_EXPEL					"Vertreiben"
ORDER_FAITH_HEALING				"Gesundbeten"
ORDER_FORTIFY					"Verschanzung"
ORDER_FRANCHISE					"Franchising"
ORDER_INCITE_REVOLUTION				"Revolution auslösen"
ORDER_INCITE_UPRISING				"Unterdrückten helfen"
ORDER_INDULGENCE				"Absolution erteilen"
ORDER_INJOIN					"Handelsembargo"
ORDER_INTERCEPT_TRADE				"Piraterie"
ORDER_INVESTIGATE_CITY				"Spionage"
ORDER_LAUNCH					"Starten"
ORDER_NANO_INFECT				"Nanoviren-Angriff"
ORDER_PARADROP					"Abspringen"
ORDER_PILLAGE					"Plünderung"
ORDER_PLAGUE					"Seuche"
ORDER_PLANT_NUKE				"Nuklearrakete zünden"
ORDER_RANGED_ATTACK				"Fernangriff"
ORDER_REFORM					"Stadt reformieren"
ORDER_REFUEL					"Auftanken"
ORDER_SETTLE					"Ansiedeln"
ORDER_SETTLE_IN_CITY				"In Stadt ansiedeln"
ORDER_SLAVE_RAID				"Versklavung"
ORDER_SLEEP					"Ausruhen"
ORDER_SOOTHSAY					"Unheil verkünden"
ORDER_SPACE_LAUNCH				"Weltraumstart"
ORDER_STEAL_TECHNOLOGY				"Neuerung stehlen"
ORDER_SUE					"Klageerhebung"
ORDER_TARGET					"Zielen"
ORDER_THROW_PARTY				"Empfang geben"
ORDER_UNDERGROUND_RAILWAY			"Sklaven befreien"
ORDER_UNLOAD					"Entladen"

PERSONALITY_KAHN_DESCRIPTION			"Bösartiger, blutrünstiger Mörder"
PERSONALITY_GHANDI_DESCRIPTION			"Diplomatischer Friedensbringer"
PERSONALITY_STALIN_DESCRIPTION			"Isolationist, autokratischer Militarist"
PERSONALITY_CEASAR_DESCRIPTION			"Aggressiver Imperialist"
PERSONALITY_DEGAULLE_DESCRIPTION		"Anspruchsvoller Patriot"
PERSONALITY_MEDICI_DESCRIPTION			"Verschrobener internationaler Händler"
PERSONALITY_TELLER_DESCRIPTION			"Ideologisch unumstößlicher Akademiker"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Fieses Genie"
PERSONALITY_CALLENBACH_DESCRIPTION		"Populistischer Fanatiker"

### Age Strings ###

AGE_ONE						"Antike"
AGE_TWO						"Klassik"
AGE_THREE					"Mittelalter"
AGE_FOUR					"Renaissance"
AGE_FIVE					"Industriezeitalter"
AGE_SIX						"Moderne"
AGE_SEVEN					"Informationszeitalter"
AGE_EIGHT					"Genetische Ära"
AGE_NINE					"Diamantene Ära"
AGE_TEN						"Zukunft"

### City Style Strings ###

CITY_STYLE_ROMAN				"Römischer Stil"
CITY_STYLE_ARAB					"Arabischer Stil"
CITY_STYLE_ASIAN				"Asiatischer Stil"
CITY_STYLE_AMERICAN				"Amerikanischer Stil"
CITY_STYLE_CASTLE				"Burgenstil"
CITY_STYLE_EGYPTAIN				"Ägyptischer Stil"
CITY_STYLE_PALACE				"Palaststil"

### Build Sequences from ldl_str.txt ###

BUILD_LIST_SEQUENCE_PRODUCTION			"Produktion"
BUILD_LIST_SEQUENCE_GROWTH			"Wachstum"
BUILD_LIST_SEQUENCE_OFFENSE			"Offensive"
BUILD_LIST_SEQUENCE_DEFENSE			"Defensive"
BUILD_LIST_SEQUENCE_SCIENCE			"Wissenschaft"
BUILD_LIST_SEQUENCE_GOLD			"Gold"
BUILD_LIST_SEQUENCE_WONDERS			"Weltwunder"
BUILD_LIST_SEQUENCE_HAPPINESS			"Zufriedenheit"
BUILD_LIST_SEQUENCE_DEFAULT			"Standard"
BUILD_LIST_SEQUENCE_WONDERS_SCIENTIST		"Weltwunder (Wiss.)"
BUILD_LIST_SEQUENCE_WONDERS_MILITARIST		"Weltwunder (Mil.)"
BUILD_LIST_SEQUENCE_WONDERS_ECONOMIC		"Weltwunder (Wirt.)"
BUILD_LIST_SEQUENCE_WONDERS_ECOTOPIAN		"Weltwunder (Um.)"
BUILD_LIST_SEQUENCE_WONDERS_DIPLOMATIC		"Weltwunder (Dipl.)"

##Risk strings moved from junk_str.txt ##
RISK_NO_DANGER_HERE				"Keine Gefahr"
RISK_VILLAGES_ONLY				"Nur Ruinen"
RISK_BORING_HORDES				"Vagabunden"
RISK_DECENT_HORDES				"Rastlose Stämme"
RISK_RAGING_HORDES				"Wütende Horden"

## Generic difficulty strings for compatibility reasons ##
DIFFICULTY_0					"Sehr leicht"
DIFFICULTY_1					"Leicht"
DIFFICULTY_2					"Mittel"
DIFFICULTY_3					"Schwer"
DIFFICULTY_4					"Sehr schwer"
DIFFICULTY_5					"Unmöglich"

## Civlike difficulty strings ##
DIFFICULTY_SETTLER				"Siedler"
DIFFICULTY_CHIEFTAIN				"Häuptling"
DIFFICULTY_WARLORD				"Kriegsherr"
DIFFICULTY_PRINCE				"Prinz"
DIFFICULTY_KING					"König"
DIFFICULTY_EMPEROR				"Kaiser"
DIFFICULTY_DEITY				"Gottheit"

###Removed TileImp Strings###
#TILEIMP_ROBOTIC_DOCKS				"Produktionshangars"
#TILEIMP_ADVANCED_ROBOTIC_DOCKS			"Großproduktionshangars"
#TILEIMP_MEGA_MANUFACTURING_BAY			"Megaproduktionshangars"
#TILEIMP_FOOD_PODS				"Nahrungsspeicher"
#TILEIMP_FOOD_MODULES				"Nahrungslager"
#TILEIMP_FOOD_TANKS				"Nahrungssilos"
