T_BUTTON_OK "OK"
T_WAIT_2 "Die diversen Geländearten stellen jeweils unterschiedliche Nahrungs-, Wirtschafts- und Produktionserträge zur Verfügung. Ihr solltet Eure Städte daher in Gebieten ansiedeln, die genügend Nahrung bieten, um nicht nur die vorhandenen Bürger satt zu kriegen, sondern auch das Bevölkerungswachstum zu gewährleisten."
T_WAIT_3 "Eure Einheiten können die Gegend erkunden und neue Standorte für die Errichtung von Städten ausfindig machen. Darüber hinaus könnt Ihr sie natürlich auch einsetzen, um Euch feindlichen Nationen oder hinterrücks angreifenden Barbaren im Kampf zu stellen."
T_WAIT_4 "Auf Wunsch könnt Ihr Euren Städten einen Stadtrat zuweisen. Öffnet dazu zunächst den <c:0,50,255>Stadtmanager<e>, klickt dann auf den kleinen Button neben dem Feld 'Stadtrat' und wählt die gewünschte Priorität aus. Euer Stadtrat wird die Stadt dann entsprechend dieser Einstellung verwalten."
T_KEEP_HITTING_END_BUILDING "{BUILDING_BUILDING.name} errichtet die Modernisierung {BuildingDB(CITY_BUILDING_BUILDING)}. Da dies zu einem relativ frühen Zeitpunkt im Spielverlauf geschieht, kann der Bauvorgang eine Weile dauern. Drückt die 'Eingabetaste' oder klickt auf den <c:0,50,255>'Runde beenden'<e>-Button, bis das Bauprojekt abgeschlossen ist."
T_KEEP_HITTING_END_WONDER "{BUILDING_WONDER.name} errichtet das Weltwunder {WonderDB(CITY_BUILDING_WONDER)#ARTICLE_ACC}. Da dies zu einem relativ frühen Zeitpunkt im Spielverlauf geschieht, kann der Bauvorgang eine Weile dauern. Drückt die 'Eingabetaste' oder klickt auf den <c:0,50,255>'Runde beenden'<e>-Button, bis das Bauprojekt abgeschlossen ist." 
T_CANT_DISBAND_BIG_CITY "Städte mit mehr als 3.000 Bürgern können nicht aufgelöst werden. In der Stadt {city[0].name} leben {BIG_CITY} Menschen."
T_USE_MAYORS "Ihr habt die Möglichkeit, die Verwaltung Eurer Städte eigens dafür eingesetzten Stadträten zu überlassen. Klickt im 'Stadtmanager' auf den kleinen Button neben dem Feld 'Stadtrat' und wählt die gewünschte Priorität aus. Euer Stadtrat wird die Stadt dann entsprechend dieser Einstellung verwalten."
T_NEW_GOVT "Durch die Entdeckung {advance[0].name#ARTICLE_GEN} kann sich Euer Reich nun einer neuen politischen Philosophie zuwenden. Auf Wunsch könnt Ihr eine neue Regierungsform einsetzen, indem Ihr den <c:0,50,255>Inlandsmanager<e> öffnet und hier das Register <c:0,50,255>'Regierung'<e> anklickt."
T_BUILD_WONDERS "Errichtet mehr Weltwunder"
T_BUILD_BUILDINGS "Errichtet mehr Gebäude"
T_BUILD_UNITS "Erschafft mehr Einheiten"
T_TITLE_GOOD_SPOT "Errichtet hier eine Stadt"
T_TITLE_BAD_SPOT "Suchet weiter ..."
T_CM_QUEUE_TAB "Das Register 'Produktion' im 'Stadtmanager' gibt Aufschluss darüber, welches Bauprojekt zurzeit in einer Stadt bearbeitet wird und welche weiteren Aufträge noch anstehen. Sollte die Bauliste leer sein, klickt auf <c:0,0,200>Bauen<e>, um Euch die Liste der verfügbaren Bauprojekte anzeigen zu lassen."
T_CM_INVENTORY_TAB "Dieses Register im 'Stadtmanager' gibt an, welche Gebäude und Weltwunder bereits in der Stadt vorhanden sind. Solltet Ihr zusätzliche Goldreserven brauchen, könnt Gebäude auch wieder verkaufen, wodurch sie natürlich nicht mehr genutzt werden können. Weltwunder sind allerdings unverkäuflich."
T_CM_SPECIALISTS "Durch die Entdeckung von Neuerungen können Experten ausgebildet werden. Experten unterscheiden sich von Arbeitern und Sklaven insofern, als sie ihre Bemühungen auf die Gewinnung einer bestimmten Ressource konzentrieren, z.B. auf Nahrung, Wissenschaft oder Produktion."
T_CM_STATISTICS "Um eine Stadt effizient verwalten zu können, solltet Ihr über alle Belange Eurer Bürger informiert sein. Im Register 'Status' des 'Stadtmanagers' findet Ihr eine Auflistung aller Faktoren, die sich positiv oder negativ auf die Bevölkerung auswirken." 
T_CM_UNITS "Um ihre Verteidigung zu gewährleisten, sollten immer einige Einheiten in einer Stadt stationiert sein. Dieses Register des 'Stadtmanagers' listet alle Einheiten auf, die sich zurzeit in der Stadt aufhalten. Um eine Einheit aus einer Stadt abzuziehen, aktiviert sie und wählt dann <c:0,0,200>Fortbewegen<e>."
T_POO "POO CityIsNamed strcmp works."
T_TITLE_SP_CIV_MGMT "Inlandsmanager" 
T_SP_CIV_MGMT "Ihr kontrolliert nicht nur die Inlandspolitik, sondern wählt auch die passende Regierungsform, nach der sich die Erwartungen der Bürger Eures Reiches richten. Die Entscheidung, welche Regierungsform Eurem Führungsstil und den Bedürfnissen der Bevölkerung am ehesten entspricht, bleibt also Euch überlassen."
T_TITLE_SP_CIV_MGMT_A "'Für einen leeren Sack ist es schwer ..."
T_SP_CIV_MGMT_A "... aufrecht zu stehen.' Eine hungernde Bevölkerung ist keine gute Basis für ein Reich. Je mehr Rationen Euren Bürgern zur Verfügung stehen, desto zufriedener sind sie. Andererseits kann dadurch aber auch das Bevölkerungswachstum zurückgehen, das von der verfügbaren Nahrungsmenge abhängt."
T_TITLE_SP_CIV_MGMT_B "'Frage nicht, was dein Land für dich tun kann ..."
T_SP_CIV_MGMT_B "... frage, was du für dein Land tun kannst'. Die Produktivität Eures Reiches hängt von der Länge eines Arbeitstages ab. Lange Arbeitstage bewirken produktivere Städte. Andererseits sind Eure Bürger merklich zufriedener, wenn sie mehr Freizeit haben und die Arbeitstage kürzer sind."
T_TITLE_SP_CIV_MGMT_C "'Geld allein macht auch nicht glücklich.'"
T_SP_CIV_MGMT_C "Die Wirtschaft sichert die Löhne der Bevölkerung und stellt die finanziellen Mittel für die Forschung bereit. Höhere Lohnzahlungen machen Eure Bürger zwar zufriedener, andererseits steht dadurch aber auch weniger Geld für die Wissenschaft, die Unterhaltskosten und Sofortkäufe zur Verfügung."
T_TITLE_SP_CIV_MGMT_D "'Nichts kommt so sicher wie der Tod ..."
T_SP_CIV_MGMT_D "... und die Steuern.' Wenn Ihr eine zu hohe Einstellung für Eure staatlichen Bautrupps wählt, sinkt die Effizienz bei der Erschaffung neuer Einheiten, Modernisierungen oder Weltwunder in Euren Städten. Eine zu niedrige Einstellung verlangsamt andererseits den technologischen Fortschritt."
T_SP_UNIT_MGMT "Eine Übersicht aller Einheiten Eures Reiches erleichtert Euch das Truppenmanagement. So könnt Ihr veraltete Einheiten gegebenenfalls auflösen, sofern ähnlich geartete, modernere Einheiten verfügbar sind, um sie zu ersetzen."
T_SP_DIPLOMACY "Nach Eurer ersten Begegnung mit einer anderen Nation könnt Ihr diplomatische Beziehungen zu dem jeweiligen Land aufnehmen. Solltet Ihr eine Botschaft in einer fremden Stadt errichten, stehen Euch neben den üblichen Verhandlungsoptionen noch weitere diplomatische Handlungsmöglichkeiten zur Verfügung."
T_SP_SCIENCE "Ihr solltet von Zeit zu Zeit die Fortschritte der wissenschaftlichen Forschung in Eurem Reiche überprüfen. Bei Bedarf, z.B. wenn Ihr eine bestimmte Technologie früher benötigt als eine andere, könnt Ihr das aktuelle Forschungsprojekt auch ändern."
T_SP_GREAT_LIBRARY "Die Große Bibliothek ist die zentrale Informationsquelle für alle Spielelemente wie Einheiten, Weltwunder, Neuerungen etc. in Call To Power II. Die Rubrik 'Spiel' beschreibt ihre Funktionen und Eigenschaften, unter 'Historisches' sind einige Fakten über ihre Ursprünge und historische Bedeutung aufgeführt."
T_SP_TRADE "Nachdem Ihr den Handel entdeckt und einige Karawanen in Euren Städten erschaffen haben, könnt Ihr Eure Handelsgüter verkaufen. Nationen, mit denen Ihr Euch im Krieg befindet, kommen als Handelspartner jedoch nicht in Frage, d.h., Ihr könnt ihnen auch keine Waren anbieten."
T_SP_NATL_MGMT "Der 'Reichsmanager' enthält eine Übersicht aller Städte in Eurem Reiche. Durch Anklicken der Spaltenüberschriften könnt Ihr die Liste der Städte nach dem jeweiligen Kriterium sortieren lassen."

### ADDED 10-07-00 ###

T_CITY_TOO_SMALL_TITLE "Die Stadt ist zu klein!"
T_CITY_TOO_SMALL "Durch die Errichtung eines Siedlers verringert sich die Bevölkerungsgröße einer Stadt um 1. Wenn also nicht mindestens eine Bevölkerungsgröße von 2 gegeben ist, wird die betreffende Stadt aufgelöst."
T_TOO_MANY_UNITS_TITLE "Maximalkapazität erreicht!"
T_TOO_MANY_UNITS "Auf jedem Geländefeld und in jeder Stadt können maximal 12 Einheiten gleichzeitig stationiert sein. Ist diese Maximalkapazität erschöpft, wird die Errichtung neuer Einheiten so lange unterbrochen, bis wieder genügend Platz verfügbar ist."
