# Control Panel
TOOLTIP_DOMADV_MAIN_COMM_ADVISOR_BUTTON	"Handelsberater befragen"
STATUSBAR_DOMADV_MAIN_GOLD_DISPLAY		"Der Gesamtbetrag des in Ihrem Reich erwirtschafteten Goldes."
TOOLTIP_DOMADV_MAIN_GOLD_DISPLAY		"Gold gesamt"
STATUSBAR_DOMADV_MAIN_WORKDAY_SLIDER	"Ermöglicht die Festlegung der Länge eines Arbeitstages."
TOOLTIP_DOMADV_MAIN_WORKDAY_SLIDER		"Arbeitstag"
STATUSBAR_DOMADV_MAIN_PRODADV_BUTTON	"Ermöglicht die Befragung Ihres Produktionsberaters."
TOOLTIP_DOMADV_MAIN_PRODADV_BUTTON		"Produktionsberater befragen"
STATUSBAR_DOMADV_MAIN_PROD_DISPLAY		"Die in Ihrer Nation erwirtschaftete industrielle Produktionsmenge."
TOOLTIP_DOMADV_MAIN_PROD_DISPLAY		"Produktion gesamt"
STATUSBAR_DOMADV_MAIN_RATIONS_SLIDER	"Ermöglicht die Festlegung der Rationen pro Bürger."
TOOLTIP_DOMADV_MAIN_RATIONS_SLIDER		"Rationen"
STATUSBAR_DOMADV_MAIN_FOODADV_BUTTON	"Ermöglicht die Befragung Ihres Nahrungsberaters."
TOOLTIP_DOMADV_MAIN_FOODADV_BUTTON		"Nahrungsberater befragen"
STATUSBAR_DOMADV_MAIN_FOOD_DISPLAY		"Die in Ihrem Reich erwirtschaftete Nahrungsmenge."
TOOLTIP_DOMADV_MAIN_FOOD_DISPLAY		"Nahrung gesamt"
STATUSBAR_DOMADV_MAIN_SHOWADVICE_BUTTON	"Blendet das Beraterfenster ein bzw. aus."
TOOLTIP_DOMADV_MAIN_SHOWADVICE_BUTTON	"Ratschlag ein-/ausblenden"
STATUSBAR_DOMADV_MAIN_CLOSE_BUTTON		"Beendet den Nationsmanager und kehrt zum Spiel zurück."
TOOLTIP_DOMADV_MAIN_CLOSE_BUTTON		"Schließen"
STATUSBAR_DOMADV_MAIN_CIVPOP_DISPLAY	"Die Gesamtbevölkerung in Ihrem Reich."
TOOLTIP_DOMADV_MAIN_CIVPOP_DISPLAY		"Bevölkerung gesamt"
STATUSBAR_DOMADV_MAIN_TOTALCITIES_DISPLAY	"Die Gesamtanzahl der Städte in Ihrem Reich."
TOOLTIP_DOMADV_MAIN_TOTALCITIES_DISPLAY	"Städte gesamt"
STATUSBAR_DOMADV_MAIN_HAPPY_DISPLAY		"Öffnet eine Übersicht über die Zufriedenheit in Ihrer Nation."
TOOLTIP_DOMADV_MAIN_HAPPY_DISPLAY		"Zufriedenheit"
STATUSBAR_DOMADV_MAIN_PW_INCR_BUTTON	"Ermöglicht die Kürzung der Aufwendungen für staatliche Bautrupps."
TOOLTIP_DOMADV_MAIN_PW_INCR_BUTTON		"Staatl. Bautrupps kürzen"
STATUSBAR_DOMADV_MAIN_PW_DECR_BUTTON	"Ermöglicht die Erhöhung der Aufwendungen für staatliche Bautrupps."
TOOLTIP_DOMADV_MAIN_PW_DECR_BUTTON		"Staatl. Bautrupps erhöhen"

# Science Advisor Screen
#
#	Science Advice Window
STATUSBAR_SCIADV_MAIN_SCITAX_DECR_BUTTON	"Ermöglicht die Kürzung des Wissenschaftsbudgets."
TOOLTIP_SCIADV_MAIN_SCITAX_DECR_BUTTON		"Budget kürzen"
STATUSBAR_SCIADV_MAIN_SCITAX_INCR_BUTTON	"Ermöglicht die Erhöhung des Wissenschaftsbudgets."
TOOLTIP_SCIADV_MAIN_SCITAX_INCR_BUTTON	"Budget erhöhen"
STATUSBAR_SCIADV_MAIN_MAXTAX_DISPLAY	"Das unter der aktuellen Regierung maximal zulässige Wissenschaftsbudget."
TOOLTIP_SCIADV_MAIN_MAXTAX_DISPLAY	"Max. Budget"
STATUSBAR_SCIADV_MAIN_GOLDTOSCI_DISPLAY	"Der Goldbetrag, der für wissenschaftliche Forschung aufgewendet wird."
TOOLTIP_SCIADV_MAIN_GOLDTOSCI_DISPLAY	"Budget in Gold"
STATUSBAR_SCIADV_MAIN_SCIFROMCITIES_DISPLAY	"Der durch Ihre Wissenschaftler erzeugte Produktionsertrag."
TOOLTIP_SCIADV_MAIN_SCIFROMCITIES_DISPLAY	"Wissenschaft in Städten"
STATUSBAR_SCIADV_MAIN_CHGRESEARCH_BUTTON	"Ermöglicht die Auswahl einer zu erforschenden Neuerung."
TOOLTIP_SCIADV_MAIN_CHGRESEARCH_BUTTON	"Forschungsziel ändern"
STATUSBAR_SCIADV_MAIN_NOWRESEARCHING_BUTTON	"Die derzeit erforschte Neuerung."
TOOLTIP_SCIADV_MAIN_NOWRESEARCHING_BUTTON	"Aktuelles Forschungsziel"
STATUSBAR_SCIADV_MAIN_DISCINTURNS_BUTTON	"Die bis zur Entdeckung der Neuerung verbleibende Zeit (in Runden)."
TOOLTIP_SCIADV_MAIN_DISCINTURNS_BUTTON	"Restzeit"
STATUSBAR_SCIADV_INTEL_CLOSE_BUTTON	"Schließt den Wissenschaftsmanager und kehrt zum Spiel zurück."
TOOLTIP_SCIADV_INTEL_CLOSE_BUTTON	"Schließen"

#	Science Intel Tab
STATUSBAR_SCIADV_INTEL_SORTNAME_BUTTON	"Sortiert die Liste der Neuerungen nach Namen."
TOOLTIP_SCIADV_INTEL_SORTNAME_BUTTON	"Nach Namen"
STATUSBAR_SCIADV_INTEL_SORTYOUR_BUTTON	"Sortiert die Liste nach eigenen Neuerungen."
TOOLTIP_SCIADV_INTEL_SORTYOUR_BUTTON	"Nach eigenen Neuerungen"
STATUSBAR_SCIADV_INTEL_SORTTHEM_BUTTON	"Sortiert die Liste nach fremden Neuerungen."
TOOLTIP_SCIADV_INTEL_SORTTHEM_BUTTON	"Nach fremden Neuerungen"

# Trade Manager
#
#	Trade Advice Window
STATUSBAR_TRADEMAN_ADV_CRVNS_AVAIL_DISPLAY	"Die Gesamtzahl der für den Handel verfügbaren Karawanen."
TOOLTIP_TRADEMAN_ADV_CRVNS_AVAIL_DISPLAY		"Karawanen"
STATUSBAR_TRADEMAN_ADV_CRVNS_INUSE_DISPLAY	"Die Anzahl der aktuell am Handel beteiligten Karawanen."
TOOLTIP_TRADEMAN_ADV_CRVNS_INUSE_DISPLAY		"Im Einsatz"
STATUSBAR_TRADEMAN_ADV_TOTAL_PROFIT_DISPLAY	"Der Gesamtertrag (in Gold) aus Ihren Handelsaktivitäten."
TOOLTIP_TRADEMAN_ADV_TOTAL_PROFIT_DISPLAY		"Einnahmen"
STATUSBAR_TRADEMAN_ADV_TOTAL_ROUTES_DISPLAY	"Die Gesamtzahl Ihrer Handelswege."
TOOLTIP_TRADEMAN_ADV_TOTAL_ROUTES_DISPLAY		"Handelswege"

#	Trade - Open Market Window
STATUSBAR_TRADEMAN_OPEN_SORTBY_YOURCITY_BUTTON	"Sortiert die Liste nach den Ursprungsstädten."
TOOLTIP_TRADEMAN_OPEN_SORTBY_YOURCITY_BUTTON	"Nach eigenen Städten"
STATUSBAR_TRADEMAN_OPEN_SORTBY_HASGOOD_BUTTON	"Sortiert die Liste nach den Namen der Handelsgüter."
TOOLTIP_TRADEMAN_OPEN_SORTBY_HASGOOD_BUTTON	"Nach Gut"
STATUSBAR_TRADEMAN_OPEN_SORTBY_THISCITY_BUTTON	"Sortiert die Liste nach Empfängerstädten."
TOOLTIP_TRADEMAN_OPEN_SORTBY_THISCITY_BUTTON	"Nach Empfängerstädten"
STATUSBAR_TRADEMAN_OPEN_SORTBY_COST_BUTTON	"Sortiert die Liste nach den Preisen der Handelsgüter."
TOOLTIP_TRADEMAN_OPEN_SORTBY_COST_BUTTON		"Nach Preisen"
STATUSBAR_TRADEMAN_OPEN_SORTBY_CRVN_BUTTON	"Sortiert die Liste nach der Anzahl der erforderlichen Karawanen."
TOOLTIP_TRADEMAN_OPEN_SORTBY_CRVN_BUTTON		"Nach benötigten Karawanen"
STATUSBAR_TRADEMAN_OPEN_SHOWADV_BUTTON		"Blendet das Handelsberaterfenster ein bzw. aus."
TOOLTIP_TRADEMAN_OPEN_SHOWADV_BUTTON		"Ratschlag ein-/ausblenden"
STATUSBAR_TRADEMAN_OPEN_GOTO_TRADESUMM_BUTTON	"Öffnet die Handelsübersicht der aktuell gehandelten Güter."
TOOLTIP_TRADEMAN_OPEN_GOTO_TRADESUMM_BUTTON	"Handelsübersicht"
STATUSBAR_TRADEMAN_OPEN_GOTO_MARKET_BUTTON	"Kehrt zur Übersicht des offenen Marktes und der verfügbaren Handelsgüter zurück."
TOOLTIP_TRADEMAN_OPEN_GOTO_MARKET_BUTTON		"Offener Markt"
STATUSBAR_TRADEMAN_OPEN_BREAK_ROUTE_BUTTON	"Stellt den Gütertransfer auf einem bestimmten Handelsweg ein."
TOOLTIP_TRADEMAN_OPEN_BREAK_ROUTE_BUTTON		"Handelsstopp"
STATUSBAR_TRADEMAN_OPEN_CREATE_ROUTE_BUTTON	"Legt einen neuen Handelsweg an."
TOOLTIP_TRADEMAN_OPEN_CREATE_ROUTE_BUTTON		"Handelsweg anlegen"
STATUSBAR_TRADEMAN_OPEN_CLOSE_BUTTON		"Schließt den Handelsmanager und kehrt zum Spiel zurück."
TOOLTIP_TRADEMAN_OPEN_CLOSE_BUTTON			"Handelsmanager schließen"
STATUSBAR_TRADEMAN_OPEN_PIRACY_DISPLAY		"Auf diesem Handelsweg wird Piraterie betrieben!!"
TOOLTIP_TRADEMAN_OPEN_PIRACY_DISPLAY		"Piraten!!"

# City Management Screen
#
# 	Statistics Window
STATUSBAR_CITYMAN_STATS_CITYLAYOUT_DISPLAY	"Der aktuelle Status der Stadt."
TOOLTIP_CITYMAN_STATS_CITYLAYOUT_DISPLAY	"Stadtstatus"
STATUSBAR_CITYMAN_STATS_GROWTHRATE_DISPLAY	"Die Wachstumsrate der Stadt."
TOOLTIP_CITYMAN_STATS_GROWTHRATE_DISPLAY	"Akt. Wachstumsrate"
STATUSBAR_CITYMAN_STATS_HAPPY_DISPLAY		"Die Zufriedenheit in der Stadt."
TOOLTIP_CITYMAN_STATS_HAPPY_DISPLAY		"Zufriedenheit"
STATUSBAR_CITYMAN_STATS_TOTALFOOD_DISPLAY	"Die gesamten Nahrungserträge der Stadt."
TOOLTIP_CITYMAN_STATS_TOTALFOOD_DISPLAY		"Nahrungsertrag"
STATUSBAR_CITYMAN_STATS_TOTALPROD_DISPLAY	"Der gesamte Produktionsausstoß der Stadt."
TOOLTIP_CITYMAN_STATS_TOTALPROD_DISPLAY		"Produktionsausstoß"
STATUSBAR_CITYMAN_STATS_TOTALCOMM_DISPLAY	"Die Handelsaktivitäten der Stadt."
TOOLTIP_CITYMAN_STATS_TOTALCOMM_DISPLAY		"Handelsaktivitäten"
STATUSBAR_CITYMAN_STATS_TOTALSCI_DISPLAY	"Die wissenschaftliche Produktion der Stadt."
TOOLTIP_CITYMAN_STATS_TOTALSCI_DISPLAY		"Wissenschaft"
STATUSBAR_CITYMAN_STATS_EFFICIENCY_BUTTON	"Die Effizienz der Stadt."
TOOLTIP_CITYMAN_STATS_EFFICIENCY_BUTTON		"Effizienz"
STATUSBAR_CITYMAN_STATS_MAXRSRC_DISPLAY		"Die in dieser Stadt maximal verfügbaren Ressourcen."
TOOLTIP_CITYMAN_STATS_MAXRSRC_DISPLAY		"Max. verfügbare Ressourcen"
STATUSBAR_CITYMAN_STATS_MAXFOOD_DISPLAY		"Die maximal möglichen Nahrungserträge der Stadt."
TOOLTIP_CITYMAN_STATS_MAXFOOD_DISPLAY		"Max. Nahrungsertrag"
STATUSBAR_CITYMAN_STATS_FARMBONUS_DISPLAY	"Der Nahrungsbonus durch Farmen."
TOOLTIP_CITYMAN_STATS_FARMBONUS_DISPLAY		"Farmbonus"
STATUSBAR_CITYMAN_STATS_MAXPROD_DISPLAY		"Die maximale Produktion in dieser Stadt."
TOOLTIP_CITYMAN_STATS_MAXPROD_DISPLAY		"Max. Produktion"
STATUSBAR_CITYMAN_STATS_MINEBONUS_DISPLAY	"Der Produktionsbonus durch Bergwerke."
TOOLTIP_CITYMAN_STATS_MINEBONUS_DISPLAY		"Bergwerksbonus"
STATUSBAR_CITYMAN_STATS_MAXCOMM_DISPLAY		"Die maximale Wirtschaftsaktivität der Stadt."
TOOLTIP_CITYMAN_STATS_MAXCOMM_DISPLAY		"Max. Wirtschaft"
STATUSBAR_CITYMAN_STATS_POSTBONUS_DISPLAY	"Der Wirtschaftsbonus durch Handelshöfe."
TOOLTIP_CITYMAN_STATS_POSTBONUS_DISPLAY		"Handelshofsbonus"
STATUSBAR_CITYMAN_STATS_OUTPUT_BUTTON		"Die aktuellen Ausstoßwerte der Stadt."
TOOLTIP_CITYMAN_STATS_OUTPUT_BUTTON		"Akt. Ausstoßwerte"
STATUSBAR_CITYMAN_STATS_PENALTY_DISPLAY       	"Faktoren, die die Zufriedenheit in der Stadt beeinträchtigen."
TOOLTIP_CITYMAN_STATS_PENALTY_DISPLAY       	"Zufriedenheitsminderung"
STATUSBAR_CITYMAN_STATS_HAPPY_DISPLAY       	"Faktoren, die Einfluss auf die Zufriedenheit haben."
TOOLTIP_CITYMAN_STATS_HAPPY_DISPLAY       	"Zufriedenheitsfaktoren"
STATUSBAR_CITYMAN_STATS_BONUS_DISPLAY       	"Faktoren, die die Zufriedenheit in der Stadt erhöhen."
TOOLTIP_CITYMAN_STATS_BONUS_DISPLAY       	"Zufriedenheitssteigerung"
STATUSBAR_CITYMAN_STATS_POLLUTER_DISPLAY       	"Elemente, die die Umweltverschmutzung in der Stadt erhöhen."
TOOLTIP_CITYMAN_STATS_POLLUTER_DISPLAY       	"Schadstoffsteigerung"
STATUSBAR_CITYMAN_STATS_POLLUTION_DISPLAY       "Faktoren, die Einfluss auf die stadtweite Umweltverschmutzung haben."
TOOLTIP_CITYMAN_STATS_POLLUTION_DISPLAY       	"Schadstofffaktoren"
STATUSBAR_CITYMAN_STATS_CLEANERS_DISPLAY       	"Faktoren, die die Umweltverschmutzung in der Stadt mindern."
TOOLTIP_CITYMAN_STATS_CLEANERS_DISPLAY       	"Schadstoffminderung"
STATUSBAR_CITYMAN_STATS_CRIMERATE		"Die aktuelle Kriminalitätsrate in der Stadt."
TOOLTIP_CITYMAN_STATS_CRIMERATE			"Akt. Kriminalität"

# 	Main City Management Window
STATUSBAR_CITYMAN_MAIN_PREVCITY_BUTTON		"Wechselt zur vorigen Stadt."
TOOLTIP_CITYMAN_MAIN_PREVCITY_BUTTON		"Vorige Stadt"
STATUSBAR_CITYMAN_MAIN_CURRCITY_DISPLAY		"Der Name der Stadt, die derzeit überprüft wird."
TOOLTIP_CITYMAN_MAIN_CURRCITY_DISPLAY		"Aktuelle Stadt"
STATUSBAR_CITYMAN_MAIN_NEXTCITY_BUTTON		"Wechselt zur nächsten Stadt."
TOOLTIP_CITYMAN_MAIN_NEXTCITY_BUTTON		"Nächste Stadt"
STATUSBAR_CITYMAN_MAIN_BUILDQUEUE_DISPLAY		"Die aktuellen Bauprojekte der Stadt."
TOOLTIP_CITYMAN_MAIN_BUILDQUEUE_DISPLAY		"Akt. Bauprojekte"
STATUSBAR_CITYMAN_MAIN_CURRITEM_DISPLAY		"Nähere Informationen über das aktuell im Bau befindliche Objekt an."
TOOLTIP_CITYMAN_MAIN_CURRITEM_DISPLAY		"Bauinformationen"
STATUSBAR_CITYMAN_MAIN_UNITSAVAIL_BUTTON		"Die Liste aller verfügbaren Einheiten."	
TOOLTIP_CITYMAN_MAIN_UNITSAVAIL_BUTTON		"Einheiten"
STATUSBAR_CITYMAN_MAIN_IMPAVAIL_BUTTON		"Die Liste aller verfügbaren Modernisierungen."	
TOOLTIP_CITYMAN_MAIN_IMPAVAIL_BUTTON		"Modernisierungen"
STATUSBAR_CITYMAN_MAIN_WONDERSAVAIL_BUTTON	"Die Liste aller verfügbaren Weltwunder."	
TOOLTIP_CITYMAN_MAIN_WONDERSAVAIL_BUTTON		"Weltwunder"
STATUSBAR_CITYMAN_MAIN_ITEMSAVAIL_BUTTON		"Die Liste aller verfügbaren Bauobjekte."	
TOOLTIP_CITYMAN_MAIN_ITEMSAVAIL_BUTTON		"Verfügbare Bauobjekte"
STATUSBAR_CITYMAN_MAIN_ADD_BUTTON			"Fügt das in der linken Spalte ausgewählte Objekt am Ende der Bauliste an."
TOOLTIP_CITYMAN_MAIN_ADD_BUTTON			"An die Liste anfügen"
STATUSBAR_CITYMAN_MAIN_MOVEUP_BUTTON		"Verschiebt das in der rechten Spalte ausgewählte Objekt in der Liste nach oben."
TOOLTIP_CITYMAN_MAIN_MOVEUP_BUTTON			"Nach oben schieben"
STATUSBAR_CITYMAN_MAIN_MOVEDN_BUTTON		"Verschiebt das in der rechten Spalte ausgewählte Objekt in der Liste nach unten."
TOOLTIP_CITYMAN_MAIN_MOVEDN_BUTTON			"Nach unten schieben"
STATUSBAR_CITYMAN_MAIN_REM_BUTTON			"Entfernt das in der rechten Spalte ausgewählte Objekt aus der Liste."
TOOLTIP_CITYMAN_MAIN_REM_BUTTON			"Löschen"
STATUSBAR_CITYMAN_MAIN_QUEUELIST_BUTTON		"Die in der Liste aufgeführten Objekte werden der Reihe nach abgearbeitet."
TOOLTIP_CITYMAN_MAIN_QUEUELIST_BUTTON		"Akt. Bauliste"
STATUSBAR_CITYMAN_MAIN_RUSHBUY_BUTTON		"Ermöglicht den beschleunigten Kauf des im Bau befindlichen Objekts."
TOOLTIP_CITYMAN_MAIN_RUSHBUY_BUTTON			"Sofortkauf"
STATUSBAR_CITYMAN_MAIN_RUSHCOST_DISPLAY		"Die Kosten für den Sofortkauf des markierten Objekts."
TOOLTIP_CITYMAN_MAIN_RUSHCOST_DISPLAY		"Kosten für Sofortkauf"
STATUSBAR_CITYMAN_MAIN_TOTALGOLD_DISPLAY		"Die als Rücklage angesparte Goldmenge."
TOOLTIP_CITYMAN_MAIN_TOTALGOLD_DISPLAY		"Gold gesamt"
STATUSBAR_CITYMAN_MAIN_CLOSEQUEUE_BUTTON		"Schließt die Bauliste und kehrt zur Statistikübersicht zurück."
TOOLTIP_CITYMAN_MAIN_CLOSEQUEUE_BUTTON		"Bauliste schließen"
STATUSBAR_CITYMAN_MAIN_SHOWSTATSWIN_BUTTON	"Blendet das Statistikfenster ein bzw. aus."
TOOLTIP_CITYMAN_MAIN_SHOWSTATSWIN_BUTTON		"Statistiken ein-/ausblenden"
STATUSBAR_CITYMAN_MAIN_EXIT_BUTTON			"Schließt den Stadtmanager."
TOOLTIP_CITYMAN_MAIN_EXIT_BUTTON			"Stadtmanager schließen"
STATUSBAR_CITYMAN_MAIN_SHOWINV_BUTTON		"Die Objekte/Gebäude, die sich bereits in der Stadt befinden."
TOOLTIP_CITYMAN_MAIN_SHOWINV_BUTTON			"Inventar zeigen"
STATUSBAR_CITYMAN_MAIN_GOTONATL_BUTTON		"Öffnet die Nationsübersicht."
TOOLTIP_CITYMAN_MAIN_GOTONATL_BUTTON		"Nationsübersicht"
STATUSBAR_CITYMAN_MAIN_DISBANDCITY_BUTTON		"Vernichtet die markierte Stadt."
TOOLTIP_CITYMAN_MAIN_DISBANDCITY_BUTTON		"Stadt auflösen"
STATUSBAR_CITYMAN_MAIN_GOVOFF_BUTTON		"Entbindet den Stadtrat von seinen Pflichten."
TOOLTIP_CITYMAN_MAIN_GOVOFF_BUTTON			"Stadtrat feuern"
STATUSBAR_CITYMAN_MAIN_GOVON_BUTTON			"Weist der Stadt einen Stadtrat zu."
TOOLTIP_CITYMAN_MAIN_GOVON_BUTTON			"Stadtrat verpflichten"
STATUSBAR_CITYMAN_MAIN_GOVPRIORITY_MENU		"Ermöglicht die Auswahl eines Aufgabenschwerpunkts für den Stadtrat."
TOOLTIP_CITYMAN_MAIN_GOVPRIORITY_MENU		"Priorität setzen"
STATUSBAR_CITYMAN_MAIN_SMHAPP_DISPLAY		"Gibt die Zufriedenheit in dieser Stadt an."
TOOLTIP_CITYMAN_MAIN_SMHAPP_DISPLAY			"Zufriedenheit"
STATUSBAR_CITYMAN_MAIN_TOTALENTR_BUTTON		"Die Anzahl {xx} der Entertainer, die das Theater in dieser Stadt zulässt."
TOOLTIP_CITYMAN_MAIN_TOTALENTR_BUTTON		"Entertainer gesamt"
STATUSBAR_CITYMAN_MAIN_INCRENTR_BUTTON		"Ermöglicht die Erhöhung der Anzahl an Entertainern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_INCRENTR_BUTTON		"Mehr Entertainer"
STATUSBAR_CITYMAN_MAIN_DECRENTR_BUTTON		"Ermöglicht die Senkung der Anzahl an Entertainern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_DECRENTR_BUTTON		"Weniger Entertainer"
STATUSBAR_CITYMAN_MAIN_SMFOOD_DISPLAY		"Die Nahrungserträge dieser Stadt."
TOOLTIP_CITYMAN_MAIN_SMFOOD_DISPLAY			"Nahrung"
STATUSBAR_CITYMAN_MAIN_TOTALFARM_BUTTON		"Die Anzahl {xx} der Bauern, die die Felder in dieser Stadt zulassen."
TOOLTIP_CITYMAN_MAIN_TOTALFARM_BUTTON		"Bauern gesamt"
STATUSBAR_CITYMAN_MAIN_INCRFARM_BUTTON		"Ermöglicht die Erhöhung der Anzahl an Bauern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_INCRFARM_BUTTON		"Mehr Bauern"
STATUSBAR_CITYMAN_MAIN_DECRFARM_BUTTON		"Ermöglicht die Senkung der Anzahl an Bauern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_DECRFARM_BUTTON		"Weniger Bauern"
STATUSBAR_CITYMAN_MAIN_SMPROD_DISPLAY		"Die industrielle Produktion in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_SMPROD_DISPLAY			"Produktion"
STATUSBAR_CITYMAN_MAIN_TOTALLABR_BUTTON		"Die Anzahl {xx} der Fabrikarbeiter, die in dieser Stadt zulässig sind."
TOOLTIP_CITYMAN_MAIN_TOTALLABR_BUTTON		"Fabrikarbeiter gesamt"
STATUSBAR_CITYMAN_MAIN_INCRLABR_BUTTON		"Ermöglicht die Erhöhung der Anzahl an Fabrikarbeitern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_INCRLABR_BUTTON		"Mehr Fabrikarbeiter"
STATUSBAR_CITYMAN_MAIN_DECRLABR_BUTTON		"Ermöglicht die Senkung der Anzahl an Fabrikarbeitern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_DECRLABR_BUTTON		"Weniger Fabrikarbeiter"
STATUSBAR_CITYMAN_MAIN_SMCOMM_DISPLAY		"Die wirtschaftliche Entwicklung in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_SMCOMM_DISPLAY			"Wirtschaft"
STATUSBAR_CITYMAN_MAIN_TOTALMRCH_BUTTON		"Die Anzahl {xx} der Händler, die der Marktplatz in dieser Stadt zulässt."
TOOLTIP_CITYMAN_MAIN_TOTALMRCH_BUTTON		"Händler gesamt"
STATUSBAR_CITYMAN_MAIN_INCRMRCH_BUTTON		"Ermöglicht die Erhöhung der Anzahl an Händlern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_INCRMRCH_BUTTON		"Mehr Händler"
STATUSBAR_CITYMAN_MAIN_DECRMRCH_BUTTON		"Ermöglicht die Senkung der Anzahl an Händlern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_DECRMRCH_BUTTON		"Weniger Händler"
STATUSBAR_CITYMAN_MAIN_SMSCI_DISPLAY		"Die wissenschaftliche Produktion in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_SMSCI_DISPLAY			"Wissenschaft"
STATUSBAR_CITYMAN_MAIN_TOTALSCI_BUTTON		"Die Anzahl der {xx} der Wissenschaftler, die die Akademie in dieser Stadt zulässt."
TOOLTIP_CITYMAN_MAIN_TOTALSCI_BUTTON		"Wissenschaftler gesamt"
STATUSBAR_CITYMAN_MAIN_INCRSCI_BUTTON		"Ermöglicht die Erhöhung der Anzahl an Wissenschaftlern in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_INCRSCI_BUTTON			"Mehr Wissenschaftler"
STATUSBAR_CITYMAN_MAIN_DECRSCI_BUTTON		"Ermöglicht die Senkung der Anzahl an Wissenschaftlern in dieser Stadt."
STATUSBAR_CITYMAN_MAIN_TOTALWORKERS_DISPLAY	"Die Gesamtanzahl der Arbeiter in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_TOTALWORKERS_DISPLAY		"Arbeiter gesamt"
STATUSBAR_CITYMAN_MAIN_TOTALSLAVES_DISPLAY	"Die Gesamtanzahl der Sklaven in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_TOTALSLAVES_DISPLAY		"Sklaven gesamt"
STATUSBAR_CITYMAN_MAIN_CITYPOP_DISPLAY		"Die Gesamtbevölkerung in dieser Stadt."
TOOLTIP_CITYMAN_MAIN_CITYPOP_DISPLAY		"Gesamtbevölkerung"
STATUSBAR_CITYMAN_MAIN_GOTOQUEUE_BUTTON		"Öffnet die Bauliste für diese Stadt."
TOOLTIP_CITYMAN_MAIN_GOTOQUEUE_BUTTON		"Bauliste"
STATUSBAR_CITYMAN_MAIN_GOTOGL_BUTTON		"Öffnet die Lexikothek."
TOOLTIP_CITYMAN_MAIN_GOTOGL_BUTTON		"Lexikothek"
STATUSBAR_CITYMAN_MAIN_INSERT_BUTTON		"Fügt die aktuelle Liste in die Baulisten aller markierten Städte ein."
TOOLTIP_CITYMAN_MAIN_INSERT_BUTTON		"Bauliste einfügen"
STATUSBAR_CITYMAN_MAIN_APPEND_BUTTON		"Fügt die aktuelle Liste am Ende der Baulisten aller markierten Städte an."
TOOLTIP_CITYMAN_MAIN_APPEND_BUTTON		"Bauliste anfügen"
STATUSBAR_CITYMAN_MAIN_OVERWRITE_BUTTON		"Ersetzt die bisherigen Baulisten durch die aktuelle Liste."
TOOLTIP_CITYMAN_MAIN_OVERWRITE_BUTTON		"Bauliste ersetzen"

#	National Summary Window
STATUSBAR_CITYMAN_NATL_SUMM_SORTCITY_BUTTON	"Sortiert die Liste nach Stadtnamen."
TOOLTIP_CITYMAN_NATL_SUMM_SORTCITY_BUTTON		"Nach Stadtname"
STATUSBAR_CITYMAN_NATL_SUMM_FIREGOV_BUTTON	"Entbindet den Stadtrat von seinen Pflichten."
TOOLTIP_CITYMAN_NATL_SUMM_FIREGOV_BUTTON		"Stadtrat feuern"
STATUSBAR_CITYMAN_NATL_SUMM_SORTBILD_BUTTON	"Sortiert die Liste nach Bauobjekten."
TOOLTIP_CITYMAN_NATL_SUMM_SORTBILD_BUTTON		"Nach Bauobjekt"
STATUSBAR_CITYMAN_NATL_SUMM_SORTTIME_BUTTON	"Sortiert die Liste nach verbleibender Bauzeit."
TOOLTIP_CITYMAN_NATL_SUMM_SORTTIME_BUTTON		"Nach verbleibender Bauzeit"
STATUSBAR_CITYMAN_NATL_SUMM_RUSHBUY_BUTTON	"Initiiert den Sofortkauf des gewählten Objekts."
TOOLTIP_CITYMAN_NATL_SUMM_RUSHBUY_BUTTON		"Sofortkauf"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPOP_BUTTON	"Sortiert die Liste nach Bevölkerungsgröße."
TOOLTIP_CITYMAN_NATL_SUMM_SORTPOP_BUTTON		"Nach Stadtbevölkerung"
STATUSBAR_CITYMAN_NATL_SUMM_SORTHAPP_BUTTON	"Sortiert die Liste nach Zufriedenheit."
TOOLTIP_CITYMAN_NATL_SUMM_SORTHAPP_BUTTON		"Nach Zufriedenheit"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPROD_BUTTON	"Sortiert die Liste nach Produktionsausstoß."
TOOLTIP_CITYMAN_NATL_SUMM_SORTPROD_BUTTON		"Nach Produktion"
STATUSBAR_CITYMAN_NATL_SUMM_SORTFOOD_BUTTON	"Sortiert die Liste nach Nahrungserträgen."
