#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Civ specific strings, e.g civ names, civ leaders,
#                city names (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the civilisation related strings like civilisation
#   names, city names, emissary photos and diplomacy flags.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved back diplomacy photo strings from add_str.txt.
# - Added a bunch of new civs.
#
#----------------------------------------------------------------------------

#### Empire/Civilisation Names ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN	"Barbarisch"
GERMAN_CITY_3 "Hamburg"
GERMAN_CITY_4 "Bremen"
GERMAN_CITY_5 "Leipzig"
GERMAN_CITY_6 "Frankfurt"
GERMAN_CITY_7 "Düsseldorf"
GERMAN_CITY_8 "Hannover"
GERMAN_CITY_9 "Essen"
GERMAN_CITY_10 "Stuttgart"
GERMAN_CITY_11 "Köln"
GERMAN_CITY_12 "Dortmund"
GERMAN_CITY_13 "Heidelberg"
GERMAN_CITY_14 "Nürnberg"
GERMAN_CITY_15 "Bonn"
GERMAN_CITY_16 "Duisburg"
GERMAN_CITY_17 "Bacharach"
GERMAN_CITY_18 "Saarbrücken"
GERMAN_CITY_19 "Berchtesgaden"
GERMAN_CITY_20 "Magdeburg"
GERMAN_CITY_21 "Würzburg"
GERMAN_CITY_22 "Kaiserslautern"
GERMAN_CITY_23 "Kiel"
GERMAN_CITY_24 "Koblenz"
GERMAN_CITY_25 "Halle"
GERMAN_CITY_26 "Münster"
GERMAN_CITY_27 "Dresden"
GERMAN_CITY_28 "Günzburg"
GERMAN_CITY_29 "Schwetzingen"
GERMAN_CITY_30 "Warstein"
GERMAN_CITY_31 "Rostock"
GERMAN_CITY_32 "Lübeck"
GERMAN_CITY_33 "Gotha"
GERMAN_CITY_34 "Erfurt"
GERMAN_CITY_35 "Gera"
GERMAN_CITY_36 "Chemnitz"
GERMAN_CITY_37 "Cottbus"
GERMAN_CITY_38 "Bremerhaven"
GERMAN_CITY_39 "Oldenburg"
GERMAN_CITY_40 "Osnabrück"
GERMAN_CITY_41 "Schwerin"
GERMAN_CITY_42 "Offenbach"
GERMAN_CITY_43 "Regensburg"
GERMAN_CITY_44 "Augsburg"
GERMAN_CITY_45 "Mainz"
GERMAN_CITY_46 "Freiburg"
GERMAN_CITY_47 "Heilbronn"
GERMAN_CITY_48 "Ulm"
GERMAN_CITY_49 "Kassel"
GERMAN_CITY_50 "Salzgitter"


FRENCH "Franzosen"

FRENCH_LEADERM_NAME "Napoléon Bonaparte"
FRENCH_LEADERF_NAME "Éléonore D'Aquitane"
FRENCH_COUNTRY_NAME "Frankreich"
FRENCH_SINGULAR "Franzosen"
FRENCH_PLURAL "Franzosen"

FRENCH_CITY_1 "Paris"
FRENCH_CITY_2 "Toulouse"
FRENCH_CITY_3 "Straßburg"
FRENCH_CITY_4 "Rennes"
FRENCH_CITY_5 "Tours"
FRENCH_CITY_6 "Rouen"
FRENCH_CITY_7 "Cannes"
FRENCH_CITY_8 "Nizza"
FRENCH_CITY_9 "Bordeaux"
FRENCH_CITY_10 "Lille"
FRENCH_CITY_11 "Dijon"
FRENCH_CITY_12 "Marseille"
FRENCH_CITY_13 "Versailles"
FRENCH_CITY_14 "Faverges"
FRENCH_CITY_15 "Chartres"
FRENCH_CITY_16 "Avignon"
FRENCH_CITY_17 "Giverny"
FRENCH_CITY_18 "St.Tropez"
FRENCH_CITY_19 "Vernon"
FRENCH_CITY_20 "Pauillac"
FRENCH_CITY_21 "Bourges"
FRENCH_CITY_22 "Lorient"
FRENCH_CITY_23 "Le Mans"
FRENCH_CITY_24 "Saint-Etienne"
FRENCH_CITY_25 "Vitrolles"
FRENCH_CITY_26 "Orleans"
FRENCH_CITY_27 "Evian"
FRENCH_CITY_28 "Chantilly"
FRENCH_CITY_29 "Arbois"
FRENCH_CITY_30 "Montreuil"
FRENCH_CITY_31 "Münchausen"
FRENCH_CITY_32 "Grenoble"
FRENCH_CITY_33 "Limoges"
FRENCH_CITY_34 "Vichy"
FRENCH_CITY_35 "Toulon"
FRENCH_CITY_36 "Arles"
FRENCH_CITY_37 "Carcassonne"
FRENCH_CITY_38 "Clermont-Ferrand"
FRENCH_CITY_39 "Perpignan"
FRENCH_CITY_40 "Caen"
FRENCH_CITY_41 "Annency"
FRENCH_CITY_42 "Angers"
FRENCH_CITY_43 "St. Nazaire"
FRENCH_CITY_44 "Nantes"
FRENCH_CITY_45 "Brest"
FRENCH_CITY_46 "Bayonne"
FRENCH_CITY_47 "Moulins"
FRENCH_CITY_48 "Reims"
FRENCH_CITY_49 "Metz"
FRENCH_CITY_50 "Abbeville"


JAPANESE "Japaner"

JAPANESE_LEADERM_NAME "Minamoto"
JAPANESE_LEADERF_NAME "Shikibu Murasaki"
JAPANESE_COUNTRY_NAME "Japan"
JAPANESE_SINGULAR "Japaner"
JAPANESE_PLURAL "Japaner"

JAPANESE_CITY_1 "Kyoto"
JAPANESE_CITY_2 "Osaka"
JAPANESE_CITY_3 "Satsuma"
JAPANESE_CITY_4 "Edo"
JAPANESE_CITY_5 "Nagoya"
JAPANESE_CITY_6 "Yokohama"
JAPANESE_CITY_7 "Matsuyama"
JAPANESE_CITY_8 "Odawara"
JAPANESE_CITY_9 "Hiroshima"
JAPANESE_CITY_10 "Kimobetsu"
JAPANESE_CITY_11 "Gamagori"
JAPANESE_CITY_12 "Sapporo"
JAPANESE_CITY_13 "Fukushima"
JAPANESE_CITY_14 "Kagoshima"
JAPANESE_CITY_15 "Nikko"
JAPANESE_CITY_16 "Okazaki"
JAPANESE_CITY_17 "Chichibu"
JAPANESE_CITY_18 "Tsukaba"
JAPANESE_CITY_19 "Nagano"
JAPANESE_CITY_20 "Miyoshi"
JAPANESE_CITY_21 "Wakamatsu"
JAPANESE_CITY_22 "Sendai"
JAPANESE_CITY_23 "Hirakata"
JAPANESE_CITY_24 "Toyohashi"
JAPANESE_CITY_25 "Kobe"
JAPANESE_CITY_26 "Kawasaki"
JAPANESE_CITY_27 "Mishima"
JAPANESE_CITY_28 "Fukuoka"
JAPANESE_CITY_29 "Nagasaki"
JAPANESE_CITY_30 "Fujinomiya"
JAPANESE_CITY_31 "Tokyo"
JAPANESE_CITY_32 "Iwaki"
JAPANESE_CITY_33 "Hakodate"
JAPANESE_CITY_34 "Akita"
JAPANESE_CITY_35 "Hachinohe"
JAPANESE_CITY_36 "Aomori"
JAPANESE_CITY_37 "Ishinomaki"
JAPANESE_CITY_38 "Niigata"
JAPANESE_CITY_39 "Koriyama"
JAPANESE_CITY_40 "Koga"
JAPANESE_CITY_41 "Ota"
JAPANESE_CITY_42 "Komatsu"
JAPANESE_CITY_43 "Fukui"
JAPANESE_CITY_44 "Yonago"
JAPANESE_CITY_45 "Onomitchi"
JAPANESE_CITY_46 "Ube"
JAPANESE_CITY_47 "Oita"
JAPANESE_CITY_48 "Tagawa"
JAPANESE_CITY_49 "Miyazaki"
JAPANESE_CITY_50 "Naha"


CHINESE "Chinesen"

CHINESE_LEADERM_NAME "Sun Tzu"
CHINESE_LEADERF_NAME "Wu Zhao"
CHINESE_COUNTRY_NAME "China"
CHINESE_SINGULAR "Chinesen"
CHINESE_PLURAL "Chinesen"

CHINESE_CITY_1 "Luoyang"
CHINESE_CITY_2 "Chang'an"
CHINESE_CITY_3 "Xianyang"
CHINESE_CITY_4 "Nanjing"
CHINESE_CITY_5 "Hangzhou"
CHINESE_CITY_6 "Chengdu"
CHINESE_CITY_7 "Guangzhou"
CHINESE_CITY_8 "Fuzhou"
CHINESE_CITY_9 "Yangzhou"
CHINESE_CITY_10 "Taiyuan"
CHINESE_CITY_11 "Danyang"
CHINESE_CITY_12 "Changsha"
CHINESE_CITY_13 "Zichuan"
CHINESE_CITY_14 "Liangzhou"
CHINESE_CITY_15 "Ji"
CHINESE_CITY_16 "Puyang"
CHINESE_CITY_17 "Handan"
CHINESE_CITY_18 "Daliang"
CHINESE_CITY_19 "Anyi"
CHINESE_CITY_20 "Wu"
CHINESE_CITY_21 "Guiji"
CHINESE_CITY_22 "Ying"
CHINESE_CITY_23 "Pengli"
CHINESE_CITY_24 "Lingling"
CHINESE_CITY_25 "Guiyang"
CHINESE_CITY_26 "Qufu"
CHINESE_CITY_27 "Dunhuang"
CHINESE_CITY_28 "Turfan"
CHINESE_CITY_29 "Changye"
CHINESE_CITY_30 "Dali"
CHINESE_CITY_31 "Peking"
CHINESE_CITY_32 "Shanghai"
CHINESE_CITY_33 "Xiangtan"
CHINESE_CITY_34 "Jixi"
CHINESE_CITY_35 "Haicheng"
CHINESE_CITY_36 "Baoding"
CHINESE_CITY_37 "Kunming"
CHINESE_CITY_38 "Nanhai"
CHINESE_CITY_39 "Shenzhen"
CHINESE_CITY_40 "Shantung"
CHINESE_CITY_41 "Zhenjiang"
CHINESE_CITY_42 "Fuyang"
CHINESE_CITY_43 "Shenyang"
CHINESE_CITY_44 "Zibo"
CHINESE_CITY_45 "Nantong"
CHINESE_CITY_46 "Chongqing"
CHINESE_CITY_47 "Xiamen"
CHINESE_CITY_48 "Panjin"
CHINESE_CITY_49 "Jiangyin"
CHINESE_CITY_50 "Yantai"


RUSSIAN "Russen"

RUSSIAN_LEADERM_NAME "Iwan der Schreckliche"
RUSSIAN_LEADERF_NAME "Katharina die Große"
RUSSIAN_COUNTRY_NAME "Russland"
RUSSIAN_SINGULAR "Russen"
RUSSIAN_PLURAL "Russen"

RUSSIAN_CITY_1 "Moskau"
RUSSIAN_CITY_2 "Kiew"
RUSSIAN_CITY_3 "St. Petersburg"
RUSSIAN_CITY_4 "Sevastopol"
RUSSIAN_CITY_5 "Smolensk"
RUSSIAN_CITY_6 "Minsk"
RUSSIAN_CITY_7 "Novosibirsk"
RUSSIAN_CITY_8 "Astrakhan"
RUSSIAN_CITY_9 "Saratov"
RUSSIAN_CITY_10 "Novgorod"
RUSSIAN_CITY_11 "Tblisi"
RUSSIAN_CITY_12 "Ekaterinburg"
RUSSIAN_CITY_13 "Samara"
RUSSIAN_CITY_14 "Kursk"
RUSSIAN_CITY_15 "Vladivostok"
RUSSIAN_CITY_16 "Odessa"
RUSSIAN_CITY_17 "Kazan"
RUSSIAN_CITY_18 "Chelyabinsk"
RUSSIAN_CITY_19 "Bryansk"
RUSSIAN_CITY_20 "Tyumen"
RUSSIAN_CITY_21 "Tomsk"
RUSSIAN_CITY_22 "Barnaul"
RUSSIAN_CITY_23 "Tver"
RUSSIAN_CITY_24 "Irkutsk"
RUSSIAN_CITY_25 "Akademgorodok"
RUSSIAN_CITY_26 "Khabarovsk"
RUSSIAN_CITY_27 "Magnitogorsk"
RUSSIAN_CITY_28 "Taganrog"
RUSSIAN_CITY_29 "Kaliningrad"
RUSSIAN_CITY_30 "Omsk"
RUSSIAN_CITY_31 "Stavropol"
RUSSIAN_CITY_32 "Grozny"
RUSSIAN_CITY_33 "Ufa"
RUSSIAN_CITY_34 "Yekaterinburg"
RUSSIAN_CITY_35 "Orsk"
RUSSIAN_CITY_36 "Nizhniy Tagil"
RUSSIAN_CITY_37 "Kirov"
RUSSIAN_CITY_38 "Kostroma"
RUSSIAN_CITY_39 "Arkhangelsk"
RUSSIAN_CITY_40 "Murmansk"
RUSSIAN_CITY_41 "Kaluga"
RUSSIAN_CITY_42 "Orel"
RUSSIAN_CITY_43 "Penza"
RUSSIAN_CITY_44 "Tambov"
RUSSIAN_CITY_45 "Donetsk"
RUSSIAN_CITY_46 "Dnipropetrovsk"
RUSSIAN_CITY_47 "Vladimir"
RUSSIAN_CITY_48 "Nizhniy Novgorod"
RUSSIAN_CITY_49 "Murom"
RUSSIAN_CITY_50 "Pskov"


SPANISH "Spanier"

SPANISH_LEADERM_NAME "Ferdinand"
SPANISH_LEADERF_NAME "Isabella"
SPANISH_COUNTRY_NAME "Spanien"
SPANISH_SINGULAR "Spanier"
SPANISH_PLURAL "Spanier"

SPANISH_CITY_1 "Madrid"
SPANISH_CITY_2 "Barcelona"
SPANISH_CITY_3 "Granada"
SPANISH_CITY_4 "Sevilla"
SPANISH_CITY_5 "Toledo"
SPANISH_CITY_6 "Leon"
SPANISH_CITY_7 "Cordoba"
SPANISH_CITY_8 "Ibiza"
SPANISH_CITY_9 "Pamplona"
SPANISH_CITY_10 "Salamanca"
SPANISH_CITY_11 "Menorca"
SPANISH_CITY_12 "Igualada"
SPANISH_CITY_13 "Cartagena"
SPANISH_CITY_14 "San Roque"
SPANISH_CITY_15 "Las Matas"
SPANISH_CITY_16 "Mallorca"
SPANISH_CITY_17 "Saragossa"
SPANISH_CITY_18 "Alicante"
SPANISH_CITY_19 "Bilbao"
SPANISH_CITY_20 "Santa Cruz"
SPANISH_CITY_21 "Pontevedra"
SPANISH_CITY_22 "Montellano"
SPANISH_CITY_23 "Pasajes"
SPANISH_CITY_24 "El Campello"
SPANISH_CITY_25 "Villaviciosa"
SPANISH_CITY_26 "Malaga"
SPANISH_CITY_27 "Cartagena"
SPANISH_CITY_28 "Montefrio"
SPANISH_CITY_29 "Avila"
SPANISH_CITY_30 "Segovia"
SPANISH_CITY_31 "Palma"
SPANISH_CITY_32 "Castellon de la Plana"
SPANISH_CITY_33 "Mahon"
SPANISH_CITY_34 "Santander"
SPANISH_CITY_35 "Gijon"
SPANISH_CITY_36 "La Coruna"
SPANISH_CITY_37 "Soria"
SPANISH_CITY_38 "Valladolid"
SPANISH_CITY_39 "Badajoz"
SPANISH_CITY_40 "Almeria"
SPANISH_CITY_41 "Valencia"
SPANISH_CITY_42 "Murcia"
SPANISH_CITY_43 "Burgos"
SPANISH_CITY_44 "Oviedo"
SPANISH_CITY_45 "Baracaldo"
SPANISH_CITY_46 "San Sebastian"
SPANISH_CITY_47 "Huelva"
SPANISH_CITY_48 "Vitoria"
SPANISH_CITY_49 "Cuenca"
SPANISH_CITY_50 "Avila"


PORTUGUESE "Portugiesen"

PORTUGUESE_LEADERM_NAME "Vasco da Gama"
PORTUGUESE_LEADERF_NAME "Maria II."
PORTUGUESE_COUNTRY_NAME "Portugal"
PORTUGUESE_SINGULAR "Portugiesen"
PORTUGUESE_PLURAL "Portugiesen"

PORTUGUESE_CITY_1 "Lissabon"
PORTUGUESE_CITY_2 "Porto"
PORTUGUESE_CITY_3 "Lagos"
PORTUGUESE_CITY_4 "Faro"
PORTUGUESE_CITY_5 "Pico"
PORTUGUESE_CITY_6 "Funchal"
PORTUGUESE_CITY_7 "Portalegre"
PORTUGUESE_CITY_8 "Coimbra"
PORTUGUESE_CITY_9 "Quarteira"
PORTUGUESE_CITY_10 "Guarda"
PORTUGUESE_CITY_11 "Montijo"
PORTUGUESE_CITY_12 "Terceira"
PORTUGUESE_CITY_13 "Estoril"
PORTUGUESE_CITY_14 "Covilha"
PORTUGUESE_CITY_15 "Aveiro"
PORTUGUESE_CITY_16 "Oeiras"
PORTUGUESE_CITY_17 "Cascais"
PORTUGUESE_CITY_18 "Soajo"
PORTUGUESE_CITY_19 "Ponta Delgada"
PORTUGUESE_CITY_20 "Santa Maria"
PORTUGUESE_CITY_21 "Santarem"
PORTUGUESE_CITY_22 "Famalicao"
PORTUGUESE_CITY_23 "Tavira"
PORTUGUESE_CITY_24 "Guimaraes"
PORTUGUESE_CITY_25 "Santa Miguel"
PORTUGUESE_CITY_26 "Cedros"
PORTUGUESE_CITY_27 "Fulores"
PORTUGUESE_CITY_28 "Albufeira"
PORTUGUESE_CITY_29 "Loule"
PORTUGUESE_CITY_30 "Alcoutim"
PORTUGUESE_CITY_31 "Crato"
PORTUGUESE_CITY_32 "Elvas"
PORTUGUESE_CITY_33 "Evora"
PORTUGUESE_CITY_34 "Beja"
PORTUGUESE_CITY_35 "Vila Real"
PORTUGUESE_CITY_36 "Chaves"
PORTUGUESE_CITY_37 "Braga"
PORTUGUESE_CITY_38 "Vila de Conde"
PORTUGUESE_CITY_39 "Almada"
PORTUGUESE_CITY_40 "Portimao"
PORTUGUESE_CITY_41 "Faro"
PORTUGUESE_CITY_42 "Castelo Branco"
PORTUGUESE_CITY_43 "Braganca"
PORTUGUESE_CITY_44 "Lamego"
PORTUGUESE_CITY_45 "Viseu"
PORTUGUESE_CITY_46 "Peniche"
PORTUGUESE_CITY_47 "Marateca"
PORTUGUESE_CITY_48 "Setubal"
PORTUGUESE_CITY_49 "Grandola"
PORTUGUESE_CITY_50 "Sines"


DUTCH "Holländer"

DUTCH_LEADERM_NAME "Willem I."
DUTCH_LEADERF_NAME "Wilhelmina"
DUTCH_COUNTRY_NAME "Holland"
DUTCH_SINGULAR "Holländer"
DUTCH_PLURAL "Holländer"

DUTCH_CITY_1 "Amsterdam"
DUTCH_CITY_2 "Den Haag"
DUTCH_CITY_3 "Arnheim"
DUTCH_CITY_4 "Middleburg"
DUTCH_CITY_5 "Leeuwarden"
DUTCH_CITY_6 "Assen"
DUTCH_CITY_7 "Groningen"
DUTCH_CITY_8 "Utrecht"
DUTCH_CITY_9 "Hertogenbosch"
DUTCH_CITY_10 "Maastricht"
DUTCH_CITY_11 "Vlaardingen"
DUTCH_CITY_12 "Eindhoven"
DUTCH_CITY_13 "Dordrecht"
DUTCH_CITY_14 "Zeist"
DUTCH_CITY_15 "Apeldoorn"
DUTCH_CITY_16 "Rotterdam"
DUTCH_CITY_17 "Den Helder"
DUTCH_CITY_18 "Leiderdorp"
DUTCH_CITY_19 "Hoofddorp"
DUTCH_CITY_20 "Zannstad"
DUTCH_CITY_21 "Vlissingen"
DUTCH_CITY_22 "Gouda"
DUTCH_CITY_23 "Leiden"
DUTCH_CITY_24 "Heerenveen"
DUTCH_CITY_25 "Venlo"
DUTCH_CITY_26 "Sittard"
DUTCH_CITY_27 "Ede"
DUTCH_CITY_28 "Hoorn"
DUTCH_CITY_29 "Breukelen"
DUTCH_CITY_30 "Haarlem"
DUTCH_CITY_31 "Weert"
DUTCH_CITY_32 "Aalten"
DUTCH_CITY_33 "Heerlen"
DUTCH_CITY_34 "Vaais"
DUTCH_CITY_35 "Tilburg"
DUTCH_CITY_36 "Veghel"
DUTCH_CITY_37 "Echt"
DUTCH_CITY_38 "Volendam"
DUTCH_CITY_39 "Monster"
DUTCH_CITY_40 "Hoogeveen"
DUTCH_CITY_41 "Winschoten"
DUTCH_CITY_42 "Heiloo"
DUTCH_CITY_43 "Alkmaar"
DUTCH_CITY_44 "Leeuwarden"
DUTCH_CITY_45 "Oldebroek"
DUTCH_CITY_46 "Meppel"
DUTCH_CITY_47 "Enschede"
DUTCH_CITY_48 "Haaksbergen"
DUTCH_CITY_49 "Goes"
DUTCH_CITY_50 "Warga"


VIKING "Wikinger"

VIKING_LEADERM_NAME "Sweyn Forkbeard"
VIKING_LEADERF_NAME "Thyra Danebod"
VIKING_COUNTRY_NAME "Wikingerreich"
VIKING_SINGULAR "Wikinger"
VIKING_PLURAL "Wikinger"

VIKING_CITY_1 "Trondheim"
VIKING_CITY_2 "Hladir"
VIKING_CITY_3 "Kaupang"
VIKING_CITY_4 "Uppsala"
VIKING_CITY_5 "Roskilde"
VIKING_CITY_6 "Viborg"
VIKING_CITY_7 "Göteburg"
VIKING_CITY_8 "Odense"
VIKING_CITY_9 "Bergen"
VIKING_CITY_10 "Linkoping"
VIKING_CITY_11 "Jarlshof"
VIKING_CITY_12 "Bornholm"
VIKING_CITY_13 "Alesund"
VIKING_CITY_14 "Koping"
VIKING_CITY_15 "Tampere"
VIKING_CITY_16 "Stavanger"
VIKING_CITY_17 "Aalborg"
VIKING_CITY_18 "Kopenhagen"
VIKING_CITY_19 "Tromso"
VIKING_CITY_20 "Harstad"
VIKING_CITY_21 "Hammerfest"
VIKING_CITY_22 "Ostersund"
VIKING_CITY_23 "Sigtuna"
VIKING_CITY_24 "Sundsvall"
VIKING_CITY_25 "Karlstad"
VIKING_CITY_26 "Groenbjerg"
VIKING_CITY_27 "Nykoping"
VIKING_CITY_28 "Brumunddal"
VIKING_CITY_29 "Helsingborg"
VIKING_CITY_30 "Ringerike"
VIKING_CITY_31 "Jelling"
VIKING_CITY_32 "Tune"
VIKING_CITY_33 "Askerkarr"
VIKING_CITY_34 "Paviken"
VIKING_CITY_35 "Ribe"
VIKING_CITY_36 "Hafrsfjord"
VIKING_CITY_37 "Skuldelev"
VIKING_CITY_38 "Ladby"
VIKING_CITY_39 "Larne"
VIKING_CITY_40 "Nyborg"
VIKING_CITY_41 "Holmgard"
VIKING_CITY_42 "Nonnebakken"
VIKING_CITY_43 "Thwaite"
VIKING_CITY_44 "Askrigg"
VIKING_CITY_45 "Trelleborg"
VIKING_CITY_46 "Risby"
VIKING_CITY_47 "Vorbasse"
VIKING_CITY_48 "Fyrkat"
VIKING_CITY_49 "Kvivik"
VIKING_CITY_50 "Aldeigjuborg"


ROMAN "Römer"

ROMAN_LEADERM_NAME "Julius Caesar"
ROMAN_LEADERF_NAME "Livia Drusilla"
ROMAN_COUNTRY_NAME "Römisches Reich"
ROMAN_SINGULAR "Römer"
ROMAN_PLURAL "Römer"

ROMAN_CITY_1 "Roma"
ROMAN_CITY_2 "Pompeii"
ROMAN_CITY_3 "Antium"
ROMAN_CITY_4 "Virconium"
ROMAN_CITY_5 "Apollonia"
ROMAN_CITY_6 "Augustodunum"
ROMAN_CITY_7 "Neapolis"
ROMAN_CITY_8 "Agrippina"
ROMAN_CITY_9 "Ostia"
ROMAN_CITY_10 "Londinium"
ROMAN_CITY_11 "Eburacum"
ROMAN_CITY_12 "Tarentum"
ROMAN_CITY_13 "Brundisium"
ROMAN_CITY_14 "Veii"
ROMAN_CITY_15 "Aquila"
ROMAN_CITY_16 "Sirmium"
ROMAN_CITY_17 "Hispalis"
ROMAN_CITY_18 "Lugdunum"
ROMAN_CITY_19 "Tarraco"
ROMAN_CITY_20 "Florentia"
ROMAN_CITY_21 "Banonia"
ROMAN_CITY_22 "Nicomedia"
ROMAN_CITY_23 "Vindonissa"
ROMAN_CITY_24 "Argentoratum"
ROMAN_CITY_25 "Nemausus"
ROMAN_CITY_26 "Siscia"
ROMAN_CITY_27 "Asturica"
ROMAN_CITY_28 "Viminiacium"
ROMAN_CITY_29 "Agrigentum"
ROMAN_CITY_30 "Durostorum"
ROMAN_CITY_31 "Salonae"
ROMAN_CITY_32 "Aquincum"
ROMAN_CITY_33 "Axima"
ROMAN_CITY_34 "Burdigala"
ROMAN_CITY_35 "Deva"
ROMAN_CITY_36 "Lindum"
ROMAN_CITY_37 "Castra Regina"
ROMAN_CITY_38 "Carnuntum"
ROMAN_CITY_39 "Virunum"
ROMAN_CITY_40 "Novae"
ROMAN_CITY_41 "Noviomagus"
ROMAN_CITY_42 "Agentorate"
ROMAN_CITY_43 "Narbo"
ROMAN_CITY_44 "Massilia"
ROMAN_CITY_45 "Carales"
ROMAN_CITY_46 "Emerita Augusta"
ROMAN_CITY_47 "Tingis"
ROMAN_CITY_48 "Perinthus"
ROMAN_CITY_49 "Paphus"
ROMAN_CITY_50 "Bostra"


EGYPTIAN "Ägypter"

EGYPTIAN_LEADERM_NAME "Ramses"
EGYPTIAN_LEADERF_NAME "Hatshepsut"
EGYPTIAN_COUNTRY_NAME "Ägypten"
EGYPTIAN_SINGULAR "Ägypter"
EGYPTIAN_PLURAL "Ägypter"

EGYPTIAN_CITY_1 "Theben"
EGYPTIAN_CITY_2 "Memphis"
EGYPTIAN_CITY_3 "Karnak"
EGYPTIAN_CITY_4 "Luxor"
EGYPTIAN_CITY_5 "Giza"
EGYPTIAN_CITY_6 "Elephantine"
EGYPTIAN_CITY_7 "Oryx"
EGYPTIAN_CITY_8 "Abydos"
EGYPTIAN_CITY_9 "Busiris"
EGYPTIAN_CITY_10 "Athribis"
EGYPTIAN_CITY_11 "Tanis"
EGYPTIAN_CITY_12 "Bubastis"
EGYPTIAN_CITY_13 "El-Amarna"
EGYPTIAN_CITY_14 "Akhmim"
EGYPTIAN_CITY_15 "Armant"
EGYPTIAN_CITY_16 "Sakha"
EGYPTIAN_CITY_17 "Lisht"
EGYPTIAN_CITY_18 "Balat"
EGYPTIAN_CITY_19 "Hawara"
EGYPTIAN_CITY_20 "Abusir"
EGYPTIAN_CITY_21 "Edfu"
EGYPTIAN_CITY_22 "Buto"
EGYPTIAN_CITY_23 "Ikkur"
EGYPTIAN_CITY_24 "Esna"
EGYPTIAN_CITY_25 "Dendera"
EGYPTIAN_CITY_26 "Naqada"
EGYPTIAN_CITY_27 "Abu Simbel"
EGYPTIAN_CITY_28 "Saqqara"
EGYPTIAN_CITY_29 "Aniba"
EGYPTIAN_CITY_30 "Gebelein"
EGYPTIAN_CITY_31 "Rhinocolura"
EGYPTIAN_CITY_32 "Asyut"
EGYPTIAN_CITY_33 "Buhen"
EGYPTIAN_CITY_34 "Quban"
EGYPTIAN_CITY_35 "El-Ashmunein"
EGYPTIAN_CITY_36 "Mendes"
EGYPTIAN_CITY_37 "Serabit"
EGYPTIAN_CITY_38 "Kahun"
EGYPTIAN_CITY_39 "Raqote"
EGYPTIAN_CITY_40 "Pithom"
EGYPTIAN_CITY_41 "Avaris"
EGYPTIAN_CITY_42 "Meinarti"
EGYPTIAN_CITY_43 "Faras"
EGYPTIAN_CITY_44 "Canopus"
EGYPTIAN_CITY_45 "Uronati"
EGYPTIAN_CITY_46 "Semna"
EGYPTIAN_CITY_47 "Kumma"
EGYPTIAN_CITY_48 "Sai"
EGYPTIAN_CITY_49 "Dorginarti"
EGYPTIAN_CITY_50 "Mirgissa"


PERSIAN "Perser"

PERSIAN_LEADERM_NAME "Cyrus der Große"
PERSIAN_LEADERF_NAME "Scheherazade"
PERSIAN_COUNTRY_NAME "Persien"
PERSIAN_SINGULAR "Perser"
PERSIAN_PLURAL "Perser"

PERSIAN_CITY_1 "Persepolis"
PERSIAN_CITY_2 "Pasargadae"
PERSIAN_CITY_3 "Susa"
PERSIAN_CITY_4 "Persis"
PERSIAN_CITY_5 "Dahae"
PERSIAN_CITY_6 "Elam"
PERSIAN_CITY_7 "Ashur"
PERSIAN_CITY_8 "Comisene"
PERSIAN_CITY_9 "Ecbatana"
PERSIAN_CITY_10 "Jiruft"
PERSIAN_CITY_11 "Asaak"
PERSIAN_CITY_12 "Bist"
PERSIAN_CITY_13 "Jarmy"
PERSIAN_CITY_14 "Cunaxa"
PERSIAN_CITY_15 "Hyrcania"
PERSIAN_CITY_16 "Bahrein"
PERSIAN_CITY_17 "Gurgan"
PERSIAN_CITY_18 "Amon"
PERSIAN_CITY_19 "Rhagae"
PERSIAN_CITY_20 "Mazun"
PERSIAN_CITY_21 "Archosia"
PERSIAN_CITY_22 "Behistum"
PERSIAN_CITY_23 "Kangavar"
PERSIAN_CITY_24 "Harran"
PERSIAN_CITY_25 "Nehavend"
PERSIAN_CITY_26 "Phraata"
PERSIAN_CITY_27 "Jay"
PERSIAN_CITY_28 "Carmania"
PERSIAN_CITY_29 "Farah"
PERSIAN_CITY_30 "Aria"
PERSIAN_CITY_31 "Bisitun"
PERSIAN_CITY_32 "Artacoana"
