#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_NEW_GOVT			"La scoperta del progresso noto come {advance[0].name} rappresenta l'introduzione di una nuova filosofia politica nella tua nazione. Se desideri, puoi attivare un nuovo governo aprendo la <c:0,50,255>gestione imperiale<e> e cliccando sulla scheda <c:0,50,255>Governo<e>."
T_BUILD_WONDERS			"Costruisci altre meraviglie"
T_BUILD_BUILDINGS		"Costruisci altri edifici"
T_BUILD_UNITS			"Costruisci altre unità"
T_TITLE_GOOD_SPOT		"Fonda qui una città"
T_TITLE_BAD_SPOT		"Continua a cercare..."
T_CM_QUEUE_TAB			"La scheda Produzione della gestione cittadina mostra ciò che è attualmente in produzione e tutti gli oggetti successivi in attesa. Se la coda di produzione è vuota, clicca sul pulsante <c:0,0,200>Costruisci<e> per richiamare un elenco degli oggetti che puoi costruire."
T_CM_INVENTORY_TAB		"La scheda della gestione cittadina mostra tutti gli edifici e le meraviglie esistenti nella città.\n\nSe hai bisogno di soldi, puoi vendere gli edifici presenti, tenendo però conto che perderai i relativi vantaggi. Le meraviglie non si possono vendere."
T_CM_SPECIALISTS		"Man mano che scoprirai nuovi progressi scientifici, avrai accesso a nuovi tipi di specialisti.\n\nGli specialisti sono diversi dai lavoratori e dagli schiavi, perché possono concentrare i loro sforzi su un solo tipo di risorsa, come cibo, scienza o produzione."
T_CM_STATISTICS			"Per gestire in modo efficiente una città, dovresti essere a conoscenza di tutti i problemi che interessano i tuoi cittadini.\n\nLa scheda Statistiche della gestione cittadina mostra tutti gli elementi che influenzano positivamente o negativamente il morale della gente."
T_CM_UNITS			"È sempre una buona idea lasciare unità all'interno delle città per assicurare la loro difesa. Questa scheda della gestione cittadina mostra tutte le unità attualmente presenti in città. Se vuoi farne uscire qualcuna dalla città, selezionala e poi clicca su <c:0,0,200>Attiva unità<e>."
T_POO				"POO CityIsNamed strcmp works."
T_TITLE_SP_CIV_MGMT		"Gestione imperiale"
T_SP_CIV_MGMT			"Non solo puoi controllare la politica nazionale del tuo impero, ma puoi anche decidere quale tipo di governo usare.\n\nLa tua gente avrà diversi livelli di aspettativa dalla politica nazionale in base al tipo di governo. Sta a te decidere quale governo si adatta meglio alle loro necessità e al tuo stile di gioco."
T_TITLE_SP_CIV_MGMT_A		"'Nessuno può fare il patriota con lo stomaco vuoto.'"
T_SP_CIV_MGMT_A			"Non si può costruire una nazione sulla schiena della gente affamata. Aumentando le razioni potrai rendere più contenti i tuoi cittadini. Però, siccome la crescita demografica dipende dalla disponibilità di cibo, alzando molto la quantità di razioni puoi provocare un ristagno."
T_TITLE_SP_CIV_MGMT_B		"'Non chiedetevi che cosa possa fare il vostro paese per voi..."
T_SP_CIV_MGMT_B			"...ma chiedetevi che cosa potete fare voi per il vostro paese'.\n\nLa produttività della tua nazione dipende dalla lunghezza dell'orario di lavoro. Giornate lavorative più lunghe permettono una maggiore produttività, ma un orario più leggero rende la gente più soddisfatta."
T_TITLE_SP_CIV_MGMT_C		"'I soldi sono la scintilla..."
T_SP_CIV_MGMT_C			"'...ma da soli non bastano per tenere acceso il fuoco.'\n\nIl commercio genera profitti per pagare la gente e finanziare la ricerca scientifica. Aumentando i salari potrai rendere la gente più felice, ma avrai meno soldi per la ricerca, la manutenzione e l'acquisto accelerato di oggetti."
T_TITLE_SP_CIV_MGMT_D		"'Nulla è sicuro, tranne la morte e le tasse.'"
T_SP_CIV_MGMT_D			"Ricorda che se manterrai troppo alte le tasse per i Lavori pubblici, le città non saranno in grado di costruire in modo efficiente nuove unità, miglioramenti o meraviglie.\n\nPer converso, una tassa per i Lavori pubblici troppo bassa rallenta il ritmo delle scoperte scientifiche."
T_SP_UNIT_MGMT			"Puoi vedere una sintesi di tutte le unità presenti nel tuo impero e gestirle.\n\nPuoi anche congedare le vecchie unità quando ne arrivano di nuove, più evolute, a renderle obsolete."
T_SP_DIPLOMACY			"Dopo aver contattato per la prima volta un'altra nazione, potrai iniziare i negoziati diplomatici.\n\nFondando un'ambasciata in una città straniera ti aprirai ulteriori opportunità di negoziato."
T_SP_SCIENCE			"Puoi controllare i progressi della tua nazione nel campo della ricerca scientifica. Puoi anche modificare il campo su cui si concentrerà la ricerca, in caso di necessità."
T_SP_GREAT_LIBRARY		"La Grande Biblioteca è la fonte centrale di informazioni nel mondo di Call To Power II. Nelle sue grandi sale troverai informazioni su ogni elemento del gioco, dalle unità e le meraviglie ai concetti fondamentali e i progressi. Puoi scoprire il ruolo di questi elementi leggendo le relative spiegazioni. Puoi anche consultare le spiegazioni storiche per imparare tutto sulle loro origini, sul loro sviluppo e sul loro significato storico."
T_SP_TRADE			"Quando avrai scoperto il progresso noto come commercio e avrai costruito nelle tue città alcune carovane, potrai vendere le tue merci. Però, non potrai offrire merci a una nazione con la quale sei in guerra."
T_SP_NATL_MGMT			"La gestione nazionale offre un piano di tutte le città dell'impero. Puoi utilizzare i pulsanti di ordinamento per organizzare le città elencate."
##T_NO_KILL_CIVILIAN		"Attaccando {unitrecord[0].name#ARTICLE} {player[0].civ_name_plural#PREPOSITION} causerai delle tensioni.\n\nIn alternativa, puoi espellere le unità civili come {unitrecord[0].name#ARTICLE} senza danneggiare la situazione diplomatica. Seleziona una delle tue unità militari e In tal modo, puoi sbarazzarti delle unutilizza l'ordine <c:0,50,200>Espelli<e>."

### Added 10/9/00
T_CITY_TOO_SMALL_TITLE		"La città è troppo piccola!"
T_CITY_TOO_SMALL		"Per costruire un'unità di coloni devi sacrificare una parte della popolazione. La città deve avere almeno 2 unità di popolazione per costruire un'unità di coloni senza sparire dalla mappa. Dunque, puoi aspettare che la tua città si sia ingrandita prima di costruire l'unità di coloni."
T_TOO_MANY_UNITS_TITLE		"Capienza massima raggiunta!"
T_TOO_MANY_UNITS		"Ogni casella del gioco, incluse quelle delle città, può contenere al massimo 12 unità. Se ce ne sono già 12, la città smetterà di produrre unità fino a quando non verrà liberato lo spazio per accoglierle."
