#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabbricazione utensili"
CONCEPT_DEFENSE					"Difesa"
CONCEPT_DIAMOND_AGE				"Età del diamante"
CONCEPT_DIPLOMACY				"Diplomazia"
CONCEPT_DISBAND_CITY				"Demolisci città"
CONCEPT_EMBARGO					"Dichiara l'embargo"
CONCEPT_EMPIRE_SIZE				"Dimensione impero"
CONCEPT_FOOD					"Cibo"
CONCEPT_FUEL					"Carburante"
CONCEPT_FUTURE_AGE				"The Future"
CONCEPT_GENETIC_AGE				"Età genetica"
CONCEPT_GOLD					"Oro"
CONCEPT_GOODS					"Beni"
CONCEPT_GOVERNMENTS				"Governo"
CONCEPT_GROWTH					"Crescita"
CONCEPT_HAPPINESS				"Benessere"
CONCEPT_IMPROVEMENTS				"Miglioramenti"
CONCEPT_INDUSTRIAL_AGE				"Industrial Age"
CONCEPT_INFRASTRUCTURE				"Infrastruttura"
CONCEPT_MAINTENANCE_COST			"Costo di manutenzione"
CONCEPT_MEDIEVAL_AGE				"Medieval Period"
CONCEPT_MILITARY_READINESS			"Stato militare"
CONCEPT_MODERN_AGE				"Età moderna"
CONCEPT_OFFER					"Offerta"
CONCEPT_OVERCROWDING				"Sovraffollamento"
CONCEPT_POLLUTION				"Inquinamento"
CONCEPT_POPULATION				"Popolazione"
CONCEPT_PRODUCTION				"Produzione"
CONCEPT_PUBLIC_WORKS				"Lavori pubblici"
CONCEPT_RATIONS					"Razioni"
CONCEPT_REGARD					"Stima"
CONCEPT_RENAISSANCE_AGE				"Età del Rinascimento"
CONCEPT_REQUEST					"Richiesta"
CONCEPT_REVOLUTION				"Rivoluzione"
CONCEPT_RIOTS					"Sommossa"
CONCEPT_RIVER					"Fiumi"
CONCEPT_RUINS					"Rovine"
CONCEPT_RUSH_BUY				"Compra ora"
CONCEPT_SCIENCE					"Scienza"
CONCEPT_SCIENCE_SETTING				"Livello scienza"
CONCEPT_SEA_COLONIES				"Colonia marina"
CONCEPT_SLAVE					"Schiavo"
CONCEPT_SPECIAL_FORCES				"Forze speciali"
CONCEPT_SPECIALISTS				"Specialisti"
CONCEPT_STARVATION				"Carestia"
CONCEPT_STEALTH_UNITS				"Unità antiradar"
CONCEPT_SUPPORT_COST				"Costo di sostentamento"
CONCEPT_TERRAFORM				"Trasformazione"
CONCEPT_THREAT					"Minaccia"
CONCEPT_TILE_IMPROVEMENTS			"Miglioramenti casella"
CONCEPT_TONE					"Tono"
CONCEPT_TRADE					"Commercio"
CONCEPT_TRADE_ROUTE				"Rotta commerciale"
CONCEPT_TREATIES				"Trattato"
CONCEPT_UNITS					"Unità"
CONCEPT_VETERANS				"Veterani"
CONCEPT_VICTORY_CONDITIONS			"Vittoria - Generale"
CONCEPT_VICTORY_CONQUEST			"Vittoria - Sete di sangue"
CONCEPT_VICTORY_DIPLOMATIC			"Vittoria - Diplomatica"
CONCEPT_VICTORY_PTS_AT_2300			"Vittoria - 2300 d.C."
CONCEPT_VICTORY_SCIENCE				"Vittoria - Controllore Gaia"
CONCEPT_VISION					"Visione"
CONCEPT_WAGES					"Salari"
CONCEPT_WONDERS					"Meraviglie"
CONCEPT_WORK_HOURS				"Orario di lavoro"
CONCEPT_WORKER					"Lavoratore"


#### Pop STRINGS ####
POP_WORKER					"Lavoratore"
POP_SLAVE					"Schiavo"
POP_BANKER					"Mercante"
POP_BARD					"Intrattenitore"
POP_WISEMAN					"Scienziato"
POP_FACTORY_GRUNT				"Operaio"

## REMOVE THE FOLLOWING:
POP_ACTOR					"Intrattenitore"
POP_PHILOSOPHER					"Scienziato"
POP_PROFESSOR					"Scienziato"
POP_LIBRARIAN					"Scienziato"
POP_PROGRAMMER					"Scienziato"
POP_MERCHANT					"Mercante"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"Fattorie"
TILEIMP_ADVANCED_FARMS				"Fattorie avanzate"
TILEIMP_HYDROPONIC_FARMS			"Fattorie idroponiche"
TILEIMP_MINES					"Miniere"
TILEIMP_ADVANCED_MINES				"Miniere avanzate"
TILEIMP_MEGA_MINES				"Mega-miniere"
TILEIMP_TRADING_POST				"Centro scambi"
TILEIMP_OUTLET_MALL				"Centro commerciale"
TILEIMP_NATURE_PRESERVE				"Riserva naturale"
TILEIMP_NETS					"Reti"
TILEIMP_FISHERIES				"Riserve di pesca"
TILEIMP_AUTOMATED_FISHERIES			"Riserve di pesca automat."
TILEIMP_UNDERSEA_MINES				"Miniere sottomarine"
TILEIMP_ADVANCED_UNDERSEA_MINES			"Miniere sottomarine avanz."
TILEIMP_MEGA_UNDERSEA_MINES			"Mega-miniere sottomarine"
TILEIMP_PORT					"Porto"
TILEIMP_DRILLING_PLATFORM			"Piattaforma petrolifera"
TILEIMP_RUINS					"Rovine"
TILEIMP_ROAD					"Strade"
TILEIMP_RAILROAD				"Ferrovie"
TILEIMP_MAGLEV					"Ferrovie levitaz. magnetica"
TILEIMP_UNDERSEA_TUNNEL				"Galleria sottomarina"
TILEIMP_LISTENING_POSTS				"Postazione d'ascolto"
TILEIMP_AIR_BASES				"Base aerea"
TILEIMP_FORTIFICATIONS				"Fortificazione"
TILEIMP_RADAR_STATIONS				"Stazione radar"
TILEIMP_SONAR_BUOYS				"Boa sonar"
TILEIMP_PROCESSING_TOWER			"Obelisco"

#### Terraform Strings ####
TILEIMP_TERRAFORM_BROWN_HILL			"Trasforma in collina desertica"
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"Trasforma in montagna desertica"
TILEIMP_TERRAFORM_DESERT			"Trasforma in deserto"
TILEIMP_TERRAFORM_FOREST			"Trasforma in foresta"
TILEIMP_TERRAFORM_GRASSLAND			"Trasforma in prateria"
TILEIMP_TERRAFORM_HILL				"Trasforma in collina"
TILEIMP_TERRAFORM_JUNGLE			"Trasforma in giungla"
TILEIMP_TERRAFORM_MOUNTAIN			"Trasforma in montagna"
TILEIMP_TERRAFORM_PLAINS			"Trasforma in pianura"
TILEIMP_TERRAFORM_SWAMP				"Trasforma in palude"
TILEIMP_TERRAFORM_WHITE_HILL			"Trasforma in collina polare"
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"Trasforma in montagna polare"

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"Postazione d'ascolto"
INSTALLATION_AIR_BASES				"Base aerea"
INSTALLATION_FORTIFICATIONS			"Fortificazione"
INSTALLATION_RADAR_STATIONS			"Stazione radar"
INSTALLATION_SONAR_BUOYS			"Boa sonar"

#Unit Orders#
UNIT_ORDER_NONE					"Nessuno"
UNIT_ORDER_MOVE					"Muovi"
UNIT_ORDER_ENTRENCH				"Trincerati"
UNIT_ORDER_SLEEP				"Sentinella"

ORDER_ADVERTISE					"Pubblicizza"
ORDER_ASSASSINATE				"Assassina sovrano"
ORDER_ATTACK					"Assalta"
ORDER_BIO_INFECT				"Contamina città"
ORDER_BOARD_TRANSPORT				"Imbarcati"
ORDER_BOMBARD					"Bombarda"
ORDER_CONVERT					"Converti città"
ORDER_CREATE_PARK				"Nanodegenerazione"
ORDER_CLEAR_TARGET				"Annulla il bersaglio"
ORDER_DISBAND_ARMY				"Congeda unità"
ORDER_ESTABLISH_EMBASSY				"Fonda ambasciata"
ORDER_EXPEL					"Espelli unità"
ORDER_FORTIFY					"Difendi"
ORDER_FAITH_HEALING				"Cura con la fede"
ORDER_FRANCHISE					"Filiale"
ORDER_INCITE_REVOLUTION				"Incita una rivoluzione"
ORDER_INCITE_UPRISING				"Incita una rivolta"
ORDER_INDULGENCE				"Vendi indulgenze"
ORDER_INJOIN					"Ingiungi"
ORDER_INTERCEPT_TRADE				"Pirateria"
ORDER_INVESTIGATE_CITY				"Spia"
ORDER_LAUNCH					"Lancia"
ORDER_NANO_INFECT				"Nanoinfezione"
ORDER_PARADROP					"Paracaduta"
ORDER_PILLAGE					"Saccheggia"
ORDER_PLAGUE					"Pandemia"
ORDER_PLANT_NUKE				"Piazza bomba atomica"
ORDER_RANGED_ATTACK				"Attacco a distanza"
ORDER_REFORM					"Riforma città"
ORDER_REFUEL					"Rifornimento"
ORDER_SETTLE					"Fonda una città"
ORDER_SLAVE_RAID				"Cattura gli schiavi"
ORDER_SLEEP					"Sentinella"
ORDER_SOOTHSAY					"Preveggenza"
ORDER_SPACE_LAUNCH				"Lancio spaziale"
ORDER_STEAL_TECHNOLOGY				"Ruba una tecnologia"
ORDER_SUE					"Denuncia"
ORDER_TARGET					"Punta missile nucleare"
ORDER_THROW_PARTY				"Dai un ricevimento"
ORDER_UNDERGROUND_RAILWAY			"Libera gli schiavi"
ORDER_UNLOAD					"Sbarca"

PERSONALITY_KAHN_DESCRIPTION			"Assassino sanguinario"
PERSONALITY_GHANDI_DESCRIPTION			"Pacifista diplomatico"
PERSONALITY_STALIN_DESCRIPTION			"Militarista autocratico"
PERSONALITY_CEASAR_DESCRIPTION			"Imperialista aggressivo"
PERSONALITY_DEGAULLE_DESCRIPTION		"Nobile patriota"
PERSONALITY_MEDICI_DESCRIPTION			"Acuto commerciante internazionale"
PERSONALITY_TELLER_DESCRIPTION			"Accademico ideologicamente aggressivo"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Genio del male"
PERSONALITY_CALLENBACH_DESCRIPTION		"Populista fanatico"

### Age Strings ###

AGE_ONE						"Ancient"
AGE_TWO						"Classic"
AGE_THREE					"Middle Ages"
AGE_FOUR					"Renaissance"
AGE_FIVE					"Industrial"
AGE_SIX						"Modern"
AGE_SEVEN					"Information Age"
AGE_EIGHT					"Genetic"
AGE_NINE					"Diamond"
AGE_TEN						"Future"

### City Style Strings ###

CITY_STYLE_ROMAN				"Roman Style"
CITY_STYLE_ARAB					"Arabian Style"
CITY_STYLE_ASIAN				"Asian Style"
CITY_STYLE_AMERICAN				"American Style"
CITY_STYLE_CASTLE				"Castle Style"
CITY_STYLE_EGYPTAIN				"Egyptian Style"
CITY_STYLE_PALACE				"Palace Style"

### Build Sequences from ldl_str.txt ###

BUILD_LIST_SEQUENCE_PRODUCTION			"Produzione"
BUILD_LIST_SEQUENCE_GROWTH			"Crescita"
BUILD_LIST_SEQUENCE_OFFENSE			"Attacco"
BUILD_LIST_SEQUENCE_DEFENSE			"Difesa"
BUILD_LIST_SEQUENCE_SCIENCE			"Scienza"
BUILD_LIST_SEQUENCE_GOLD			"Oro"
BUILD_LIST_SEQUENCE_WONDERS			"Meraviglie"
BUILD_LIST_SEQUENCE_HAPPINESS			"Benessere"
BUILD_LIST_SEQUENCE_DEFAULT			"Standard"
BUILD_LIST_SEQUENCE_WONDERS_SCIENTIST		"Wonders (Sci.)"
BUILD_LIST_SEQUENCE_WONDERS_MILITARIST		"Wonders (Mil.)"
BUILD_LIST_SEQUENCE_WONDERS_ECONOMIC		"Wonders (Econ.)"
BUILD_LIST_SEQUENCE_WONDERS_ECOTOPIAN		"Wonders (Ecot.)"
BUILD_LIST_SEQUENCE_WONDERS_DIPLOMATIC		"Wonders (Dipl.)"

##Risk strings moved from junk_str.txt ##
RISK_NO_DANGER_HERE				"Nessun pericolo qui"
RISK_VILLAGES_ONLY				"Solo rovine"
RISK_BORING_HORDES				"Bande erranti"
RISK_DECENT_HORDES				"Tribù agitate"
RISK_RAGING_HORDES				"Orde di invasori"

## Generic difficulty strings for compatibility reasons ##
DIFFICULTY_0					"Principiante"
DIFFICULTY_1					"Facile"
DIFFICULTY_2					"Medio"
DIFFICULTY_3					"Difficile"
DIFFICULTY_4					"Molto difficile"
DIFFICULTY_5					"Impossibile"

## Civlike difficulty strings ##
DIFFICULTY_SETTLER				"Colono"
DIFFICULTY_CHIEFTAIN				"Chieftain"
DIFFICULTY_WARLORD				"Warlord"
DIFFICULTY_PRINCE				"Prince"
DIFFICULTY_KING					"King"
DIFFICULTY_EMPEROR				"Emperor"
DIFFICULTY_DEITY				"Deity"
