# Control Panel
STATUSBAR_DOMADV_MAIN_WORKDAY_SLIDER	"Sposta questo cursore per stabilire la lunghezza della giornata lavorativa."
TOOLTIP_DOMADV_MAIN_WORKDAY_SLIDER		"Orario"
STATUSBAR_DOMADV_MAIN_PRODADV_BUTTON	"Clicca qui per leggere che cosa ha da dire il tuo consigliere di produzione."
TOOLTIP_DOMADV_MAIN_PRODADV_BUTTON		"Consulta il consigliere di produzione"
STATUSBAR_DOMADV_MAIN_PROD_DISPLAY		"Questa è la quantità totale di produzione industriale nella tua nazione."
TOOLTIP_DOMADV_MAIN_PROD_DISPLAY		"Produzione totale"
STATUSBAR_DOMADV_MAIN_RATIONS_SLIDER	"Sposta questo cursore per stabilire la quantità di razioni pro capite."
TOOLTIP_DOMADV_MAIN_RATIONS_SLIDER		"Razioni"
STATUSBAR_DOMADV_MAIN_FOODADV_BUTTON	"Clicca qui per consultare il tuo consigliere alimentare."
TOOLTIP_DOMADV_MAIN_FOODADV_BUTTON		"Consulta il consigliere alimentare"
STATUSBAR_DOMADV_MAIN_FOOD_DISPLAY		"Questa è la quantità totale di cibo prodotto nella tua nazione."
TOOLTIP_DOMADV_MAIN_FOOD_DISPLAY		"Cibo totale"
STATUSBAR_DOMADV_MAIN_SHOWADVICE_BUTTON	"Clicca qui per mostrare o nascondere la finestra dei consigli."
TOOLTIP_DOMADV_MAIN_SHOWADVICE_BUTTON	"Mostra/nasconde i consigli"
STATUSBAR_DOMADV_MAIN_CLOSE_BUTTON		"Clicca qui per lasciare il consigliere imperiale e tornare alla tua civiltà."
TOOLTIP_DOMADV_MAIN_CLOSE_BUTTON		"Esce"
STATUSBAR_DOMADV_MAIN_CIVPOP_DISPLAY	"Questa è la popolazione totale della tua civiltà."
TOOLTIP_DOMADV_MAIN_CIVPOP_DISPLAY		"Popolazione totale"
STATUSBAR_DOMADV_MAIN_TOTALCITIES_DISPLAY	"Questo è il numero totale di città nella tua civiltà."
TOOLTIP_DOMADV_MAIN_TOTALCITIES_DISPLAY	"Totale città"
STATUSBAR_DOMADV_MAIN_HAPPY_DISPLAY		"Questo è il prospetto del benessere nella tua civiltà."
TOOLTIP_DOMADV_MAIN_HAPPY_DISPLAY		"Benessere"
STATUSBAR_DOMADV_MAIN_PW_INCR_BUTTON	"Clicca qui per ridurre le tasse per i Lavori pubblici."
TOOLTIP_DOMADV_MAIN_PW_INCR_BUTTON		"Riduce i Lavori pubblici"
STATUSBAR_DOMADV_MAIN_PW_DECR_BUTTON	"Clicca qui per aumentare le tasse per i Lavori pubblici."
TOOLTIP_DOMADV_MAIN_PW_DECR_BUTTON		"Aumenta i Lavori pubblici"

# Science Advisor Screen
#
#	Science Advice Window
STATUSBAR_SCIADV_MAIN_SCITAX_DECR_BUTTON	"Clicca qui per ridurre le tasse per la scienza."
TOOLTIP_SCIADV_MAIN_SCITAX_DECR_BUTTON		"Riduce le tasse per la scienza"
STATUSBAR_SCIADV_MAIN_SCITAX_INCR_BUTTON	"Clicca qui per aumentare le tasse per la scienza."
TOOLTIP_SCIADV_MAIN_SCITAX_INCR_BUTTON	"Aumenta le tasse per la scienza"
STATUSBAR_SCIADV_MAIN_MAXTAX_DISPLAY	"Questo è il limite di tasse per la scienza concesso dalla tua attuale forma di governo."
TOOLTIP_SCIADV_MAIN_MAXTAX_DISPLAY	"Limite delle tasse per la scienza"
STATUSBAR_SCIADV_MAIN_GOLDTOSCI_DISPLAY	"Questa è la quantità di monete d'oro investite nella scienza."
TOOLTIP_SCIADV_MAIN_GOLDTOSCI_DISPLAY	"Oro speso in ricerca"
STATUSBAR_SCIADV_MAIN_SCIFROMCITIES_DISPLAY	"Questa è l'entità della produzione scientifica generata dagli scienziati della tua città."
TOOLTIP_SCIADV_MAIN_SCIFROMCITIES_DISPLAY	"Scienza dalle città"
STATUSBAR_SCIADV_MAIN_CHGRESEARCH_BUTTON	"Clicca qui per scegliere un nuovo progresso da ricercare."
TOOLTIP_SCIADV_MAIN_CHGRESEARCH_BUTTON	"Cambia la ricerca attuale"
STATUSBAR_SCIADV_MAIN_NOWRESEARCHING_BUTTON	"Questo è il progresso che stai attualmente ricercando."
TOOLTIP_SCIADV_MAIN_NOWRESEARCHING_BUTTON	"Ricerca attuale"
STATUSBAR_SCIADV_MAIN_DISCINTURNS_BUTTON	"Questo è il numero di turni che mancano alla scoperta del progresso attualmente ricercato."
TOOLTIP_SCIADV_MAIN_DISCINTURNS_BUTTON	"Tempo alla scoperta"
STATUSBAR_SCIADV_INTEL_CLOSE_BUTTON	"Clicca qui per uscire dalla Gestione scientifica e tornare al tuo impero."
TOOLTIP_SCIADV_INTEL_CLOSE_BUTTON	"Esce"

#	Science Intel Tab
STATUSBAR_SCIADV_INTEL_SORTNAME_BUTTON	"Clicca qui per ordinare i progressi per nome."
TOOLTIP_SCIADV_INTEL_SORTNAME_BUTTON	"Ordina i progressi per nome"
STATUSBAR_SCIADV_INTEL_SORTYOUR_BUTTON	"Clicca qui per ordinare i progressi anteponendo quelli scoperti da te."
TOOLTIP_SCIADV_INTEL_SORTYOUR_BUTTON	"Ordina i progressi per scoperta tua"
STATUSBAR_SCIADV_INTEL_SORTTHEM_BUTTON	"Clicca qui per ordinare i progressi anteponendo quelli scoperti da altri."
TOOLTIP_SCIADV_INTEL_SORTTHEM_BUTTON	"Ordina i progressi per scoperta altrui"

# Trade Manager
#
#	Trade Advice Window
STATUSBAR_TRADEMAN_ADV_CRVNS_AVAIL_DISPLAY	"Questo è il numero totale di carovane disponibili per il commercio."
TOOLTIP_TRADEMAN_ADV_CRVNS_AVAIL_DISPLAY		"Carovane disponibili"
STATUSBAR_TRADEMAN_ADV_CRVNS_INUSE_DISPLAY	"Questo è il numero totale di carovane attualmente impiegate nel commercio."
TOOLTIP_TRADEMAN_ADV_CRVNS_INUSE_DISPLAY		"Carovane attive"
STATUSBAR_TRADEMAN_ADV_TOTAL_PROFIT_DISPLAY	"Questo è il profitto totale, in monete d'oro, di tutte le tue attività commerciali."
TOOLTIP_TRADEMAN_ADV_TOTAL_PROFIT_DISPLAY		"Profitto commerciale totale"
STATUSBAR_TRADEMAN_ADV_TOTAL_ROUTES_DISPLAY	"Questo è il numero totale di rotte commerciali che hai creato."
TOOLTIP_TRADEMAN_ADV_TOTAL_ROUTES_DISPLAY		"Totale rotte commerciali"

#	Trade - Open Market Window
STATUSBAR_TRADEMAN_OPEN_SORTBY_YOURCITY_BUTTON	"Clicca qui per ordinare l'elenco in base alle città produttrici."
TOOLTIP_TRADEMAN_OPEN_SORTBY_YOURCITY_BUTTON	"Ordina per città tue"
STATUSBAR_TRADEMAN_OPEN_SORTBY_HASGOOD_BUTTON	"Clicca qui per ordinare l'elenco in base al nome delle merci."
TOOLTIP_TRADEMAN_OPEN_SORTBY_HASGOOD_BUTTON	"Nome delle merci"
STATUSBAR_TRADEMAN_OPEN_SORTBY_THISCITY_BUTTON	"Clicca qui per ordinare l'elenco in base al nome delle città clienti."
TOOLTIP_TRADEMAN_OPEN_SORTBY_THISCITY_BUTTON	"Ordina per città clienti"
STATUSBAR_TRADEMAN_OPEN_SORTBY_COST_BUTTON	"Clicca qui per ordinare l'elenco in base al prezzo delle merci."
TOOLTIP_TRADEMAN_OPEN_SORTBY_COST_BUTTON		"Profitto dalle vendite"
STATUSBAR_TRADEMAN_OPEN_SORTBY_CRVN_BUTTON	"Clicca qui per ordinare l'elenco in base al numero di carovane richieste ad aprire una data rotta."
TOOLTIP_TRADEMAN_OPEN_SORTBY_CRVN_BUTTON		"Carovane richieste"
STATUSBAR_TRADEMAN_OPEN_SHOWADV_BUTTON		"Clicca qui per mostrare o nascondere la finestra del consigliere commerciale."
TOOLTIP_TRADEMAN_OPEN_SHOWADV_BUTTON		"Mostra/nasconde i consigli"
STATUSBAR_TRADEMAN_OPEN_GOTO_TRADESUMM_BUTTON	"Clicca qui per passare al sommario del commercio e vedere che cosa stai attualmente scambiando."
TOOLTIP_TRADEMAN_OPEN_GOTO_TRADESUMM_BUTTON	"Passa al sommario del commercio"
STATUSBAR_TRADEMAN_OPEN_GOTO_MARKET_BUTTON	"Clicca qui per tornare al mercato aperto e vedere quali sono le merci disponibili."
TOOLTIP_TRADEMAN_OPEN_GOTO_MARKET_BUTTON		"Passa al mercato aperto"
STATUSBAR_TRADEMAN_OPEN_BREAK_ROUTE_BUTTON	"Clicca qui per chiudere una rotta commerciale."
TOOLTIP_TRADEMAN_OPEN_BREAK_ROUTE_BUTTON		"Chiudi la rotta commerciale"
STATUSBAR_TRADEMAN_OPEN_CREATE_ROUTE_BUTTON	"Clicca qui per creare una nuova rotta commerciale."
TOOLTIP_TRADEMAN_OPEN_CREATE_ROUTE_BUTTON		"Crea una rotta commerciale"
STATUSBAR_TRADEMAN_OPEN_CLOSE_BUTTON		"Clicca qui per uscire dalla Gestione commerciale e tornare al tuo impero."
TOOLTIP_TRADEMAN_OPEN_CLOSE_BUTTON			"Lascia la Gestione commerciale"
STATUSBAR_TRADEMAN_OPEN_PIRACY_DISPLAY		"Questa rotta è attaccata dai pirati!"
TOOLTIP_TRADEMAN_OPEN_PIRACY_DISPLAY		"Pirati!"

# City Management Screen
#
# 	Statistics Window
STATUSBAR_CITYMAN_STATS_CITYLAYOUT_DISPLAY	"La mappa attuale di questa città."
TOOLTIP_CITYMAN_STATS_CITYLAYOUT_DISPLAY	"Mappa della città"
STATUSBAR_CITYMAN_STATS_GROWTHRATE_DISPLAY	"Il tasso di crescita di questa città."
TOOLTIP_CITYMAN_STATS_GROWTHRATE_DISPLAY	"Tasso di crescita attuale"
STATUSBAR_CITYMAN_STATS_HAPPY_DISPLAY		"Benessere totale della città."
TOOLTIP_CITYMAN_STATS_HAPPY_DISPLAY		"Livello di benessere"
STATUSBAR_CITYMAN_STATS_TOTALFOOD_DISPLAY	"Produzione totale di cibo della città."
TOOLTIP_CITYMAN_STATS_TOTALFOOD_DISPLAY		"Produzione di cibo"
STATUSBAR_CITYMAN_STATS_TOTALPROD_DISPLAY	"Produzione totale della città."
TOOLTIP_CITYMAN_STATS_TOTALPROD_DISPLAY		"Produzione"
STATUSBAR_CITYMAN_STATS_TOTALCOMM_DISPLAY	"Totale attività commerciali della città."
TOOLTIP_CITYMAN_STATS_TOTALCOMM_DISPLAY		"Attività commerciale"
STATUSBAR_CITYMAN_STATS_TOTALSCI_DISPLAY	"Produzione scientifica totale della città."
TOOLTIP_CITYMAN_STATS_TOTALSCI_DISPLAY		"Ricerca scientifica"
STATUSBAR_CITYMAN_STATS_EFFICIENCY_BUTTON	"Livello di efficienza della città."
TOOLTIP_CITYMAN_STATS_EFFICIENCY_BUTTON		"Efficienza totale dei lavoratori"
STATUSBAR_CITYMAN_STATS_MAXRSRC_DISPLAY		"Clicca qui per scoprire il livello massimo di risorse disponibili per questa città."
TOOLTIP_CITYMAN_STATS_MAXRSRC_DISPLAY		"Limite risorse disponibili"
STATUSBAR_CITYMAN_STATS_MAXFOOD_DISPLAY		"Questa è la quantità massima di cibo che la città può produrre."
TOOLTIP_CITYMAN_STATS_MAXFOOD_DISPLAY		"Produzione massima di cibo"
STATUSBAR_CITYMAN_STATS_FARMBONUS_DISPLAY	"Questo è il bonus di cibo dovuto alle fattorie."
TOOLTIP_CITYMAN_STATS_FARMBONUS_DISPLAY		"Bonus dalle fattorie"
STATUSBAR_CITYMAN_STATS_MAXPROD_DISPLAY		"Questa è la quantità massima di produzione per questa città."
TOOLTIP_CITYMAN_STATS_MAXPROD_DISPLAY		"Produzione massima"
STATUSBAR_CITYMAN_STATS_MINEBONUS_DISPLAY	"Questo è il bonus di produzione dovuto alle miniere."
TOOLTIP_CITYMAN_STATS_MINEBONUS_DISPLAY		"Bonus dalle miniere"
STATUSBAR_CITYMAN_STATS_MAXCOMM_DISPLAY		"Questa è la massima entità del commercio per la città."
TOOLTIP_CITYMAN_STATS_MAXCOMM_DISPLAY		"Commercio massimo"
STATUSBAR_CITYMAN_STATS_POSTBONUS_DISPLAY	"Questo è il bonus commerciale fornito dai centri scambi."
TOOLTIP_CITYMAN_STATS_POSTBONUS_DISPLAY		"Bonus dai centri scambi"
STATUSBAR_CITYMAN_STATS_OUTPUT_BUTTON		"Clicca qui per scoprire gli attuali livelli produttivi di questa città."
TOOLTIP_CITYMAN_STATS_OUTPUT_BUTTON		"Attuali livelli produttivi"
STATUSBAR_CITYMAN_STATS_PENALTY_DISPLAY       	"Questi fattori riducono il benessere nella città."
TOOLTIP_CITYMAN_STATS_PENALTY_DISPLAY       	"Malus al benessere"
STATUSBAR_CITYMAN_STATS_HAPPY_DISPLAY       	"Questi fattori influenzano il benessere di tutta la città."
TOOLTIP_CITYMAN_STATS_HAPPY_DISPLAY       	"Piano del benessere"
STATUSBAR_CITYMAN_STATS_BONUS_DISPLAY       	"Questi fattori aumentano il benessere nella città."
TOOLTIP_CITYMAN_STATS_BONUS_DISPLAY       	"Benessere"
STATUSBAR_CITYMAN_STATS_POLLUTER_DISPLAY       	"Questi sono gli elementi che contribuiscono all'inquinamento in città."
TOOLTIP_CITYMAN_STATS_POLLUTER_DISPLAY       	"Cause di inquinamento"
STATUSBAR_CITYMAN_STATS_POLLUTION_DISPLAY       "Questi elementi influenzano il livello di inquinamento della città."
TOOLTIP_CITYMAN_STATS_POLLUTION_DISPLAY       	"Piano dell'inquinamento"
STATUSBAR_CITYMAN_STATS_CLEANERS_DISPLAY       	"Questi sono gli elementi che riducono l'inquinamento in città."
TOOLTIP_CITYMAN_STATS_CLEANERS_DISPLAY       	"Freni all'inquinamento"
STATUSBAR_CITYMAN_STATS_CRIMERATE		"Questo è l'attuale tasso di criminalità della città."
TOOLTIP_CITYMAN_STATS_CRIMERATE			"Tasso di criminalità attuale"

# 	Main City Management Window
STATUSBAR_CITYMAN_MAIN_PREVCITY_BUTTON		"Clicca qui per tornare alla città precedente."
TOOLTIP_CITYMAN_MAIN_PREVCITY_BUTTON		"Città precedente"
STATUSBAR_CITYMAN_MAIN_CURRCITY_DISPLAY		"Questo è il nome della città che stai attualmente valutando."
TOOLTIP_CITYMAN_MAIN_CURRCITY_DISPLAY		"Città attuale"
STATUSBAR_CITYMAN_MAIN_NEXTCITY_BUTTON		"Clicca qui per passare alla città seguente."
TOOLTIP_CITYMAN_MAIN_NEXTCITY_BUTTON		"Città seguente"
STATUSBAR_CITYMAN_MAIN_BUILDQUEUE_DISPLAY		"Questo è ciò che la città sta producendo al momento."
TOOLTIP_CITYMAN_MAIN_BUILDQUEUE_DISPLAY		"Attualmente in costruzione"
STATUSBAR_CITYMAN_MAIN_CURRITEM_DISPLAY		"Informazioni sull'oggetto attualmente in produzione."
TOOLTIP_CITYMAN_MAIN_CURRITEM_DISPLAY		"Oggetto in produzione"
STATUSBAR_CITYMAN_MAIN_UNITSAVAIL_BUTTON		"Clicca qui per richiamare un elenco di tutte le unità disponibili."	
TOOLTIP_CITYMAN_MAIN_UNITSAVAIL_BUTTON		"Unità"
STATUSBAR_CITYMAN_MAIN_IMPAVAIL_BUTTON		"Clicca qui per richiamare un elenco di tutti i miglioramenti disponibili."	
TOOLTIP_CITYMAN_MAIN_IMPAVAIL_BUTTON		"Miglioramenti"
STATUSBAR_CITYMAN_MAIN_WONDERSAVAIL_BUTTON	"Clicca qui per richiamare un elenco di tutte le meraviglie disponibili."	
TOOLTIP_CITYMAN_MAIN_WONDERSAVAIL_BUTTON		"Meraviglie"
STATUSBAR_CITYMAN_MAIN_ITEMSAVAIL_BUTTON		"Questo è un elenco di tutti gli oggetti disponibili."	
TOOLTIP_CITYMAN_MAIN_ITEMSAVAIL_BUTTON		"Oggetti disponibili"
STATUSBAR_CITYMAN_MAIN_ADD_BUTTON			"Seleziona un oggetto dalla colonna a sinistra e clicca qui per aggiungerlo alla coda di produzione."
TOOLTIP_CITYMAN_MAIN_ADD_BUTTON			"Aggiunge alla coda"
STATUSBAR_CITYMAN_MAIN_MOVEUP_BUTTON		"Seleziona un oggetto dalla colonna a destra e clicca qui per farlo salire nella coda di produzione."
TOOLTIP_CITYMAN_MAIN_MOVEUP_BUTTON			"Sposta in su"
STATUSBAR_CITYMAN_MAIN_MOVEDN_BUTTON		"Seleziona un oggetto dalla colonna a destra e clicca qui per farlo scendere nella coda di produzione."
TOOLTIP_CITYMAN_MAIN_MOVEDN_BUTTON			"Sposta in giù"
STATUSBAR_CITYMAN_MAIN_REM_BUTTON			"Seleziona un oggetto dalla colonna a destra e clicca qui per toglierlo dalla coda di produzione."
TOOLTIP_CITYMAN_MAIN_REM_BUTTON			"Toglie dalla coda"
STATUSBAR_CITYMAN_MAIN_QUEUELIST_BUTTON		"La coda di produzione è un elenco di oggetti che verranno costruiti progressivamente."
TOOLTIP_CITYMAN_MAIN_QUEUELIST_BUTTON		"Coda di produzione attuale"
STATUSBAR_CITYMAN_MAIN_RUSHBUY_BUTTON		"Clicca su questo pulsante per acquistare subito l'oggetto in costruzione."
TOOLTIP_CITYMAN_MAIN_RUSHBUY_BUTTON			"Compra ora"
STATUSBAR_CITYMAN_MAIN_RUSHCOST_DISPLAY		"Qui viene indicato il costo di acquisto immediato dell'oggetto."
TOOLTIP_CITYMAN_MAIN_RUSHCOST_DISPLAY		"Costo di acquisto immediato"
STATUSBAR_CITYMAN_MAIN_TOTALGOLD_DISPLAY		"Questa è la quantità totale di monete d'oro nella tua tesoreria."
TOOLTIP_CITYMAN_MAIN_TOTALGOLD_DISPLAY		"Oro totale"
STATUSBAR_CITYMAN_MAIN_CLOSEQUEUE_BUTTON		"Clicca qui per chiudere l'editor della coda di produzione e modificare l'assegnazione della forza lavoro."
TOOLTIP_CITYMAN_MAIN_CLOSEQUEUE_BUTTON		"Chiude la coda di produzione"
STATUSBAR_CITYMAN_MAIN_SHOWSTATSWIN_BUTTON	"Clicca qui per mostrare o nascondere la finestra delle statistiche."
TOOLTIP_CITYMAN_MAIN_SHOWSTATSWIN_BUTTON		"Mostra/nasconde statistiche"
STATUSBAR_CITYMAN_MAIN_EXIT_BUTTON			"Clicca qui per chiudere la Gestione cittadina."
TOOLTIP_CITYMAN_MAIN_EXIT_BUTTON			"Esce dalla Gestione cittadina"
STATUSBAR_CITYMAN_MAIN_SHOWINV_BUTTON		"Clicca qui per richiamare un elenco di tutti gli oggetti già in possesso di questa città."
TOOLTIP_CITYMAN_MAIN_SHOWINV_BUTTON			"Mostra l'inventario"
STATUSBAR_CITYMAN_MAIN_GOTONATL_BUTTON		"Clicca qui per aprire il sommario nazionale."
TOOLTIP_CITYMAN_MAIN_GOTONATL_BUTTON		"Passa al sommario nazionale"
STATUSBAR_CITYMAN_MAIN_DISBANDCITY_BUTTON		"Clicca qui per demolire questa città."
TOOLTIP_CITYMAN_MAIN_DISBANDCITY_BUTTON		"Demolisce la città"
STATUSBAR_CITYMAN_MAIN_GOVOFF_BUTTON		"Clicca qui per sollevare il sindaco dai suoi incarichi e gestire personalmente la città."
TOOLTIP_CITYMAN_MAIN_GOVOFF_BUTTON			"Esonera il sindaco"
STATUSBAR_CITYMAN_MAIN_GOVON_BUTTON			"Clicca qui per eleggere un sindaco che gestirà questa città."
TOOLTIP_CITYMAN_MAIN_GOVON_BUTTON			"Elegge un sindaco"
STATUSBAR_CITYMAN_MAIN_GOVPRIORITY_MENU		"Indica in quale campo il sindaco dovrà concentrare il proprio impegno verso questa città."
TOOLTIP_CITYMAN_MAIN_GOVPRIORITY_MENU		"Assegna la priorità"
STATUSBAR_CITYMAN_MAIN_SMHAPP_DISPLAY		"Questo è il livello di benessere in città."
TOOLTIP_CITYMAN_MAIN_SMHAPP_DISPLAY			"Benessere"
STATUSBAR_CITYMAN_MAIN_TOTALENTR_BUTTON		"Il teatro di questa città offre posto per  {xx} intrattenitori."
TOOLTIP_CITYMAN_MAIN_TOTALENTR_BUTTON		"Totale intrattenitori"
STATUSBAR_CITYMAN_MAIN_INCRENTR_BUTTON		"Clicca qui per aumentare il numero di intrattenitori in questa città."
TOOLTIP_CITYMAN_MAIN_INCRENTR_BUTTON		"Aumenta gli intrattenitori"
STATUSBAR_CITYMAN_MAIN_DECRENTR_BUTTON		"Clicca qui per ridurre il numero di intrattenitori in questa città."
TOOLTIP_CITYMAN_MAIN_DECRENTR_BUTTON		"Riduce gli intrattenitori"
STATUSBAR_CITYMAN_MAIN_SMFOOD_DISPLAY		"Questa è la produzione di cibo della città."
TOOLTIP_CITYMAN_MAIN_SMFOOD_DISPLAY			"Cibo"
STATUSBAR_CITYMAN_MAIN_TOTALFARM_BUTTON		"Le piantagioni di questa città possono accogliere {xx} agricoltori."
TOOLTIP_CITYMAN_MAIN_TOTALFARM_BUTTON		"Totale agricoltori"
STATUSBAR_CITYMAN_MAIN_INCRFARM_BUTTON		"Clicca qui per aumentare il numero di agricoltori in questa città."
TOOLTIP_CITYMAN_MAIN_INCRFARM_BUTTON		"Aumenta gli agricoltori"
STATUSBAR_CITYMAN_MAIN_DECRFARM_BUTTON		"Clicca qui per ridurre il numero di agricoltori in questa città."
TOOLTIP_CITYMAN_MAIN_DECRFARM_BUTTON		"Riduce gli agricoltori"
STATUSBAR_CITYMAN_MAIN_SMPROD_DISPLAY		"Questa è la produzione industriale della città."
TOOLTIP_CITYMAN_MAIN_SMPROD_DISPLAY			"Produzione"
STATUSBAR_CITYMAN_MAIN_TOTALLABR_BUTTON		"Le fabbriche di questa città possono accogliere {xx} operai."
TOOLTIP_CITYMAN_MAIN_TOTALLABR_BUTTON		"Totale operai"
STATUSBAR_CITYMAN_MAIN_INCRLABR_BUTTON		"Clicca qui per aumentare il numero di operai in questa città."
TOOLTIP_CITYMAN_MAIN_INCRLABR_BUTTON		"Aumenta gli operai"
STATUSBAR_CITYMAN_MAIN_DECRLABR_BUTTON		"Clicca qui per ridurre il numero di operai in questa città."
TOOLTIP_CITYMAN_MAIN_DECRLABR_BUTTON		"Riduce gli operai"
STATUSBAR_CITYMAN_MAIN_SMCOMM_DISPLAY		"Questa è l'entità delle attività commerciali di questa città."
TOOLTIP_CITYMAN_MAIN_SMCOMM_DISPLAY			"Commercio"
STATUSBAR_CITYMAN_MAIN_TOTALMRCH_BUTTON		"I mercati di questa città possono accogliere {xx} mercanti."
TOOLTIP_CITYMAN_MAIN_TOTALMRCH_BUTTON		"Totale mercanti"
STATUSBAR_CITYMAN_MAIN_INCRMRCH_BUTTON		"Clicca qui per aumentare il numero di mercanti in questa città."
TOOLTIP_CITYMAN_MAIN_INCRMRCH_BUTTON		"Aumenta i mercanti"
STATUSBAR_CITYMAN_MAIN_DECRMRCH_BUTTON		"Clicca qui per ridurre il numero di mercanti in questa città."
TOOLTIP_CITYMAN_MAIN_DECRMRCH_BUTTON		"Riduce i mercanti"
STATUSBAR_CITYMAN_MAIN_SMSCI_DISPLAY		"Questa è la produzione scientifica della città."
TOOLTIP_CITYMAN_MAIN_SMSCI_DISPLAY			"Scienza"
STATUSBAR_CITYMAN_MAIN_TOTALSCI_BUTTON		"Le accademie della città possono accogliere {xx} scienziati."
TOOLTIP_CITYMAN_MAIN_TOTALSCI_BUTTON		"Totale scienziati"
STATUSBAR_CITYMAN_MAIN_INCRSCI_BUTTON		"Clicca qui per aumentare il numero di scienziati in questa città."
TOOLTIP_CITYMAN_MAIN_INCRSCI_BUTTON			"Aumenta gli scienziati"
STATUSBAR_CITYMAN_MAIN_DECRSCI_BUTTON		"Clicca qui per ridurre il numero di scienziati in questa città."
TOOLTIP_CITYMAN_MAIN_DECRSCI_BUTTON			"Riduce gli scienziati"
STATUSBAR_CITYMAN_MAIN_TOTALWORKERS_DISPLAY	"Questo è il numero totale di operai nella città."
TOOLTIP_CITYMAN_MAIN_TOTALWORKERS_DISPLAY		"Operai in città"
STATUSBAR_CITYMAN_MAIN_TOTALSLAVES_DISPLAY	"Questo è il numero totale di schiavi nella città."
TOOLTIP_CITYMAN_MAIN_TOTALSLAVES_DISPLAY		"Schiavi in città"
STATUSBAR_CITYMAN_MAIN_CITYPOP_DISPLAY		"Questa è la popolazione totale della città."
TOOLTIP_CITYMAN_MAIN_CITYPOP_DISPLAY		"Popolazione totale"
STATUSBAR_CITYMAN_MAIN_GOTOQUEUE_BUTTON		"Clicca qui per modificare la coda di produzione della città."
TOOLTIP_CITYMAN_MAIN_GOTOQUEUE_BUTTON		"Passa alla coda di produzione"
STATUSBAR_CITYMAN_MAIN_GOTOGL_BUTTON		"Clicca qui per accedere alla Grande Biblioteca."
TOOLTIP_CITYMAN_MAIN_GOTOGL_BUTTON		"Passa alla Grande Biblioteca"
STATUSBAR_CITYMAN_MAIN_INSERT_BUTTON		"Clicca qui per inserire questa coda di produzione in quelle di tutte le città selezionate."
TOOLTIP_CITYMAN_MAIN_INSERT_BUTTON		"Inserisce la coda di produzione"
STATUSBAR_CITYMAN_MAIN_APPEND_BUTTON		"Clicca qui per aggiungere questa coda di produzione in fondo a quelle di tutte le città selezionate."
TOOLTIP_CITYMAN_MAIN_APPEND_BUTTON		"Aggiunge la coda di produzione"
STATUSBAR_CITYMAN_MAIN_OVERWRITE_BUTTON		"Clicca qui per sostituire con questa coda di produzione tutte quelle attuali."
TOOLTIP_CITYMAN_MAIN_OVERWRITE_BUTTON		"Sostituisce le code di produzione"

#	National Summary Window
STATUSBAR_CITYMAN_NATL_SUMM_SORTCITY_BUTTON	"Clicca qui per ordinare le città per nome."
TOOLTIP_CITYMAN_NATL_SUMM_SORTCITY_BUTTON		"Ordina le città per nome"
STATUSBAR_CITYMAN_NATL_SUMM_FIREGOV_BUTTON	"Clicca qui per sollevare il sindaco dai suoi incarichi."
TOOLTIP_CITYMAN_NATL_SUMM_FIREGOV_BUTTON		"Esonera il sindaco"
STATUSBAR_CITYMAN_NATL_SUMM_SORTBILD_BUTTON	"Clicca qui per ordinare l'elenco in base all'oggetto in produzione."
TOOLTIP_CITYMAN_NATL_SUMM_SORTBILD_BUTTON		"Ordina per oggetto da produrre"
STATUSBAR_CITYMAN_NATL_SUMM_SORTTIME_BUTTON	"Clicca qui per ordinare l'elenco in base al tempo rimasto."
TOOLTIP_CITYMAN_NATL_SUMM_SORTTIME_BUTTON		"Ordina per tempo rimasto"
STATUSBAR_CITYMAN_NATL_SUMM_RUSHBUY_BUTTON	"Clicca su questo pulsante per acquistare subito l'oggetto selezionato."
TOOLTIP_CITYMAN_NATL_SUMM_RUSHBUY_BUTTON		"Compra ora"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPOP_BUTTON	"Clicca qui per ordinare l'elenco in base alla popolazione."
TOOLTIP_CITYMAN_NATL_SUMM_SORTPOP_BUTTON		"Ordina per popolazione"
STATUSBAR_CITYMAN_NATL_SUMM_SORTHAPP_BUTTON	"Clicca qui per ordinare l'elenco in base al livello di benessere."
TOOLTIP_CITYMAN_NATL_SUMM_SORTHAPP_BUTTON		"Ordina per benessere"
STATUSBAR_CITYMAN_NATL_SUMM_SORTPROD_BUTTON	"Clicca qui per ordinare l'elenco in base alla produzione."
TOOLTIP_CITYMAN_NATL_SUMM_SORTPROD_BUTTON		"Ordina per produzione"
STATUSBAR_CITYMAN_NATL_SUMM_SORTFOOD_BUTTON	"Clicca qui per ordinare l'elenco in base alla produzione di cibo."
TOOLTIP_CITYMAN_NATL_SUMM_SORTFOOD_BUTTON		"Ordina per cibo"
STATUSBAR_CITYMAN_NATL_SUMM_SORTGOLD_BUTTON	"Clicca qui per ordinare l'elenco in base all'attività commerciale."
TOOLTIP_CITYMAN_NATL_SUMM_SORTGOLD_BUTTON		"Ordina per profitto"
STATUSBAR_CITYMAN_NATL_SUMM_SORTSCI_BUTTON	"Clicca qui per ordinare l'elenco in base alla produzione scientifica."
TOOLTIP_CITYMAN_NATL_SUMM_SORTSCI_BUTTON		"Ordina per ricerca"
