#### Message Strings for the Seven Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_GOSSIP1		"Vous entendez {action[5].text} portant une casquette en fourrure se vanter auprès d'{action[10].text} d'avoir massacré un démon à la forme changeante. Selon {action[6].text}, sa casquette est en peau de démon. Vous auriez juré qu'elle était en peau de lapin..."
SS_GOSSIP2		"Une rixe éclate entre {action[5].text} et {action[10].text}. C'est {action[6].text} qui prend le dessus, puis offre à boire à son adversaire."
SS_GOSSIP3		"Le lapin teriyaki vous est recommandé par {action[5].text}. L'odeur en provenance de la cuisine vous en dissuade."
SS_GOSSIP4		"Soudain, l'auberge est envahie par une horrible odeur. Toute la salle s'agite et {action[5].text} hurle 'C'est un gaz toxique ! Sortez tous !' Vous découvrez plus tard qu'il s'agissait simplement d'une recette ratée de boisson chocolatée aux protéines du cuisinier."
SS_GOSSIP5		"'Un étrange lapin à cornes écume la région, égorgeant le bétail pour se baigner dans son sang', vous raconte {action[5].text}."
SS_GOSSIP6		"'La nuit dernière, j'ai retrouvé mon cochon égorgé dans son enclos !' s'exclame {action[5].text}. Nombre de clients font un signe pour éloigner le diable. L'un d'eux déclare : 'Encore un coup de ce lapin à cornes des enfers !'"
SS_GOSSIP7_A	"'La nuit était aussi sombre et froide que la concubine maure du Shogun Lau Wang', raconte {action[5].text}. 'Je venais juste de construire un abri et d'allumer un feu quand Kato, mon compagnon de voyage, s'est couvert de poils, de crocs et de griffes et m'a attaqué !'"
SS_GOSSIP7_B	"'J'ai lutté de toutes mes forces, mais la créature était bien plus puissante. Poursuit {action[6].text}, 'J'ai fini par réussir à la blesser grâce à la seule arme que j'avais : une paire de baguettes !' S'interrompant, {action[6].text} montre une vieille paire de baguettes ensanglantées."
SS_GOSSIP7_C	"Des 'ooh' et des 'ahh' retentissent dans l'assistance. 'J'ai frappé le monstre en pleine poitrine', conclut {action[6].text}, 'mais au lieu de mourir, il s'est enfui dans la forêt en geignant tristement. Je n'ai jamais revu ni le monstre, ni mon ami Kato...'"
SS_GOSSIP8		"La taverne bourdonne d'histoires sur l'île engloutie d'Oatakark. Vous écoutez {action[5].text} vous expliquer posément les raisons du drame : les habitants de l'île avaient irrité les esprits en vendant leur poisson à des prix exorbitants."
SS_GOSSIP9		"Perché sur une caisse, {action[5].text} harangue la foule : 'Mis à part l'éducation, le saké, le théâtre public, l'irrigation, et les routes, que nous ont apporté les shoguns ?' Tout le monde ignore {action[6].text}."
SS_GOSSIP10		"Vous commencez juste à vous détendre quand un sac de sable, traversant le toit de la taverne, atterrit sur {action[5].text} à la table voisine. Vous levez les yeux à temps pour apercevoir, par le trou du toit, un énorme ballon. Il vous semble même entendre : 'Désolé.'"
SS_GOSSIP11		"Vous êtes informé par {action[5].text} que la Route de l'Etoile est le moyen le plus rapide de se rendre dans n'importe quel lieu, mais qu'un guide est indispensable."
SS_GOSSIP12		"'j'ai juste suggéré en plaisantant au vieux Mimiyota de me donner tout son argent.', raconte {action[5].text}. 'Lui-même a suggéré que j'étais un âne. Une seconde plus tard, je remuais la queue en dévorant de l'herbe à belles dents. Il a fait tout le trajet jusqu'à la jungle sur mon dos !'"
SS_GOSSIP13		"Un groupe {action[1].text} entonne une chanson populaire :\n<c:0,0,200>'Du poisson le jour, du poisson au four, du poisson la nuit, du poisson bouilli\nDu poisson gluant, du poisson glissant !\nPlus de poisson par pitié ou je cours me noyer !\nLa suite est identique, mais chantée plus fort et encore plus mal...'<e>"
SS_GOSSIP14		"Un groupe {action[1].text} entonne une chanson populaire :\n'Quatre-vingt dix neuf boulettes de riz sur le sol,\n Quatre-vingt dix-neuf boulettes de riz,\n Prends une boulette, crache dans la cuvette,\n Quatre-vingt dix huit boulettes de riz sur le sol...'"
SS_GOSSIP15		"Un groupe {action[1].text} entonne une chanson populaire :\n'Du riz le jour, du riz au four, du riz la nuit, du riz bouilli\nDu riz collant, du riz gluant !\nPlus de riz par pitié ou je pars me saouler !\nLa suite est identique, mais chantée encore plus fort et encore plus mal...'"
SS_GOSSIP13_14_15	"Vous décidez de partir avant la prochaine strophe."
SS_GOSSIP16		"Vous entendez un vieux moine plein de sagesse donner une leçon à {action[5].text}. 'Pour apprendre mon enseignement, tu dois d'abord te sentir beaucoup plus bête que moi. Deuxièmement, tu dois apprendre que tu ne peux pas apprendre, idiot. Troisièmement, ton ignorance m'ouvre la voie vers la satisfaction...'"
SS_GOSSIP17		"Vous écoutez {action[5].text} chanter une chanson paillarde sur Gaishin, la geisha gay."
SS_GOSSIP18		"Un colporteur cherche à vendre des oeufs peints 'magiques'. Il prétend qu'une souris jaune lanceuse d'éclairs sortira de l'oeuf. Même s'il dit vrai vous voyez mal l'usage que vous pourriez faire d'une telle créature."
SS_GOSSIP19		"Vous entendez {action[5].text} déclarer : 'La Route de l'Etoile est fermée ! Ce vieux renard de Mimiyota la garde pour lui...'"
SS_PERSON0		"marin"
SS_PERSON1		"aubergiste"
SS_PERSON2		"fermier"
SS_PERSON3		"mendiant"
SS_PERSON4		"aubergiste"
SS_PERSON5		"seigneur"
SS_PERSON6		"ninja"
SS_PERSON7		"guerrier"
SS_PERSON8		"jeune fille"
SS_PERSON9		"geisha"
SS_PERSON10		"marionnettiste bunraku"
SS_PERSON11		"lutteur sumo"
SS_PERSON12		"acteur de Kabuki"
SS_PERSON13		"moine"
SS_PERSON14		"acrobate"
SS_PERSON15		"dame"
SS_PERSON16		"samouraï"
SS_PERSON17		"homme"
SS_PERSON18		"femme"
SS_PERSON19		"pêcheur"
SS_PEOPLE0		"de marins"
SS_PEOPLE1		"d'aubergistes"
SS_PEOPLE2		"de fermiers"
SS_PEOPLE3		"de mendiants"
SS_PEOPLE4		"d'aubergistes"
SS_PEOPLE5		"de seigneurs"
SS_PEOPLE6		"de ninjas"
SS_PEOPLE7		"de guerriers"
SS_PEOPLE8		"de jeunes filles"
SS_PEOPLE9		"de geishas"
SS_PEOPLE10		"de marionnettistes bunraku"
SS_PEOPLE11		"de lutteurs sumo"
SS_PEOPLE12		"d'acteurs de Kabuki"
SS_PEOPLE13		"de moines"
SS_PEOPLE14		"d'acrobates"
# if Random number = 0, descriptor is blank
SS_DESCRIPTOR1		"aimable"
SS_DESCRIPTOR2		"borgne"
SS_DESCRIPTOR3		"d'une odeur repoussante"
SS_DESCRIPTOR4		"à la forte carrure"
SS_DESCRIPTOR5		"au visage grêlé"
SS_DESCRIPTOR6		"d'une laideur frappante"
SS_DESCRIPTOR7		"au menton fuyant"
SS_DESCRIPTOR8		"complètement ivre"
SS_DESCRIPTOR9		"à l'air dérangé"
SS_DESCRIPTOR10		"d'une grande beauté"
SS_DESCRIPTOR11		"à l'air louche"
SS_DESCRIPTOR12		"à l'air dégingandé"
SS_DESCRIPTOR13		"à l'air doux"
SS_DESCRIPTOR14		"d'un âge avancé au regard oblique"
SS_DESCRIPTOR15		"à l'air terrifié"
SS_DESCRIPTOR16		"excessivement amical"
SS_DESCRIPTOR17		"bègue"
SS_DESCRIPTOR18		"en colère"
SS_DESCRIPTOR19		"obèse"

SS_REGARD_EVENT		"Ancienne haine"

SS_TEMP				"Kimbei = {sevenSamurai[0].valid}  Kikichuyo = {sevenSamurai[1].valid}" 
#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
# 			 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 			 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

# For localizations

###In French, used for UNDEFINITE instances###
###Replace {action[1].text#UNDEFINITE} to be replaced by {action[5].txt}####
###Replace {action[3].text#UNDEFINITE} with {action[10].text}###
SS_PERSON0_DAT "un marin"
SS_PERSON1_DAT "un aubergiste"
SS_PERSON2_DAT "un fermier"
SS_PERSON3_DAT "un mendiant"
SS_PERSON4_DAT "un aubergiste"
SS_PERSON5_DAT "un seigneur"
SS_PERSON6_DAT "un ninja"
SS_PERSON7_DAT "un guerrier"
SS_PERSON8_DAT "une jeune fille"
SS_PERSON9_DAT "une geisha"
SS_PERSON10_DAT "un marionnettiste bunraku"
SS_PERSON11_DAT "un lutteur sumo"
SS_PERSON12_DAT "un acteur de Kabuki"
SS_PERSON13_DAT "un moine"
SS_PERSON14_DAT "un acrobate"
SS_PERSON15_DAT "une dame"
SS_PERSON16_DAT "un samouraï"
SS_PERSON17_DAT "un homme"
SS_PERSON18_DAT "une femme"
SS_PERSON19_DAT "un pêcheur"

###In French - used for instances of DEFINITE###
###Replace {action[1].text#DEFINITE} with {action[6].text}###
###Replace {action[3].text#DEFINITE} with {action[11].text}###
SS_PERSON0_ACC "le marin"
SS_PERSON1_ACC "l'aubergiste"
SS_PERSON2_ACC "le fermier"
SS_PERSON3_ACC "le mendiant"
SS_PERSON4_ACC "l'aubergiste"
SS_PERSON5_ACC "le seigneur"
SS_PERSON6_ACC "le ninja"
SS_PERSON7_ACC "le guerrier"
SS_PERSON8_ACC "la jeune fille"
SS_PERSON9_ACC "la geisha"
SS_PERSON10_ACC "le marionnettiste bunraku"
SS_PERSON11_ACC "le lutteur sumo"
SS_PERSON12_ACC "l'acteur de Kabuki"
SS_PERSON13_ACC "le moine"
SS_PERSON14_ACC "l'acrobate"
SS_PERSON15_ACC "la dame"
SS_PERSON16_ACC "le samouraï"
SS_PERSON17_ACC "l'homme"
SS_PERSON18_ACC "la femme"
SS_PERSON19_ACC "le pêcheur"

###Not needed in French###
###Replace {action[1].text#ARTICLE_DEF_CAPS} with {action[7].text}###
###Replace {action[3].text#ARTICLE_DEF_CAPS} with {action[12].text}###
SS_PERSON0_ARTICLE_DEF_CAPS ""
SS_PERSON1_ARTICLE_DEF_CAPS ""
SS_PERSON2_ARTICLE_DEF_CAPS ""
SS_PERSON3_ARTICLE_DEF_CAPS ""
SS_PERSON4_ARTICLE_DEF_CAPS ""
SS_PERSON5_ARTICLE_DEF_CAPS ""
SS_PERSON6_ARTICLE_DEF_CAPS ""
SS_PERSON7_ARTICLE_DEF_CAPS ""
SS_PERSON8_ARTICLE_DEF_CAPS ""
SS_PERSON9_ARTICLE_DEF_CAPS ""
SS_PERSON10_ARTICLE_DEF_CAPS ""
SS_PERSON11_ARTICLE_DEF_CAPS ""
SS_PERSON12_ARTICLE_DEF_CAPS ""
SS_PERSON13_ARTICLE_DEF_CAPS ""
SS_PERSON14_ARTICLE_DEF_CAPS ""
SS_PERSON15_ARTICLE_DEF_CAPS ""
SS_PERSON16_ARTICLE_DEF_CAPS ""
SS_PERSON17_ARTICLE_DEF_CAPS ""
SS_PERSON18_ARTICLE_DEF_CAPS ""
SS_PERSON19_ARTICLE_DEF_CAPS ""

###Not needed in French###
###Replace {action[1].text#ARTICLE_DEF_SMALL} with action[8].text}###
###Replace {action[3].text#ARTICLE_DEF_SMALL} with {action[13].text}###
SS_PERSON0_ARTICLE_DEF_SMALL ""
SS_PERSON1_ARTICLE_DEF_SMALL ""
SS_PERSON2_ARTICLE_DEF_SMALL ""
SS_PERSON3_ARTICLE_DEF_SMALL ""
SS_PERSON4_ARTICLE_DEF_SMALL ""
SS_PERSON5_ARTICLE_DEF_SMALL ""
SS_PERSON6_ARTICLE_DEF_SMALL ""
SS_PERSON7_ARTICLE_DEF_SMALL ""
SS_PERSON8_ARTICLE_DEF_SMALL ""
SS_PERSON9_ARTICLE_DEF_SMALL ""
SS_PERSON10_ARTICLE_DEF_SMALL ""
SS_PERSON11_ARTICLE_DEF_SMALL ""
SS_PERSON12_ARTICLE_DEF_SMALL ""
SS_PERSON13_ARTICLE_DEF_SMALL ""
SS_PERSON14_ARTICLE_DEF_SMALL ""
SS_PERSON15_ARTICLE_DEF_SMALL ""
SS_PERSON16_ARTICLE_DEF_SMALL ""
SS_PERSON17_ARTICLE_DEF_SMALL ""
SS_PERSON18_ARTICLE_DEF_SMALL ""
SS_PERSON19_ARTICLE_DEF_SMALL ""

###NOT NEEDED in FRENCH###
###Replace {action[1].text#ARTICLE_UNDEF_CAPS} with {action[9].text}###
###Replace {action[3].text#ARTICLE_UNDEF_CAPS} with {action[14].text}###
SS_PERSON0_ARTICLE_UNDEF_CAPS ""
SS_PERSON1_ARTICLE_UNDEF_CAPS ""
SS_PERSON2_ARTICLE_UNDEF_CAPS ""
SS_PERSON3_ARTICLE_UNDEF_CAPS ""
SS_PERSON4_ARTICLE_UNDEF_CAPS ""
SS_PERSON5_ARTICLE_UNDEF_CAPS ""
SS_PERSON6_ARTICLE_UNDEF_CAPS ""
SS_PERSON7_ARTICLE_UNDEF_CAPS ""
SS_PERSON8_ARTICLE_UNDEF_CAPS ""
SS_PERSON9_ARTICLE_UNDEF_CAPS ""
SS_PERSON10_ARTICLE_UNDEF_CAPS ""
SS_PERSON11_ARTICLE_UNDEF_CAPS ""
SS_PERSON12_ARTICLE_UNDEF_CAPS ""
SS_PERSON13_ARTICLE_UNDEF_CAPS ""
SS_PERSON14_ARTICLE_UNDEF_CAPS ""
SS_PERSON15_ARTICLE_UNDEF_CAPS ""
SS_PERSON16_ARTICLE_UNDEF_CAPS ""
SS_PERSON17_ARTICLE_UNDEF_CAPS ""
SS_PERSON18_ARTICLE_UNDEF_CAPS ""
SS_PERSON19_ARTICLE_UNDEF_CAPS ""
