
#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Toolmaking"
ORDER_ASSASSINATE				"Assassinate Ruler"
ORDER_ATTACK					"Assault"
ORDER_BIO_INFECT				"Infect City"
ORDER_BOARD_TRANSPORT				"Load"
ORDER_BOMBARD					"Bombard"
ORDER_CONVERT					"Convert City"
ORDER_CREATE_PARK				"Nanite Cleansing"
ORDER_CLEAR_TARGET				"Clear Target"
ORDER_DISBAND_ARMY				"Disband Unit"
ORDER_ESTABLISH_EMBASSY				"Establish Embassy"
ORDER_EXPEL					"Expel Unit"
ORDER_FORTIFY					"Fortify"
ORDER_FAITH_HEALING				"Faith Healing"
ORDER_FRANCHISE					"Franchise"
ORDER_INCITE_REVOLUTION				"Incite Revolution"
ORDER_INCITE_UPRISING				"Aid Uprising"
ORDER_INDULGENCE				"Sell Indulgence"
ORDER_INJOIN					"File Injunction"
ORDER_INTERCEPT_TRADE				"Piracy"
ORDER_INVESTIGATE_CITY				"Spy"
ORDER_LAUNCH					"Launch"
ORDER_NANO_INFECT				"Nano-attack"
ORDER_PARADROP					"Paradrop"
ORDER_PILLAGE					"Pillage"
ORDER_PLAGUE					"Plague"
ORDER_PLANT_NUKE				"Plant Nuke"
ORDER_RANGED_ATTACK				"Ranged Attack"
ORDER_REFORM					"Reform City"
ORDER_REFUEL					"Refuel"
ORDER_SETTLE					"Settle"
ORDER_SLAVE_RAID				"Capture Slaves"
ORDER_SLEEP					"Sentinel"
ORDER_SOOTHSAY					"Soothsay"
ORDER_SPACE_LAUNCH				"Space Launch"
ORDER_STEAL_TECHNOLOGY				"Steal Advance"
ORDER_SUE					"Sue"
ORDER_TARGET					"Target Nuke"
ORDER_THROW_PARTY				"Hold Reception"
ORDER_UNDERGROUND_RAILWAY			"Free Slave"
ORDER_UNLOAD					"Unload"

PERSONALITY_KAHN_DESCRIPTION			"Villainous, Bloodthirsty Murderer"
PERSONALITY_GHANDI_DESCRIPTION			"Diplomacy-minded Peacemaker"
PERSONALITY_STALIN_DESCRIPTION			"Isolationist, Autocratic Militarist"
PERSONALITY_CEASAR_DESCRIPTION			"Agressive Imperialist"
PERSONALITY_DEGAULLE_DESCRIPTION		"High-minded Patriot"
PERSONALITY_MEDICI_DESCRIPTION			"Shrewd International Trader"
PERSONALITY_TELLER_DESCRIPTION			"Ideologically Aggressive Academic"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Evil Genius"
PERSONALITY_CALLENBACH_DESCRIPTION		"Populist Zealot"
