# - Added strings for political map(Empty for all but English) - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW

##以下はハード コード ストリングです｡99/03/09
str_ldl_Already_Offer	"もう既に提案は聞いているぞ｡それとも新しい提案かな？"
str_ldl_Assault	"攻撃"
str_ldl_At_War	"戦時"
str_ldl_Attack_Animation	"攻撃のアニメーション"
str_ldl_Attack_COLON	"攻撃:"
str_ldl_ATTACK_ENEMY	"敵に対する攻撃"
str_ldl_Attackers	"攻撃側"
str_ldl_ATTITUDE	"姿勢"
str_ldl_ATTITUDE_COLON	"姿勢:"
str_ldl_Available_Governments	"利用可能な政治体制"
str_ldl_Available_Scenarios	"利用可能なシナリオ"
str_ldl_Average	"平均"
str_ldl_Average_Happiness	"平均の幸福度"
str_ldl_BACK	"戻る"
#str_ldl_BANKERS "商人"
str_ldl_BATTLE_VIEW	"[戦闘]画面"
str_ldl_Blood_Lust	"流血"
str_ldl_Bold	"勇敢"
str_ldl_Bomb_Cabinet	"爆弾処理室｡1000ゴールドが必要です｡"
str_ldl_Bombard	"砲爆撃"
str_ldl_BRACKET_TILENAME	"<タイル名>"
str_ldl_Branch	"フランチャイズ｡コスト：250ゴールド"
str_ldl_BREAK_ROUTE	"貿易ルートの破棄"
str_ldl_Build	"生産"
str_ldl_BUILD_LIST	"生産リスト"
str_ldl_BUILD_OPTIONS	"生産オプション"
str_ldl_BUILDING	"生産"
str_ldl_BUILDINGS	"改善施設"
str_ldl_BUY	"購入"
str_ldl_BUY_GOODS	"交易品の購入"
str_ldl_Buy_Now	"すぐ購入する"
str_ldl_BY_YOU	"プレイヤー単位"
str_ldl_Cancel	"ｷｬﾝｾﾙ"
str_ldl_Cancel_Route	"貿易ルートの破棄"
str_ldl_CAPS_ACTION	"活動"
str_ldl_CAPS_ADVANCE	"進歩"
str_ldl_CAPS_ADVANCES	"進歩"
str_ldl_CAPS_AT_WAR	"戦時"
str_ldl_CAPS_BUILD	"生産"
str_ldl_CAPS_CANCEL	"ｷｬﾝｾﾙ"
str_ldl_CAPS_CHANGE	"変更"
str_ldl_CAPS_CHANGE_LOBBY	"ロビーの変更"
str_ldl_CAPS_CITIES	"複数の都市"
str_ldl_CAPS_CITY	"都市"
str_ldl_CAPS_CIVILIZATION	"帝国"
str_ldl_CAPS_CIVILIZATION_COLON	"帝国:"
str_ldl_CAPS_COST	"コスト"
str_ldl_CAPS_CUSTOM	"カスタム"
str_ldl_CAPS_DIFFICULTY	"難易度"
str_ldl_CAPS_EXCLUSIONS	"除外"
str_ldl_CAPS_FEMALE	"女性"
str_ldl_CAPS_FOOD	"食料"
str_ldl_CAPS_FOOD2	"合計\n食料"
str_ldl_CAPS_FOOD_LOST_TO_CRIME	"犯罪で失われた食料"
str_ldl_CAPS_FORTIFY	"要塞化"
str_ldl_CAPS_FROM	"出発地点"
str_ldl_CAPS_GO_TO_CITY	"都市へ"
str_ldl_CAPS_GOLD2	"合計\nゴールド"
str_ldl_CAPS_GOLD	"ゴールド"
str_ldl_CAPS_GOLD_COLON	"ゴールド:"
str_ldl_CAPS_GOODS	"交易品"
# 間隔設定の変更 - add_ldlで更新されたストリング
# str_ldl_CAPS_GREAT_LIBRARY	"百科事典"
str_ldl_CAPS_HAPPINESS	"幸福度"
str_ldl_CAPS_HAPPY	"幸福"
str_ldl_CAPS_HEALTH	"耐久力"
str_ldl_CAPS_INFO	"ランキング"
str_ldl_CAPS_INTELLIGENCE	"情報収集活動"
str_ldl_CAPS_LAND	"土地"
str_ldl_CAPS_LOAD_QUEUE	"待ち列のロード"
str_ldl_CAPS_LOCK	"ロック"
str_ldl_CAPS_MALE	"男性"
str_ldl_CAPS_MAP	"マップ"
str_ldl_CAPS_MAX_GOODS	"最大交易品"
str_ldl_CAPS_MILITARY_READINESS	"臨戦態勢"
str_ldl_CAPS_NAME	"名前"
str_ldl_CAPS_NAME_COLON	"名前:"
str_ldl_CAPS_NO	"いいえ"
str_ldl_CAPS_ON_ALERT	"警戒"
str_ldl_CAPS_PER_TURN	"ターン当たり"
str_ldl_CAPS_PLAYERS	"帝国数"
str_ldl_CAPS_POLLUTION	"汚染度"
str_ldl_CAPS_POPULATION	"人口"
str_ldl_CAPS_PRODUCTION	"生産力"
str_ldl_CAPS_PRODUCTION_COLON	"生産力:"
str_ldl_CAPS_PROFILE	"プロフィール"
str_ldl_CAPS_QUEUE	"待ち列"
str_ldl_CAPS_QUIT	"終了"
str_ldl_CAPS_RATIONS	"食料供給"
str_ldl_CAPS_REVOLUTION	"革命"
str_ldl_CAPS_RULES	"ルール"
str_ldl_CAPS_SCIENCE	"科学"
str_ldl_CAPS_SCIENCE2	"合計\n科学"
str_ldl_CAPS_SEA	"海洋"
str_ldl_CAPS_SELL	"売却"
str_ldl_CAPS_SIZE	"サイズ"
str_ldl_CAPS_SLAVES	"奴隷"
str_ldl_CAPS_SLEEP	"警戒"
str_ldl_CAPS_SPACE	"スペース"
str_ldl_CAPS_STAND_DOWN	"一時停戦"
str_ldl_CAPS_STATUS	"状態"
str_ldl_CAPS_STRENGTH	"国力"
str_ldl_CAPS_TILE_IMP	"地形改善"
str_ldl_CAPS_TO	"目的地"
str_ldl_CAPS_TOTAL_GOLD	"合計ゴールド"
str_ldl_CAPS_TRADE	"貿易"
str_ldl_CAPS_TRIBE	"帝国"
str_ldl_CAPS_UNHAPPY	"不幸"
str_ldl_CAPS_UNIT	"ユニット"
str_ldl_CAPS_UNITS	"ユニット"
str_ldl_CAPS_VALUE	"価値"
str_ldl_CAPS_WAGES	"賃金"
str_ldl_CAPS_WONDERS	"七不思議"
str_ldl_CAPS_WORKDAY	"労働時間"
str_ldl_CAPS_WORKERS	"労働者"
str_ldl_CAPS_WORLD_SHAPE	"世界の形"
str_ldl_CAPS_YES	"はい"


### キーパーのストリング2 ###
str_ldl_Capture_City	"都市の占領"
str_ldl_Capture_Slaves	"奴隷狩り｡コスト：250ゴールド"
str_ldl_Cargo	"貨物"
str_ldl_CEASE_FIRE	"平和条約"
str_ldl_CELEB_COLON	"祝祭:"
str_ldl_Celebration	"祝祭"
str_ldl_Change	"変更"
str_ldl_Change_Lobby	"ロビーの変更"
str_ldl_CHANGE_SCIENCE	"研究"
str_ldl_CHANGE_TO_COLON	"変更先:"
str_ldl_CHECK_INTELLIGENCE	"情報収集活動のチェック"
str_ldl_Chieftain   "入門"
str_ldl_Choose_Difficulty_Level	"難易度の選択"
str_ldl_Choose_Map_Size	"マップ サイズの選択"
str_ldl_Choose_Risk_Level	"難易度の選択"
str_ldl_Choose_World_Shape	"世界の形の選択"
str_ldl_Choose_World_Type	"世界のタイプの選択"
str_ldl_Cities	"都市"
str_ldl_CITIES_COLON	"都市:"
str_ldl_City	"都市"
str_ldl_City_Bonus_COLON	"都市防衛:"
str_ldl_City_Air_Attack_Bonus_COLON		"City Air Attack:"
str_ldl_City_Land_Attack_Bonus_COLON		"City Land Attack:"
str_ldl_City_Sea_Attack_Bonus_COLON		"City Sea Attack:"
str_ldl_City_Builder	"都市の建設者"
str_ldl_CITY_ESPIONAGE	"都市の探索"
str_ldl_CITY_GOLD	"都市のゴールド"
str_ldl_CITY_HAPPINESS	"都市の幸福度"
str_ldl_City_List	"都市のリスト"
str_ldl_City_Lost_Warning	"都市喪失の警告"
str_ldl_City_Name	"都市名"
str_ldl_CITY_NAME_COLON	"都市名:"
str_ldl_CITY_QUEUE	"都市の待ち列"
str_ldl_CITY_SCIENCE	"都市の科学"
str_ldl_City_Size	"都市のサイズ"
str_ldl_CITY_STATUS	"都市の状態"
str_ldl_City_Style	"都市のスタイル"
str_ldl_CITY_VIEW	"都市の外観"
str_ldl_CIV	"帝国"
str_ldl_Civ_Name	"帝国の名前"
str_ldl_CIV_STATUS	"帝国の状態"
str_ldl_Civilization	"帝国"
str_ldl_Civilization_COLON	"帝国:"
str_ldl_Civilization_Message	"帝国のメッセージ"
str_ldl_CIVILIZATION_STATUS	"帝国の状態"
str_ldl_CIVILIZATIONS_COLON	"帝国:"
str_ldl_Civs	"帝国"
str_ldl_Cloak	"覆い"
str_ldl_Command_All	"全てを実行する"
str_ldl_CONCEPTS	"概念"
str_ldl_Conduct_Hit	"暗殺の実行｡コスト：500ゴールド"
str_ldl_Connecting_To_Lobby	"ロビーに接続中..."
str_ldl_Connection_Type_COLON	"接続タイプ:"
str_ldl_Continent	"大陸"
str_ldl_CONTINUE	"続行する"
str_ldl_CONTINUE_GAME	"ゲームを続行する"
str_ldl_CONTINUE_NEGOTIATIONS	"交渉を続行しますか？"
str_ldl_Convert_City	"都市の改宗｡コスト：100ゴールド"
str_ldl_Cost	"コスト"
str_ldl_Could_not_join_lobby	"ロビーに参加できませんでした｡"
str_ldl_Create_Game	"ゲームの作成"
str_ldl_Create_New_Setup	"新しい設定の作成"
str_ldl_Create_Park	"ナナイトによる浄化"
str_ldl_Create_Profile	"ﾌﾟﾛﾌｨｰﾙの作成"
str_ldl_Create_Rift	"敵対関係の設定"
str_ldl_Creating_Game	"ゲームの作成中..."
str_ldl_CREDITS	"製作スタッフ"
str_ldl_CRIME	"犯罪"
str_ldl_Custom	"カスタム"
str_ldl_CUSTOM_RULES	"カスタム ルール..."
str_ldl_CUSTOMIZE	"カスタマイズ"
str_ldl_Cut_and_Paste	"カット アンド ペースト"
str_ldl_Defenders	"守備側"
str_ldl_Defuse_Bomb	"爆弾の信管を抜く"
str_ldl_Deity   "不可能"
str_ldl_Delete_Profile	"ﾌﾟﾛﾌｨｰﾙの削除"
str_ldl_Delete_Setup	"設定の削除"
str_ldl_Descend	"降りる"
str_ldl_Difficulty	"難易度"
str_ldl_Difficulty_Level	"スキル レベル"
str_ldl_DIPLOMACY	"外交"
str_ldl_DIPLOMACY_STATUS	"国交状態"
str_ldl_Disaster	"天災"
str_ldl_DISBAND	"解散"
str_ldl_Diverse	"多様"
str_ldl_Domestic	"国内"
str_ldl_Doughnut_World	"ドーナッツ型世界"
str_ldl_Dry	"乾燥"
str_ldl_Dynamic_Join	"途中参加"
str_ldl_Dynamic_Joining_On	"途中参加をONに設定する"
str_ldl_Earth_World	"地球型世界"
str_ldl_East_and_West_edges_of_the_map_connect	"東西の端はつながっています｡"
str_ldl_EAST_WEST	"EAST_WEST"
str_ldl_East_West_and_North_South_edges	"東西南北の端はそれぞれつながっています｡"
str_ldl_EATEN	"餌食になりました｡"
str_ldl_ECO_PACT	"環境汚染防止協定"
str_ldl_Edit_Profile	"ﾌﾟﾛﾌｨｰﾙの編集"
str_ldl_Elite	"エリート"
str_ldl_EMBASSY	"大使館"
str_ldl_Emperor "達人"
str_ldl_ENACT	"制定"
str_ldl_Enact_Government	"政治体制の制定"
str_ldl_ENEMY	"敵国"
str_ldl_Enemy_Intrusion	"敵国による侵入"
str_ldl_Enter_Password_COLON	"パスワードの入力:"
str_ldl_ENTERTAINERS    "ｴﾝﾀｰﾃｲﾅｰ"
str_ldl_Entrench	"要塞化"
str_ldl_Entrench_Bonus_COLON	"要塞化ボーナス:"
str_ldl_Environment	"ﾏｯﾌﾟのｶｽﾀﾏｲｽﾞ"
str_ldl_Environmentalism	"環境保護主義"
str_ldl_Establish_Embassy	"大使館設立"
str_ldl_Exchange_City	"都市交換"
str_ldl_exchange_maps	"探検した土地のマップと交換しましょう｡"
str_ldl_Excluded_Improvements_COLON_	"除外された改善施設:"
str_ldl_Excluded_Units_COLON_	"除外されたユニット:"
str_ldl_Excluded_Wonders_COLON_	"除外された七不思議:"
str_ldl_Exclusions	"除外"
str_ldl_Details	"詳細"
str_ldl_Expel_Unit	"ユニットの強制送還"
str_ldl_Experience_Level_COLON	"経験レベル:"
str_ldl_Export	"輸出"
str_ldl_Female	"   女性"
str_ldl_Few_Goods	"希少交易品"
str_ldl_File_Injunction	"提訴｡コスト：300ゴールド"
str_ldl_Fog_Of_War_Off	"戦場の霧をOFFに設定する"
str_ldl_Folder_COLON	"フォルダー:"
str_ldl_Food	"食料"
str_ldl_Food_	"食料 "
str_ldl_Food_COLON	"食料:"
str_ldl_Food_Eaten	"消費された食料"
str_ldl_Food_Lost_to_Crime	"犯罪で失われた食料"
str_ldl_Food_Stored_Last_Turn	"最後のターンで備蓄した食料"
str_ldl_Food_Stored_Next_Turn	"次のターンで備蓄する食料"
str_ldl_FOOD_TO_GROW	"人口増加に必要な食料"
str_ldl_For	"対象"
str_ldl_FOR_BUILDING	"生産用"
str_ldl_FOR_COLON	"対象:"
str_ldl_For_Public_Works	"公共労働用"
str_ldl_Fort_Bonus_COLON	"要塞化ボーナス:"
str_ldl_Fortify	"要塞化"
str_ldl_Free_Slave	"奴隷解放｡コスト：50ゴールド"
str_ldl_From	"出発地点"
str_ldl_FROM_COLON	"出発地点:"
str_ldl_Game_COLON	"ゲーム:"
str_ldl_GAME_DETAILS	"ゲームの詳細..."
str_ldl_Game_Folders	"ゲーム フォルダー"
str_ldl_Game_Name_COLON	"ゲームの名前:"
str_ldl_GAME_OPTIONS	"ゲーム オプション"
str_ldl_GAME_PLAY	"ゲームプレイ"
str_ldl_GAME_SETUP	"ゲームの設定"
str_ldl_Game_Style_COLON	"ゲーム スタイル:"
str_ldl_GAMEPLAY	"ゲームプレイ"
str_ldl_GAMEPLAY_OPTIONS	"ゲームプレイ"
str_ldl_Games_COLON	"ゲーム:"
str_ldl_GENERAL	"一般"
str_ldl_Genocide	"虐殺"
str_ldl_Get_Good	"交易品を獲得する"
str_ldl_Gift_Map	"マップの供与"
str_ldl_GIVE	"供与"
str_ldl_Gold	"ゴールド"
str_ldl_Gold_COLON	"商業力:"
str_ldl_Gold_COLON_	"ゴールド: "
str_ldl_GOLD_LOST_TO_CRIME	"犯罪で失われたゴールド"
str_ldl_Gold_Paid	"支払ったゴールド"
str_ldl_GOOD	"交易品"
str_ldl_Goods	"複数の交易品"
str_ldl_Goods_COLON	"交易品:"
str_ldl_Goods_For_Sale	"販売可能な交易品"
str_ldl_GOV_nBONUS	"政治体制\nボーナス"
str_ldl_GOVERMENTS	"政治体制"
str_ldl_GOVERN	"政治体制"
str_ldl_Government	"政治体制"
str_ldl_GOVERNMENTS	"政治体制"
str_ldl_GRAPHICS	"グラフィック"
str_ldl_GRAPHICS_OPTIONS	"グラフィック"
str_ldl_Great_Library	"百科事典"
str_ldl_Group_All	"全てのグループ化"
str_ldl_Growth		"人口増加"
str_ldl_GROWTH_COLON	"人口増加:"
str_ldl_Handicapping_On	"ﾊﾝﾃﾞｨｷｬｯﾌﾟのON"
str_ldl_HAPP	"幸福度"
str_ldl_Happiness	"幸福度"
str_ldl_Happy	"幸福"
str_ldl_HASH_MARK	"数"
str_ldl_Health	"耐久力"
str_ldl_Hear_Gossip	"噂を聞く"
str_ldl_Help	"ヘルプ"
str_ldl_HIGH_SCORE	"ハイスコア"
str_ldl_HIGH_SCORES	"ハイスコア"
str_ldl_HISTORICAL	"歴史"
str_ldl_Homogeneous	"一様"
str_ldl_Host_changed_game_setup	"注意！ ホストがゲームの設定を変更しました｡"
str_ldl_HOT_KEY	"ホット キー"
str_ldl_How_much_for_good	"この交易品にどれだけ支払いますか？"
str_ldl_How_much_gold	"この交易品をどれだけ購入しますか？"
str_ldl_Impatient	"忍耐力のない"
str_ldl_IMPROVE	"都市の改善"
str_ldl_Improvements	"改善施設"
str_ldl_Incite_Revolution	"革命扇動｡コスト:都市状態による"
str_ldl_Indifferent	"無関心"
str_ldl_Infect_City	"都市への細菌攻撃｡コスト:1000ゴールド"
str_ldl_Info	"情報"
str_ldl_INFORMATION	"ランキング"
str_ldl_Injured	"負傷"
str_ldl_INSTANT_START	"クイック スタート"
str_ldl_Intelligence	"情報収集活動"
str_ldl_INVENTORY	"建物一覧"
str_ldl_Invulnerable_Trade	"海賊行為"
str_ldl_Invulnerable_Trade_Off	"海賊行為のOFF"
str_ldl_Island	"島"
str_ldl_Join_City	"都市の建設"
str_ldl_Join_Game	"ゲームに参加する"
str_ldl_Joining_Game	"ゲームに参加する..."
str_ldl_Joining_Lobby	"ロビーに参加する..."
str_ldl_KEYBOARD	"キーボード"
str_ldl_KEYBOARD_MAPPING	"キーボード マッピング"
str_ldl_Kick	"拒否"
str_ldl_kicked_you_out	"すみません｡ホストからゲームの参加を拒否されました｡"
str_ldl_King    "上級"
str_ldl_Knowledge	"知識"
str_ldl_Knowledge_Bar	"知識バー"
str_ldl_KNOWN	"既知"
str_ldl_Known_Only_To_You	"あなただけの知識"
str_ldl_Known_To_You_And_Others	"あなたと他のプレイヤーの知識"
str_ldl_LABORERS    "作業員"
str_ldl_Land	"土地"
str_ldl_Land_Grabber	"土地の略奪者"
str_ldl_Large_64_x_128	"巨大"
str_ldl_Last_Sale_Price_COLON	"最終販売価格:"
str_ldl_Launch	"起動"
str_ldl_LEADER_NAME	"指導者の名前"
str_ldl_Leader_Name_COLON	"指導者の名前:"
str_ldl_LEAVE_OUR_LANDS	"侵入の停止"
str_ldl_Leaving_Lobby	"ロビーを抜ける..."
str_ldl_Legal	"法的な"
str_ldl_LIBRARY	"百科事典"
str_ldl_Line_Of_Sight	"戦場の霧"
str_ldl_LOAD_GAME	"ゲームのロード"
str_ldl_Load_Game_Setup	"ｹﾞｰﾑ設定のﾛｰﾄﾞ"
str_ldl_Load_Map	"マップのロード"
str_ldl_Load_Queue	"待ち列のロード"
str_ldl_Load_Saved_Game	"ｾｰﾌﾞｹﾞｰﾑのﾛｰﾄﾞ"
str_ldl_Load_Scenario	"シナリオのロード"
str_ldl_LOAD_SETUP	"設定のロード"
str_ldl_LOAD_TEMPLATE	"テンプレートのロード"
str_ldl_Lobby	"ロビー"
str_ldl_Lobby_Name	"ロビー名"
str_ldl_Lobby_Name_COLON	"ロビー名:"
str_ldl_Local_Area_Network_IPX	"この接続は､IPX接続しかできないユーザーのためのLAN接続です｡"
str_ldl_Local_Area_Network_TCPIP	"この接続は､TCP/IPネットワーク接続ができるユーザーのためのLAN接続です（これは最も一般的なLAN接続タイプです）｡"
str_ldl_Location_COLON	"場所:"
str_ldl_Lock	"ロック"
str_ldl_MACRO	"マクロ"
str_ldl_MAIN_CHAT	"メイン チャット"
str_ldl_MAINT	"保守"
str_ldl_MAKE_A_DEMAND	"要求の作成"
str_ldl_Male	"   男性"
str_ldl_Many_Goods	"多くの交易品"
str_ldl_Map	"マップ"
str_ldl_MAP_CAPS_SIZE	"世界のサイズ"
str_ldl_Map_COLON	"マップ:"
str_ldl_MAP_EDITOR	"マップ エディター"
str_ldl_Map_Folders	"マップ フォルダー"
str_ldl_Map_Shape	"世界の形"
str_ldl_Map_Size	"マップ サイズ"
str_ldl_MAP_TYPE	"マップのカスタマイズ"
str_ldl_MAPS	"複数のマップ"
str_ldl_MAX	"最大化"
str_ldl_MAX_FOOD	"食料の最大化"
str_ldl_Max_Goods	"交易品の最大化"
str_ldl_Max_Growth	"人口増加の最大化"
str_ldl_Max_Happiness	"幸福度の最大化"
str_ldl_MAX_HAPPY	"幸福の最大化"
str_ldl_MAX_PROD	"生産力の最大化"
str_ldl_Max_Production	"生産力の最大化"
str_ldl_MAX_SCI	"科学の最大化"
str_ldl_MAXIMIZE_CITY	"都市の最大化"
str_ldl_Medium_48_x_96	"標準"
str_ldl_Military	"軍事"
str_ldl_MILITARY_COLON	"軍事:"
str_ldl_Military_Readiness	"臨戦態勢"
str_ldl_MILITARY_SUPPORT_COST_COLON	"軍事\n維持費:"
str_ldl_Move	"移動"
str_ldl_Movement_COLON	"移動:"
str_ldl_Movement_Cost_COLON	"移動コスト:"
str_ldl_MP	"MP"
str_ldl_MULTIPLAYER	"マルチプレイヤー"
str_ldl_MUSIC	"音楽"
str_ldl_Music_Volume	"音楽の音量"
str_ldl_Mute	"ミュート"
str_ldl_Name	"名前"
str_ldl_Navy	"海軍"
str_ldl_Neutral	"中立"
str_ldl_Never_Mind	"キャンセル"
str_ldl_NEW_GAME	"新規ゲーム"
str_ldl_NEXT_ADVANCE	"次の進歩"
str_ldl_NEXT_POP	"次のポップ"
str_ldl_NEXT_POP_IN	"次のポップイン"
str_ldl_No	"いいえ"
str_ldl_Nothing_Building	"生産停止中"
str_ldl_Number_of_Opponents	"敵の数"
str_ldl_Ocean	"海洋"
str_ldl_Offer	"提案"
str_ldl_OFFER_A_GIFT	"贈り物の提案"
str_ldl_OFFER_AN_EXCHANGE	"交換の提案"
str_ldl_Offer_Good	"交易品の提案"

###	rsh012599 - これを"Close"に変更しないでください...すでに'str_ldl_Close'があります｡
###				- 'Close'ではなく'Ok'と表示されるUI画面があった場合､Ryanにお知らせください｡
str_ldl_Ok	"OK"
###
###

str_ldl_On_Alert	"警戒"
str_ldl_Only_Known_By_Others	"他プレイヤーだけの知識"
str_ldl_Open_Offers	"提案を行う"
str_ldl_OPTIONS	"オプション"
str_ldl_ORDER	"命令"
str_ldl_ORDERS	"ユニットの命令"
str_ldl_PAID	"支払い済み"
str_ldl_Pairah	"下層民"
str_ldl_Paradrop	"空挺部隊降下"
str_ldl_PARANTHESIS_Team	"（チーム）"
str_ldl_PARATHESIS_Private	"（プライベート）"
str_ldl_password	"パスワードを使用しますか？"
str_ldl_Password_required_to_join	"参加するにはパスワードが必要です｡"
str_ldl_PEACE	"平時   警戒   戦時"
str_ldl_Peace_Maker	"ピース メーカー"
str_ldl_Peace_Movement	"戦時の不満"
str_ldl_PER_nTURN	"ターン当たり"
str_ldl_Per_Turn	"ターン当たり"
str_ldl_Percent	"パーセント"
str_ldl_Personality	"性格"
str_ldl_Pillage	"略奪"
str_ldl_Ping	"Ping"
str_ldl_Pirate	"海賊行為"
str_ldl_Plant_Nanovirus	"ナノ ウィルスの攻撃"
str_ldl_Plant_Nuke	"核兵器設置｡コスト:500ゴールド"
str_ldl_Player	"　ﾌﾟﾚｲﾔｰ"
str_ldl_Player_Info_COLON	"プレイヤー情報:"
str_ldl_Player_Name	"プレイヤーの名前"
str_ldl_Player_Name_COLON	"プレイヤーの名前:"
str_ldl_Player_number	"プレイヤーの番号"
str_ldl_Player_Number_and_Name	"プレイヤーの番号と名前"
str_ldl_Players	"プレイヤー"
str_ldl_Players_COLON	"複数のプレイヤー:"
str_ldl_Pollution	"汚染"
str_ldl_Pollution_Off	"汚染のOFF"
str_ldl_POP_COLON	"人口:"
str_ldl_Population	"人口"
str_ldl_Power	"国力"
str_ldl_PRICE	"価格"
str_ldl_Prince  "中級"
str_ldl_Private	"プライベート"
str_ldl_PROD	"生産力"
str_ldl_PROD2	"合計\n生産力"
str_ldl_PRODCUTIONTURN	"生産力/ターン"
str_ldl_PRODUCING	"生産中"
str_ldl_Production	"生産力"
str_ldl_Production_	"生産力 "
str_ldl_Production_COLON	"生産力:"
str_ldl_PRODUCTION_LOST_TO_CRIME	"犯罪で失われた生産力"
str_ldl_PRODUCTION_PERCENTAGE_COLON	"生産力\nパーセント:"
str_ldl_Profile	"ﾌﾟﾛﾌｨｰﾙ"
str_ldl_PROFIT	"収益"
str_ldl_Public_Works	"公共労働力"
str_ldl_Public_Works_Stored	"蓄積された公共労働力"
str_ldl_Purchase_Options	"購入オプション"
str_ldl_PW	"公共労働力"
str_ldl_Questionable	"疑わしい"
str_ldl_Queue	"待ち列"
str_ldl_QUEUE_NAME_COLON	"待ち列名:"
str_ldl_QUICK_SAVE	"クイック セーブ"
str_ldl_Quit	"終了"
str_ldl_QUIT_TO_WINDOWS	"ウィンドウズに戻る"
str_ldl_Raging_Hordes	"略奪者"
str_ldl_RANDOM	"ランダム"
str_ldl_Random_Map	"ランダム マップ"
str_ldl_Rank	"ランク"
str_ldl_Rations	"食料供給"
str_ldl_REDUCE_POLLUTION	"汚染物質の削減"
str_ldl_Reform_City	"都市の宗教改革｡コスト:1000ゴールド"
str_ldl_Regard_Towards_COLON	"姿勢:"
str_ldl_Reliability	"信頼度"
str_ldl_Reliable	"信頼できる"
str_ldl_Reload_FLI	"FLIの再ロード"
str_ldl_REMOVE2	"削除"
str_ldl_REMOVE  "削除"


str_ldl_RESEARCH_ADVANCE	"進歩の研究"
str_ldl_RESEARCHING	"研究中"
str_ldl_RESEARCHING_COLON	"研究中:"
str_ldl_Reserve	"予約"
str_ldl_Reserves	"予約"
str_ldl_RESET_DEFAULTS	"初期値にリセット"
str_ldl_RESET_ROUTE	"ルートのリセット"
str_ldl_RESTART	"再スタート"
str_ldl_Restless_Tribes	"侵略者"
str_ldl_REV	"表示"
str_ldl_REV_COLON	"表示:"
str_ldl_Review	"表示"
str_ldl_REVIEW_TRADE	"貿易の表示"
str_ldl_Revolt_Warning	"革命に対する警告"
str_ldl_Revolution	"革命"
str_ldl_Revolution_Risk	"革命の危険"
str_ldl_RIOT	"暴動"
str_ldl_RIOT_COLON	"暴動:"
str_ldl_Riot_Risk	"暴動の危険"
str_ldl_Roving_Bands	"盗賊"
str_ldl_Rules	"ルール"
str_ldl_RUSH_BUY	"緊急購入"
str_ldl_Sale_Price_COLON	"売却価格:"
str_ldl_Sale_Value_COLON	"購入価格:"
str_ldl_Save	"セーブ"
str_ldl_SAVE_AS_TEMPLATE	"テンプレートとしてセーブ"
str_ldl_Save_COLON	"セーブ:"
str_ldl_SAVE_GAME	"ゲームのセーブ"
str_ldl_SAVE_MAP	"マップのセーブ"
str_ldl_SAVE_SCENARIO	"シナリオのセーブ"
str_ldl_Saved_Games	"セーブしたゲーム"
str_ldl_Saved_Maps	"セーブしたマップ"
str_ldl_Saved_Profiles_COLON	"セーブしたプロフィール:"
str_ldl_Savings_Per_Turn	"ターン単位でセーブ"
str_ldl_SCENARIO	"シナリオ"
str_ldl_Scenario_Info_COLON_	"シナリオ情報:"
str_ldl_SCI	"科学"
str_ldl_SCI_COLON	"科学:"
str_ldl_Science	"科学"
str_ldl_SCIENCE_COLON	"科学:"
str_ldl_Science_Per_Turn	"ターン当たりの科学"
str_ldl_SCIENCE_STATUS	"科学の状態"
str_ldl_Scientist	"科学者"
str_ldl_SCIENTISTS  "科学者"
str_ldl_Score	"スコア"
str_ldl_SCORE_COLON	"スコア:"
str_ldl_SCREEN_CONTROLS	"画面コントロール"
str_ldl_Screens	"画面"
str_ldl_Sea	"海"
str_ldl_Select_Age_Research	"開始時の時代と最終研究可能時代を選択"
str_ldl_Select_City	"都市の選択"
str_ldl_Select_Command	"コマンドの選択"
str_ldl_SELECT_CONNECTION	"接続の選択"
str_ldl_Select_Government	"政治体制の選択"
str_ldl_SELECT_PROFILE	"プロフィールの選択"
str_ldl_SELECT_SERVER	"サーバーの選択"
str_ldl_Self_interested	"自己本位"
str_ldl_Sell	"販売"
str_ldl_SELL_GOODS	"交易品の販売"
str_ldl_Sell_Indulgences	"免罪符の販売"
str_ldl_SEND	"送る"
str_ldl_SEND_EMISSARY	"使節を送る"
str_ldl_Send_Good	"交易品を送る"
str_ldl_SEND_GOODS	"交易品を送る"
str_ldl_Server	"サーバー"
str_ldl_SET_AMOUNT_COLON	"金額の設定:"
str_ldl_SFX	"サウンド"
str_ldl_SFX_Volume	"効果音の音量"
str_ldl_Show_All	"全てを表示する"
str_ldl_Show_Enemy_Moves	"敵国の動きを表示する"
str_ldl_SINGLEPLAYER	"シングル プレイヤー"
str_ldl_Size	"サイズ"
str_ldl_Slaves	"奴隷"
str_ldl_Sleep	"警戒"
str_ldl_Small_24_x_48	"小"
str_ldl_Soothsay	"予言｡コスト:500ゴールド"
str_ldl_SOUND	"サウンド"
str_ldl_SOUND_OPTIONS	"サウンド"
str_ldl_Space	"スペース"
str_ldl_Special	"特殊"
str_ldl_SPECIAL_ABILITIES	"特殊能力"
str_ldl_SPECIAL_ATTACKS	"特殊攻撃"
str_ldl_Spy	"スパイ"
str_ldl_Stand_Down	"部隊の解散"
